,Buy Date,Buy Price,Sell Date,Sell Price,Difference
0,03-Apr-2015,547.29,27-May-2015,616.91,69.62
1,26-Jun-2015,640.79,22-Jul-2015,697.86,57.07000000000005
2,03-Sep-2015,698.32,08-Sep-2015,689.08,-9.240000000000009
3,16-Oct-2015,673.0,09-Nov-2015,680.52,7.519999999999982
4,06-Jan-2016,650.68,13-Jan-2016,631.0,-19.67999999999995
5,01-Feb-2016,632.46,25-Feb-2016,656.93,24.469999999999914
6,21-Mar-2016,659.5,22-Mar-2016,641.0,-18.5
7,29-Mar-2016,653.63,13-Apr-2016,642.0,-11.629999999999995
8,27-Apr-2016,665.0,19-May-2016,680.18,15.17999999999995
9,20-Jun-2016,683.99,28-Jul-2016,800.0,116.00999999999999
10,19-Sep-2016,845.41,04-Oct-2016,831.71,-13.699999999999932
11,02-Nov-2016,825.09,30-Nov-2016,889.0,63.90999999999997
12,09-Dec-2016,934.97,23-Dec-2016,928.64,-6.330000000000041
13,17-Jan-2017,956.57,01-Feb-2017,1017.77,61.19999999999993
14,10-Apr-2017,969.45,02-May-2017,923.82,-45.629999999999995
15,25-May-2017,929.0,02-Jun-2017,890.0,-39.0
16,07-Jun-2017,925.0,20-Jun-2017,906.73,-18.269999999999982
17,30-Jun-2017,934.6,03-Jul-2017,898.88,-35.72000000000003
18,27-Jul-2017,904.42,01-Aug-2017,860.25,-44.16999999999996
19,15-Sep-2017,814.95,06-Oct-2017,763.58,-51.370000000000005
20,19-Oct-2017,779.09,27-Oct-2017,748.25,-30.840000000000032
21,22-Dec-2017,694.36,05-Jan-2018,645.67,-48.690000000000055
22,19-Jan-2018,654.24,12-Feb-2018,703.99,49.75
23,14-Mar-2018,666.0,11-Apr-2018,709.76,43.75999999999999
24,18-Apr-2018,743.48,30-Apr-2018,722.0,-21.480000000000018
25,28-May-2018,685.0,26-Jun-2018,681.01,-3.990000000000009
26,27-Jul-2018,690.0,15-Aug-2018,668.0,-22.0
27,28-Sep-2018,617.05,05-Oct-2018,540.5,-76.54999999999995
28,29-Oct-2018,560.01,03-Dec-2018,555.11,-4.899999999999977
29,24-Dec-2018,555.99,11-Feb-2019,677.98,121.99000000000001
30,28-Jun-2019,474.64,09-Jul-2019,434.0,-40.639999999999986
31,26-Sep-2019,350.02,18-Oct-2019,325.68,-24.339999999999975
32,08-Nov-2019,330.56,23-Dec-2019,452.12,121.56
33,02-Mar-2020,395.42,17-Mar-2020,361.5,-33.920000000000016
34,09-Apr-2020,358.39,07-May-2020,436.77,78.38
35,,,,Profit/Loss,209.82999999999987
