Date,Open,High,Low,Close,Volume
1/2/2001,7.6285,7.6285,7.6285,7.6285,2509
1/3/2001,7.6285,7.6285,7.6285,7.6285,2509
1/4/2001,7.6285,7.6285,7.6285,7.6285,2509
1/5/2001,7.6285,7.6285,7.6285,7.6285,2509
1/8/2001,7.6285,7.6285,7.6285,7.6285,2509
1/9/2001,7.6285,7.6285,7.6285,7.6285,2509
1/10/2001,7.6285,7.6285,7.6285,7.6285,2509
1/11/2001,7.786,8.2918,8.126,8.126,456
1/12/2001,7.786,8.2918,8.126,8.126,456
1/15/2001,7.786,8.2918,8.126,8.126,456
1/16/2001,7.786,8.2918,8.126,8.126,456
1/17/2001,7.786,8.2918,8.126,8.126,456
1/18/2001,7.786,8.2918,8.126,8.126,456
1/19/2001,7.786,8.2918,8.126,8.126,456
1/22/2001,7.786,8.2918,8.126,8.126,456
1/23/2001,7.786,8.2918,8.126,8.126,456
1/24/2001,7.786,8.2918,8.126,8.126,456
1/25/2001,8.126,7.4709,7.4709,7.4709,228
1/26/2001,7.4709,8.2918,8.2504,8.2918,1597
1/29/2001,7.4709,8.2918,8.2504,8.2918,1597
1/30/2001,7.4709,8.2918,8.2504,8.2918,1597
1/31/2001,7.4709,8.2918,8.2504,8.2918,1597
2/1/2001,8.2918,8.2918,8.2918,8.2918,912
2/2/2001,8.2918,8.2918,8.2918,8.2918,456
2/5/2001,8.2918,8.2918,8.2918,8.2918,456
2/6/2001,8.2918,7.6285,7.6285,7.6285,1140
2/7/2001,8.2918,7.6285,7.6285,7.6285,1140
2/8/2001,7.6285,8.2752,8.2752,8.2752,684
2/9/2001,7.6285,8.2752,8.2752,8.2752,684
2/12/2001,8.2752,8.2752,7.9767,7.9767,912
2/13/2001,7.9767,7.9602,7.9602,7.9602,228
2/14/2001,7.9767,7.9602,7.9602,7.9602,228
2/15/2001,8.0016,8.0016,8.0016,8.0016,228
2/16/2001,8.0016,8.0016,8.0016,8.0016,228
2/19/2001,8.0016,8.126,8.126,8.126,228
2/20/2001,8.2752,8.2752,8.2752,8.2752,456
2/21/2001,8.2752,8.2752,8.2752,8.2752,456
2/22/2001,8.126,8.2752,8.2752,8.2752,456
2/23/2001,8.2752,7.9602,7.8109,7.9602,684
2/26/2001,8.2752,7.9602,7.8109,7.9602,684
2/27/2001,7.9602,7.8109,7.7943,7.7943,2053
2/28/2001,7.9602,7.8109,7.7943,7.7943,2053
3/1/2001,7.9602,7.8109,7.7943,7.7943,2053
3/2/2001,7.7943,7.7943,7.7943,7.7943,684
3/5/2001,7.7943,7.7943,7.7943,7.7943,684
3/6/2001,7.7943,7.7943,7.7943,7.7943,684
3/7/2001,7.7943,7.7943,7.7943,7.7943,684
3/8/2001,7.7943,7.7943,7.7943,7.7943,684
3/9/2001,7.7943,7.9602,7.6368,7.9602,2281
3/12/2001,7.9602,7.9602,7.2968,7.2968,5930
3/13/2001,7.2968,7.4626,7.2968,7.4626,1597
3/14/2001,7.4626,7.5456,7.4626,7.5456,456
3/15/2001,7.5456,7.6285,7.4626,7.5456,2509
3/16/2001,7.5456,7.6285,7.4626,7.5456,2509
3/19/2001,7.5456,7.6285,7.4626,7.5456,2509
3/20/2001,7.5456,7.6285,7.4626,7.5456,2509
3/21/2001,7.5456,7.6285,7.4626,7.5456,2509
3/22/2001,7.5456,7.5456,7.5456,7.5456,684
3/23/2001,7.5456,7.5456,7.5456,7.5456,684
3/26/2001,7.5456,7.7114,7.7114,7.7114,228
3/27/2001,7.5456,7.7114,7.7114,7.7114,228
3/28/2001,7.5456,7.7114,7.7114,7.7114,228
3/29/2001,7.5456,7.7114,7.7114,7.7114,228
3/30/2001,7.7114,7.9602,7.9602,7.9602,1140
4/2/2001,7.7114,7.9602,7.9602,7.9602,1140
4/3/2001,7.7114,7.9602,7.9602,7.9602,1140
4/4/2001,7.7114,7.9602,7.9602,7.9602,1140
4/5/2001,7.7114,7.9602,7.9602,7.9602,1140
4/6/2001,7.7114,7.9602,7.9602,7.9602,1140
4/9/2001,7.9602,7.6285,7.6285,7.6285,456
4/10/2001,7.9602,7.6285,7.6285,7.6285,456
4/11/2001,7.9602,7.6285,7.6285,7.6285,456
4/12/2001,7.9602,7.6285,7.6285,7.6285,456
4/13/2001,7.9602,7.6285,7.6285,7.6285,456
4/16/2001,7.6285,7.9602,7.9602,7.9602,684
4/17/2001,7.6285,7.9602,7.9602,7.9602,684
4/18/2001,7.6285,7.9602,7.9602,7.9602,684
4/19/2001,7.6285,7.9602,7.9602,7.9602,684
4/20/2001,7.6285,7.9602,7.9602,7.9602,684
4/23/2001,7.9602,7.9602,7.9602,7.9602,684
4/24/2001,7.9602,7.9602,7.9602,7.9602,684
4/25/2001,7.9602,8.126,7.7943,8.126,5018
4/26/2001,8.126,8.2089,8.0431,8.0431,1597
4/27/2001,8.0431,8.2089,8.2089,8.2089,1140
4/30/2001,8.0431,8.2089,8.2089,8.2089,1140
5/1/2001,8.0431,8.2089,8.2089,8.2089,1140
5/2/2001,8.2089,9.1044,8.9469,8.9552,2965
5/3/2001,8.9552,8.9552,8.9552,8.9552,2965
5/4/2001,8.9552,8.9552,8.9552,8.9552,2965
5/7/2001,8.9552,8.9552,8.9552,8.9552,2965
5/8/2001,8.9552,8.9552,8.9552,8.9552,2965
5/9/2001,8.9552,8.9552,8.9552,8.9552,2965
5/10/2001,8.9552,8.9552,8.9552,8.9552,2965
5/11/2001,8.9552,8.9552,8.9552,8.9552,2965
5/14/2001,8.9552,8.9552,8.9552,8.9552,2965
5/15/2001,8.9552,8.9552,8.9552,8.9552,2965
5/16/2001,8.9552,8.9552,8.9552,8.9552,2965
5/17/2001,8.9552,8.7971,8.762,8.7971,684
5/18/2001,8.9552,8.7971,8.762,8.7971,684
5/21/2001,8.9552,8.7971,8.762,8.7971,684
5/22/2001,8.9552,8.7971,8.762,8.7971,684
