Date,Open,High,Low,Close,Volume
2001-01-02,3.2736,3.248,3.077,3.0856,214437
2001-01-03,3.0856,3.2309,3.077,3.2052,332902
2001-01-04,3.2052,3.3164,3.1112,3.1112,178447
2001-01-05,3.1112,3.1967,3.1027,3.1967,59982
2001-01-08,3.1967,3.2223,3.0856,3.0856,52485
2001-01-09,3.0856,3.0941,3.0514,3.077,61482
2001-01-10,3.077,3.077,3.0514,3.0514,25492
2001-01-11,3.0514,3.077,3.0514,3.0514,29991
2001-01-12,3.0514,3.0428,2.9916,2.9916,25492
2001-01-15,2.9916,2.9916,2.9574,2.9574,4499
2001-01-16,2.9574,3.0599,2.8633,2.9146,188944
2001-01-17,2.9146,2.983,2.8975,2.9061,1160658
2001-01-18,2.9061,2.9745,2.9061,2.9061,223434
2001-01-19,2.9061,2.889,2.8719,2.889,17995
2001-01-22,2.889,2.9061,2.889,2.9061,187445
2001-01-23,2.9061,2.9403,2.9146,2.9317,121464
2001-01-24,2.9317,2.9403,2.9146,2.9146,113966
2001-01-25,2.9146,2.9061,2.889,2.9061,91473
2001-01-26,2.9061,2.889,2.8377,2.8377,32990
2001-01-29,2.8377,2.9061,2.889,2.889,11996
2001-01-30,2.889,2.889,2.8633,2.889,17995
2001-01-31,2.889,2.9061,2.9061,2.9061,32990
2001-02-01,2.9061,2.9745,2.8633,2.8633,34490
2001-02-02,2.8633,2.8548,2.8377,2.8377,23993
2001-02-05,2.8633,2.8548,2.8377,2.8377,23993
2001-02-06,2.8377,2.9061,2.8292,2.8975,91473
2001-02-07,2.8975,2.9317,2.8719,2.9061,47986
2001-02-08,2.9061,2.9403,2.8719,2.8719,37489
2001-02-09,2.8719,2.9061,2.8206,2.8206,43487
2001-02-12,2.8206,2.889,2.8206,2.8206,62981
2001-02-13,2.8206,2.8633,2.8035,2.8121,77977
2001-02-14,2.8975,2.8975,2.8206,2.8975,122964
2001-02-15,2.8633,2.9061,2.8035,2.8633,68980
2001-02-16,2.8121,2.8121,2.7351,2.8121,8997
2001-02-19,2.8121,2.8035,2.7351,2.7522,52485
2001-02-20,2.7522,2.7351,2.7351,2.7351,5998
2001-02-21,2.7351,2.8206,2.7351,2.7779,32990
2001-02-22,2.7779,2.7351,2.6924,2.7351,35989
2001-02-23,2.7351,2.7351,2.7351,2.7351,2999
2001-02-26,2.7351,2.7779,2.6326,2.6839,19494
2001-02-27,2.6839,2.8206,2.6411,2.7351,29991
2001-02-28,2.7351,2.7693,2.7351,2.7522,50985
2001-03-01,2.7522,2.8206,2.7351,2.8121,109468
2001-03-02,2.8121,3.3334,2.7693,3.3334,98971
2001-03-05,2.8121,3.3334,2.7693,3.3334,98971
2001-03-06,2.8121,3.3334,2.7693,3.3334,98971
2001-03-07,2.8121,3.3334,2.7693,3.3334,98971
2001-03-08,2.8121,3.3334,2.7693,3.3334,98971
2001-03-09,3.3334,3.0087,2.8633,2.9061,13496
2001-03-12,2.9061,2.8804,2.8633,2.8804,10497
2001-03-13,2.8804,2.8035,2.7522,2.7522,14996
2001-03-14,2.7522,2.7608,2.7522,2.7522,5998
2001-03-15,2.7522,2.7864,2.7522,2.7864,34490
2001-03-16,2.7522,2.7864,2.7522,2.7864,34490
2001-03-19,2.7864,2.7351,2.7351,2.7351,17995
2001-03-20,2.7351,2.7351,2.7351,2.7351,2999
2001-03-21,2.7351,2.7351,2.7351,2.7351,2999
2001-03-22,2.7351,2.8975,2.6497,2.8975,71979
2001-03-23,2.7351,2.8975,2.6497,2.8975,71979
2001-03-26,2.8975,2.8633,2.6497,2.6497,26992
2001-03-27,2.6668,2.6839,2.6668,2.6839,56983
2001-03-28,2.6668,2.6839,2.6668,2.6839,56983
2001-03-29,2.6839,2.6582,2.6497,2.6497,2999
2001-03-30,2.6497,2.7608,2.6497,2.7009,44987
2001-04-02,2.7009,2.718,2.6668,2.6924,13496
2001-04-03,2.6924,2.6839,2.6155,2.6155,20994
2001-04-04,2.6924,2.6839,2.6155,2.6155,20994
2001-04-05,2.6924,2.6839,2.6155,2.6155,20994
2001-04-06,2.6155,2.6753,2.6411,2.6753,20994
2001-04-09,2.6753,2.6839,2.6668,2.6839,10497
2001-04-10,2.6839,2.6839,2.6753,2.6753,16495
2001-04-11,2.6753,2.6497,2.5642,2.5642,164951
2001-04-12,2.5642,2.5813,2.5642,2.5813,31491
2001-04-13,2.5813,2.7009,2.6155,2.6753,116966
2001-04-16,2.6753,2.7779,2.7095,2.7779,124463
2001-04-17,2.7779,2.8633,2.7779,2.8035,73478
2001-04-18,2.8035,2.9061,2.795,2.8377,197942
2001-04-19,2.8377,2.8633,2.8206,2.8206,121464
2001-04-20,2.8206,2.9574,2.8719,2.9574,77977
2001-04-23,2.9574,2.983,2.983,2.983,2999
2001-04-24,2.983,2.9061,2.889,2.889,5998
2001-04-25,2.983,2.9061,2.889,2.889,5998
2001-04-26,2.889,2.8975,2.8804,2.889,29991
2001-04-27,2.889,2.889,2.889,2.889,5998
2001-04-30,2.889,2.8377,2.8292,2.8377,8997
2001-05-01,2.889,2.8377,2.8292,2.8377,8997
2001-05-02,2.8377,2.9574,2.8377,2.9574,49485
2001-05-03,2.9574,2.9745,2.9232,2.9232,5998
2001-05-04,2.9232,2.9232,2.8206,2.8206,38989
2001-05-07,2.8206,2.9488,2.9061,2.9488,119965
2001-05-08,2.9488,2.9659,2.8548,2.8804,46486
2001-05-09,2.8804,2.8975,2.8633,2.8975,10497
2001-05-10,2.8975,2.8975,2.8463,2.8975,25492
2001-05-11,2.8975,2.889,2.8548,2.8548,29991
2001-05-14,2.8548,2.8377,2.8377,2.8377,2999
2001-05-15,2.8377,2.8463,2.8206,2.8463,10497
2001-05-16,2.8463,2.8633,2.8633,2.8633,8997
2001-05-17,2.8633,2.9061,2.8719,2.8975,8997
2001-05-18,2.8975,2.8975,2.8633,2.8633,7498
2001-05-21,2.8633,2.9061,2.8548,2.9061,17995
2001-05-22,2.9061,2.9061,2.8719,2.9061,10497
2001-05-23,2.9061,2.9061,2.8719,2.9061,10497
2001-05-24,2.9061,2.8633,2.8206,2.8206,64481
2001-05-25,2.9061,2.8633,2.8206,2.8206,64481
2001-05-28,2.8206,2.9317,2.9061,2.9061,2999
2001-05-29,2.9061,2.9061,2.889,2.889,70479
2001-05-30,2.889,2.8975,2.889,2.8975,4499
2001-05-31,2.8975,2.8975,2.8035,2.889,176948
2001-06-01,2.889,2.8719,2.7779,2.7779,35989
2001-06-04,2.7779,2.9061,2.8719,2.9061,113966
2001-06-05,2.7779,2.9061,2.8719,2.9061,113966
2001-06-06,2.9061,2.9146,2.8804,2.8804,67480
2001-06-07,2.8804,2.8633,2.8633,2.8633,8997
2001-06-08,2.8633,2.8206,2.8035,2.8035,22493
2001-06-11,2.8035,2.9232,2.8548,2.9061,49485
2001-06-12,2.9061,2.9061,2.9061,2.9061,16495
2001-06-13,2.9061,2.9232,2.9232,2.9232,11996
2001-06-14,2.9232,2.8975,2.8975,2.8975,2999
2001-06-15,2.8975,2.8633,2.8463,2.8548,16495
2001-06-18,2.8548,3.0428,2.9061,2.983,235431
2001-06-19,2.983,2.9061,2.8633,2.8633,155954
2001-06-20,2.8633,2.8633,2.8377,2.8377,11996
2001-06-21,2.8377,2.8377,2.8292,2.8292,8997
2001-06-22,2.8292,2.8804,2.8292,2.8292,20994
2001-06-25,2.8292,2.8292,2.8292,2.8292,2999
2001-06-26,2.8292,2.8292,2.8292,2.8292,2999
2001-06-27,2.8292,2.8292,2.8292,2.8292,2999
2001-06-28,2.8292,2.8206,2.8206,2.8206,17995
2001-06-29,2.8206,2.8463,2.8206,2.8206,50985
2001-07-02,2.8206,2.8463,2.8206,2.8206,50985
2001-07-03,2.8206,2.8463,2.8206,2.8206,50985
2001-07-04,2.8206,2.8463,2.8206,2.8206,50985
2001-07-05,2.8206,2.8206,2.8206,2.8206,44987
2001-07-06,2.8206,2.8206,2.7864,2.7864,22493
2001-07-09,2.8206,2.8206,2.7864,2.7864,22493
2001-07-10,2.7864,2.9061,2.8633,2.8804,197942
2001-07-11,2.8804,2.8804,2.8719,2.8804,17995
2001-07-12,2.8804,2.9916,2.8633,2.9916,25492
2001-07-13,2.9916,2.8719,2.8633,2.8719,4499
2001-07-16,2.8719,2.8633,2.8633,2.8633,1500
2001-07-17,2.8719,2.8633,2.8633,2.8633,1500
2001-07-18,2.8633,2.8206,2.8206,2.8206,2999
2001-07-19,2.8206,2.8206,2.8206,2.8206,7498
2001-07-20,2.8206,2.8206,2.8206,2.8206,29991
2001-07-23,2.8206,2.8377,2.8377,2.8377,1500
2001-07-24,2.8377,2.8633,2.8633,2.8633,2999
2001-07-25,2.8633,2.9061,2.9061,2.9061,10497
2001-07-26,2.9061,2.8633,2.8633,2.8633,14996
2001-07-27,2.8633,2.9061,2.8719,2.8719,94472
2001-07-30,2.8719,2.8633,2.8633,2.8633,14996
2001-07-31,2.8633,2.9061,2.8719,2.8719,25492
2001-08-01,2.8719,2.8719,2.8719,2.8719,5998
2001-08-02,2.8719,2.9061,2.8804,2.9061,8997
2001-08-03,2.8719,2.9061,2.8804,2.9061,8997
2001-08-06,2.9061,2.9403,2.9403,2.9403,2999
2001-08-07,2.9403,2.9916,2.9061,2.9916,104969
2001-08-08,2.9916,2.9488,2.9146,2.9146,4499
2001-08-09,2.9146,2.983,2.9232,2.9232,4499
2001-08-10,2.9232,2.9146,2.9061,2.9061,76477
2001-08-13,2.9232,2.9146,2.9061,2.9061,76477
2001-08-14,2.9232,2.9146,2.9061,2.9061,76477
2001-08-15,2.9061,3.077,3.0087,3.0087,8997
2001-08-16,3.0087,2.9745,2.9574,2.9745,5998
2001-08-17,2.9745,2.9146,2.8719,2.8719,17995
2001-08-20,2.8719,2.9061,2.8804,2.9061,7498
2001-08-21,2.9061,2.889,2.889,2.889,2999
2001-08-22,2.9061,2.889,2.889,2.889,2999
2001-08-23,2.889,2.8719,2.8719,2.8719,2999
2001-08-24,2.8719,2.9061,2.9061,2.9061,1500
2001-08-27,2.9061,2.8633,2.8206,2.8633,83975
2001-08-28,2.9061,2.8633,2.8206,2.8633,83975
2001-08-29,2.9061,2.8633,2.8206,2.8633,83975
2001-08-30,2.9061,2.8633,2.8206,2.8633,83975
2001-08-31,2.8633,2.8633,2.8633,2.8633,2999
2001-09-03,2.8633,2.8975,2.8633,2.8975,10497
2001-09-04,2.8975,2.8975,2.8206,2.8206,14996
