Date,Open,High,Low,Close,Volume
2010-01-22,7.4479,7.9996,7.4479,7.9996,964077.0
2010-01-25,7.9996,8.5402,7.9996,8.4961,21944008.0
2010-01-26,8.4906,8.4906,8.0547,8.121,8225616.0
2010-01-27,8.142999999999999,8.2092,7.6189,7.7844,7637430.0
2010-01-28,7.7789,7.8561,7.6796,7.7899,6650479.0
2010-01-29,7.7844,7.801,7.6961,7.7458,12137782.0
2010-02-01,7.7568,7.7734,7.4479,7.4589,4857278.0
2010-02-02,7.47,7.5748,7.0727,7.1169,3922925.0
2010-02-03,7.15,7.31,6.9514,7.2493,4685857.0
2010-02-04,7.2051,7.641,7.2051,7.4479,4711117.0
2010-02-05,7.2051,7.641,7.2051,7.4479,4711117.0
2010-02-08,7.47,7.5031,7.3541,7.4037,843367.0
2010-02-09,7.3927,7.3927,7.2658,7.2824,940767.0
2010-02-10,7.3431,7.3431,7.1279,7.1610000000000005,1243616.0
2010-02-11,7.1610000000000005,7.31,7.0893,7.1776,1123634.0
2010-02-12,7.1776,7.2548,7.1224,7.1831,712444.0
2010-02-15,7.1831,7.1996,7.0396,7.0727,1245749.0
2010-02-16,7.1003,7.2217,7.0782,7.1003,940540.0
2010-02-17,7.1334,7.2217,7.0893,7.0893,373476.0
2010-02-18,7.1058,7.4479,7.0948,7.4479,2088131.0
2010-02-19,7.3596,7.5251,7.3375,7.3431,1632223.0
2010-02-22,7.3872,7.4369,7.2824,7.2879,376474.0
2010-02-23,7.31,7.31,7.1831,7.2051,636946.0
2010-02-24,7.2272,7.2658,7.172000000000001,7.1831,478576.0
2010-02-25,7.1831,7.2217,7.0617,7.0893,742690.0
2010-02-26,7.0838,7.1941,7.0838,7.1610000000000005,302486.0
2010-03-01,7.1334,7.2327,7.0341,7.1279,1175104.0
2010-03-02,7.1003,7.172000000000001,7.0396,7.0838,569652.0
2010-03-03,7.0562,7.1389,6.9017,6.9017,2391523.0
2010-03-04,6.9072,7.1665,6.8962,7.1610000000000005,1524965.0
