Date,Open,High,Low,Close,Volume
2001-01-02,2.3146,2.3341,2.308,2.3146,41745
2001-01-03,2.3146,2.4906,2.308,2.3472,45375
2001-01-04,2.3472,2.3276,2.3276,2.3276,1815
2001-01-05,2.3276,2.3732,2.3667,2.3732,25410
2001-01-08,2.3732,2.3863,2.3798,2.3863,5445
2001-01-09,2.3863,2.3602,2.3472,2.3472,9075
2001-01-10,2.3472,2.3341,2.3146,2.3146,5445
2001-01-11,2.3146,2.3146,2.2885,2.2885,16335
2001-01-12,2.2885,2.308,2.3015,2.3015,7260
2001-01-15,2.3015,2.282,2.282,2.282,3630
2001-01-16,2.282,2.3211,2.282,2.3211,21780
2001-01-17,2.3211,2.2885,2.282,2.2885,10890
2001-01-18,2.2885,2.3211,2.295,2.295,12705
2001-01-19,2.2885,2.3211,2.295,2.295,12705
2001-01-22,2.2885,2.3211,2.295,2.295,12705
2001-01-23,2.295,2.3341,2.3341,2.3341,5445
2001-01-24,2.3341,2.3472,2.3146,2.3211,29040
2001-01-25,2.3211,2.3211,2.3146,2.3211,21780
2001-01-26,2.3211,2.3146,2.3015,2.3015,14520
2001-01-29,2.3015,2.3015,2.3015,2.3015,5445
2001-01-30,2.3015,2.3015,2.295,2.3015,10890
2001-01-31,2.3015,2.3406,2.3015,2.3341,21780
2001-02-01,2.3341,2.3146,2.308,2.308,12705
2001-02-02,2.3080000000000003,2.308,2.3015,2.3015,29040
2001-02-05,2.3080000000000003,2.308,2.3015,2.3015,29040
2001-02-06,2.3015,2.3406,2.3341,2.3406,3630
2001-02-07,2.3406,2.3472,2.2754,2.3341,36300
2001-02-08,2.3341,2.3537,2.3211,2.3406,23595
2001-02-09,2.3406,2.3928,2.3406,2.3406,63525
2001-02-12,2.3406,2.4124,2.3928,2.3993,25410
2001-02-13,2.3993,2.3602,2.3602,2.3602,12705
2001-02-14,2.3993,2.3602,2.3602,2.3602,12705
2001-02-15,2.3993,2.3602,2.3602,2.3602,12705
2001-02-16,2.3798,2.4058,2.3537,2.3798,68970
2001-02-19,2.3798,2.445,2.3798,2.4254,156090
2001-02-20,2.4254,2.4515,2.4124,2.4124,43560
2001-02-21,2.4124,2.3993,2.3602,2.3993,25410
2001-02-22,2.3993,2.4254,2.4124,2.4254,7260
2001-02-23,2.4254,2.4058,2.3602,2.3602,14520
2001-02-26,2.3602,2.3667,2.3667,2.3667,1815
2001-02-27,2.3667,2.4124,2.4058,2.4058,3630
2001-02-28,2.4058,2.4124,2.4124,2.4124,14520
2001-03-01,2.4124,2.4189,2.4058,2.4124,12705
2001-03-02,2.4124,2.4189,2.3602,2.4124,107085
2001-03-05,2.4124,2.4189,2.3602,2.4124,107085
2001-03-06,2.4124,2.4189,2.3602,2.4124,107085
2001-03-07,2.4124,2.4189,2.3602,2.4124,107085
2001-03-08,2.4124,2.4189,2.3602,2.4124,107085
2001-03-09,2.4124,2.4189,2.3602,2.4124,107085
2001-03-12,2.4124,2.4124,2.4124,2.4124,107085
2001-03-13,2.4124,2.4124,2.4124,2.4124,107085
2001-03-14,2.4124,2.5117,2.4266,2.4266,9075
2001-03-15,2.4266,2.4478,2.384,2.4337,19965
2001-03-16,2.4266,2.4478,2.384,2.4337,19965
2001-03-19,2.4337,2.4337,2.4337,2.4337,3630
2001-03-20,2.4337,2.4337,2.4337,2.4337,3630
2001-03-21,2.4337,2.4337,2.4337,2.4337,3630
2001-03-22,2.4337,2.3911,2.3414,2.384,21780
2001-03-23,2.4337,2.3911,2.3414,2.384,21780
2001-03-26,2.384,2.3272,2.2988,2.2988,7260
2001-03-27,2.3414,2.4691,2.3414,2.3698,23595
2001-03-28,2.3698,2.4691,2.4124,2.4691,34485
2001-03-29,2.4691,2.533,2.4549,2.4549,30855
2001-03-30,2.4549,2.4975,2.4833,2.4833,3630
2001-04-02,2.4833,2.5046,2.4833,2.4833,14520
2001-04-03,2.4833,2.4549,2.4549,2.4549,1815
