Date,Open,High,Low,Close,Volume
2001-01-02,2.8886,2.8948,2.8446,2.8446,20124
2001-01-03,2.8446,3.1335,2.8383,3.1146,415896
2001-01-04,3.1146,3.2716,3.0644,3.1711,1499910
2001-01-05,3.1711,3.2528,3.1774,3.2151,641285
2001-01-08,3.2151,3.3156,3.2025,3.2339,469560
2001-01-09,3.2339,3.2465,3.1711,3.2277,88546
2001-01-10,3.2277,3.2653,3.1837,3.2528,105986
2001-01-11,3.2528,3.2277,3.1083,3.1083,195874
2001-01-12,3.1083,3.1146,3.0267,3.0267,360891
2001-01-15,3.0267,2.9828,2.8886,2.8886,122086
2001-01-16,2.8886,2.9388,2.8572,2.9137,114036
2001-01-17,2.9137,2.9828,2.8697,2.9514,185141
2001-01-18,2.9514,2.9828,2.8948,2.9702,115378
2001-01-19,2.9702,2.9514,2.876,2.9514,28174
2001-01-22,2.9514,3.0016,2.9514,2.9828,46956
2001-01-23,2.9828,2.9828,2.9262,2.9514,123427
2001-01-24,2.9514,3.0267,2.9325,2.9388,132819
2001-01-25,2.9388,2.9514,2.8886,2.8886,24149
2001-01-26,2.8886,2.8886,2.8132,2.8258,81838
2001-01-29,2.8258,2.8948,2.8258,2.8258,68422
2001-01-30,2.8258,2.8446,2.7693,2.8446,50981
2001-01-31,2.8446,2.8886,2.8383,2.8823,50981
2001-02-01,2.8823,2.8823,2.8258,2.8258,68422
2001-02-02,2.8258,2.8572,2.8258,2.8446,69763
2001-02-05,2.8258,2.8572,2.8258,2.8446,69763
2001-02-06,2.8446,3.0016,2.8446,2.8446,48298
2001-02-07,2.8446,2.876,2.8383,2.8446,32198
2001-02-08,2.8446,2.8886,2.8509,2.8697,88546
2001-02-09,2.8697,2.9011,2.8509,2.9011,107328
2001-02-12,2.9011,2.8948,2.8446,2.876,296494
2001-02-13,2.8760000000000003,2.8697,2.8321,2.8321,10733
2001-02-14,2.8572,2.8572,2.8132,2.8572,18782
2001-02-15,2.8007,2.8572,2.8007,2.8007,40248
2001-02-16,2.719,2.763,2.719,2.719,67080
2001-02-19,2.719,2.7002,2.6688,2.6751,38906
2001-02-20,2.6751,2.6876,2.606,2.606,17441
2001-02-21,2.6060000000000003,2.5306,2.5306,2.5306,8050
2001-02-22,2.5306,2.7002,2.606,2.6248,60372
2001-02-23,2.6248,2.5809,2.4992,2.4992,158309
2001-02-26,2.4992,2.4804,2.2857,2.3548,206607
2001-02-27,2.3548,2.4176,2.3611,2.4176,127452
2001-02-28,2.4176,2.4804,2.3862,2.3862,52322
2001-03-01,2.3862,2.4113,2.3736,2.3925,45614
2001-03-02,2.3925,2.4113,2.3862,2.3988,97937
2001-03-05,2.3925,2.4113,2.3862,2.3988,97937
2001-03-06,2.3925,2.4113,2.3862,2.3988,97937
2001-03-07,2.3925,2.4113,2.3862,2.3988,97937
2001-03-08,2.3925,2.4113,2.3862,2.3988,97937
2001-03-09,2.3988,2.3862,2.3297,2.3736,34882
2001-03-12,2.3736,2.3548,2.2857,2.3234,18782
2001-03-13,2.3234,2.3485,2.2355,2.2355,52322
2001-03-14,2.2355,2.2857,2.2543,2.2606,111353
2001-03-15,2.2606,2.2795,2.2167,2.2167,123427
2001-03-16,2.2167,2.2606,2.2355,2.2355,6708
2001-03-19,2.2355,2.3109,2.2732,2.2795,65738
2001-03-20,2.2795,2.2732,2.2606,2.2732,6708
2001-03-21,2.2732,2.2606,2.1664,2.1978,53664
2001-03-22,2.1978,2.2229,2.1539,2.1601,46956
2001-03-23,2.1978,2.2229,2.1539,2.1601,46956
2001-03-26,2.1601,2.2777,2.1601,2.241,20124
2001-03-27,2.241,2.3071,2.2189,2.3071,34882
2001-03-28,2.3071,2.3218,2.2336,2.2336,21466
2001-03-29,2.2336,2.241,2.2189,2.2336,30857
2001-03-30,2.2336,2.2557,2.2116,2.241,6708
2001-04-02,2.241,2.263,2.2189,2.263,20124
2001-04-03,2.263,2.3291,2.263,2.263,69763
2001-04-04,2.263,2.3291,2.263,2.263,69763
2001-04-05,2.263,2.3291,2.263,2.263,69763
2001-04-06,2.263,2.3512,2.2189,2.2483,33540
2001-04-09,2.2483,2.2704,2.241,2.263,14758
2001-04-10,2.263,2.3218,2.263,2.263,60372
2001-04-11,2.263,2.2924,2.2777,2.2851,14758
2001-04-12,2.2851,2.3585,2.2997,2.3585,52322
2001-04-13,2.3585,2.4173,2.3512,2.4173,42931
2001-04-16,2.4173,2.4981,2.432,2.432,60372
2001-04-17,2.432,2.4614,2.432,2.4393,60372
2001-04-18,2.4393,2.4393,2.41,2.41,22807
2001-04-19,2.41,2.4026,2.3879,2.3953,42931
2001-04-20,2.3953,2.4026,2.3806,2.3806,16099
2001-04-23,2.3806,2.3953,2.3953,2.3953,8050
2001-04-24,2.3953,2.454,2.3953,2.3953,10733
2001-04-25,2.3953,2.4834,2.3953,2.4026,4025
2001-04-26,2.4026,2.4026,2.3953,2.4026,4025
2001-04-27,2.4026,2.3879,2.3732,2.3732,9391
2001-04-30,2.3732,2.41,2.3879,2.41,33540
2001-05-01,2.3732,2.41,2.3879,2.41,33540
2001-05-02,2.41,2.5716,2.4247,2.5643,119402
2001-05-03,2.5643,2.5716,2.4981,2.5055,114036
