Date,Open,High,Low,Close,Volume
2001-01-02,2.2539,2.2745,2.1711,2.1711,12779
2001-01-03,2.1711,2.4565,2.4565,2.4565,1065
2001-01-04,2.4565,2.3572,2.3572,2.3572,1065
2001-01-05,2.3572,2.3159,2.2332,2.2745,35144
2001-01-08,2.2745,2.2539,2.2539,2.2539,1065
2001-01-09,2.2745,2.2539,2.2539,2.2539,1065
2001-01-10,2.2745,2.2539,2.2539,2.2539,1065
2001-01-11,2.2745,2.2539,2.2539,2.2539,1065
2001-01-12,2.2745,2.2539,2.2539,2.2539,1065
2001-01-15,2.2539,2.2332,2.2332,2.2332,1065
2001-01-16,2.2539,2.2332,2.2332,2.2332,1065
2001-01-17,2.2332,2.2332,2.2332,2.2332,1065
2001-01-18,2.2332,2.2332,2.2332,2.2332,1065
2001-01-19,2.2332,2.2332,2.2332,2.2332,1065
2001-01-22,2.2332,2.2332,2.2332,2.2332,1065
2001-01-23,2.2332,2.2332,2.2332,2.2332,1065
2001-01-24,2.2332,2.2332,2.2332,2.2332,1065
2001-01-25,2.2332,2.2332,2.2332,2.2332,1065
2001-01-26,2.2332,2.2332,2.2332,2.2332,1065
2001-01-29,2.2332,2.2332,2.2332,2.2332,1065
2001-01-30,2.2332,2.2332,2.2332,2.2332,1065
2001-01-31,2.2332,2.2332,2.2332,2.2332,1065
2001-02-01,2.2332,2.2332,2.2332,2.2332,1065
2001-02-02,2.2332,2.3159,2.3159,2.3159,2130
2001-02-05,2.2332,2.3159,2.3159,2.3159,2130
2001-02-06,2.3159,2.3159,2.2952,2.3159,5325
2001-02-07,2.3159,2.3159,2.3159,2.3159,3195
2001-02-08,2.3159,2.3159,2.3159,2.3159,3195
2001-02-09,2.3159,2.3159,2.3159,2.3159,9585
2001-02-12,2.3159,2.3159,2.3159,2.3159,9585
2001-02-13,2.3159,2.3572,2.3572,2.3572,1065
2001-02-14,2.3159,2.3572,2.3572,2.3572,1065
2001-02-15,2.3283,2.3283,2.3283,2.3283,2130
2001-02-16,2.3986,2.3986,2.3986,2.3986,1065
2001-02-19,2.3986,2.3986,2.3986,2.3986,1065
2001-02-20,2.3986,2.4482,2.3986,2.4482,5325
2001-02-21,2.4482,2.6467,2.3986,2.6467,9585
2001-02-22,2.6467,2.4813,2.4565,2.4565,3195
2001-02-23,2.4565,2.4441,2.4399,2.4399,2130
2001-02-26,2.4565,2.4441,2.4399,2.4399,2130
2001-02-27,2.4565,2.4441,2.4399,2.4399,2130
2001-02-28,2.4565,2.4441,2.4399,2.4399,2130
2001-03-01,2.4565,2.4441,2.4399,2.4399,2130
2001-03-02,2.4399,2.5227,2.5227,2.5227,1065
2001-03-05,2.4399,2.5227,2.5227,2.5227,1065
2001-03-06,2.4399,2.5227,2.5227,2.5227,1065
2001-03-07,2.4399,2.5227,2.5227,2.5227,1065
2001-03-08,2.4399,2.5227,2.5227,2.5227,1065
2001-03-09,2.4399,2.5227,2.5227,2.5227,1065
2001-03-12,2.4399,2.5227,2.5227,2.5227,1065
2001-03-13,2.4399,2.5227,2.5227,2.5227,1065
2001-03-14,2.5227,2.4399,2.4399,2.4399,2130
2001-03-15,2.4399,2.4234,2.4234,2.4234,1065
2001-03-16,2.4234,2.5227,2.5144,2.5227,5325
2001-03-19,2.5227,2.4813,2.4813,2.4813,1065
2001-03-20,2.5227,2.4813,2.4813,2.4813,1065
2001-03-21,2.4813,2.4234,2.4193,2.4193,4260
2001-03-22,2.4193,2.2828,2.2828,2.2828,1065
2001-03-23,2.4193,2.2828,2.2828,2.2828,1065
2001-03-26,2.4193,2.2828,2.2828,2.2828,1065
2001-03-27,2.4193,2.2828,2.2828,2.2828,1065
2001-03-28,2.4193,2.2828,2.2828,2.2828,1065
2001-03-29,2.2828,2.2663,2.2663,2.2663,2130
2001-03-30,2.2828,2.2663,2.2663,2.2663,2130
2001-04-02,2.2828,2.2663,2.2663,2.2663,2130
2001-04-03,2.2828,2.2663,2.2663,2.2663,2130
2001-04-04,2.2828,2.2663,2.2663,2.2663,2130
2001-04-05,2.2828,2.2663,2.2663,2.2663,2130
2001-04-06,2.2663,2.2332,2.2332,2.2332,1065
2001-04-09,2.2663,2.2332,2.2332,2.2332,1065
2001-04-10,2.2663,2.2332,2.2332,2.2332,1065
2001-04-11,2.2663,2.2332,2.2332,2.2332,1065
2001-04-12,2.2663,2.2332,2.2332,2.2332,1065
2001-04-13,2.2332,2.3159,2.3159,2.3159,1065
2001-04-16,2.2332,2.3159,2.3159,2.3159,1065
2001-04-17,2.2332,2.3159,2.3159,2.3159,1065
2001-04-18,2.2332,2.3159,2.3159,2.3159,1065
2001-04-19,2.2332,2.3159,2.3159,2.3159,1065
2001-04-20,2.3159,2.3572,2.3572,2.3572,1065
2001-04-23,2.3572,2.3986,2.3986,2.3986,1065
2001-04-24,2.3986,2.3986,2.3986,2.3986,3195
2001-04-25,2.3986,2.3986,2.3986,2.3986,3195
2001-04-26,2.3986,2.3986,2.3986,2.3986,3195
2001-04-27,2.3986,2.3986,2.3986,2.3986,1065
2001-04-30,2.3986,2.3986,2.3986,2.3986,1065
2001-05-01,2.3986,2.3986,2.3986,2.3986,1065
2001-05-02,2.3986,2.3986,2.3986,2.3986,1065
2001-05-03,2.3986,2.3986,2.3986,2.3986,1065
2001-05-04,2.3986,2.3986,2.3986,2.3986,1065
2001-05-07,2.3986,2.3986,2.3986,2.3986,1065
2001-05-08,2.3986,2.3986,2.3986,2.3986,1065
2001-05-09,2.3986,2.3986,2.3986,2.3986,1065
2001-05-10,2.3986,2.3986,2.3986,2.3986,1065
2001-05-11,2.3986,2.3986,2.3986,2.3986,1065
2001-05-14,2.3986,2.3986,2.3986,2.3986,1065
2001-05-15,2.3986,2.3572,2.3572,2.3572,1065
2001-05-16,2.3986,2.3572,2.3572,2.3572,1065
2001-05-17,2.3986,2.3572,2.3572,2.3572,1065
2001-05-18,2.3986,2.3572,2.3572,2.3572,1065
2001-05-21,2.3986,2.3572,2.3572,2.3572,1065
2001-05-22,2.3572,2.3572,2.3572,2.3572,9585
2001-05-23,2.3572,2.3572,2.3572,2.3572,4260
2001-05-24,2.3572,2.3572,2.3572,2.3572,4260
2001-05-25,2.3572,2.3572,2.3572,2.3572,2130
2001-05-28,2.3572,2.3572,2.3572,2.3572,2130
2001-05-29,2.3572,2.3572,2.3572,2.3572,2130
2001-05-30,2.3572,2.3572,2.3572,2.3572,2130
2001-05-31,2.3572,2.3572,2.3572,2.3572,2130
2001-06-01,2.3572,2.3572,2.3572,2.3572,2130
2001-06-04,2.3572,2.3572,2.3572,2.3572,2130
2001-06-05,2.3572,2.3572,2.3572,2.3572,2130
2001-06-06,2.3572,2.2373,2.2332,2.2373,2130
2001-06-07,2.3572,2.2373,2.2332,2.2373,2130
2001-06-08,2.3572,2.2373,2.2332,2.2373,2130
2001-06-11,2.2373,2.2787,2.2745,2.2787,9585
2001-06-12,2.2787,2.3159,2.3117,2.3159,21299
2001-06-13,2.3159,2.3159,2.3159,2.3159,1065
2001-06-14,2.3159,2.3242,2.3159,2.3159,28754
2001-06-15,2.3159,2.3821,2.3572,2.3821,9585
2001-06-18,2.3821,2.3655,2.3572,2.3572,2130
2001-06-19,2.3572,2.2952,2.2952,2.2952,1065
2001-06-20,2.2952,2.3986,2.3986,2.3986,4260
2001-06-21,2.2952,2.3986,2.3986,2.3986,4260
2001-06-22,2.3986,2.3945,2.3945,2.3945,4260
2001-06-25,2.3945,2.4027,2.4027,2.4027,4260
2001-06-26,2.4027,2.3986,2.3986,2.3986,4260
2001-06-27,2.3986,2.4399,2.3986,2.4193,23429
2001-06-28,2.3986,2.4399,2.3986,2.4193,23429
2001-06-29,2.3986,2.4399,2.3986,2.4193,23429
2001-07-02,2.3986,2.4399,2.3986,2.4193,23429
2001-07-03,2.3986,2.4399,2.3986,2.4193,23429
2001-07-04,2.3986,2.4399,2.3986,2.4193,23429
2001-07-05,2.4193,2.3779,2.3779,2.3779,2130
2001-07-06,2.4193,2.3779,2.3779,2.3779,2130
2001-07-09,2.4193,2.3779,2.3779,2.3779,2130
2001-07-10,2.4193,2.3779,2.3779,2.3779,2130
2001-07-11,2.4193,2.3779,2.3779,2.3779,2130
2001-07-12,2.4193,2.3779,2.3779,2.3779,2130
2001-07-13,2.4193,2.3779,2.3779,2.3779,2130
2001-07-16,2.4193,2.3779,2.3779,2.3779,2130
2001-07-17,2.4193,2.3779,2.3779,2.3779,2130
2001-07-18,2.3779,2.3572,2.3159,2.3159,2130
2001-07-19,2.3159,2.3572,2.3159,2.3159,6390
2001-07-20,2.3159,2.3572,2.3159,2.3159,6390
2001-07-23,2.3159,2.3572,2.3159,2.3159,6390
2001-07-24,2.3159,2.3572,2.3159,2.3159,6390
2001-07-25,2.3159,2.3572,2.3159,2.3159,6390
2001-07-26,2.3159,2.2332,2.1918,2.1918,12779
2001-07-27,2.3159,2.2332,2.1918,2.1918,12779
2001-07-30,2.1918,2.2332,2.1629,2.2332,4260
2001-07-31,2.1918,2.2332,2.1629,2.2332,4260
2001-08-01,2.1918,2.2332,2.1629,2.2332,4260
2001-08-02,2.1918,2.2332,2.1629,2.2332,4260
2001-08-03,2.1918,2.2332,2.1629,2.2332,4260
2001-08-06,2.1918,2.2332,2.1629,2.2332,4260
2001-08-07,2.1918,2.2332,2.1629,2.2332,4260
2001-08-08,2.1918,2.2332,2.1629,2.2332,4260
2001-08-09,2.1918,2.2332,2.1629,2.2332,4260
2001-08-10,2.2332,2.1918,2.1918,2.1918,1065
2001-08-13,2.2332,2.1918,2.1918,2.1918,1065
2001-08-14,2.2332,2.1918,2.1918,2.1918,1065
2001-08-15,2.2332,2.1918,2.1918,2.1918,1065
2001-08-16,2.2332,2.1918,2.1918,2.1918,1065
2001-08-17,2.1918,2.3159,2.3159,2.3159,4260
2001-08-20,2.1918,2.3159,2.3159,2.3159,4260
2001-08-21,2.1918,2.3159,2.3159,2.3159,4260
2001-08-22,2.3159,2.3159,2.3117,2.3159,8520
2001-08-23,2.3159,2.3159,2.3117,2.3159,8520
2001-08-24,2.3159,2.3159,2.3159,2.3159,1065
2001-08-27,2.3159,2.3159,2.3159,2.3159,1065
2001-08-28,2.3159,2.3159,2.3159,2.3159,1065
2001-08-29,2.3159,2.3159,2.2745,2.3159,7455
2001-08-30,2.3159,2.3159,2.3159,2.3159,34079
2001-08-31,2.3159,2.3159,2.2952,2.3159,3195
2001-09-03,2.3159,2.3159,2.2952,2.3159,3195
2001-09-04,2.3159,2.3159,2.2952,2.3159,3195
2001-09-05,2.3159,2.3159,2.2952,2.3159,3195
2001-09-06,2.3159,2.3159,2.2952,2.3159,3195
2001-09-07,2.3159,2.3159,2.2952,2.3159,3195
