Date,Open,High,Low,Close,Volume
2001-01-02,2.9413,2.9413,2.9413,2.9413,622
2001-01-03,2.9413,2.9413,2.9413,2.9413,622
2001-01-04,2.7955,2.7955,2.7955,2.7955,622
2001-01-05,2.7955,2.7955,2.7955,2.7955,622
2001-01-08,2.7469,2.7712,2.7469,2.7469,13064
2001-01-09,2.7226,2.7226,2.7226,2.7226,6221
2001-01-10,2.7226,2.7226,2.7226,2.7226,6221
2001-01-11,2.7226,2.7226,2.7226,2.7226,6221
2001-01-12,2.5524,2.5524,2.4309,2.5524,12442
2001-01-15,2.5524,2.5524,2.4309,2.5524,12442
2001-01-16,2.5524,2.5524,2.4066,2.5524,3110
2001-01-17,2.5524,2.5524,2.4066,2.5524,3110
2001-01-18,2.5524,2.5524,2.4066,2.5524,3110
2001-01-19,2.5038,2.5281,2.5038,2.5038,36703
2001-01-22,2.5038,2.5038,2.5038,2.5038,12442
2001-01-23,2.5038,2.5038,2.5038,2.5038,622
2001-01-24,2.6496,2.6496,2.6496,2.6496,622
2001-01-25,2.5038,2.5038,2.5038,2.5038,46656
2001-01-26,2.5038,2.5038,2.5038,2.5038,46656
2001-01-29,2.4795,2.5038,2.4795,2.4795,3732
2001-01-30,2.4795,2.5038,2.4795,2.4795,3732
2001-01-31,2.5767,2.6010000000000004,2.5524,2.5767,8087
2001-02-01,2.6679,2.6679,2.6253,2.6679,1244
2001-02-02,2.5585,2.5767,2.5585,2.5585,3732
2001-02-05,2.5585,2.5767,2.5585,2.5585,3732
2001-02-06,2.7712,2.7712,2.6983,2.7712,1866
2001-02-07,2.7712,2.7712,2.6983,2.7712,1866
2001-02-08,2.7712,2.7712,2.6983,2.7712,1866
2001-02-09,2.7712,2.7712,2.6983,2.7712,1866
2001-02-12,2.7712,2.7712,2.6983,2.7712,1866
2001-02-13,2.7712,2.7226,2.7226,2.7226,2488
2001-02-14,2.6752,2.7226,2.6752,2.6752,3110
2001-02-15,2.6752,2.7226,2.6752,2.6752,3110
2001-02-16,2.7712,2.7712,2.7226,2.7712,1244
