Date,Open,High,Low,Close,Volume
2001-01-02,3.1264,3.239,3.1264,3.1264,16212088
2001-01-03,3.1264,3.264,3.1014,3.239,17850684
2001-01-04,3.239,3.2765,3.1764,3.1889,10635165
2001-01-05,3.1889,3.2515,3.1514,3.1889,6735556
2001-01-08,3.1889,3.2515,3.1389,3.1389,8963695
2001-01-09,3.1389,3.1514,3.0639,3.1014,5229918
2001-01-10,3.1014,3.1264,3.0139,3.0764,6769891
2001-01-11,3.0764,3.0639,2.9388,2.9388,4964002
2001-01-12,2.9388,2.9763,2.8138,2.8138,4463584
2001-01-15,2.8138,2.8138,2.7387,2.7763,3475167
2001-01-16,2.7763,2.9013,2.7387,2.8763,7246932
2001-01-17,2.8763,2.8638,2.7637,2.8513,4827392
2001-01-18,2.8513,2.9013,2.7888,2.7888,4067633
2001-01-19,2.7888,2.8263,2.7888,2.8138,2760701
2001-01-22,2.8138,2.8888,2.8263,2.8763,4370806
2001-01-23,2.8763,2.8888,2.8388,2.8638,1416512
2001-01-24,2.8638,2.8763,2.8013,2.8013,1987062
2001-01-25,2.8013,2.8138,2.7512,2.7512,4560015
2001-01-26,2.7512,2.7763,2.7012,2.7387,2590486
2001-01-29,2.7387,2.7637,2.6887,2.7387,1486644
2001-01-30,2.7387,2.7888,2.6887,2.7888,1650284
2001-01-31,2.7888,2.8263,2.7763,2.8138,2262475
2001-02-01,2.8138,2.8513,2.7763,2.8013,3752771
2001-02-02,2.8013,2.8138,2.7637,2.8013,1255063
2001-02-05,2.8013,2.8138,2.7637,2.8013,1255063
2001-02-06,2.8013,2.9388,2.8263,2.8388,7058453
2001-02-07,2.8388,2.8638,2.8263,2.8513,808705
2001-02-08,2.8513,2.8638,2.8388,2.8513,588083
2001-02-09,2.8513,2.8638,2.8138,2.8138,1321542
2001-02-12,2.8138,2.9388,2.8388,2.8763,5759558
2001-02-13,2.8763,2.8888,2.7888,2.7888,3877693
2001-02-14,2.8013,2.8388,2.7888,2.8013,1392404
2001-02-15,2.7262,2.8263,2.6762,2.7262,6184000
2001-02-16,2.7512,2.7512,2.7012,2.7512,1872368
2001-02-19,2.7512,2.7763,2.7387,2.7763,2069613
2001-02-20,2.7763,2.8263,2.7512,2.7512,2683995
2001-02-21,2.7512,2.8513,2.7387,2.8513,4495728
2001-02-22,2.8513,2.9263,2.8513,2.8638,8395337
2001-02-23,2.8638,2.8638,2.7763,2.8013,3348053
2001-02-26,2.8013,2.8388,2.6887,2.7512,7005855
2001-02-27,2.7512,2.7763,2.7387,2.7637,2216451
2001-02-28,2.7637,2.7512,2.7012,2.7262,957004
2001-03-01,2.7262,2.7637,2.7012,2.7012,1255794
2001-03-02,2.7012,2.7387,2.7137,2.7387,1650284
2001-03-05,2.7012,2.7387,2.7137,2.7387,1650284
2001-03-06,2.7012,2.7387,2.7137,2.7387,1650284
2001-03-07,2.7012,2.7387,2.7137,2.7387,1650284
2001-03-08,2.7012,2.7387,2.7137,2.7387,1650284
2001-03-09,2.7387,2.7387,2.6637,2.6637,861304
2001-03-12,2.6637,2.6887,2.5887,2.5887,1322273
2001-03-13,2.5887,2.6012,2.5136,2.6012,2425385
2001-03-14,2.6012,2.6387,2.5762,2.6262,1661973
2001-03-15,2.6262,2.6262,2.5512,2.5637,1525362
2001-03-16,2.5637,2.5887,2.5261,2.5762,877376
2001-03-19,2.5762,2.6387,2.5887,2.6012,1295974
2001-03-20,2.6012,2.6137,2.5762,2.6137,340430
2001-03-21,2.6137,2.6137,2.5512,2.5762,430287
2001-03-22,2.5762,2.5637,2.4886,2.5011,2483097
2001-03-23,2.5762,2.5637,2.4886,2.5011,2483097
2001-03-26,2.5011,2.5386,2.4511,2.5011,1152788
2001-03-27,2.5011,2.5887,2.5011,2.5887,2621169
2001-03-28,2.5887,2.6137,2.5637,2.5762,1038094
2001-03-29,2.5762,2.5762,2.5011,2.5136,1086309
2001-03-30,2.5136,2.5512,2.4886,2.5261,1762056
2001-04-02,2.5261,2.5637,2.5261,2.5637,596119
2001-04-03,2.5637,2.6012,2.5637,2.5762,1031519
2001-04-04,2.5637,2.6012,2.5637,2.5762,1031519
2001-04-05,2.5637,2.6012,2.5637,2.5762,1031519
2001-04-06,2.5762,2.5762,2.5512,2.5637,401065
2001-04-09,2.5637,2.6012,2.5011,2.5261,3275000
2001-04-10,2.5261,2.5762,2.5136,2.5386,1491758
2001-04-11,2.5386,2.5762,2.5261,2.5512,593196
2001-04-12,2.5512,2.6512,2.5512,2.6387,3335634
2001-04-13,2.6387,2.6887,2.6262,2.6887,3217287
2001-04-16,2.6887,2.7763,2.7012,2.7387,3930292
2001-04-17,2.7387,2.8138,2.7137,2.7763,3535802
2001-04-18,2.7763,2.7888,2.7262,2.7387,1413590
2001-04-19,2.7387,2.8138,2.7262,2.7387,2692761
2001-04-20,2.7387,2.7763,2.7387,2.7637,1668548
2001-04-23,2.7637,2.8013,2.7512,2.7763,1109686
