Date,Open,High,Low,Close,Volume
2001-01-26,1.4882,1.4882,1.0418,1.4882,91330
2001-01-29,1.4882,1.4882,1.4882,1.4882,4151
2001-01-30,1.4882,1.4882,1.4882,1.4882,4151
2001-01-31,1.4882,1.4882,1.4882,1.4882,2076
2001-02-01,1.4882,1.4882,1.4882,1.4882,2076
2001-02-02,1.4882,1.4882,1.389,1.4882,4151
2001-02-05,1.4882,1.4882,1.389,1.4882,4151
2001-02-06,1.4882,1.4882,1.389,1.4882,4151
2001-02-07,1.4882,1.4882,1.389,1.4882,4151
2001-02-08,1.4882,1.4882,1.389,1.4882,4151
2001-02-09,1.4882,1.4882,1.389,1.4882,4151
2001-02-12,1.4882,1.4882,1.4882,1.4882,51892
2001-02-13,1.4882,1.4882,1.2948,1.4882,18681
2001-02-14,1.4882,1.4882,1.2948,1.4882,18681
2001-02-15,1.5378,1.5378,1.4882,1.5378,43589
2001-02-16,1.5378,1.5378,1.4882,1.5378,43589
2001-02-19,1.5378,1.5378,1.4882,1.5378,43589
2001-02-20,1.4882,1.4882,1.4882,1.4882,10378
2001-02-21,1.4882,1.4882,1.4882,1.4882,10378
2001-02-22,1.4882,1.4882,1.4882,1.4882,10378
2001-02-23,1.5775,1.5775,1.5775,1.5775,2076
2001-02-26,1.5775,1.5775,1.5775,1.5775,2076
2001-02-27,1.5775,1.5775,1.5775,1.5775,2076
2001-02-28,1.5775,1.5775,1.5775,1.5775,2076
2001-03-01,1.5775,1.5775,1.5775,1.5775,2076
2001-03-02,1.5428,1.5428,1.5279,1.5428,37362
2001-03-05,1.5428,1.5428,1.5279,1.5428,37362
2001-03-06,1.5428,1.5428,1.5279,1.5428,37362
2001-03-07,1.5428,1.5428,1.5279,1.5428,37362
2001-03-08,1.5428,1.5428,1.5279,1.5428,37362
2001-03-09,1.5428,1.5428,1.5279,1.5428,37362
2001-03-12,1.5378,1.5428,1.4882,1.5378,8303
2001-03-13,1.5378,1.5378,1.5378,1.5378,2076
2001-03-14,1.5378,1.5378,1.5378,1.5378,2076
2001-03-15,1.5378,1.5378,1.5378,1.5378,2076
2001-03-16,1.5378,1.5378,1.5378,1.5378,2076
2001-03-19,1.5378,1.5378,1.5378,1.5378,2076
2001-03-20,1.4634,1.4634,1.4634,1.4634,4151
2001-03-21,1.4882,1.5875,1.4882,1.4882,8303
2001-03-22,1.4982,1.4982,1.4982,1.4982,2076
2001-03-23,1.4982,1.4982,1.4982,1.4982,2076
2001-03-26,1.4982,1.4982,1.4982,1.4982,2076
2001-03-27,1.4982,1.4982,1.4982,1.4982,2076
2001-03-28,1.4982,1.4982,1.4982,1.4982,2076
2001-03-29,1.4982,1.4982,1.4982,1.4982,2076
2001-03-30,1.4982,1.4982,1.4982,1.4982,2076
2001-04-02,1.4982,1.4982,1.4982,1.4982,2076
2001-04-03,1.4982,1.4982,1.4982,1.4982,2076
2001-04-04,1.4982,1.4982,1.4982,1.4982,2076
2001-04-05,1.4982,1.4982,1.4982,1.4982,2076
2001-04-06,1.4982,1.4982,1.4982,1.4982,2076
2001-04-09,1.4982,1.4982,1.4982,1.4982,2076
2001-04-10,1.4982,1.4982,1.4982,1.4982,2076
2001-04-11,1.4982,1.4982,1.4982,1.4982,2076
2001-04-12,1.4982,1.4982,1.4982,1.4982,2076
2001-04-13,1.4982,1.4982,1.4982,1.4982,2076
2001-04-16,1.4982,1.4982,1.4982,1.4982,2076
2001-04-17,1.4982,1.4982,1.4982,1.4982,2076
2001-04-18,1.4982,1.4982,1.4982,1.4982,2076
2001-04-19,1.4982,1.4982,1.4982,1.4982,2076
2001-04-20,1.4982,1.4982,1.4982,1.4982,2076
2001-04-23,1.4982,1.4982,1.4982,1.4982,2076
2001-04-24,1.4982,1.4982,1.4982,1.4982,2076
2001-04-25,1.4982,1.4982,1.4982,1.4982,2076
2001-04-26,1.4982,1.4982,1.4386,1.4386,12454
2001-04-27,1.4982,1.4982,1.4386,1.4386,2076
2001-04-30,1.4982,1.4982,1.4386,1.4386,2076
2001-05-01,1.4982,1.4982,1.4386,1.4386,2076
2001-05-02,1.4386,1.4386,1.4386,1.4386,2076
2001-05-03,1.4882,1.4882,1.4882,1.4882,4151
2001-05-04,1.4882,1.4882,1.4882,1.4882,4151
2001-05-07,1.4882,1.4882,1.4882,1.4882,4151
2001-05-08,1.4882,1.4882,1.4882,1.4882,4151
2001-05-09,1.4882,1.4882,1.4882,1.4882,22832
2001-05-10,1.4882,1.4882,1.4882,1.4882,22832
2001-05-11,1.4882,1.4882,1.4882,1.4882,22832
2001-05-14,1.4882,1.4882,1.4882,1.4882,22832
2001-05-15,1.4882,1.4882,1.4882,1.4882,22832
2001-05-16,1.4882,1.4882,1.4882,1.4882,22832
2001-05-17,1.4882,1.4882,1.4783,1.4882,6227
2001-05-18,1.4882,1.4882,1.4783,1.4882,6227
2001-05-21,1.4882,1.4882,1.4783,1.4882,6227
2001-05-22,1.4882,1.4882,1.4783,1.4882,6227
2001-05-23,1.4882,1.4882,1.4783,1.4882,6227
2001-05-24,1.4882,1.4882,1.4882,1.4882,6227
2001-05-25,1.4882,1.4882,1.4882,1.4882,6227
2001-05-28,1.4882,1.4882,1.4882,1.4882,6227
2001-05-29,1.5031,1.5031,1.5031,1.5031,2076
2001-05-30,1.4932,1.4932,1.4932,1.4932,2076
2001-05-31,1.5031,1.5031,1.5031,1.5031,2076
2001-06-01,1.5875,1.5875,1.5875,1.5875,4151
2001-06-04,1.5875,1.5875,1.5875,1.5875,4151
2001-06-05,1.5875,1.5875,1.5875,1.5875,4151
2001-06-06,1.5875,1.5875,1.5875,1.5875,4151
2001-06-07,1.5875,1.5875,1.5875,1.5875,4151
2001-06-08,1.5875,1.5875,1.5875,1.5875,4151
2001-06-11,1.5875,1.5875,1.5875,1.5875,4151
2001-06-12,1.5875,1.5875,1.5875,1.5875,4151
2001-06-13,1.5875,1.5875,1.5875,1.5875,4151
2001-06-14,1.5875,1.5875,1.5875,1.5875,4151
2001-06-15,1.4882,1.4882,1.4882,1.4882,4151
2001-06-18,1.4882,1.4882,1.4882,1.4882,2076
2001-06-19,1.4882,1.4882,1.4882,1.4882,2076
2001-06-20,1.4882,1.4882,1.4882,1.4882,2076
2001-06-21,1.4882,1.4882,1.4882,1.4882,2076
2001-06-22,1.4882,1.4882,1.4882,1.4882,2076
2001-06-25,1.4882,1.4882,1.4882,1.4882,2076
2001-06-26,1.4882,1.4882,1.4882,1.4882,2076
2001-06-27,1.5378,1.5378,1.5378,1.5378,20757
2001-06-28,1.5378,1.5378,1.5378,1.5378,20757
2001-06-29,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-02,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-03,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-04,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-05,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-06,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-09,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-10,1.5378,1.5378,1.5130000000000001,1.5378,12454
2001-07-11,1.5378,1.5478,1.5378,1.5378,12454
2001-07-12,1.4882,1.4882,1.4882,1.4882,4151
2001-07-13,1.4882,1.4882,1.4882,1.4882,4151
2001-07-16,1.4882,1.4882,1.4783,1.4882,4151
2001-07-17,1.4882,1.4882,1.4783,1.4882,4151
2001-07-18,1.4882,1.4882,1.4882,1.4882,4151
2001-07-19,1.4882,1.4882,1.4882,1.4882,4151
