Date,Open,High,Low,Close,Volume
2007-01-09,2.1221,2.1221,2.1221,2.1221,4841.0
2007-01-10,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-11,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-12,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-15,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-16,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-17,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-18,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-19,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-22,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-23,2.2989,2.2989,2.2989,2.2989,9682.0
2007-01-24,2.1221,2.1221,2.1221,2.1221,2420.0
2007-01-25,1.9452,1.9452,1.9452,1.9452,3631.0
2007-01-26,1.9452,1.9452,1.9452,1.9452,3631.0
2007-01-29,1.9452,1.9452,1.9452,1.9452,3631.0
2007-01-30,1.9452,1.9452,1.9452,1.9452,3631.0
2007-01-31,1.9452,1.9452,1.9452,1.9452,3631.0
2007-02-01,1.9452,1.9452,1.9452,1.9452,3631.0
2007-02-02,1.7684,2.1221,1.7684,2.1221,2420.0
2007-02-05,1.7684,2.1221,1.7684,2.1221,2420.0
2007-02-06,2.1221,2.2989,2.1221,2.2989,3631.0
2007-02-07,2.1221,2.2989,2.1221,2.2989,3631.0
2007-02-08,2.1221,2.2989,2.1221,2.2989,3631.0
2007-02-09,2.1221,2.2989,2.1221,2.2989,3631.0
2007-02-12,2.1221,2.2989,2.1221,2.2989,3631.0
2007-02-13,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-14,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-15,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-16,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-19,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-20,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-21,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-22,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-23,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-26,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-27,2.4315,2.4669,2.4315,2.4669,2420.0
2007-02-28,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-01,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-02,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-05,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-06,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-07,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-08,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-09,2.4315,2.4669,2.4315,2.4669,2420.0
2007-03-12,1.9452,1.9452,1.9452,1.9452,1210.0
2007-03-13,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-14,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-15,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-16,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-19,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-20,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-21,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-22,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-23,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-26,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-27,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-28,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-29,1.9452,1.9452,1.9452,1.9452,24204.0
2007-03-30,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-02,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-03,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-04,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-05,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-06,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-09,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-10,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-11,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-12,1.9452,1.9452,1.9452,1.9452,24204.0
2007-04-13,2.1221,2.1221,2.1221,2.1221,1210.0
2007-04-16,2.1221,2.1221,2.1221,2.1221,1210.0
2007-04-17,1.9629,1.9629,1.9629,1.9629,1210.0
2007-04-18,1.9629,1.9629,1.9629,1.9629,1210.0
2007-04-19,2.0337,2.0337,2.0337,2.0337,447770.0
2007-04-20,2.0337,2.0337,2.0337,2.0337,447770.0
2007-04-23,2.0337,2.0337,2.0337,2.0337,447770.0
2007-04-24,2.0337,2.0337,2.0337,2.0337,447770.0
2007-04-25,2.0337,2.0337,2.0337,2.0337,447770.0
2007-04-26,2.0337,2.0337,2.0337,2.0337,447770.0
2007-04-27,2.0337,2.0337,2.0337,2.0337,447770.0
2007-04-30,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-01,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-02,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-03,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-04,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-07,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-08,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-09,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-10,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-11,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-14,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-15,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-16,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-17,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-18,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-21,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-22,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-23,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-24,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-25,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-28,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-29,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-30,2.0337,2.0337,2.0337,2.0337,447770.0
2007-05-31,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-01,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-04,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-05,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-06,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-07,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-08,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-11,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-12,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-13,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-14,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-15,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-18,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-19,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-20,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-21,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-22,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-25,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-26,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-27,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-28,2.0337,2.0337,2.0337,2.0337,447770.0
2007-06-29,2.0337,2.0337,2.0337,2.0337,447770.0
2007-07-02,2.0337,2.0337,2.0337,2.0337,447770.0
2007-07-03,2.0337,2.0337,2.0337,2.0337,447770.0
2007-07-04,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-05,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-06,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-09,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-10,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-11,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-12,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-13,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-16,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-17,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-18,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-19,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-20,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-23,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-24,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-25,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-26,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-27,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-30,1.8568,1.8568,1.8568,1.8568,2420.0
2007-07-31,1.8568,1.8568,1.8568,1.8568,2420.0
2007-08-01,1.8568,1.8568,1.8568,1.8568,2420.0
2007-08-02,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-03,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-06,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-07,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-08,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-09,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-10,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-13,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-14,1.9452,1.9452,1.9452,1.9452,7261.0
2007-08-15,1.9452,1.9452,1.9452,1.9452,7261.0
