Date,Open,High,Low,Close,Volume
2015-06-26,6.4977,6.7845,6.1464,6.5269,12372500.0
2015-06-29,6.5562,6.5562,6.1757,6.4567,2099000.0
2015-06-30,6.5562,6.5562,6.4391,6.445,1207000.0
2015-07-01,6.4625,6.4684,6.4333,6.4391,13148500.0
2015-07-02,6.4508,6.4684,6.4333,6.4391,1994500.0
2015-07-03,6.4625,6.4684,6.322,6.3923,2715000.0
2015-07-06,6.3513,6.3747,6.2811,6.2928,492000.0
2015-07-07,6.2928,6.3513,6.1464,6.1698,649500.0
2015-07-08,6.1581,6.1581,5.8889,6.0235,467500.0
2015-07-09,6.0001,6.1464,6.0001,6.0586,328000.0
2015-07-10,6.0001,6.1581,6.0001,6.122999999999999,534500.0
2015-07-13,6.1055,6.3806,6.1055,6.1523,325000.0
2015-07-14,6.1406,6.2635,6.1172,6.2577,247500.0
2015-07-15,6.3045,6.322,6.1933,6.2811,147500.0
2015-07-16,6.2928,6.5855,6.205,6.4977,1571000.0
2015-07-17,6.2928,6.5855,6.205,6.4977,1571000.0
2015-07-20,6.2928,6.5855,6.205,6.4977,1571000.0
2015-07-21,6.2928,6.5855,6.205,6.4977,1571000.0
2015-07-22,6.4391,6.4918,6.3806,6.4157,606000.0
2015-07-23,6.3103,6.4684,6.3103,6.3629999999999995,437000.0
2015-07-24,6.3396,6.4684,6.2928,6.3162,338500.0
2015-07-27,6.2752,6.3455,6.1523,6.2342,318000.0
2015-07-28,6.1523,6.3279,6.1523,6.205,97000.0
2015-07-29,6.2635,6.2635,6.122999999999999,6.1523,202000.0
2015-07-30,6.2342,6.3162,6.1464,6.1581,153500.0
2015-07-31,6.1581,6.4684,6.1581,6.445,1276000.0
2015-08-03,6.4274,6.4274,6.2342,6.3103,62000.0
2015-08-04,6.2694,6.322,6.1698,6.2167,511000.0
2015-08-05,6.1757,6.2752,6.1757,6.205,366500.0
2015-08-06,6.2342,6.4391,6.2167,6.2928,1283500.0
2015-08-07,6.3162,6.3513,6.2635,6.2986,49500.0
2015-08-10,6.2752,6.3162,6.205,6.2869,73000.0
2015-08-11,6.3103,6.4098,6.205,6.2284,628000.0
2015-08-12,6.2635,6.2811,6.1874,6.2167,182500.0
2015-08-13,6.1874,6.2928,6.1874,6.2459,77000.0
2015-08-14,6.1874,6.2928,6.1874,6.2459,77000.0
2015-08-17,6.2108,6.2928,6.205,6.2459,291500.0
2015-08-18,6.2342,6.3513,6.2342,6.2986,385500.0
2015-08-19,6.322,6.3689,6.2108,6.2577,862500.0
2015-08-20,6.1757,6.2518,6.1464,6.164,279500.0
2015-08-21,6.1523,6.1523,6.0118,6.1172,246500.0
2015-08-24,5.9884,6.1113,5.6196,5.8128,470500.0
2015-08-25,5.8128,6.1055,5.7367,6.0001,285000.0
