Date,Open,High,Low,Close,Volume
2001-01-02,7.0276,7.3459,7.0423,7.0765,37644940
2001-01-03,7.0765,7.4047,7.057,7.3851,28697082
2001-01-04,7.3851,7.4438,7.2235,7.2284,22531991
2001-01-05,7.2284,7.3459,7.199,7.199,10895328
2001-01-08,7.199,7.292000000000001,7.0912,7.0961,10880280
2001-01-09,7.0961,7.1304,6.9688,7.0521,10456278
2001-01-10,7.0521,7.2186,6.9786,7.1941,19771627
2001-01-11,7.1941,7.2382,7.1255,7.15,11749017
2001-01-12,7.15,7.1598,6.8562,6.8562,8424543
2001-01-15,6.8562,6.8953,6.4742,6.4889,20305977
2001-01-16,6.4889,6.7093,6.435,6.6946,29327735
2001-01-17,6.6946,6.8317,6.5183,6.8268,43450231
2001-01-18,6.8268,7.0521,6.8023,6.8562,44768718
2001-01-19,6.8562,7.101,6.7876,7.0765,26273111
2001-01-22,7.0765,7.3459,7.1255,7.2577,37092867
2001-01-23,7.2577,7.3361,7.1108,7.1598,43617090
2001-01-24,7.1598,7.1941,7.0423,7.0912,23695992
2001-01-25,7.0912,7.2284,7.0668,7.1255,27359534
2001-01-26,7.1255,7.199,6.9541,7.0374,23541505
2001-01-29,7.0374,7.1696,6.7876,6.8121,43554559
2001-01-30,6.8121,7.7524,6.6701,7.7524,93573151
2001-01-31,7.7524,7.8895,7.581,7.6152,32894306
2001-02-01,7.6152,8.0805,7.581,7.9238,91642067
2001-02-02,7.9238,8.1295,7.9091,8.0805,39574352
2001-02-05,7.9238,8.1295,7.9091,8.0805,39574352
2001-02-06,8.0805,8.1784,7.9581,7.9874,27408689
2001-02-07,7.9874,8.0413,7.8748,7.9581,12742481
2001-02-08,7.9581,8.0413,7.8503,7.9434,24631272
2001-02-09,7.9434,7.9972,7.9091,7.9091,10899006
2001-02-12,7.9091,8.0266,7.9581,8.0266,571467
2001-02-13,8.0266,8.0266,7.9336,7.9336,869071
2001-02-14,7.9091,7.9727,7.9042,7.9091,417315
2001-02-15,7.9483,7.9874,7.9042,7.9483,537025
2001-02-16,8.149,8.1784,7.9336,8.149,1978233
2001-02-19,8.149,8.2372,8.149,8.1588,1061344
2001-02-20,8.1588,8.2029,8.0217,8.0413,1821405
2001-02-21,8.0413,8.056000000000001,7.8307,7.9238,2713549
2001-02-22,7.9239,8.1181,7.7671,7.7847,13589192
2001-02-23,7.7847,7.7613,7.3694,7.4454,9026410
2001-02-26,7.4454,7.3987,7.077000000000001,7.2466,28288839
2001-02-27,7.2466,7.5624,7.2056,7.5449,32070318
2001-02-28,7.5449,7.5683,7.3811,7.4396,23317524
2001-03-01,7.4396,7.5039,7.2758,7.4221,22750520
2001-03-02,7.4221,7.462999999999999,7.3402,7.346,11832643
2001-03-05,7.4221,7.462999999999999,7.3402,7.346,11832643
2001-03-06,7.4221,7.462999999999999,7.3402,7.346,11832643
2001-03-07,7.4221,7.462999999999999,7.3402,7.346,11832643
2001-03-08,7.4221,7.462999999999999,7.3402,7.346,11832643
2001-03-09,7.346,7.4279,7.2349,7.2583,16068307
2001-03-12,7.2583,7.2407,7.1121,7.1413,16066853
2001-03-13,7.1413,7.1823,7.0068,7.1764,17675109
2001-03-14,7.1764,7.2407,7.1121,7.1238,11813452
2001-03-15,7.1238,7.1647,7.0477,7.077000000000001,8919988
2001-03-16,7.077000000000001,7.1062,6.9542,7.0302,5997737
2001-03-19,7.0302,7.1179,7.0068,7.0185,6115791
2001-03-20,7.0185,7.1121,7.0068,7.0945,6773806
2001-03-21,7.0945,7.1706,7.0653,7.0828,7782200
2001-03-22,7.0828,7.0887,6.8313,6.843,9559685
2001-03-23,7.0828,7.0887,6.8313,6.843,9559685
2001-03-26,6.843,6.8606,6.6968,6.7085,6745892
2001-03-27,6.7085,6.9542,6.6734,6.9308,11040001
2001-03-28,6.9308,6.9834,6.7845,6.8079,13472883
2001-03-29,6.8079,6.8372,6.6851,6.7202,7106739
2001-03-30,6.7202,6.843,6.6208,6.7377,9025829
2001-04-02,6.7377,6.8138,6.6208,6.7787,10790519
2001-04-03,6.7787,6.8313,6.6851,6.7319,5952668
2001-04-04,6.7787,6.8313,6.6851,6.7319,5952668
2001-04-05,6.7787,6.8313,6.6851,6.7319,5952668
2001-04-06,6.7319,6.7436,6.6208,6.6266,4272010
2001-04-09,6.6266,6.6325,6.5038,6.6208,3411037
2001-04-10,6.6208,6.691,6.5974,6.6091,3697447
2001-04-11,6.6091,6.6676,6.5623,6.6032,4216764
2001-04-12,6.6032,6.9015,6.574,6.8957,10092959
2001-04-13,6.8957,6.9717,6.7962,6.8898,13161467
2001-04-16,6.8898,7.0887,6.9249,6.9892,21091379
2001-04-17,6.9892,7.229,6.9658,7.1647,38096261
2001-04-18,7.1647,7.229,7.0945,7.1413,14157359
2001-04-19,7.1413,7.4045,7.1472,7.1706,46207905
2001-04-20,7.1706,7.4513,7.1823,7.2817,27436589
2001-04-23,7.2817,7.5273,7.3811,7.4337,24584414
2001-04-24,7.4337,7.4571,7.2524,7.2875,13652289
2001-04-25,7.2875,7.3519,7.1764,7.2875,15010772
2001-04-26,7.2875,7.3285,7.2232,7.2466,7124185
2001-04-27,7.2466,7.3168,7.1238,7.1706,11893996
2001-04-30,7.1706,7.2173,7.1355,7.2115,6501353
2001-05-01,7.1706,7.2173,7.1355,7.2115,6501353
2001-05-02,7.2115,7.3811,7.2173,7.3694,17052858
2001-05-03,7.3694,7.3987,7.2817,7.3168,7699621
2001-05-04,7.3168,7.3109,7.229,7.2758,4884956
2001-05-07,7.2758,7.3343,7.2583,7.2934,4617447
