Date,Open,High,Low,Close,Volume
2001-01-02,9.4756,9.568,9.1751,9.1982,4021250
2001-01-03,9.1982,9.5449,9.1982,9.5218,3618125
2001-01-04,9.5218,9.8453,9.4293,9.5911,7767500
2001-01-05,9.5911,9.776,9.5911,9.5911,2184375
2001-01-08,9.5911,9.7991,9.4987,9.4987,1775000
2001-01-09,9.4987,9.568,9.36,9.4524,1295000
2001-01-10,9.4524,9.4987,9.3138,9.4293,786875
2001-01-11,9.4293,9.4062,9.0133,9.1289,3790625
2001-01-12,9.1289,9.2444,9.0133,9.1289,1476250
2001-01-15,9.1289,9.0133,8.8284,8.8516,868125
2001-01-16,8.8516,8.9209,8.736,8.8516,685000
2001-01-17,8.8516,9.0364,8.736,8.9671,1975625
2001-01-18,8.9671,9.0596,8.8053,8.8747,680625
2001-01-19,8.8747,9.0133,8.736,8.9209,731250
2001-01-22,8.9209,9.152000000000001,8.8978,9.0596,1641250
2001-01-23,9.0596,9.2213,9.0133,9.1289,1608750
2001-01-24,9.1289,9.1982,8.9671,9.0133,1392500
2001-01-25,9.0133,9.0364,8.8747,8.8978,867500
2001-01-26,8.8978,8.9209,8.8284,8.9209,704375
2001-01-29,8.9209,9.0364,8.8284,8.9209,824375
2001-01-30,8.9209,8.9671,8.7129,8.9671,3038125
2001-01-31,8.9671,9.36,8.943999999999999,9.1982,6868750
2001-02-01,9.1982,9.3369,9.0364,9.0827,3001875
2001-02-02,9.0827,9.3831,9.1289,9.36,3992500
2001-02-05,9.0827,9.3831,9.1289,9.36,3992500
2001-02-06,9.36,9.568,9.3831,9.4524,5293750
2001-02-07,9.4524,9.568,9.3831,9.4062,3360625
2001-02-08,9.4062,9.4756,9.3831,9.4062,1801875
2001-02-09,9.4062,9.5449,9.4293,9.4987,2713750
2001-02-12,9.4987,9.8684,9.5449,9.776,7363750
2001-02-13,9.776,9.8916,9.6604,9.7298,3316875
2001-02-14,9.7067,9.8453,9.6604,9.7067,6796250
2001-02-15,9.5218,9.776,9.4293,9.5218,13967500
2001-02-16,9.5218,9.5911,9.4987,9.5218,2005000
2001-02-19,9.5218,9.5911,9.1751,9.2907,5573750
2001-02-20,9.2907,9.3138,8.9671,8.9902,3576875
2001-02-21,8.9902,9.1982,8.7591,9.1751,6013750
2001-02-22,9.1751,9.2907,9.0827,9.1289,1638125
2001-02-23,9.1289,9.1751,8.943999999999999,9.0364,2151875
2001-02-26,9.0364,9.1289,8.943999999999999,9.1058,1059375
2001-02-27,9.1058,9.2213,9.0364,9.0827,765625
2001-02-28,9.0827,9.1058,8.9671,8.9902,825625
2001-03-01,8.9902,9.0133,8.8053,8.8284,820000
2001-03-02,8.8284,8.9671,8.8053,8.8747,1864375
2001-03-05,8.8284,8.9671,8.8053,8.8747,1864375
2001-03-06,8.8284,8.9671,8.8053,8.8747,1864375
2001-03-07,8.8284,8.9671,8.8053,8.8747,1864375
2001-03-08,8.8284,8.9671,8.8053,8.8747,1864375
2001-03-09,8.8747,8.9671,8.8516,8.8978,31250
2001-03-12,8.8978,8.9209,8.8284,8.8747,33125
2001-03-13,8.8747,8.7822,8.6667,8.7822,230000
2001-03-14,8.7822,8.8284,8.7822,8.8053,70625
2001-03-15,8.8053,8.8053,8.6667,8.7129,201250
2001-03-16,8.7129,10.4,8.7822,8.8284,20625
2001-03-19,8.8284,8.8747,8.7591,8.7822,146250
2001-03-20,8.7822,8.8284,8.736,8.7822,191875
2001-03-21,8.7822,8.8978,8.6436,8.7591,255625
2001-03-22,8.7591,8.6956,8.2044,8.32,460000
2001-03-23,8.7591,8.6956,8.2044,8.32,460000
2001-03-26,8.32,8.2333,7.9156,8.0311,346500
2001-03-27,8.0311,8.2911,8.0311,8.2911,303000
2001-03-28,8.2911,8.2911,8.1467,8.1756,79500
2001-03-29,8.1756,8.1756,7.8867,8.1178,1683500
2001-03-30,8.1178,8.1467,7.9444,8.0889,200500
2001-04-02,8.0889,8.2044,8.0022,8.1756,110000
2001-04-03,8.1756,8.3489,8.1756,8.2044,259500
2001-04-04,8.1756,8.3489,8.1756,8.2044,259500
2001-04-05,8.1756,8.3489,8.1756,8.2044,259500
2001-04-06,8.2044,8.2044,8.1178,8.1756,112000
2001-04-09,8.1756,8.2044,8.06,8.1178,161000
2001-04-10,8.1178,8.32,8.1178,8.1756,243000
2001-04-11,8.1756,8.2622,8.1467,8.2044,416000
2001-04-12,8.2044,8.4356,8.1756,8.4067,3775000
2001-04-13,8.4067,8.4933,8.2911,8.4644,600000
2001-04-16,8.4644,8.8689,8.4933,8.7533,2353000
2001-04-17,8.7533,8.84,8.6956,8.7822,461500
2001-04-18,8.7822,8.84,8.6956,8.6956,457000
2001-04-19,8.6956,8.8111,8.5222,8.58,1430000
2001-04-20,8.58,8.8689,8.5511,8.7244,2203500
2001-04-23,8.7244,8.8689,8.6956,8.7533,660500
2001-04-24,8.7533,8.7533,8.5222,8.58,440000
2001-04-25,8.58,8.6378,8.2622,8.4933,1209000
2001-04-26,8.4933,8.58,8.4644,8.4933,197000
2001-04-27,8.4933,8.5222,8.2044,8.32,939000
