Date,Open,High,Low,Close,Volume
2005-04-18,6.7159,6.7159,6.4106,6.4234,3356000.0
2005-04-19,6.4234,6.5506,6.1054,6.1054,3272500.0
2005-04-20,6.1054,6.3916,5.8192,6.2771,6014500.0
2005-04-21,6.2771,6.4488,6.1181,6.2008,2759500.0
2005-04-22,6.2771,6.4488,6.1181,6.2008,2759500.0
2005-04-25,6.2008,6.3725,6.1245,6.1308,1867000.0
2005-04-26,6.1308,6.2962,6.0418,6.2389,1709000.0
2005-04-27,6.2389,6.2962,6.169,6.2008,943500.0
2005-04-28,6.2008,6.2199,6.1181,6.1499,771500.0
2005-04-29,6.1499,6.1626,6.01,6.0672,692500.0
2005-05-02,6.0672,6.1626,5.9337,5.9782,1182300.0
2005-05-03,5.9782,6.0545,5.8828,6.0418,1355800.0
2005-05-04,6.0418,6.1181,5.9782,6.01,1060400.0
2005-05-05,6.01,6.2326,5.9973,6.2199,2701500.0
2005-05-06,6.2199,6.35,6.1377,6.1993,2361600.0
2005-05-09,6.1993,6.4117,6.0418,6.2747,7201500.0
2005-05-10,6.2747,6.35,6.1719,6.2062,2504800.0
2005-05-11,6.2062,6.261,6.1514,6.1719,2131900.0
2005-05-12,6.1719,6.1993,6.0281,6.0349,1990900.0
2005-05-13,6.0349,6.0760000000000005,5.8774,5.8842,1274900.0
2005-05-16,5.8842,5.8911,5.5965,5.5965,1548800.0
2005-05-17,5.5965,5.5485,5.3567,5.48,3302600.0
2005-05-18,5.48,5.5143,5.2197,5.2403,2314700.0
2005-05-19,5.2403,5.4252,5.1033,5.4115,3837000.0
2005-05-20,5.4115,5.4184,5.2677,5.3088,1359000.0
2005-05-23,5.3088,5.2129,5.0485,5.0485,2338100.0
2005-05-24,5.0485,5.069,4.843,5.0211,2766600.0
2005-05-25,5.0211,5.1855,4.9868,5.0211,2329300.0
2005-05-26,5.0211,5.0964,4.8087,4.8087,2018000.0
2005-05-27,4.8087,4.9868,4.7539,4.8498,2206400.0
2005-05-30,4.8498,5.0416,4.8498,5.0348,2520600.0
2005-05-31,5.0348,5.0279,4.932,4.98,1379900.0
2005-06-01,4.98,5.1649,4.9594,5.0759,2743900.0
2005-06-02,5.0759,5.3293,5.1444,5.3293,4108800.0
2005-06-03,5.3293,5.391,5.0827,5.1786,2233800.0
2005-06-06,5.1786,5.1033,4.9252,5.0553,1867700.0
2005-06-07,5.0553,5.2677,5.1786,5.254,1702000.0
2005-06-08,5.254,5.2608,5.0896,5.0964,1374400.0
2005-06-09,5.0964,5.1786,5.1101,5.117,775800.0
2005-06-10,5.117,5.1375,5.0622,5.1307,818900.0
2005-06-13,5.1307,5.206,5.1101,5.1444,1432500.0
2005-06-14,5.1444,5.1718,5.069,5.069,619600.0
2005-06-15,5.069,5.3088,5.0964,5.2882,5730400.0
2005-06-16,5.2882,5.5006,5.2745,5.3636,13158400.0
2005-06-17,5.3636,5.4252,5.2334,5.2745,4419000.0
2005-06-20,5.2745,5.48,5.3499,5.4595,5668700.0
2005-06-21,5.4595,5.5006,5.3567,5.4389,3853000.0
2005-06-22,5.4389,5.4389,5.2745,5.2745,2093000.0
2005-06-23,5.2745,5.2745,5.1307,5.2334,1739700.0
2005-06-24,5.2334,5.2951,5.1855,5.2745,1354500.0
2005-06-27,5.2745,5.3019,5.1718,5.1786,673900.0
2005-06-28,5.1786,5.254,5.1444,5.206,1210500.0
2005-06-29,5.206,5.2197,5.1786,5.206,784800.0
2005-06-30,5.206,5.206,5.1581,5.1718,406100.0
2005-07-01,5.1718,5.2197,5.1512,5.1923,1221500.0
2005-07-04,5.1923,5.2403,5.1581,5.2129,2753000.0
2005-07-05,5.2129,5.391,5.1718,5.3225,5339500.0
2005-07-06,5.3225,5.4184,5.2882,5.3704,5381000.0
2005-07-07,5.3704,5.4937,5.3499,5.4526,5417000.0
2005-07-08,5.4526,5.5965,5.3978,5.4869,6213000.0
2005-07-11,5.4869,5.6307,5.4869,5.5143,3969000.0
2005-07-12,5.5143,5.5417,5.4115,5.4252,1489000.0
2005-07-13,5.4252,5.5348,5.4252,5.4458,1047000.0
2005-07-14,5.4458,5.5074,5.4321,5.4458,931000.0
2005-07-15,5.4458,5.48,5.4115,5.4595,1045000.0
2005-07-18,5.4595,5.4937,5.4115,5.4321,666000.0
2005-07-19,5.4321,5.4252,5.343,5.3704,1040500.0
2005-07-20,5.3704,5.4321,5.343,5.4252,926000.0
2005-07-21,5.4252,5.4732,5.3773,5.4115,1008500.0
2005-07-22,5.4115,5.4389,5.3636,5.3704,841500.0
2005-07-25,5.3704,5.3978,5.3567,5.3567,408000.0
2005-07-26,5.3567,5.3704,5.3293,5.3293,563500.0
2005-07-27,5.3293,5.3704,5.3019,5.3019,458500.0
2005-07-28,5.3019,5.3567,5.2814,5.2951,488000.0
2005-07-29,5.2951,5.3293,5.2334,5.2677,478000.0
2005-08-01,5.2677,5.3225,5.2745,5.2882,428500.0
2005-08-02,5.2882,5.3156,5.2471,5.2951,519500.0
2005-08-03,5.2951,5.343,5.2882,5.3019,630500.0
2005-08-04,5.3019,5.3088,5.2677,5.2882,482500.0
2005-08-05,5.2882,5.2951,5.2197,5.2814,464500.0
2005-08-08,5.2814,5.3156,5.2197,5.2608,831000.0
2005-08-09,5.2608,5.2471,5.1855,5.1923,804500.0
2005-08-10,5.1923,5.206,5.1375,5.206,669500.0
2005-08-11,5.206,5.1786,5.117,5.1238,675500.0
2005-08-12,5.1238,5.1649,5.0416,5.1444,546000.0
2005-08-15,5.1444,5.2266,5.1512,5.2266,578000.0
2005-08-16,5.2266,5.2197,5.1718,5.1786,248500.0
2005-08-17,5.1786,5.1923,5.1512,5.1512,294500.0
2005-08-18,5.1786,5.1923,5.1512,5.1512,294500.0
2005-08-19,5.1512,5.3293,5.1992,5.2745,1281500.0
2005-08-22,5.2745,5.4937,5.3841,5.4732,1795000.0
2005-08-23,5.4732,5.5211,5.4458,5.4458,1688500.0
2005-08-24,5.4458,5.4663,5.4115,5.4184,518000.0
2005-08-25,5.4184,5.4389,5.4115,5.4321,494000.0
2005-08-26,5.4321,5.4389,5.4115,5.4321,479500.0
2005-08-29,5.4321,5.4458,5.4115,5.4389,425500.0
2005-08-30,5.4389,5.4526,5.4115,5.4321,623500.0
2005-08-31,5.4321,5.5622,5.4389,5.528,2423000.0
2005-09-01,5.528,5.5965,5.5143,5.5896,2334000.0
2005-09-02,5.5896,5.8637,5.5965,5.8637,6018500.0
2005-09-05,5.8637,6.0897,5.939,6.0281,5229500.0
2005-09-06,6.0281,6.0692,5.9048,5.9527,3593000.0
2005-09-07,5.9527,6.2473,6.2473,6.2473,803500.0
2005-09-08,6.2473,6.5418,6.3432,6.4048,6855500.0
2005-09-09,6.4048,6.4596,6.3226,6.3226,2147000.0
2005-09-12,6.3226,6.3706,6.2199,6.2199,1938000.0
2005-09-13,6.2199,6.2678,6.1651,6.1993,1311000.0
2005-09-14,6.1993,6.2267,6.1856,6.1925,776500.0
2005-09-15,6.1925,6.4733,6.212999999999999,6.4391,6232500.0
2005-09-16,6.4391,6.5555,6.4117,6.4802,3333500.0
2005-09-19,6.4802,6.6309,6.4459,6.5761,3785000.0
2005-09-20,6.5761,6.6446,6.5555,6.5624,1920500.0
2005-09-21,6.5624,6.5829,6.5076,6.5213,1687500.0
2005-09-22,6.5213,6.5829,6.5076,6.5761,1717000.0
2005-09-23,6.5829,6.7747,6.5829,6.6994,5440000.0
2005-09-26,6.6994,6.7816,6.7062,6.7268,1084000.0
2005-09-27,6.7268,6.7679,6.6514,6.6651,896500.0
2005-09-28,6.6651,6.6994,6.5761,6.6514,1279500.0
2005-09-29,6.6514,6.7473,6.6446,6.6720000000000015,1679500.0
2005-09-30,6.6720000000000015,6.7473,6.5761,6.6103,1717000.0
2005-10-03,6.6103,6.6481,6.3686,6.3686,1895000.0
2005-10-04,6.3686,6.5725,6.2099,6.5272,3167000.0
2005-10-05,6.5272,6.7916,6.5121,6.7387,4877000.0
2005-10-06,6.7387,6.9503,6.6934,6.7614,5710500.0
2005-10-07,6.7614,6.8747,6.7538,6.8143,2071000.0
2005-10-10,6.8143,6.7992,6.6481,6.7236,980500.0
2005-10-11,6.7236,6.7992,6.6934,6.7538,1158000.0
2005-10-12,6.7538,6.8294,6.7312,6.7765,997500.0
2005-10-13,6.7765,6.7992,6.632999999999999,6.7236,3530000.0
2005-10-14,6.7236,6.769,6.6934,6.7085,876500.0
2005-10-17,6.7085,6.8143,6.632999999999999,6.6481,1236500.0
2005-10-18,6.6481,6.7010000000000005,6.3157,6.5348,1267000.0
2005-10-19,6.5348,6.5876,6.4214,6.5801,1080500.0
2005-10-20,6.5801,6.632999999999999,6.3837,6.497000000000001,1390500.0
2005-10-21,6.497000000000001,6.497000000000001,6.3459,6.3837,775000.0
2005-10-24,6.3837,6.4139,6.2401,6.3383,534500.0
2005-10-25,6.3383,6.3459,6.1948,6.2552,756500.0
2005-10-26,6.2552,6.3006,6.157,6.2175,821500.0
2005-10-27,6.2175,6.2552,6.1948,6.2099,376500.0
2005-10-28,6.2175,6.2552,6.1948,6.2099,376500.0
2005-10-31,6.2099,6.2703,6.1646,6.2099,526000.0
2005-11-01,6.2099,6.2703,6.1646,6.2099,526000.0
2005-11-02,6.2099,6.5197,6.2326,6.4819,965000.0
2005-11-03,6.2099,6.5197,6.2326,6.4819,965000.0
2005-11-04,6.2099,6.5197,6.2326,6.4819,965000.0
2005-11-07,6.4819,6.6481,6.4894,6.6028,914500.0
2005-11-08,6.6028,6.6103,6.5121,6.5725,517000.0
2005-11-09,6.6028,6.6103,6.5121,6.5725,517000.0
2005-11-10,6.5725,6.6028,6.5121,6.5121,510000.0
2005-11-11,6.5121,6.5121,6.4214,6.4592,473500.0
2005-11-14,6.4592,6.5423,6.4592,6.5348,599500.0
2005-11-15,6.5348,6.8369,6.4743,6.6934,2724000.0
2005-11-16,6.6934,6.769,6.6028,6.6179,829000.0
2005-11-17,6.6179,6.6179,6.5197,6.565,875500.0
2005-11-18,6.565,6.6103,6.5272,6.5272,355000.0
2005-11-21,6.5272,6.8445,6.5272,6.7538,4958000.0
2005-11-22,6.7538,6.8521,6.6632,6.769,1708000.0
2005-11-23,6.769,6.7992,6.6556,6.6859,1212500.0
2005-11-24,6.6859,6.7236,6.6179,6.632999999999999,541500.0
2005-11-25,6.632999999999999,6.6481,6.6028,6.6179,750500.0
2005-11-28,6.6179,6.7992,6.6179,6.7992,2164500.0
2005-11-29,6.7992,6.8445,6.6859,6.7387,1645500.0
2005-11-30,6.7387,6.9503,6.6859,6.7387,5125500.0
2005-12-01,6.7387,6.8747,6.7010000000000005,6.7538,2070000.0
2005-12-02,6.7538,7.0862,6.769,7.0636,10058000.0
2005-12-05,7.0636,7.4035,7.0711,7.3129,8669500.0
2005-12-06,7.3129,7.396,7.1618,7.192,2011500.0
2005-12-07,7.192,7.4791,7.0938,7.3204,8266500.0
2005-12-08,7.3204,7.4187,7.2525,7.3204,4213000.0
2005-12-09,7.3204,7.6831,7.3431,7.6831,12297000.0
2005-12-12,7.6831,7.7435,7.3053,7.4791,8166000.0
2005-12-13,7.4791,7.5471,7.3279999999999985,7.3733,1725000.0
2005-12-14,7.3733,7.5395,7.2525,7.4035,3978500.0
2005-12-15,7.4035,7.5471,7.3279999999999985,7.4111,4027500.0
2005-12-16,7.4111,7.5169,7.3279999999999985,7.3582,2575500.0
2005-12-19,7.3582,7.3809,7.124,7.192,2206000.0
2005-12-20,7.192,7.2676,7.1014,7.2525,1211000.0
2005-12-21,7.2525,7.3431,7.2525,7.2525,1228000.0
2005-12-22,7.2525,7.3279999999999985,7.2147,7.2373,907500.0
2005-12-23,7.2373,7.2525,7.1769,7.2222,533500.0
2005-12-26,7.2222,7.2373,7.1014,7.1165,706000.0
2005-12-27,7.1165,7.2827,7.0938,7.2676,2090500.0
2005-12-28,7.2676,7.3582,7.26,7.3053,3631000.0
2005-12-29,7.3053,7.3204,7.26,7.2676,768500.0
2005-12-30,7.2676,7.3431,7.2676,7.3279999999999985,1274000.0
2006-01-02,7.3279999999999985,7.3884,7.2751,7.3129,1344500.0
2006-01-03,7.3129,7.4715,7.3204,7.3658,4084500.0
2006-01-04,7.3658,7.4187,7.3279999999999985,7.3507,1002500.0
2006-01-05,7.3507,7.3733,7.3129,7.3204,668500.0
2006-01-06,7.3204,7.3733,7.2751,7.2827,837500.0
2006-01-09,7.2827,7.3658,7.2751,7.3129,734500.0
2006-01-10,7.2827,7.3658,7.2751,7.3129,734500.0
2006-01-11,7.2827,7.3658,7.2751,7.3129,734500.0
2006-01-12,7.2827,7.3658,7.2751,7.3129,734500.0
2006-01-13,7.2827,7.3658,7.2751,7.3129,734500.0
2006-01-16,7.3129,7.3733,7.2827,7.2827,1288500.0
2006-01-17,7.2902,7.4564,7.2978,7.4035,2422000.0
2006-01-18,7.4035,7.4791,7.2902,7.3129,2173000.0
2006-01-19,7.3129,7.3204,7.2373,7.2525,2511000.0
2006-01-20,7.2525,7.2902,7.1769,7.2373,1284500.0
2006-01-23,7.2373,7.5018,7.2222,7.4564,4674000.0
2006-01-24,7.4564,7.3658,7.2525,7.2827,2101500.0
2006-01-25,7.2827,7.3733,7.1769,7.2978,906500.0
2006-01-26,7.2978,7.3431,7.2525,7.2978,733500.0
2006-01-27,7.2978,7.5018,7.2978,7.4942,3854500.0
2006-01-30,7.4942,7.5924,7.4489,7.4564,4479000.0
2006-01-31,7.4564,7.5093,7.3733,7.396,1414500.0
2006-02-01,7.396,7.4489,7.3431,7.3809,658500.0
2006-02-02,7.3809,7.4187,7.3507,7.3733,846500.0
2006-02-03,7.3733,7.5924,7.4035,7.5924,3229500.0
2006-02-06,7.5924,7.7359,7.6,7.6831,4422000.0
2006-02-07,7.6831,7.8417,7.6453,7.6755,4621000.0
2006-02-08,7.6831,7.8417,7.6453,7.6755,4621000.0
2006-02-09,7.6831,7.8417,7.6453,7.6755,4621000.0
2006-02-10,7.6755,8.0532,7.8039,7.8568,7645500.0
2006-02-13,7.8568,7.9173,7.7133,7.7511,2262500.0
2006-02-14,7.7511,7.7813,7.6,7.6151,2275500.0
2006-02-15,7.6151,7.6906,7.6075,7.667999999999998,1310500.0
2006-02-16,7.667999999999998,7.8719,7.6604,7.7737,4482000.0
2006-02-17,7.7737,7.8568,7.7208,7.7208,1902500.0
2006-02-20,7.7208,7.7813,7.667999999999998,7.7057,1025000.0
2006-02-21,7.7057,7.7662,7.6604,7.7057,1461000.0
2006-02-22,7.7057,7.7813,7.6755,7.7208,934000.0
2006-02-23,7.7208,7.7813,7.6831,7.6906,767500.0
2006-02-24,7.6906,7.8417,7.6906,7.7057,4418000.0
2006-02-27,7.7057,7.8115,7.5244,7.5773,976500.0
2006-02-28,7.5773,7.6906,7.4791,7.6604,1490000.0
2006-03-01,7.6604,7.849,7.4636,7.521,969000.0
2006-03-02,7.5046,7.7506,7.3897,7.6768,4563500.0
2006-03-03,7.6768,7.7834,7.5538,7.6932,476000.0
2006-03-06,7.6932,7.6932,7.48,7.6112,2612500.0
2006-03-07,7.6112,7.6276,7.4472,7.6276,1509000.0
2006-03-08,7.6276,7.6932,7.3979,7.4143,1129000.0
2006-03-09,7.4143,7.5456,7.1437,7.3733,711000.0
2006-03-10,7.3733,7.5538,7.2585,7.3077,1142500.0
2006-03-13,7.3077,7.4143,6.9961,7.1765,779500.0
2006-03-14,7.1765,7.1027,6.8976,7.0945,1142500.0
2006-03-15,7.0945,7.1437,7.0125,7.0699,1063000.0
2006-03-16,7.0699,7.1519,7.0043,7.1273,691000.0
2006-03-17,7.1273,7.2175,7.0699,7.2011,566000.0
2006-03-20,7.2011,7.3241,7.1437,7.2749,611000.0
2006-03-21,7.2749,7.3405,7.1437,7.2831,651000.0
2006-03-22,7.2831,7.3651,7.2339,7.2503,486000.0
2006-03-23,7.2831,7.3651,7.2339,7.2503,486000.0
