Date,Open,High,Low,Close,Volume
2009-08-21,4.1839,7.2968,4.1839,7.1294,1302000.0
2009-08-24,7.1169,7.1169,6.6985,6.6985,454000.0
2009-08-25,6.6985,7.1169,6.2801,6.778,798000.0
2009-08-26,6.7738,6.8826,6.3554,6.3596,456500.0
2009-08-27,6.3721,6.3805,5.9705,5.9872,381000.0
2009-08-28,6.0165,6.2257,5.8993,6.0039,760000.0
2009-08-31,6.0332,6.0667,5.6525,5.7738,842000.0
2009-09-01,5.7404,5.7404,5.4684,5.5019,436000.0
2009-09-02,5.5395,5.8115,5.46,5.6692,288500.0
2009-09-03,5.6483,5.6483,5.481,5.5646,179500.0
2009-09-04,5.5102,5.5646,5.3805,5.4642,206000.0
2009-09-07,5.5061,5.5061,5.0877,5.2299,754000.0
2009-09-08,5.2341,5.2341,4.8157,4.8157,800500.0
2009-09-09,4.8157,5.2299,4.5186,5.0333,1052000.0
2009-09-10,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-11,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-14,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-15,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-16,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-17,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-18,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-21,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-22,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-23,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-24,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-25,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-28,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-29,5.0458,5.2299,4.732,4.9789,1055500.0
2009-09-30,5.0458,5.2299,4.732,4.9789,1055500.0
2009-10-01,5.0458,5.2299,4.732,4.9789,1055500.0
2009-10-02,5.0458,5.2299,4.732,4.9789,1055500.0
2009-10-05,5.0458,5.2299,4.732,4.9789,1055500.0
2009-10-06,5.0458,5.2299,4.732,4.9789,1055500.0
2009-10-07,4.9203,5.3387,4.9203,5.3387,181401.0
2009-10-08,5.3387,5.7571,5.3387,5.7571,142600.0
2009-10-09,5.7571,6.1755,5.7571,6.1755,7479385.0
2009-10-12,6.1755,6.4265,6.1755,6.2257,2565298.0
2009-10-13,6.2257,6.2341,5.8157,6.0123,1630807.0
2009-10-14,6.0123,6.2926,5.8659,6.05,2553880.0
2009-10-15,6.05,6.0667,5.9077,5.9328,953803.0
2009-10-16,5.9328,6.0667,5.8993,5.9621,1272505.0
2009-10-19,5.9621,6.0667,5.5437,5.5479,775170.0
2009-10-20,5.5479,5.6483,5.3345,5.4726,753424.0
2009-10-21,5.4726,5.4726,5.0835,5.1337,902686.0
2009-10-22,5.1337,5.481,5.0207,5.3679999999999986,1172088.0
2009-10-23,5.3679999999999986,5.5856,5.1923,5.4182,768884.0
2009-10-26,5.4182,5.5437,5.3136,5.3345,418760.0
2009-10-27,5.3345,5.3554,5.0207,5.0207,1084307.0
2009-10-28,5.0333,5.0333,4.9412,4.9831,186940.0
2009-10-29,4.9831,5.209,4.937,4.9998,276245.0
2009-10-30,4.9998,5.0207,4.937,4.9663,152281.0
2009-11-02,4.9663,5.0207,4.5479,4.6316,546101.0
2009-11-03,4.6316,4.8073,4.5186,4.7153,293312.0
2009-11-04,4.7153,4.9705,4.6023,4.9287,226646.0
2009-11-05,4.9287,5.3471,4.9287,5.3471,1142454.0
2009-11-06,5.3471,5.7655,5.3471,5.7613,4874999.0
2009-11-09,5.3471,5.7655,5.3471,5.7613,4874999.0
2009-11-10,5.7613,5.8366,5.3429,5.3513,1636554.0
2009-11-11,5.3513,5.3513,5.0249,5.2048,548710.0
2009-11-12,5.2048,5.5228,5.2048,5.4224,1091307.0
2009-11-13,5.4224,5.4307,5.1839,5.3178,404346.0
2009-11-16,5.3178,5.5228,5.3178,5.4266,748929.0
2009-11-17,5.4266,5.4768,5.2508,5.2759,223519.0
2009-11-18,5.2759,5.3387,5.1504,5.1672,232105.0
2009-11-19,5.1672,5.3764,5.1672,5.3387,247075.0
2009-11-20,5.3387,5.4307,5.2508,5.2718,267532.0
2009-11-23,5.2718,5.3303,5.1672,5.209,341259.0
2009-11-24,5.209,5.3052,5.1755,5.2257,191637.0
2009-11-25,5.2257,5.2927,5.1504,5.1881,271650.0
2009-11-26,5.1881,5.2634,5.1672,5.1964,498805.0
2009-11-27,5.1881,5.2634,5.1672,5.1964,498805.0
2009-11-30,5.1881,5.2634,5.1672,5.1964,498805.0
2009-12-01,5.1964,5.1964,4.9203,5.0291,147004.0
2009-12-02,5.0291,5.1128,5.0249,5.0835,158282.0
2009-12-03,5.0835,5.1546,5.0249,5.0918,109780.0
2009-12-04,5.0918,5.1044,4.9789,5.0333,90843.0
2009-12-07,5.0333,5.0626,4.9872,5.0124,71769.0
2009-12-08,5.0124,5.0207,4.9203,4.9245,130424.0
2009-12-09,4.9245,5.0416,4.8952,4.937,95810.0
2009-12-10,4.937,5.1044,4.937,4.9454,233331.0
2009-12-11,4.9454,5.0207,4.9036,4.937,44802.0
2009-12-14,4.937,5.1044,4.937,5.0793,271858.0
2009-12-15,5.0793,5.3764,5.0291,5.1881,735900.0
2009-12-16,5.1881,5.3345,5.1044,5.1588,373277.0
2009-12-17,5.1881,5.3345,5.1086,5.1379,281413.0
2009-12-18,5.1379,5.1421,5.0249,5.0626,103891.0
2009-12-21,5.0626,5.1839,5.0207,5.0249,50525.0
2009-12-22,5.0249,5.1797,5.0249,5.1044,172231.0
2009-12-23,5.1044,5.2927,5.0877,5.1379,137773.0
