Date,Open,High,Low,Close,Volume
2001-01-02,0.9778,0.9931,0.9778,0.9931,133531
2001-01-03,0.9931,0.9839,0.9778,0.9839,37389
2001-01-04,0.9839,0.9931,0.987,0.987,16024
2001-01-05,0.987,0.9778,0.9381,0.9381,37389
2001-01-08,0.987,0.9778,0.9381,0.9381,37389
2001-01-09,0.9381,0.9167,0.9167,0.9167,32047
2001-01-10,0.9167,0.9473,0.9473,0.9473,26706
2001-01-11,0.9473,0.9473,0.9167,0.9473,37389
2001-01-12,0.9473,0.932,0.9167,0.9167,32047
2001-01-15,0.9167,0.8984,0.88,0.8862,3338276
2001-01-16,0.8862,0.9473,0.9106,0.9106,10682
2001-01-17,0.9106,0.88,0.88,0.88,197626
2001-01-18,0.88,0.9014,0.9014,0.9014,5341
2001-01-19,0.88,0.9014,0.9014,0.9014,5341
2001-01-22,0.88,0.9014,0.9014,0.9014,5341
2001-01-23,0.9014,0.9014,0.8892,0.9014,10682
2001-01-24,0.9014,0.9106,0.9106,0.9106,106825
2001-01-25,0.9014,0.9106,0.9106,0.9106,106825
2001-01-26,0.9106,0.8923,0.8923,0.8923,10682
2001-01-29,0.8923,0.8923,0.8862,0.8923,21365
2001-01-30,0.8923,0.8923,0.8862,0.8923,21365
2001-01-31,0.8923,0.9412,0.8953,0.8953,16024
2001-02-01,0.8953,0.9045,0.8862,0.8923,80119
2001-02-02,0.8923,0.9014,0.8923,0.8923,85460
2001-02-05,0.8923,0.9014,0.8923,0.8923,85460
2001-02-06,0.8923,0.9625,0.8984,0.9289,325816
2001-02-07,0.9289,0.932,0.9167,0.9198,85460
2001-02-08,0.9198,0.9381,0.9167,0.9167,90801
2001-02-09,0.9167,0.9167,0.9075,0.9106,42730
2001-02-12,0.9106,0.9473,0.9106,0.9198,405934
2001-02-13,0.9198,0.9137,0.9045,0.9106,64095
2001-02-14,0.9106,0.9106,0.9106,0.9106,5341
2001-02-15,0.8862,0.9137,0.8862,0.8862,154896
2001-02-16,0.9014,0.9045,0.9014,0.9014,53412
2001-02-19,0.9014,0.9137,0.8984,0.9137,138872
2001-02-20,0.9137,0.8923,0.8739,0.8739,186943
2001-02-21,0.8739,0.9167,0.88,0.9167,74777
2001-02-22,0.9167,0.9014,0.8862,0.8862,170920
2001-02-23,0.8862,0.8862,0.8862,0.8862,16024
2001-02-26,0.8862,0.8862,0.8862,0.8862,16024
2001-02-27,0.8862,0.88,0.88,0.88,16024
2001-02-28,0.88,0.8709,0.8556,0.8556,69436
2001-03-01,0.8556,0.877,0.877,0.877,5341
2001-03-02,0.877,0.8862,0.8739,0.8862,21365
2001-03-05,0.877,0.8862,0.8739,0.8862,21365
2001-03-06,0.877,0.8862,0.8739,0.8862,21365
2001-03-07,0.877,0.8862,0.8739,0.8862,21365
2001-03-08,0.877,0.8862,0.8739,0.8862,21365
2001-03-09,0.877,0.8862,0.8739,0.8862,21365
2001-03-12,0.8862,0.8709,0.8709,0.8709,16024
2001-03-13,0.8709,0.8648,0.8617,0.8617,26706
2001-03-14,0.8617,0.88,0.8709,0.88,26706
2001-03-15,0.88,0.8617,0.8617,0.8617,10682
2001-03-16,0.8617,0.8739,0.8617,0.8739,32047
2001-03-19,0.8739,0.8556,0.8556,0.8556,26706
2001-03-20,0.8556,0.8556,0.8495,0.8556,48071
2001-03-21,0.8556,0.8556,0.8556,0.8556,37389
2001-03-22,0.8556,0.8556,0.8098,0.8556,154896
2001-03-23,0.8556,0.8556,0.8098,0.8556,154896
2001-03-26,0.8556,0.8556,0.8098,0.8556,154896
2001-03-27,0.8556,0.8556,0.8098,0.8556,154896
2001-03-28,0.8556,0.8556,0.8098,0.8556,154896
2001-03-29,0.8556,0.8556,0.8373,0.8373,53412
2001-03-30,0.8373,0.8434,0.8281,0.8373,37389
2001-04-02,0.8373,0.8342,0.8342,0.8342,10682
2001-04-03,0.8342,0.8556,0.8464,0.8556,21365
2001-04-04,0.8342,0.8556,0.8464,0.8556,21365
2001-04-05,0.8342,0.8556,0.8464,0.8556,21365
2001-04-06,0.8342,0.8556,0.8464,0.8556,21365
2001-04-09,0.8556,0.8556,0.8403,0.8403,32047
2001-04-10,0.8403,0.8495,0.8403,0.8495,32047
2001-04-11,0.8495,0.8403,0.8403,0.8403,10682
2001-04-12,0.8403,0.8434,0.8311,0.8311,58754
2001-04-13,0.8311,0.8403,0.825,0.8403,245697
2001-04-16,0.8403,0.8525,0.8464,0.8495,53412
2001-04-17,0.8495,0.8556,0.8525,0.8556,64095
2001-04-18,0.8556,0.8678,0.8311,0.8556,96142
2001-04-19,0.8556,0.8556,0.8556,0.8556,42730
2001-04-20,0.8556,0.8464,0.8464,0.8464,5341
2001-04-23,0.8464,0.8556,0.8464,0.8464,26706
2001-04-24,0.8464,0.8495,0.8464,0.8495,90801
2001-04-25,0.8495,0.8586,0.8495,0.8495,37389
2001-04-26,0.8495,0.8525,0.8434,0.8434,106825
2001-04-27,0.8434,0.8525,0.8464,0.8525,64095
2001-04-30,0.8525,0.8434,0.8434,0.8434,10682
2001-05-01,0.8525,0.8434,0.8434,0.8434,10682
2001-05-02,0.8434,0.8617,0.8617,0.8617,21365
2001-05-03,0.8434,0.8617,0.8617,0.8617,21365
2001-05-04,0.8617,0.8648,0.8617,0.8617,16024
2001-05-07,0.8617,0.8556,0.8556,0.8556,10682
2001-05-08,0.8556,0.8464,0.8464,0.8464,21365
2001-05-09,0.8464,0.8464,0.8464,0.8464,10682
2001-05-10,0.8464,0.8495,0.8495,0.8495,16024
2001-05-11,0.8495,0.8556,0.8464,0.8495,48071
2001-05-14,0.8495,0.8586,0.8556,0.8586,32047
2001-05-15,0.8586,0.8556,0.8556,0.8556,5341
2001-05-16,0.8556,0.8709,0.8556,0.8648,37389
2001-05-17,0.8648,0.8862,0.8709,0.8709,90801
2001-05-18,0.8709,0.8709,0.8648,0.8709,96142
2001-05-21,0.8709,0.8739,0.8709,0.8739,42730
2001-05-22,0.8739,0.877,0.8709,0.8739,48071
2001-05-23,0.8739,0.8739,0.8709,0.8709,74777
2001-05-24,0.8709,0.88,0.8739,0.8739,80119
2001-05-25,0.8739,0.8892,0.877,0.8892,154896
2001-05-28,0.8892,0.9014,0.8923,0.9014,16024
2001-05-29,0.9014,0.9167,0.8862,0.9167,64095
2001-05-30,0.9167,0.9167,0.8892,0.9167,80119
2001-05-31,0.9167,0.9137,0.9045,0.9137,85460
2001-06-01,0.9137,0.9167,0.9075,0.9137,48071
2001-06-04,0.9137,1.0084,0.932,0.935,138872
2001-06-05,0.9137,1.0084,0.932,0.935,138872
2001-06-06,0.935,0.9473,0.9289,0.9289,202967
2001-06-07,0.9289,0.9381,0.9198,0.9289,144214
2001-06-08,0.9289,0.9106,0.8862,0.8984,186943
2001-06-11,0.8984,0.9167,0.9167,0.9167,42730
2001-06-12,0.8984,0.9167,0.9167,0.9167,42730
2001-06-13,0.9167,0.9198,0.9167,0.9167,37389
2001-06-14,0.9167,0.9167,0.9167,0.9167,16024
2001-06-15,0.9167,0.9167,0.9167,0.9167,5341
2001-06-18,0.9167,0.9167,0.8984,0.9167,42730
2001-06-19,0.9167,0.9137,0.9137,0.9137,16024
2001-06-20,0.9137,0.9137,0.9106,0.9137,80119
2001-06-21,0.9137,0.9137,0.9106,0.9106,560830
2001-06-22,0.9106,0.8923,0.8892,0.8892,53412
2001-06-25,0.8892,0.8923,0.8923,0.8923,16024
2001-06-26,0.8923,0.9106,0.8923,0.9106,10682
2001-06-27,0.8923,0.9106,0.8923,0.9106,10682
2001-06-28,0.9106,0.9137,0.9106,0.9137,42730
2001-06-29,0.9137,0.8984,0.8739,0.8739,357863
2001-07-02,0.9137,0.8984,0.8739,0.8739,357863
2001-07-03,0.8739,0.9014,0.8984,0.8984,10682
2001-07-04,0.8739,0.9014,0.8984,0.8984,10682
2001-07-05,0.8984,0.8862,0.8709,0.8709,101484
2001-07-06,0.8709,0.8586,0.8434,0.8495,181602
2001-07-09,0.8495,0.8709,0.8556,0.8709,21365
2001-07-10,0.8709,0.88,0.8709,0.8739,96142
2001-07-11,0.8739,0.8586,0.8556,0.8556,16024
2001-07-12,0.8556,0.8709,0.8709,0.8709,5341
2001-07-13,0.8709,0.877,0.877,0.877,5341
2001-07-16,0.877,0.8831,0.8709,0.8831,96142
2001-07-17,0.8831,0.8862,0.88,0.8862,32047
2001-07-18,0.8831,0.8862,0.88,0.8862,32047
2001-07-19,0.8862,0.8862,0.8739,0.8739,58754
2001-07-20,0.8739,0.8739,0.8739,0.8739,16024
2001-07-23,0.8739,0.8862,0.8648,0.8862,96142
2001-07-24,0.8739,0.8862,0.8648,0.8862,96142
2001-07-25,0.8862,0.8739,0.8739,0.8739,5341
2001-07-26,0.8739,0.8556,0.8556,0.8556,5341
