,Date,Open,High,Low,Close,Volume,Predicted Price
3752,2015-05-21,179.4017,182.0677,179.2377,180.6404,766400,184.61787
3753,2015-05-22,181.2802,181.6986,173.0853,174.7506,629400,183.45361
3754,2015-05-25,177.1869,179.5658,175.1361,178.5076,631400,181.01584
3755,2015-05-26,179.2377,185.2997,176.6947,183.1587,1344000,181.3209
3756,2015-05-27,183.0111,186.2103,181.2884,182.1416,922200,183.12697
3757,2015-05-28,181.7068,184.1595,181.6986,183.1013,330500,183.76393
3758,2015-05-29,185.4802,189.6966,185.0619,187.695,1348000,185.04208
3759,2015-06-01,187.8427,188.6712,184.5779,186.7845,432300,187.63394
3760,2015-06-02,187.6786,190.722,187.0306,187.49,652700,188.63785
3761,2015-06-03,187.4408,188.5072,186.2185,186.7189,323700,189.68698
3762,2015-06-04,187.0306,188.5892,186.2185,187.2521,275700,190.08333
3763,2015-06-05,187.8509,191.1321,187.5638,188.1298,672100,190.37
3764,2015-06-08,181.3787,193.388,181.3705,190.0821,938400,190.72377
3765,2015-06-09,190.3118,192.6661,189.3439,189.9017,396100,191.69989
3766,2015-06-10,191.1321,193.1829,190.4595,191.7474,523200,192.27539
3767,2015-06-11,192.7728,196.7677,192.3626,193.9048,651700,193.47008
3768,2015-06-12,194.8235,195.6438,191.1321,193.1009,390000,195.00389
3769,2015-06-15,194.0032,195.6438,192.7728,192.9368,282700,195.6398
3770,2015-06-16,194.3616,194.4455,190.6739,190.7409,205400,196.06946
3771,2015-06-17,189.5843,191.9311,188.5786,189.2239,189600,195.45291
3772,2015-06-18,190.2548,191.0929,186.9023,187.5393,299000,194.35999
3773,2015-06-19,186.5671,187.6566,182.7955,183.5582,158100,192.8906
3774,2015-06-22,183.5498,183.5498,179.3592,180.5325,141100,190.38744
3775,2015-06-23,181.0354,185.0165,178.521,184.3879,384500,187.64342
3776,2015-06-24,184.3879,185.2261,180.784,181.5802,192700,187.36061
3777,2015-06-25,182.7201,183.5498,180.6583,181.6305,173900,185.9539
3778,2015-06-26,181.0354,182.125,179.3675,180.4571,143900,185.32668
3779,2015-06-29,181.0438,182.2926,180.1973,181.203,134600,184.73038
3780,2015-06-30,181.3707,185.0165,181.0354,183.2816,252900,184.58365
3781,2015-07-01,184.3879,192.4423,184.3879,192.4423,286300,185.14896
3782,2015-07-02,196.9682,197.798,188.1595,189.2574,992100,189.06961
3783,2015-07-03,189.4167,197.0436,189.3748,194.4874,1237300,190.39926
3784,2015-07-06,196.7838,200.3123,194.0264,198.5607,792000,193.9173
3785,2015-07-07,199.4742,204.0839,195.7278,196.7587,722500,197.42067
3786,2015-07-08,197.798,203.6649,196.2893,198.3008,733400,198.68205
3787,2015-07-09,198.6361,204.0336,198.6361,200.0944,622700,200.2711
3788,2015-07-10,201.1421,204.4946,199.0971,200.1112,347600,201.76173
3789,2015-07-13,201.1505,201.1505,197.1694,198.1584,205000,202.46106
3790,2015-07-14,198.1584,201.1505,196.876,198.1248,340800,202.17998
3791,2015-07-15,199.4742,199.8933,197.3789,197.689,200600,202.06525
3792,2015-07-16,197.798,203.2458,197.798,202.4747,747400,201.64116
3793,2015-07-17,197.798,203.2458,197.798,202.4747,747400,203.07039
3794,2015-07-20,197.798,203.2458,197.798,202.4747,747400,203.94994
3795,2015-07-21,197.798,203.2458,197.798,202.4747,747400,204.82239
3796,2015-07-22,204.0672,209.9508,204.0672,206.2295,1402700,205.47437
3797,2015-07-23,207.7717,208.065,203.2458,204.0588,721800,207.16637
