,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,276.1956,276.1956,272.7431,273.0452,4100,279.86942
3651,2014-12-31,275.3325,278.7849,259.3994,259.3994,8900,273.76926
3652,2015-01-01,250.3022,268.4276,247.7129,250.5871,24700,274.17072
3653,2015-01-02,263.1108,263.1108,250.3022,259.9777,3800,265.00522
3654,2015-01-05,272.9158,272.9158,254.6178,257.2934,2900,260.47473
3655,2015-01-06,260.6596,265.8382,260.6596,261.7126,1700,261.7504
3656,2015-01-07,258.942,262.3858,258.9334,258.9334,4900,266.77832
3657,2015-01-08,259.4944,258.9765,257.2071,257.2158,13400,258.9865
3658,2015-01-09,258.0702,258.0702,258.0702,258.0702,1400,262.71878
3659,2015-01-12,256.603,259.7878,256.5684,259.7792,700,259.6822
3660,2015-01-13,250.3454,258.0616,250.3454,258.0616,700,259.92258
3661,2015-01-14,257.2934,263.2489,257.2934,262.7483,2300,262.3047
3662,2015-01-15,258.9334,258.942,257.2158,258.942,2500,266.69174
3663,2015-01-16,263.1626,263.2489,258.942,258.942,1400,259.9722
3664,2015-01-19,258.9334,258.9334,258.9334,258.9334,500,263.4497
3665,2015-01-20,255.4809,258.9334,255.4809,258.9334,300,260.62305
3666,2015-01-21,255.4809,267.1329,251.5969,259.0887,7400,260.29904
3667,2015-01-22,259.7965,259.7965,258.9334,258.9334,1200,262.68033
3668,2015-01-23,254.5447,260.25,246.0306,259.8111,1600,266.73065
3669,2015-01-26,247.0839,263.2343,246.8732,250.156,2300,259.37033
3670,2015-01-27,238.7453,246.645,237.6482,237.6482,9400,260.86887
3671,2015-01-28,229.099,248.4005,229.099,243.134,2900,251.97388
3672,2015-01-29,254.3252,254.3252,232.6187,235.9892,5600,246.75185
3673,2015-01-30,232.6187,240.5008,232.6012,236.9899,3500,245.32892
3674,2015-02-02,236.9899,238.7453,235.2783,235.2783,1300,250.0673
3675,2015-02-03,235.2344,241.3786,228.2125,241.2732,10500,236.82185
3676,2015-02-04,236.9899,244.7666,236.9899,244.7666,4600,241.62776
