,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,29.4617,30.3662,29.4617,29.7115,24830005,28.992868
3651,2014-12-31,29.833,30.2379,29.7655,29.8667,9331641,29.050682
3652,2015-01-01,30.1029,31.3584,30.1029,31.3584,16839194,29.154953
3653,2015-01-02,31.7161,32.5665,31.3921,32.0603,14979804,29.663052
3654,2015-01-05,32.1953,32.3303,31.6486,31.8848,14649922,30.28711
3655,2015-01-06,32.0266,32.5868,31.6418,32.0468,10782635,30.735167
3656,2015-01-07,32.1953,32.8635,32.1953,32.4518,15899456,31.042637
3657,2015-01-08,32.7353,32.904,32.1008,32.3303,9301818,31.360432
3658,2015-01-09,32.5328,33.0727,32.0738,32.1413,11895834,31.493778
3659,2015-01-12,32.1616,32.5328,31.8646,32.0468,6083339,31.485023
3660,2015-01-13,32.0603,32.4518,31.6553,32.3573,12435696,31.4444
3661,2015-01-14,32.5125,32.8365,32.3033,32.4113,13169714,31.49065
3662,2015-01-15,32.5665,32.8028,32.2695,32.391,7729706,31.540934
3663,2015-01-16,32.5193,32.904,32.3303,32.5935,11495350,31.57978
3664,2015-01-19,32.6543,32.8568,32.5665,32.7015,6449131,31.66983
3665,2015-01-20,32.8703,34.3349,32.6678,33.9839,32404508,31.779545
3666,2015-01-21,34.2202,34.2877,33.5452,33.6599,12943909,32.211285
3667,2015-01-22,33.6802,33.7477,32.4315,32.6678,6494170,32.490944
3668,2015-01-23,32.6678,32.688,31.7296,32.4248,12250670,32.393963
3669,2015-01-26,34.0312,34.0447,33.579,33.9367,17329756,32.155422
3670,2015-01-27,34.2202,35.0976,33.4912,33.8894,47144509,32.397182
3671,2015-01-28,33.9164,34.1189,33.1402,33.2482,13669406,32.603962
3672,2015-01-29,33.093,34.2202,33.093,33.9974,7479555,32.58136
3673,2015-01-30,34.2202,35.6916,34.2202,35.5093,24194587,32.77467
3674,2015-02-02,36.0425,37.2845,35.9413,37.2845,18163591,33.384907
3675,2015-02-03,37.5274,37.6219,36.461,36.6432,13979811,34.318462
3676,2015-02-04,36.7175,37.0415,36.1843,36.5757,8710830,34.900112
3677,2015-02-05,36.7175,37.0415,36.1843,36.5757,8710830,35.285374
3678,2015-02-06,36.9875,38.3981,36.9537,38.2564,20436854,35.47208
3679,2015-02-09,38.7761,38.9043,37.9324,38.0674,13689491,35.98849
3680,2015-02-10,38.2699,39.1406,37.8312,38.8706,22121565,36.29736
3681,2015-02-11,39.2216,39.613,38.4386,38.7019,18527556,36.778854
3682,2015-02-12,38.7693,39.2486,36.7715,38.3171,18587203,37.091183
3683,2015-02-13,38.6411,38.7693,38.0809,38.3981,6356618,37.194286
3684,2015-02-16,38.4724,38.6074,36.785,37.9054,8716308,37.16863
3685,2015-02-17,37.9324,38.7963,37.1225,37.5882,14279262,37.021263
3686,2015-02-18,37.6084,37.8649,36.9875,37.1832,3901371,36.768574
3687,2015-02-19,37.1225,38.0336,36.8862,37.9189,9823421,36.46665
3688,2015-02-20,38.1214,38.3374,36.488,37.163,14839209,36.46181
3689,2015-02-23,37.19,38.2024,36.8525,37.6894,12035821,36.28573
3690,2015-02-24,37.7029,38.0674,37.4599,37.9527,4789374,36.309452
3691,2015-02-25,37.9999,38.4049,37.6287,37.7367,6687108,36.42876
3692,2015-02-26,37.7974,37.9999,36.9605,37.19,8056544,36.49898
3693,2015-02-27,37.4937,37.4937,35.975,36.1235,13113111,36.3454
3694,2015-03-02,36.3463,36.3463,34.9289,35.1448,5861795,35.942894
3695,2015-03-03,35.2326,35.7591,34.0852,35.3541,12843484,35.288334
3696,2015-03-04,35.5093,35.9075,34.5036,34.6454,14455158,34.81835
3697,2015-03-05,34.6926,35.1988,34.5914,34.9086,4051705,34.334923
3698,2015-03-06,35.0909,35.4351,34.9626,35.2528,2959808,34.07748
3699,2015-03-09,35.3338,35.5566,34.9289,34.9896,1443081,34.0642
3700,2015-03-10,34.7669,34.8276,33.498000000000005,33.6667,4427234,34.058323
3701,2015-03-11,33.498000000000005,34.9289,32.499,34.6859,10498401,33.66264
3702,2015-03-12,34.8304,35.7253,34.4174,34.9268,7848999,33.613186
3703,2015-03-13,35.1195,36.6683,35.1195,36.627,20259741,33.702236
3704,2015-03-16,37.102,37.5219,36.1521,36.4549,14436290,34.25174
3705,2015-03-17,36.393,36.6201,35.0025,36.3448,11752804,34.688606
3706,2015-03-18,36.1383,36.6064,34.5276,34.8442,9296949,35.036495
3707,2015-03-19,35.1058,35.9662,35.1058,35.6977,7389477,34.77609
3708,2015-03-20,35.9593,37.4806,35.7322,37.4806,8583016,34.719585
3709,2015-03-23,35.9593,37.4806,35.7322,37.4806,8583016,35.137596
3710,2015-03-24,38.341,38.3754,35.9318,36.4067,11039480,35.555805
