,Date,Open,High,Low,Close,Volume,Predicted Price
3752,2015-05-21,163.4944,163.7406,160.0472,163.4944,3960,163.95494
3753,2015-05-22,160.1703,162.5095,160.1703,162.3667,1620,164.41162
3754,2015-05-25,162.5095,162.5095,160.7859,160.8499,2970,164.22318
3755,2015-05-26,163.4451,163.4944,161.2833,161.3325,2700,163.98552
3756,2015-05-27,160.5397,161.5246,158.5699,159.2347,20520,163.55933
3757,2015-05-28,152.6604,162.5095,152.6604,159.5597,13680,162.71663
3758,2015-05-29,159.6139,167.5374,159.6139,166.9613,122220,162.10701
3759,2015-06-01,164.5039,169.4038,164.5039,167.1681,35910,163.93942
3760,2015-06-02,166.9416,168.4091,164.4793,164.9816,12240,165.456
3761,2015-06-03,169.3398,169.8914,164.5335,164.8388,55080,165.88177
3762,2015-06-04,166.2029,166.2029,164.4793,164.5187,12330,166.30864
3763,2015-06-05,165.4642,165.4642,161.6969,162.4405,19080,167.1115
3764,2015-06-08,162.5095,164.9717,161.5344,162.4996,68310,166.1107
3765,2015-06-09,164.43,168.9114,161.7954,166.6067,58860,165.24484
3766,2015-06-10,167.9215,172.2601,164.2232,169.5417,288810,166.163
3767,2015-06-11,169.3989,177.9971,164.9717,176.7463,156420,167.64183
3768,2015-06-12,182.2027,185.5809,179.7453,185.5809,181710,170.80667
3769,2015-06-15,190.3331,193.0366,188.6587,189.5599,98910,175.90701
3770,2015-06-16,183.3107,186.1965,181.2227,182.2815,47070,181.56161
3771,2015-06-17,183.68,185.6548,179.7453,180.6318,28530,183.44412
3772,2015-06-18,182.2076,183.1186,179.7601,180.2476,4050,184.3408
3773,2015-06-19,182.2076,183.1186,179.7601,180.2476,4050,184.55206
3774,2015-06-22,177.2831,177.2831,172.3585,175.4364,4230,184.11606
3775,2015-06-23,174.3284,181.2227,173.5897,174.9932,5670,180.91074
3776,2015-06-24,169.8963,174.8208,169.8963,172.0975,19350,179.45447
3777,2015-06-25,172.3585,172.851,167.43400000000003,169.8963,6300,177.42139
3778,2015-06-26,167.9265,169.8963,166.0059,166.9071,10980,175.47342
3779,2015-06-29,165.218,165.218,162.5144,163.2728,11610,172.58286
3780,2015-06-30,166.8431,167.9265,164.4793,167.3011,7200,169.93716
3781,2015-07-01,164.9717,169.4038,164.9717,167.9265,3960,169.2926
3782,2015-07-02,168.4189,168.4189,166.6953,166.8923,3420,168.93065
3783,2015-07-03,167.1878,171.1028,167.1878,169.5713,22680,168.50711
3784,2015-07-06,169.9012,173.3434,168.4189,171.7922,21780,169.10175
3785,2015-07-07,170.6448,174.3234,170.6448,171.0437,9000,170.97504
3786,2015-07-08,170.3937,171.8661,169.9012,170.6103,11700,171.68987
3787,2015-07-09,169.8963,171.3244,168.93599999999995,168.93599999999995,3780,171.92856
