,Date,Open,High,Low,Close,Volume,Predicted Price
3745,2015-05-12,8472.3351,8472.3351,8471.9115,8472.3351,1900,8365.757
3746,2015-05-13,8472.3351,8472.3351,8471.9115,8472.3351,1900,8459.484
3747,2015-05-14,8472.3351,8472.3351,8471.9115,8472.3351,1900,8488.493
3748,2015-05-15,8489.2798,8489.2798,8463.8628,8489.2798,360,8446.207
3749,2015-05-18,8489.2798,8489.2798,8463.8628,8489.2798,360,8450.523
3750,2015-05-19,8455.3905,8463.8628,8463.8628,8463.8628,40,8454.254
3751,2015-05-20,8455.3905,8463.8628,8463.8628,8463.8628,40,8450.537
3752,2015-05-21,8455.3905,8463.8628,8463.8628,8463.8628,40,8446.799
3753,2015-05-22,8455.3905,8463.8628,8463.8628,8463.8628,40,8446.89
3754,2015-05-25,8455.3905,8463.8628,8463.8628,8463.8628,40,8444.1045
3755,2015-05-26,8455.3905,8463.8628,8463.8628,8463.8628,40,8437.762
3756,2015-05-27,8455.3905,8463.8628,8463.8628,8463.8628,40,8437.762
3757,2015-05-28,8455.3905,8463.8628,8463.8628,8463.8628,40,8437.762
3758,2015-05-29,8463.8628,8463.8628,8463.8628,8463.8628,20,8437.762
3759,2015-06-01,8463.8628,8463.8628,8463.8628,8463.8628,20,8437.762
3760,2015-06-02,8463.8628,8463.8628,8463.8628,8463.8628,20,8437.762
3761,2015-06-03,8091.9273,8091.9273,8091.9273,8091.9273,20,8437.762
3762,2015-06-04,8471.4879,8472.3351,8429.9735,8455.3905,3040,8343.004
3763,2015-06-05,8489.2798,8557.0585,8472.3351,8493.516,7440,8265.512
3764,2015-06-08,8472.3351,8472.3351,8472.3351,8472.3351,20,8382.904
3765,2015-06-09,8489.2798,8489.2798,8472.3351,8489.2798,380,8404.321
3766,2015-06-10,8641.7819,8641.7819,8641.7819,8641.7819,20,8357.185
3767,2015-06-11,8472.3351,8493.516,8472.3351,8472.3351,100,8491.199
3768,2015-06-12,8599.4202,8641.7819,8493.516,8493.6095,13540,8491.551
3769,2015-06-15,8472.3351,8472.3351,8472.3351,8472.3351,20,8481.067
3770,2015-06-16,8675.6712,8684.1435,8641.7819,8641.7819,2200,8473.682
3771,2015-06-17,8675.6712,8684.1435,8641.7819,8641.7819,2200,8535.125
3772,2015-06-18,8675.6712,8684.1435,8641.7819,8641.7819,2200,8529.007
3773,2015-06-19,8675.6712,8684.1435,8641.7819,8641.7819,2200,8559.568
3774,2015-06-22,8641.7819,8641.7819,8641.7819,8641.7819,460,8572.824
3775,2015-06-23,8641.7819,8641.7819,8641.7819,8641.7819,460,8615.109
3776,2015-06-24,8641.7819,8641.7819,8641.7819,8641.7819,460,8615.109
3777,2015-06-25,8641.7819,8641.7819,8641.7819,8641.7819,460,8615.109
3778,2015-06-26,8641.7819,8641.7819,8641.7819,8641.7819,460,8615.109
3779,2015-06-29,8264.7629,8472.3269,8264.7629,8472.3269,40,8615.109
3780,2015-06-30,8261.374,8261.374,8261.374,8261.374,20,8571.9375
3781,2015-07-01,8261.374,8261.374,8239.3459,8250.36,40,8480.893
3782,2015-07-02,8261.374,8261.374,8239.3459,8250.36,40,8316.752
3783,2015-07-03,8261.374,8261.374,8239.3459,8250.36,40,8348.736
3784,2015-07-06,8091.9273,8260.5268,8091.9273,8260.5268,60,8281.544
3785,2015-07-07,8463.8628,8463.8628,8463.8628,8463.8628,200,8230.285
3786,2015-07-08,8463.8628,8463.8628,8463.8628,8463.8628,200,8281.577
