,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,892.8860000000001,908.2525,888.4215,908.2525,9680,835.40314
3651,2014-12-31,908.9579,953.6646,892.4395,946.227,17960,856.6636
3652,2015-01-01,907.1721,955.388,907.1721,948.2449,300,878.92206
3653,2015-01-02,952.7004,955.388,937.5303,955.388,350,900.19916
3654,2015-01-05,1000.0323,1000.0323,1000.0323,1000.0323,50,914.8155
3655,2015-01-06,964.3168,982.1746,950.9235,950.9235,250,943.4965
3656,2015-01-07,915.2081,916.3242,915.2081,916.3242,600,954.11334
3657,2015-01-08,893.0645,893.0645,892.8860000000001,892.8860000000001,600,948.3464
3658,2015-01-09,892.8860000000001,897.3504,892.8860000000001,894.0021,1000,942.4073
3659,2015-01-12,892.8860000000001,892.8860000000001,892.8860000000001,892.8860000000001,300,932.0621
3660,2015-01-13,892.8860000000001,892.8860000000001,892.8860000000001,892.8860000000001,100,908.32025
3661,2015-01-14,892.8860000000001,892.8860000000001,892.8860000000001,892.8860000000001,100,894.39575
3662,2015-01-15,892.8860000000001,914.3152,892.8860000000001,892.8860000000001,500,888.7866
3663,2015-01-16,893.7788,893.7788,892.8860000000001,893.3324,200,888.7952
3664,2015-01-19,866.9923,893.3324,866.9923,893.3324,100,888.60114
3665,2015-01-20,892.8860000000001,893.7788,892.8860000000001,892.8860000000001,450,888.6838
3666,2015-01-21,892.8860000000001,893.7788,892.8860000000001,892.8860000000001,19100,888.67804
3667,2015-01-22,892.8860000000001,893.7788,892.8860000000001,892.8860000000001,19100,888.70026
3668,2015-01-23,892.8860000000001,893.7788,892.8860000000001,892.8860000000001,19100,888.7376
3669,2015-01-26,892.8860000000001,893.7788,892.8860000000001,892.8860000000001,19100,888.6329
3670,2015-01-27,892.8860000000001,893.7788,892.8860000000001,892.8860000000001,19100,888.52466
3671,2015-01-28,870.5638,875.0282,849.1345,864.0904,400,888.52466
3672,2015-01-29,870.5638,875.0282,849.1345,864.0904,400,883.58856
3673,2015-01-30,900.0201,907.2882,907.1721,907.2882,400,878.2613
3674,2015-02-02,937.5303,937.5303,892.8860000000001,912.0205,1050,881.0973
3675,2015-02-03,894.6807,957.6202,894.6807,943.5215,1550,883.1825
3676,2015-02-04,915.2081,919.6725,911.6366,911.6366,550,889.29047
3677,2015-02-05,915.2081,919.6725,911.6366,911.6366,550,900.56976
3678,2015-02-06,901.8148,901.8148,901.8148,901.8148,50,911.2137
3679,2015-02-09,915.2081,919.6725,915.2081,915.2081,1850,913.04114
3680,2015-02-10,915.2081,950.8343,911.6366,950.8343,2400,913.6657
3681,2015-02-11,915.2081,950.8343,911.6366,950.8343,2400,912.9406
3682,2015-02-12,933.0658,937.5303,903.297,937.5303,1250,919.35205
3683,2015-02-13,915.2081,937.5303,915.2081,937.5303,500,923.4892
3684,2015-02-16,937.5303,937.5303,937.5303,937.5303,650,932.6614
3685,2015-02-17,910.7437,919.6725,910.7437,910.7437,9850,939.1523
3686,2015-02-18,883.9571,883.9571,875.0282,875.0282,2200,931.4372
3687,2015-02-19,861.6349,857.1705,848.2417,849.1792,250,917.13635
3688,2015-02-20,861.6349,857.1705,848.2417,849.1792,250,901.8513
3689,2015-02-23,861.6349,857.1705,848.2417,849.1792,250,885.1369
3690,2015-02-24,821.4551,821.4551,806.7225,806.7225,200,866.20984
3691,2015-02-25,806.7225,816.9907,806.7225,816.9907,100,844.18884
3692,2015-02-26,848.2417,848.2417,848.2417,848.2417,100,831.79584
3693,2015-02-27,890.6537,890.6537,890.6537,890.6537,700,832.3243
3694,2015-03-02,862.1260000000001,862.1260000000001,848.2417,848.2417,100,837.20624
3695,2015-03-03,808.16,846.4559,808.16,846.4559,100,834.69183
3696,2015-03-04,808.16,846.4559,808.16,846.4559,100,843.0943
3697,2015-03-05,808.16,846.4559,808.16,846.4559,100,853.5823
3698,2015-03-06,804.4992,804.4992,804.1331,804.4099,200,853.71313
3699,2015-03-09,772.3464,764.1943,764.1943,764.1943,100,835.6933
3700,2015-03-10,741.9882,741.0953,741.0953,741.0953,300,820.57416
3701,2015-03-11,741.0953,741.0953,741.0953,741.0953,100,802.51025
3702,2015-03-12,741.1043,742.1757,741.1043,742.1757,100,782.1712
3703,2015-03-13,741.0953,745.5598,705.0674,712.7462,1300,759.1257
3704,2015-03-16,677.1111,679.4862,677.1111,678.1289999999999,650,738.9992
3705,2015-03-17,677.1111,679.4862,677.1111,678.1289999999999,650,722.0944
3706,2015-03-18,677.1111,679.4862,677.1111,678.1289999999999,650,711.2807
3707,2015-03-19,708.505,710.7194,691.9866,691.9866,350,699.32367
3708,2015-03-20,708.505,710.7194,691.9866,691.9866,350,686.58075
3709,2015-03-23,708.505,710.7194,691.9866,691.9866,350,680.4971
3710,2015-03-24,708.505,710.7194,691.9866,691.9866,350,682.69507
3711,2015-03-25,723.2376,723.2376,723.2376,723.2376,50,685.9094
3712,2015-03-26,704.487,723.2376,704.487,723.2376,350,694.6536
3713,2015-03-27,722.3447,759.3995,745.4437,759.3995,3700,700.43616
3714,2015-03-30,758.9531,797.365,758.9531,797.3293,11600,711.5932
3715,2015-03-31,768.7748,836.6341,757.4709,836.6341,3250,732.06195
3716,2015-04-01,848.2417,848.2417,825.9195,831.2768,550,759.1622
3717,2015-04-02,848.2417,848.2417,825.9195,831.2768,550,779.9877
3718,2015-04-03,803.5974,803.5974,803.5795,803.5884,200,802.89386
3719,2015-04-06,803.5974,803.5974,803.5795,803.5884,200,815.71014
