,Date,Open,High,Low,Close,Volume,Predicted Price
1281,2018-11-21,12.6,12.64,12.36,12.41,2516000.0,14.297254
1282,2018-11-22,12.41,12.53,11.9,11.95,4709500.0,11.197026
1283,2018-11-23,11.9,12.59,11.8,12.35,6019000.0,3.9763188
1284,2018-11-26,12.38,12.6,12.05,12.14,2967500.0,13.298897
1285,2018-11-27,12.1,12.34,11.91,12.18,4252500.0,13.959175
1286,2018-11-28,12.2,12.28,12.0,12.04,1850500.0,13.626705
1287,2018-11-29,12.04,12.18,11.99,12.01,2788000.0,14.050977
1288,2018-11-30,12.04,12.1,11.6,11.68,5129500.0,10.82174
1289,2018-12-03,11.5,11.5,10.68,10.69,6631000.0,3.8378003
1290,2018-12-04,10.79,11.25,10.52,11.1,3861000.0,12.585129
1291,2018-12-05,11.22,11.3,10.75,10.97,1914000.0,12.941633
1292,2018-12-06,11.08,11.25,10.76,10.81,1711500.0,12.673638
1293,2018-12-07,10.8,11.28,10.75,11.09,3066500.0,13.418161
1294,2018-12-10,11.35,11.5,11.2,11.25,2159000.0,9.757825
1295,2018-12-11,11.25,11.3,11.0,11.03,1583000.0,3.5060048
1296,2018-12-12,10.91,11.3,10.82,11.04,3231500.0,12.000527
1297,2018-12-13,11.2,11.25,10.9,10.92,1547500.0,12.5619955
1298,2018-12-14,10.92,11.25,10.92,11.09,1452000.0,12.545304
1299,2018-12-17,11.06,11.18,11.0,11.08,527000.0,13.428565
1300,2018-12-18,11.11,11.63,11.11,11.35,3711000.0,9.838891
1301,2018-12-19,11.39,11.4,11.16,11.19,892500.0,3.52774
1302,2018-12-20,11.33,11.4,11.2,11.23,1048500.0,12.103523
1303,2018-12-21,11.33,11.49,11.02,11.18,1427000.0,12.735901
1304,2018-12-24,11.2,11.38,11.1,11.27,1623500.0,12.696029
1305,2018-12-25,11.2,11.38,11.1,11.27,1623500.0,13.537439
1306,2018-12-26,11.2,11.39,11.15,11.28,938500.0,10.020524
1307,2018-12-27,11.25,11.44,11.15,11.25,2797000.0,3.5769968
1308,2018-12-28,11.38,11.38,10.75,10.93,3507500.0,12.210528
1309,2018-12-31,10.81,11.1,10.65,10.83,1963000.0,12.712505
1310,2019-01-01,10.8,11.2,10.8,11.18,564000.0,12.574148
1311,2019-01-02,11.05,11.3,11.0,11.03,1083000.0,13.439032
1312,2019-01-03,11.02,11.18,10.77,10.85,1414500.0,9.838312
1313,2019-01-04,10.8,11.09,10.8,10.93,687500.0,3.4803534
1314,2019-01-07,11.01,11.3,11.01,11.25,1231000.0,11.90105
1315,2019-01-08,11.34,11.65,11.25,11.41,3214500.0,12.547909
1316,2019-01-09,11.55,11.7,11.19,11.23,2192500.0,12.596973
1317,2019-01-10,11.26,11.38,11.18,11.2,891500.0,13.484938
1318,2019-01-11,11.18,11.3,11.1,11.12,838500.0,10.015426
1319,2019-01-14,11.22,11.37,11.21,11.24,987500.0,3.5701349
1320,2019-01-15,11.3,11.3,11.1,11.12,861000.0,12.184373
1321,2019-01-16,11.23,11.59,11.18,11.3,4320500.0,12.708587
1322,2019-01-17,11.23,11.35,11.19,11.23,860500.0,12.675888
1323,2019-01-18,11.29,11.4,11.21,11.23,791000.0,13.517708
1324,2019-01-21,11.21,11.3,11.1,11.14,1047500.0,10.014296
1325,2019-01-22,11.2,11.36,11.12,11.22,1821500.0,3.5615358
1326,2019-01-23,11.3,11.38,11.18,11.2,1508500.0,12.1725645
1327,2019-01-24,11.4,12.2,11.17,12.01,32699000.0,12.736358
1328,2019-01-25,12.0,12.43,11.8,11.95,18644000.0,12.835749
1329,2019-01-28,12.1,12.34,12.06,12.19,4807000.0,13.678549
1330,2019-01-29,12.2,12.27,11.8,11.87,5181500.0,10.548215
1331,2019-01-30,11.9,12.03,11.68,11.74,3511000.0,3.8069792
1332,2019-01-31,11.84,12.74,11.84,12.64,31169000.0,12.910752
1333,2019-02-01,12.64,12.83,12.5,12.58,8696000.0,13.79032
1334,2019-02-04,12.69,12.97,12.65,12.71,10929500.0,13.660366
1335,2019-02-05,12.69,12.97,12.65,12.71,10929500.0,14.137197
1336,2019-02-06,12.73,12.9,12.34,12.41,6100000.0,11.225637
1337,2019-02-07,12.49,12.6,12.28,12.32,3171000.0,4.0598683
1338,2019-02-08,12.48,12.77,12.31,12.61,13414500.0,13.513581
1339,2019-02-11,12.7,12.7,12.13,12.21,5224000.0,14.298816
1340,2019-02-12,12.15,12.43,12.15,12.33,3018500.0,13.857066
1341,2019-02-13,12.4,12.45,12.2,12.25,2521000.0,14.176985
1342,2019-02-14,12.35,12.37,12.18,12.27,1752500.0,11.016919
1343,2019-02-15,12.35,12.38,12.1,12.24,2363000.0,3.9528797
1344,2019-02-18,12.3,12.4,11.9,11.99,2855500.0,13.247691
1345,2019-02-19,12.06,12.29,11.92,12.04,4471000.0,13.914106
1346,2019-02-20,11.8,11.8,11.17,11.27,17825000.0,13.572969
1347,2019-02-21,11.27,11.5,11.2,11.24,2705000.0,13.968011
1348,2019-02-22,11.11,11.26,11.03,11.09,3510000.0,10.407806
1349,2019-02-25,11.14,11.2,10.92,10.99,1569000.0,3.6481404
1350,2019-02-26,10.91,10.91,10.25,10.32,6222000.0,12.223081
1351,2019-02-27,10.16,10.4,9.4,10.24,11397500.0,12.401349
1352,2019-02-28,10.4,10.6,10.1,10.46,5419000.0,12.207958
1353,2019-03-01,10.51,10.9,10.51,10.73,4370000.0,13.14496
1354,2019-03-04,10.85,10.92,10.65,10.77,3214000.0,9.365805
1355,2019-03-05,10.84,10.99,10.7,10.76,4521000.0,3.3314884
1356,2019-03-06,10.8,10.95,10.7,10.72,2784500.0,11.565745
1357,2019-03-07,10.8,10.85,10.51,10.55,1757500.0,12.14546
1358,2019-03-08,10.6,10.6,10.35,10.41,1273000.0,12.20727
1359,2019-03-11,10.68,10.68,10.35,10.4,619000.0,13.18596
1360,2019-03-12,10.37,10.45,10.28,10.34,619000.0,9.377043
1361,2019-03-13,10.36,10.5,10.21,10.26,1286500.0,3.3023152
1362,2019-03-14,10.2,10.35,10.1,10.12,1200500.0,11.297845
1363,2019-03-15,10.15,10.2,9.8,9.84,1948000.0,11.641309
1364,2019-03-18,9.9,10.1,9.49,10.05,4268000.0,11.686065
1365,2019-03-19,10.1,10.14,9.81,9.84,1062000.0,12.838879
1366,2019-03-20,9.78,9.92,9.75,9.85,1113500.0,8.881319
1367,2019-03-21,9.85,9.95,9.65,9.88,1026500.0,3.1208265
1368,2019-03-22,10.04,10.05,9.75,9.78,1050000.0,10.788972
1369,2019-03-25,9.81,9.85,9.6,9.66,968500.0,11.141243
1370,2019-03-26,9.61,10.04,9.57,9.94,2299500.0,11.322524
1371,2019-03-27,10.05,10.24,9.7,10.19,2597000.0,12.633991
1372,2019-03-28,10.17,10.24,9.8,10.12,3171500.0,8.80225
1373,2019-03-29,10.14,10.24,9.89,10.01,4432000.0,3.13791
1374,2019-04-01,9.92,10.01,9.76,9.79,1001500.0,10.91615
1375,2019-04-02,9.8,9.98,9.7,9.73,973500.0,11.297031
1376,2019-04-03,9.8,9.86,9.72,9.76,719500.0,11.456469
1377,2019-04-04,9.84,9.84,9.42,9.53,1312000.0,12.678556
1378,2019-04-05,9.56,9.7,9.4,9.62,1140000.0,8.643969
1379,2019-04-08,9.5,9.52,9.1,9.18,1856500.0,3.0340338
1380,2019-04-09,9.1,9.49,9.0,9.18,1478000.0,10.414702
