,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,13.5872,13.659,13.4856,13.5394,1689000,13.625851
3651,2014-12-31,13.6291,13.8145,13.5753,13.7726,3663500,13.634841
3652,2015-01-01,13.7547,14.0417,13.7547,13.9281,3056500,13.716364
3653,2015-01-02,13.964,14.5919,13.7846,14.4723,12843000,13.778075
3654,2015-01-05,14.3946,15.0345,14.3826,14.7414,11454500,14.005617
3655,2015-01-06,14.8311,14.8311,14.4125,14.58,1522000,14.372642
3656,2015-01-07,14.7055,15.3036,14.7055,15.3036,8735500,14.487055
3657,2015-01-08,15.6146,16.0631,15.1062,15.9674,14253000,14.820521
3658,2015-01-09,16.087,16.2963,15.7043,15.8478,4891500,15.364118
3659,2015-01-12,15.9375,16.1049,15.6205,15.9495,1967000,15.557672
3660,2015-01-13,15.9016,15.9674,15.5966,15.6385,2075000,15.726728
3661,2015-01-14,15.7043,15.9076,15.6983,15.8478,1940500,15.883541
3662,2015-01-15,15.7641,16.1408,15.6684,15.7641,4388500,15.917084
3663,2015-01-16,15.6983,15.788,14.9806,15.0225,9116000,15.872596
3664,2015-01-19,15.1959,15.3335,15.1002,15.172,2802500,15.55482
3665,2015-01-20,15.1301,15.3096,14.9507,15.0225,1596000,15.356345
3666,2015-01-21,15.1421,15.3096,14.9507,14.9567,1353000,15.370935
3667,2015-01-22,14.9926,15.5548,14.861,15.2438,5519000,15.210645
3668,2015-01-23,15.3694,15.3813,15.1421,15.2139,614000,15.184725
3669,2015-01-26,15.3096,15.5787,15.3096,15.3873,1776000,15.224287
3670,2015-01-27,15.489,15.9674,15.3694,15.794,9375000,15.302214
3671,2015-01-28,15.8478,15.8478,15.6086,15.6445,1561000,15.442599
3672,2015-01-29,15.5548,15.8119,15.465,15.7102,1999500,15.588564
3673,2015-01-30,15.6983,15.8478,15.4292,15.5069,3964500,15.733075
3674,2015-02-02,15.5488,15.6923,15.1301,15.1959,3436000,15.692942
3675,2015-02-03,15.2079,15.3694,15.19,15.3215,2170500,15.582011
3676,2015-02-04,15.3694,15.4292,15.2856,15.3275,1316500,15.44008
3677,2015-02-05,15.3694,15.4292,15.2856,15.3275,1316500,15.349565
3678,2015-02-06,15.3275,15.6684,15.3275,15.4531,2780000,15.410841
3679,2015-02-09,15.3993,15.6026,15.19,15.2139,1047500,15.463166
3680,2015-02-10,15.2737,15.6385,15.0285,15.3215,4985500,15.419321
3681,2015-02-11,15.3753,15.4292,15.0703,15.1541,2194000,15.404872
3682,2015-02-12,15.19,15.2438,14.7713,15.0943,2347500,15.314002
3683,2015-02-13,15.0943,15.2318,14.9208,14.9567,1987500,15.197103
3684,2015-02-16,14.9687,15.0703,14.5321,14.7055,1894500,15.205227
3685,2015-02-17,14.7414,14.7474,14.5022,14.58,1681500,15.06907
3686,2015-02-18,14.5919,14.6517,14.4125,14.5321,765000,14.944996
3687,2015-02-19,14.5321,14.7594,14.5022,14.6637,1449500,14.80198
3688,2015-02-20,14.6637,15.0105,14.574000000000002,14.6936,4380500,14.712707
3689,2015-02-23,14.6517,14.8311,14.562,14.5919,867500,14.655042
3690,2015-02-24,14.6218,14.6936,14.3527,14.4843,1609500,14.700217
3691,2015-02-25,14.4484,14.4903,14.3049,14.3766,3082000,14.683217
3692,2015-02-26,14.4125,14.5022,14.2989,14.3587,916500,14.639433
3693,2015-02-27,14.3587,14.4723,13.9042,13.9461,2388000,14.556001
3694,2015-03-02,13.9102,13.9879,13.7248,13.8085,4113000,14.31889
3695,2015-03-03,13.7547,14.0537,13.7547,13.97,1517000,14.090337
3696,2015-03-04,14.0238,14.3228,14.0238,14.1255,1874500,14.121735
3697,2015-03-05,14.2331,14.3049,14.0836,14.1135,605000,14.12035
3698,2015-03-06,14.1135,14.2809,14.0417,14.0716,358500,14.130867
3699,2015-03-09,14.0537,14.0657,13.7547,13.7846,1843000,14.130673
3700,2015-03-10,13.8743,13.9341,13.5753,13.6411,1175500,14.049952
3701,2015-03-11,13.6351,13.8444,13.4616,13.7427,6624500,13.881183
3702,2015-03-12,13.7607,13.8922,13.5514,13.5992,2303000,13.906181
3703,2015-03-13,13.6889,13.9999,13.6949,13.8264,5210000,13.809848
3704,2015-03-16,13.8145,13.9281,13.665,13.7009,1456000,13.836811
3705,2015-03-17,13.7427,13.7607,13.4856,13.5274,3410500,13.800204
3706,2015-03-18,13.5992,13.5992,12.8517,12.9234,5544500,13.734495
3707,2015-03-19,12.8576,13.1866,12.8576,13.1208,1237000,13.437828
3708,2015-03-20,13.1806,13.5155,13.1567,13.4497,1669500,13.41852
3709,2015-03-23,13.1806,13.5155,13.1567,13.4497,1669500,13.389276
