Date,Predicted Price
2016-03-31,271.38437
2016-04-01,270.80835
2016-04-04,271.9173
2016-04-05,272.44193
2016-04-06,271.8859
2016-04-07,271.61035
2016-04-08,270.69534
2016-04-11,271.0024
2016-04-12,271.78784
2016-04-13,271.49637
2016-04-14,272.1601
2016-04-15,274.3604
2016-04-18,273.37555
2016-04-19,274.44135
2016-04-20,275.22217
2016-04-21,276.47284
2016-04-22,276.73865
2016-04-25,279.76828
2016-04-26,281.39346
2016-04-27,280.66974
2016-04-28,282.22583
2016-04-29,284.05975
2016-05-02,282.09146
2016-05-03,281.17072
2016-05-04,280.13074
2016-05-05,278.1396
2016-05-06,277.83694
2016-05-09,277.91873
2016-05-10,277.1486
2016-05-11,277.6321
2016-05-12,277.15482
2016-05-13,276.95996
2016-05-16,275.9057
2016-05-17,277.12482
2016-05-18,274.55023
2016-05-19,275.44928
2016-05-20,276.42172
2016-05-23,277.1198
2016-05-24,277.1711
2016-05-25,278.53848
2016-05-26,275.99673
2016-05-27,274.4368
2016-05-30,274.0465
2016-05-31,272.84485
2016-06-01,269.55765
2016-06-02,269.42923
2016-06-03,271.7608
2016-06-06,271.38724
2016-06-07,271.88055
2016-06-08,272.53787
2016-06-09,272.7859
2016-06-10,273.43607
2016-06-13,270.8871
2016-06-14,268.3646
2016-06-15,269.82297
2016-06-16,269.81143
2016-06-17,269.8234
2016-06-20,269.92148
2016-06-21,270.8734
2016-06-22,272.17126
2016-06-23,271.98395
2016-06-24,270.72824
2016-06-27,269.89532
2016-06-28,269.0759
2016-06-29,266.0007
2016-06-30,267.56494
2016-07-01,269.65448
2016-07-04,274.48212
2016-07-05,272.98785
2016-07-06,275.0548
2016-07-07,276.38232
2016-07-08,276.50732
2016-07-11,275.98868
2016-07-12,276.2377
2016-07-13,278.62543
2016-07-14,281.74652
2016-07-15,283.61115
2016-07-18,284.87677
2016-07-19,287.15192
2016-07-20,289.33835
2016-07-21,290.446
2016-07-22,293.52173
2016-07-25,294.82736
2016-07-26,295.93274
2016-07-27,295.87323
2016-07-28,297.4829
2016-07-29,297.07532
2016-08-01,299.38373
2016-08-02,300.83368
2016-08-03,303.37683
2016-08-04,303.45374
2016-08-05,302.12347
2016-08-08,301.20837
2016-08-09,299.3343
2016-08-10,299.29355
2016-08-11,298.51065
2016-08-12,300.44208
2016-08-15,304.26614
2016-08-16,312.92117
2016-08-17,317.6544
2016-08-18,320.96124
2016-08-19,323.60266
2016-08-22,326.27927
2016-08-23,324.35437
2016-08-24,323.66644
2016-08-25,323.12927
2016-08-26,323.8593
2016-08-29,323.69464
2016-08-30,324.86737
2016-08-31,325.74017
2016-09-01,327.0405
2016-09-02,327.06076
2016-09-05,327.49158
2016-09-06,327.51575
2016-09-07,328.47513
2016-09-08,327.9043
2016-09-09,328.64355
2016-09-12,331.09854
2016-09-13,332.4223
2016-09-14,332.52585
2016-09-15,333.8179
2016-09-16,334.13342
2016-09-19,334.21896
2016-09-20,337.31024
2016-09-21,340.08502
2016-09-22,339.4092
2016-09-23,339.96082
2016-09-26,341.56696
2016-09-27,343.04236
2016-09-28,340.26312
2016-09-29,342.05792
2016-09-30,342.70554
2016-10-03,343.83456
2016-10-04,344.42743
2016-10-05,345.5168
2016-10-06,347.1673
2016-10-07,346.77643
2016-10-10,348.58856
2016-10-11,350.5015
2016-10-12,351.4183
2016-10-13,351.882
2016-10-14,354.0777
2016-10-17,354.6374
2016-10-18,354.01904
2016-10-19,354.91605
2016-10-20,360.5705
2016-10-21,368.7317
2016-10-24,374.70667
2016-10-25,380.2749
2016-10-26,388.03815
2016-10-27,394.21573
2016-10-28,393.75082
2016-10-31,391.4723
2016-11-01,389.8594
2016-11-02,392.21335
2016-11-03,395.5515
2016-11-04,395.37808
2016-11-07,398.3236
2016-11-08,402.35846
2016-11-09,408.30884
2016-11-10,413.24844
2016-11-11,415.19757
2016-11-14,414.79086
2016-11-15,415.99155
2016-11-16,417.24274
2016-11-17,412.51505
2016-11-18,412.30753
2016-11-21,412.32007
2016-11-22,411.53113
2016-11-23,412.71982
2016-11-24,419.13422
2016-11-25,422.1254
2016-11-28,423.08093
2016-11-29,424.3334
2016-11-30,426.74554
2016-12-01,423.5207
2016-12-02,423.19238
2016-12-05,427.57544
2016-12-06,435.44098
2016-12-07,438.85495
2016-12-08,441.3837
2016-12-09,444.33063
2016-12-12,445.88458
2016-12-13,443.99182
2016-12-14,448.42548
2016-12-15,455.71503
2016-12-16,459.17755
2016-12-19,461.6648
2016-12-20,465.24963
2016-12-21,465.8405
2016-12-22,463.00342
2016-12-23,460.18884
2016-12-26,457.82904
2016-12-27,454.1332
2016-12-28,451.41006
2016-12-29,450.28607
2016-12-30,449.54865
2017-01-02,449.9998
2017-01-03,452.14948
2017-01-04,454.85565
2017-01-05,455.7959
2017-01-06,455.65002
2017-01-09,455.62906
2017-01-10,454.06992
2017-01-11,451.57544
2017-01-12,449.9122
2017-01-13,449.28564
2017-01-16,448.4737
2017-01-17,447.6365
2017-01-18,445.48053
2017-01-19,444.73453
2017-01-20,448.10596
2017-01-23,453.01624
2017-01-24,459.21814
2017-01-25,465.60272
2017-01-26,475.22012
2017-01-27,483.32083
2017-01-30,481.54312
2017-01-31,471.9574
2017-02-01,462.5462
2017-02-02,463.0321
2017-02-03,456.94473
2017-02-06,442.93933
2017-02-07,440.81635
2017-02-08,441.53894
2017-02-09,441.51385
2017-02-10,438.46878
2017-02-13,437.9197
2017-02-14,437.58447
2017-02-15,435.57776
2017-02-16,431.47217
2017-02-17,429.7423
2017-02-20,433.18207
2017-02-21,436.1548
2017-02-22,434.76178
2017-02-23,435.1976
2017-02-24,435.77545
2017-02-27,433.44873
2017-02-28,428.72296
2017-03-01,425.6713
2017-03-02,428.59253
2017-03-03,432.16388
2017-03-06,429.45447
