Date,Predicted Price
2014-12-30,51.454403
2014-12-31,51.02509
2015-01-01,51.134304
2015-01-02,52.156227
2015-01-05,53.758602
2015-01-06,55.045357
2015-01-07,56.15949
2015-01-08,57.05978
2015-01-09,57.302876
2015-01-12,57.316776
2015-01-13,57.200798
2015-01-14,57.106888
2015-01-15,57.0105
2015-01-16,56.91127
2015-01-19,56.7162
2015-01-20,57.286266
2015-01-21,57.66702
2015-01-22,57.56481
2015-01-23,57.132336
2015-01-26,56.68929
2015-01-27,56.69481
2015-01-28,57.17859
2015-01-29,57.758625
2015-01-30,58.74033
2015-02-02,60.613262
2015-02-03,62.616188
2015-02-04,64.18236
2015-02-05,64.69304
2015-02-06,65.010345
2015-02-09,65.28256
2015-02-10,65.07597
2015-02-11,64.25813
2015-02-12,63.215412
2015-02-13,62.36743
2015-02-16,61.275803
2015-02-17,60.186535
2015-02-18,59.457066
2015-02-19,58.768867
2015-02-20,58.72564
2015-02-23,58.020878
2015-02-24,57.483196
2015-02-25,56.799995
2015-02-26,56.549866
2015-02-27,55.78325
2015-03-02,55.372715
2015-03-03,54.51257
2015-03-04,54.787144
2015-03-05,55.859905
2015-03-06,56.780773
2015-03-09,57.714954
2015-03-10,57.98276
2015-03-11,57.7065
2015-03-12,57.830082
2015-03-13,58.193974
2015-03-16,58.87802
2015-03-17,58.83933
2015-03-18,58.807987
2015-03-19,57.737732
2015-03-20,57.31103
2015-03-23,57.4688
2015-03-24,57.770847
2015-03-25,56.963676
2015-03-26,56.310818
2015-03-27,55.388546
2015-03-30,53.780594
2015-03-31,51.722412
2015-04-01,51.43442
2015-04-02,52.217606
2015-04-03,53.68484
2015-04-06,55.574196
2015-04-07,57.481647
2015-04-08,58.136517
2015-04-09,58.297802
2015-04-10,58.748905
2015-04-13,59.34683
2015-04-14,59.102596
2015-04-15,58.601757
2015-04-16,58.25523
2015-04-17,58.261127
2015-04-20,58.609825
2015-04-21,58.13921
2015-04-22,57.516075
2015-04-23,57.29806
2015-04-24,57.101383
2015-04-27,56.438854
2015-04-28,55.91905
2015-04-29,55.517498
2015-04-30,55.11466
2015-05-01,55.234505
2015-05-04,55.35455
2015-05-05,55.381992
2015-05-06,55.146187
2015-05-07,55.081364
2015-05-08,54.925827
2015-05-11,54.721786
2015-05-12,53.710926
2015-05-13,54.0228
2015-05-14,53.96121
2015-05-15,53.939384
2015-05-18,53.596603
2015-05-19,53.52747
2015-05-20,52.99702
2015-05-21,52.87755
2015-05-22,53.125378
2015-05-25,53.286118
2015-05-26,54.30271
2015-05-27,54.725388
2015-05-28,55.95966
2015-05-29,56.611572
2015-06-01,57.03482
2015-06-02,56.944267
2015-06-03,57.265247
2015-06-04,57.374744
2015-06-05,58.014572
2015-06-08,58.7048
2015-06-09,60.195713
2015-06-10,62.341267
2015-06-11,63.91709
2015-06-12,63.983135
2015-06-15,64.27628
2015-06-16,64.187904
2015-06-17,64.00031
2015-06-18,63.39331
2015-06-19,63.256763
2015-06-22,62.838062
2015-06-23,62.39613
2015-06-24,62.03064
2015-06-25,62.157772
2015-06-26,62.064056
2015-06-29,62.146496
2015-06-30,62.402912
2015-07-01,63.230556
2015-07-02,63.809956
2015-07-03,64.98703
2015-07-06,66.08092
2015-07-07,66.6906
2015-07-08,67.88672
2015-07-09,68.31346
2015-07-10,68.25864
2015-07-13,67.62942
2015-07-14,68.55448
2015-07-15,68.930405
2015-07-16,69.07866
2015-07-17,68.85152
2015-07-20,69.057396
2015-07-21,68.997025
2015-07-22,68.920166
2015-07-23,68.53518
2015-07-24,67.897385
2015-07-27,67.61274
2015-07-28,66.94978
2015-07-29,66.82083
2015-07-30,66.740234
2015-07-31,66.447716
2015-08-03,65.882675
2015-08-04,65.84886
2015-08-05,66.6434
2015-08-06,67.05778
2015-08-07,67.147896
2015-08-10,67.39767
2015-08-11,68.16293
2015-08-12,68.58282
2015-08-13,68.44126
2015-08-14,67.931496
2015-08-17,67.64239
2015-08-18,67.171486
2015-08-19,66.54838
2015-08-20,66.144966
2015-08-21,65.88764
2015-08-24,65.2483
2015-08-25,63.656906
2015-08-26,63.64146
2015-08-27,63.641487
2015-08-28,64.43356
2015-08-31,65.02145
2015-09-01,65.482155
2015-09-02,65.159485
2015-09-03,65.57503
2015-09-04,65.64372
2015-09-07,64.62608
2015-09-08,62.914776
2015-09-09,63.05819
2015-09-10,63.336098
2015-09-11,63.4079
2015-09-14,62.980186
2015-09-15,62.887238
2015-09-16,62.62914
2015-09-17,62.91158
2015-09-18,63.072346
2015-09-21,62.5889
2015-09-22,62.581432
2015-09-23,63.86655
2015-09-24,64.485054
2015-09-25,64.59438
2015-09-28,64.80465
2015-09-29,64.88792
2015-09-30,64.33645
2015-10-01,64.09741
2015-10-02,64.4098
2015-10-05,65.0609
2015-10-06,65.59848
2015-10-07,65.9903
2015-10-08,66.2573
2015-10-09,66.817924
2015-10-12,67.534035
2015-10-13,68.0192
2015-10-14,67.96846
2015-10-15,67.49534
2015-10-16,67.290695
2015-10-19,67.04066
2015-10-20,66.63099
2015-10-21,66.16016
2015-10-22,65.98532
2015-10-23,65.84696
2015-10-26,65.74414
2015-10-27,65.37496
2015-10-28,65.42529
2015-10-29,65.83023
