Date,Predicted Price
2014-12-30,133.02211
2014-12-31,133.14946
2015-01-01,133.95494
2015-01-02,136.48631
2015-01-05,138.36324
2015-01-06,141.50697
2015-01-07,144.3026
2015-01-08,145.91942
2015-01-09,148.3485
2015-01-12,150.24031
2015-01-13,149.14897
2015-01-14,149.29158
2015-01-15,151.51537
2015-01-16,153.18144
2015-01-19,153.95381
2015-01-20,156.92194
2015-01-21,160.7827
2015-01-22,161.81616
2015-01-23,163.12825
2015-01-26,166.25528
2015-01-27,169.22609
2015-01-28,171.29555
2015-01-29,172.12813
2015-01-30,176.25343
2015-02-02,179.92882
2015-02-03,179.3226
2015-02-04,179.12587
2015-02-05,179.89565
2015-02-06,179.07408
2015-02-09,178.27757
2015-02-10,178.66637
2015-02-11,179.38771
2015-02-12,177.46944
2015-02-13,175.68193
2015-02-16,176.21574
2015-02-17,172.6436
2015-02-18,168.40405
2015-02-19,168.15517
2015-02-20,170.63643
2015-02-23,171.95122
2015-02-24,174.13069
2015-02-25,176.32945
2015-02-26,179.40518
2015-02-27,180.3642
2015-03-02,181.33542
2015-03-03,181.70978
2015-03-04,180.588
2015-03-05,181.16405
2015-03-06,182.13261
2015-03-09,180.67015
2015-03-10,180.25417
2015-03-11,179.36217
2015-03-12,179.35432
2015-03-13,179.32825
2015-03-16,179.01256
2015-03-17,177.02887
2015-03-18,175.69232
2015-03-19,173.88744
2015-03-20,171.97636
2015-03-23,170.98167
2015-03-24,171.60606
2015-03-25,168.9423
2015-03-26,168.9229
2015-03-27,169.25749
2015-03-30,166.1266
2015-03-31,160.35504
2015-04-01,158.86366
2015-04-02,159.04922
2015-04-03,157.65543
2015-04-06,158.0349
2015-04-07,162.18913
2015-04-08,164.67892
2015-04-09,166.24974
2015-04-10,168.67613
2015-04-13,171.3097
2015-04-14,172.17949
2015-04-15,172.95763
2015-04-16,173.34648
2015-04-17,173.96364
2015-04-20,175.50471
2015-04-21,176.67686
2015-04-22,176.9331
2015-04-23,179.35661
2015-04-24,182.14401
2015-04-27,183.18358
2015-04-28,185.62152
2015-04-29,187.94655
2015-04-30,187.93819
2015-05-01,191.56117
2015-05-04,194.57146
2015-05-05,192.9905
2015-05-06,192.70078
2015-05-07,193.38318
2015-05-08,191.28896
2015-05-11,188.45271
2015-05-12,184.76018
2015-05-13,182.36049
2015-05-14,180.84993
2015-05-15,179.40642
2015-05-18,177.36627
2015-05-19,177.58878
2015-05-20,175.85417
