Date,Predicted Price
2015-05-21,144.2497
2015-05-22,144.49466
2015-05-25,144.45483
2015-05-26,145.4844
2015-05-27,145.91669
2015-05-28,146.19806
2015-05-29,146.39444
2015-06-01,146.76085
2015-06-02,147.08705
2015-06-03,147.63876
2015-06-04,147.83023
2015-06-05,147.77121
2015-06-08,147.90512
2015-06-09,148.15448
2015-06-10,147.96881
2015-06-11,147.4867
2015-06-12,147.22939
2015-06-15,147.25006
2015-06-16,146.84135
2015-06-17,146.26295
2015-06-18,145.9109
2015-06-19,147.33615
2015-06-22,147.45724
2015-06-23,147.33829
2015-06-24,147.23349
2015-06-25,147.13577
2015-06-26,146.43762
2015-06-29,146.46902
2015-06-30,146.193
2015-07-01,146.4649
2015-07-02,146.57362
2015-07-03,147.07391
2015-07-06,147.77304
2015-07-07,148.50662
2015-07-08,149.36298
2015-07-09,149.17511
2015-07-10,148.71121
2015-07-13,147.49872
2015-07-14,146.8765
2015-07-15,146.80008
2015-07-16,147.0788
2015-07-17,146.84392
2015-07-20,146.80675
2015-07-21,146.75319
2015-07-22,146.57483
2015-07-23,146.35168
2015-07-24,146.13991
2015-07-27,145.87524
2015-07-28,144.93132
2015-07-29,144.11948
2015-07-30,143.53754
2015-07-31,142.92706
2015-08-03,142.74835
2015-08-04,142.51987
2015-08-05,142.87718
2015-08-06,145.24203
2015-08-07,148.93286
2015-08-10,150.7907
2015-08-11,152.3185
2015-08-12,154.99191
2015-08-13,158.88211
2015-08-14,163.10158
2015-08-17,167.19055
2015-08-18,170.58267
2015-08-19,173.34015
2015-08-20,173.94135
2015-08-21,171.84871
2015-08-24,167.89021
2015-08-25,161.82611
2015-08-26,158.90215
2015-08-27,159.31735
2015-08-28,162.30844
2015-08-31,165.84781
2015-09-01,168.32362
2015-09-02,168.99597
2015-09-03,168.40964
2015-09-04,166.91518
2015-09-07,164.61447
2015-09-08,161.14525
2015-09-09,159.02873
2015-09-10,159.861
2015-09-11,161.42863
2015-09-14,162.98264
2015-09-15,163.62808
2015-09-16,164.31482
2015-09-17,164.84578
2015-09-18,164.76413
2015-09-21,163.50768
2015-09-22,162.92166
2015-09-23,163.30034
2015-09-24,163.67557
2015-09-25,164.00601
2015-09-28,164.54076
2015-09-29,165.42279
2015-09-30,163.91396
2015-10-01,162.96967
2015-10-02,162.79498
2015-10-05,163.15958
2015-10-06,162.70734
2015-10-07,163.30032
2015-10-08,162.99966
2015-10-09,164.02005
2015-10-12,164.60535
2015-10-13,164.52719
2015-10-14,163.78058
2015-10-15,164.4303
2015-10-16,164.30414
2015-10-19,164.0777
2015-10-20,164.17087
2015-10-21,165.8855
2015-10-22,169.15834
2015-10-23,170.75618
2015-10-26,171.59894
2015-10-27,174.0097
2015-10-28,176.01785
2015-10-29,175.21368
2015-10-30,174.8435
2015-11-02,173.91446
2015-11-03,172.49083
2015-11-04,171.06813
2015-11-05,171.10628
2015-11-06,171.75473
2015-11-09,173.46844
2015-11-10,174.01753
2015-11-11,173.80981
2015-11-12,173.13411
2015-11-13,174.43921
2015-11-16,175.15521
2015-11-17,175.43375
2015-11-18,175.52646
2015-11-19,176.00789
2015-11-20,176.45355
2015-11-23,176.42621
2015-11-24,176.42252
2015-11-25,176.35258
2015-11-26,175.22946
2015-11-27,173.64642
2015-11-30,171.71466
2015-12-01,168.8602
2015-12-02,164.3199
2015-12-03,164.07773
2015-12-04,164.03561
2015-12-07,166.46759
2015-12-08,168.24228
2015-12-09,169.8211
2015-12-10,170.3605
2015-12-11,171.39053
2015-12-14,170.58133
2015-12-15,168.8818
2015-12-16,167.49744
2015-12-17,166.3916
2015-12-18,165.87228
2015-12-21,166.31723
2015-12-22,167.14822
2015-12-23,167.91888
2015-12-24,168.63126
2015-12-25,169.12823
2015-12-28,169.3005
2015-12-29,169.12675
2015-12-30,168.58673
2015-12-31,167.80713
2016-01-01,167.16951
2016-01-04,166.94675
2016-01-05,166.168
2016-01-06,165.81772
2016-01-07,167.60791
2016-01-08,169.73337
2016-01-11,170.521
2016-01-12,170.50415
2016-01-13,170.11523
2016-01-14,168.97424
2016-01-15,165.62717
2016-01-18,162.66101
2016-01-19,160.18156
2016-01-20,159.73308
2016-01-21,159.25381
2016-01-22,159.81143
2016-01-25,161.85187
2016-01-26,163.30635
2016-01-27,164.21289
2016-01-28,164.7945
2016-01-29,165.24936
2016-02-01,165.03563
2016-02-02,166.35776
2016-02-03,166.59424
2016-02-04,166.68857
2016-02-05,166.71396
2016-02-08,166.87582
2016-02-09,166.79008
2016-02-10,167.04065
2016-02-11,166.70184
2016-02-12,166.73878
2016-02-15,166.0919
2016-02-16,165.5856
2016-02-17,165.05104
2016-02-18,164.59695
2016-02-19,162.59744
2016-02-22,160.18428
2016-02-23,156.90872
2016-02-24,154.77277
2016-02-25,154.26126
2016-02-26,153.54582
2016-02-29,153.56754
2016-03-01,153.81503
2016-03-02,154.27702
2016-03-03,154.58698
2016-03-04,155.26956
2016-03-07,157.87892
2016-03-08,161.51187
2016-03-09,164.4639
2016-03-10,166.08772
2016-03-11,166.6277
2016-03-14,166.06262
2016-03-15,167.70209
2016-03-16,170.05225
2016-03-17,170.87085
2016-03-18,172.21265
2016-03-21,174.1734
2016-03-22,175.26752
2016-03-23,175.14845
2016-03-24,175.4887
2016-03-25,176.05794
2016-03-28,176.74614
2016-03-29,178.93329
2016-03-30,180.83615
2016-03-31,181.59845
2016-04-01,182.41809
2016-04-04,183.24057
2016-04-05,182.56297
2016-04-06,182.55075
2016-04-07,182.83893
2016-04-08,182.83594
2016-04-11,182.73758
2016-04-12,181.69437
2016-04-13,180.52896
