Date,Predicted Price
2015-05-14,274.4619
2015-05-15,274.4619
2015-05-18,274.4619
2015-05-19,274.4619
2015-05-20,274.4619
2015-05-21,274.4619
2015-05-22,274.4619
2015-05-25,271.0867
2015-05-26,271.27417
2015-05-27,271.9679
2015-05-28,271.04135
2015-05-29,273.96198
2015-06-01,273.57373
2015-06-02,272.73483
2015-06-03,273.85498
2015-06-04,274.5981
2015-06-05,274.8905
2015-06-08,276.8211
2015-06-09,277.25272
2015-06-10,276.97412
2015-06-11,277.7874
2015-06-12,277.91092
2015-06-15,277.4668
2015-06-16,276.60324
2015-06-17,275.85568
2015-06-18,275.05768
2015-06-19,274.52563
2015-06-22,276.14954
2015-06-23,277.74344
2015-06-24,278.99036
2015-06-25,280.78134
2015-06-26,280.92682
2015-06-29,280.84293
2015-06-30,280.7773
2015-07-01,280.3276
2015-07-02,279.9798
2015-07-03,279.71725
2015-07-06,279.3402
2015-07-07,279.64603
2015-07-08,279.98157
2015-07-09,279.5335
2015-07-10,281.90482
2015-07-13,287.67566
2015-07-14,292.2964
2015-07-15,297.60724
2015-07-16,305.12155
2015-07-17,312.41745
2015-07-20,318.36404
2015-07-21,324.68503
2015-07-22,329.14594
2015-07-23,329.53558
2015-07-24,329.01074
2015-07-27,324.9929
2015-07-28,325.24213
2015-07-29,329.45294
2015-07-30,332.89923
2015-07-31,340.25244
2015-08-03,344.9382
2015-08-04,345.74167
2015-08-05,345.7559
2015-08-06,344.94144
2015-08-07,341.37344
2015-08-10,341.70633
2015-08-11,341.58084
2015-08-12,340.3847
2015-08-13,343.9188
2015-08-14,343.61096
2015-08-17,342.74405
2015-08-18,343.34174
2015-08-19,342.2238
2015-08-20,342.21194
2015-08-21,342.11517
2015-08-24,338.94788
2015-08-25,337.5685
2015-08-26,336.6221
2015-08-27,336.77036
2015-08-28,339.81143
2015-08-31,341.2982
2015-09-01,343.0287
2015-09-02,343.12598
2015-09-03,343.02097
2015-09-04,343.58054
2015-09-07,344.2392
2015-09-08,342.51212
2015-09-09,342.6091
2015-09-10,342.40112
2015-09-11,340.98697
2015-09-14,342.31277
2015-09-15,343.12686
2015-09-16,343.8964
2015-09-17,344.52744
2015-09-18,346.23264
2015-09-21,346.57425
2015-09-22,346.525
2015-09-23,346.80145
2015-09-24,345.95105
2015-09-25,345.77652
2015-09-28,345.64563
2015-09-29,346.52533
2015-09-30,349.15646
2015-10-01,352.39835
2015-10-02,355.53116
2015-10-05,359.1144
2015-10-06,360.8418
2015-10-07,361.5845
2015-10-08,363.40295
2015-10-09,363.36874
2015-10-12,362.61472
2015-10-13,362.12598
2015-10-14,360.71362
2015-10-15,361.43134
2015-10-16,362.12698
2015-10-19,362.22495
2015-10-20,363.49707
2015-10-21,361.94946
2015-10-22,361.05078
2015-10-23,359.85477
2015-10-26,358.03873
2015-10-27,358.23575
2015-10-28,357.0276
2015-10-29,357.6209
2015-10-30,359.66452
2015-11-02,360.30093
2015-11-03,361.82922
2015-11-04,362.90912
2015-11-05,363.0241
2015-11-06,363.0241
2015-11-09,363.0241
2015-11-10,362.13052
2015-11-11,361.28656
2015-11-12,360.00067
2015-11-13,359.947
2015-11-16,360.82074
2015-11-17,361.2574
2015-11-18,363.71164
2015-11-19,363.68936
2015-11-20,363.337
2015-11-23,363.50943
2015-11-24,362.4454
2015-11-25,361.97098
2015-11-26,360.3842
2015-11-27,358.9384
2015-11-30,357.6224
2015-12-01,355.6672
2015-12-02,354.66718
2015-12-03,353.84378
2015-12-04,352.93256
2015-12-07,351.7877
2015-12-08,351.05325
2015-12-09,351.21484
2015-12-10,350.29062
2015-12-11,349.92047
2015-12-14,350.00522
2015-12-15,349.19922
2015-12-16,348.93134
2015-12-17,348.76254
2015-12-18,349.52405
2015-12-21,349.27905
2015-12-22,349.0748
2015-12-23,349.38214
2015-12-24,347.61935
2015-12-25,346.6768
2015-12-28,346.0164
2015-12-29,345.03473
2015-12-30,345.75815
2015-12-31,346.53464
2016-01-01,347.21368
2016-01-04,348.17258
2016-01-05,347.61304
2016-01-06,347.01587
2016-01-07,346.49603
2016-01-08,345.80087
2016-01-11,345.80548
2016-01-12,343.995
2016-01-13,342.3202
2016-01-14,340.94394
2016-01-15,338.87573
2016-01-18,340.4628
2016-01-19,340.0061
2016-01-20,339.30136
2016-01-21,339.63742
