Date,Predicted Price
2015-05-21,407.8816
2015-05-22,406.19266
2015-05-25,404.8462
2015-05-26,405.74615
2015-05-27,405.68246
2015-05-28,406.77832
2015-05-29,407.13974
2015-06-01,408.1861
2015-06-02,412.76633
2015-06-03,419.48303
2015-06-04,426.07202
2015-06-05,432.48584
2015-06-08,437.36594
2015-06-09,445.38013
2015-06-10,452.13568
2015-06-11,459.41916
2015-06-12,466.88068
2015-06-15,471.6774
2015-06-16,472.97653
2015-06-17,473.5978
2015-06-18,470.90936
2015-06-19,465.68
2015-06-22,461.50403
2015-06-23,456.7323
2015-06-24,452.83502
2015-06-25,452.6204
2015-06-26,453.12335
2015-06-29,455.48044
2015-06-30,460.0905
2015-07-01,465.04767
2015-07-02,469.33533
2015-07-03,476.74976
2015-07-06,486.19623
2015-07-07,498.01172
2015-07-08,509.6667
2015-07-09,518.42834
2015-07-10,519.0405
2015-07-13,518.1933
2015-07-14,522.98987
2015-07-15,524.11206
2015-07-16,523.34955
2015-07-17,525.6888
2015-07-20,526.56415
2015-07-21,524.9819
2015-07-22,524.81165
2015-07-23,524.0832
2015-07-24,520.8912
2015-07-27,517.1364
2015-07-28,509.26
2015-07-29,504.90854
2015-07-30,503.81485
2015-07-31,503.33057
2015-08-03,503.52652
2015-08-04,505.17218
2015-08-05,508.17703
2015-08-06,512.0238
2015-08-07,514.5902
2015-08-10,515.8178
2015-08-11,514.94995
2015-08-12,514.09937
2015-08-13,511.43088
2015-08-14,509.95563
2015-08-17,509.27325
2015-08-18,506.93024
2015-08-19,503.82678
2015-08-20,504.1442
2015-08-21,503.97772
2015-08-24,500.01025
2015-08-25,484.3255
2015-08-26,481.94135
2015-08-27,478.09705
2015-08-28,476.33572
2015-08-31,476.4525
2015-09-01,478.6432
2015-09-02,480.5612
2015-09-03,482.5202
2015-09-04,483.42178
2015-09-07,479.9602
2015-09-08,472.80862
2015-09-09,475.10526
2015-09-10,477.28818
2015-09-11,478.11932
2015-09-14,479.4132
2015-09-15,480.4333
2015-09-16,480.2856
2015-09-17,480.11908
2015-09-18,479.11273
2015-09-21,477.04495
2015-09-22,476.15857
2015-09-23,478.6534
2015-09-24,480.4982
2015-09-25,482.79492
2015-09-28,485.35776
2015-09-29,486.56216
2015-09-30,485.32733
2015-10-01,483.43115
2015-10-02,484.20148
2015-10-05,485.6442
2015-10-06,486.78302
2015-10-07,488.9071
2015-10-08,491.6552
2015-10-09,495.23236
2015-10-12,499.1051
2015-10-13,500.53992
2015-10-14,499.50653
2015-10-15,497.84045
2015-10-16,496.47867
2015-10-19,495.16663
2015-10-20,494.29807
2015-10-21,494.48303
2015-10-22,496.15057
2015-10-23,497.48315
2015-10-26,498.61823
2015-10-27,499.59515
2015-10-28,499.44055
2015-10-29,499.66293
2015-10-30,497.93018
2015-11-02,497.05716
2015-11-03,496.53888
2015-11-04,496.18774
2015-11-05,496.3878
2015-11-06,496.4552
2015-11-09,496.30573
2015-11-10,494.74112
2015-11-11,491.16656
2015-11-12,487.83633
2015-11-13,486.86395
2015-11-16,484.71313
2015-11-17,481.7449
2015-11-18,480.7444
2015-11-19,479.6355
2015-11-20,479.49026
2015-11-23,478.47144
2015-11-24,476.50787
2015-11-25,474.3274
2015-11-26,470.23264
2015-11-27,467.8049
2015-11-30,463.26288
2015-12-01,455.81314
2015-12-02,447.44446
2015-12-03,448.30157
2015-12-04,449.05505
2015-12-07,450.82803
2015-12-08,454.3448
2015-12-09,457.12198
2015-12-10,458.9524
2015-12-11,459.44724
2015-12-14,459.6471
2015-12-15,457.99344
2015-12-16,454.53387
2015-12-17,455.3258
2015-12-18,457.19934
2015-12-21,457.414
2015-12-22,458.96094
2015-12-23,460.58484
2015-12-24,460.3797
2015-12-25,459.8472
2015-12-28,459.75223
2015-12-29,459.28693
2015-12-30,458.99057
2015-12-31,459.84247
2016-01-01,459.52228
2016-01-04,464.99335
2016-01-05,467.1693
2016-01-06,468.8358
2016-01-07,470.66833
2016-01-08,471.0202
2016-01-11,468.39807
2016-01-12,466.66458
2016-01-13,466.57837
2016-01-14,467.26385
2016-01-15,466.76892
2016-01-18,465.86414
2016-01-19,465.79718
2016-01-20,465.45764
2016-01-21,459.07922
2016-01-22,453.62927
2016-01-25,449.78717
2016-01-26,447.04932
2016-01-27,445.32474
2016-01-28,443.43945
2016-01-29,441.735
2016-02-01,444.10638
2016-02-02,448.55914
2016-02-03,453.7779
2016-02-04,459.86627
2016-02-05,468.23294
2016-02-08,474.22946
2016-02-09,479.35522
2016-02-10,481.8226
2016-02-11,479.90167
2016-02-12,475.8694
2016-02-15,468.6981
2016-02-16,466.39166
2016-02-17,461.4051
2016-02-18,457.5502
2016-02-19,453.36118
2016-02-22,448.65143
2016-02-23,436.81766
2016-02-24,424.9435
2016-02-25,421.38544
2016-02-26,419.739
2016-02-29,423.19147
2016-03-01,430.68488
2016-03-02,440.1923
2016-03-03,450.06128
2016-03-04,460.76147
2016-03-07,467.43192
2016-03-08,474.05798
2016-03-09,479.06372
2016-03-10,483.1225
2016-03-11,484.42923
2016-03-14,484.73743
2016-03-15,483.90652
