Date,Predicted Price
2015-05-21,41.059345
2015-05-22,41.02508
2015-05-25,41.07647
2015-05-26,41.711502
2015-05-27,42.226135
2015-05-28,43.202168
2015-05-29,43.909832
2015-06-01,44.578197
2015-06-02,45.13711
2015-06-03,45.801144
2015-06-04,46.707035
2015-06-05,47.940723
2015-06-08,48.956802
2015-06-09,50.361042
2015-06-10,51.036537
2015-06-11,51.314556
2015-06-12,51.276592
2015-06-15,51.305588
2015-06-16,51.62766
2015-06-17,51.71974
2015-06-18,51.55673
2015-06-19,51.382565
2015-06-22,51.024387
2015-06-23,50.341072
2015-06-24,50.131435
2015-06-25,50.279346
2015-06-26,49.775806
2015-06-29,49.1347
2015-06-30,48.92268
2015-07-01,49.498547
2015-07-02,50.37078
2015-07-03,51.329746
2015-07-06,52.095592
2015-07-07,52.484245
2015-07-08,53.056324
2015-07-09,53.329624
2015-07-10,53.193752
2015-07-13,52.516926
2015-07-14,52.312847
2015-07-15,52.289448
2015-07-16,52.167805
2015-07-17,52.069782
2015-07-20,52.071194
2015-07-21,52.009758
2015-07-22,51.948406
2015-07-23,51.81368
2015-07-24,51.410625
2015-07-27,51.014965
2015-07-28,50.02909
2015-07-29,49.217907
2015-07-30,48.632572
2015-07-31,48.01376
2015-08-03,47.584538
2015-08-04,47.592083
2015-08-05,48.32588
2015-08-06,49.5473
2015-08-07,50.326244
2015-08-10,50.62128
2015-08-11,50.723804
2015-08-12,50.631428
2015-08-13,50.240955
2015-08-14,49.72277
2015-08-17,49.33772
2015-08-18,48.785355
2015-08-19,48.819916
2015-08-20,48.62836
2015-08-21,48.18702
2015-08-24,47.346165
2015-08-25,46.06708
2015-08-26,45.594357
2015-08-27,45.520725
2015-08-28,46.27975
2015-08-31,47.67417
2015-09-01,48.57649
2015-09-02,48.7392
2015-09-03,48.77843
2015-09-04,48.497753
2015-09-07,47.590275
2015-09-08,46.240665
2015-09-09,45.566895
2015-09-10,45.05566
2015-09-11,45.028805
2015-09-14,44.757572
2015-09-15,44.379826
2015-09-16,43.90317
2015-09-17,43.803272
2015-09-18,43.677
2015-09-21,43.262684
2015-09-22,43.01283
2015-09-23,43.169254
2015-09-24,43.337894
2015-09-25,43.487198
2015-09-28,43.64458
2015-09-29,43.82091
2015-09-30,43.715088
2015-10-01,44.085766
2015-10-02,44.905224
2015-10-05,45.50987
2015-10-06,45.757195
2015-10-07,45.989788
2015-10-08,45.949238
2015-10-09,46.128273
2015-10-12,46.736412
2015-10-13,47.180584
2015-10-14,47.426144
2015-10-15,47.504772
2015-10-16,47.536633
2015-10-19,47.482502
2015-10-20,47.257454
2015-10-21,46.815502
2015-10-22,46.579052
2015-10-23,46.370922
2015-10-26,46.24123
2015-10-27,46.203716
2015-10-28,46.341747
2015-10-29,46.558033
2015-10-30,46.830765
2015-11-02,46.986465
2015-11-03,47.31978
2015-11-04,47.531925
2015-11-05,48.176884
2015-11-06,48.640797
2015-11-09,48.943386
2015-11-10,48.90476
2015-11-11,48.379093
2015-11-12,47.99253
2015-11-13,47.93874
2015-11-16,47.904373
2015-11-17,47.86415
2015-11-18,48.01817
2015-11-19,48.023525
2015-11-20,47.91721
2015-11-23,47.788334
2015-11-24,47.430996
2015-11-25,47.03426
2015-11-26,46.562546
2015-11-27,46.040123
2015-11-30,45.506165
2015-12-01,44.652016
2015-12-02,43.936157
2015-12-03,43.98026
2015-12-04,44.273293
2015-12-07,44.543827
2015-12-08,45.059505
2015-12-09,45.645504
2015-12-10,46.083614
2015-12-11,46.373386
2015-12-14,46.475796
2015-12-15,46.609127
2015-12-16,46.564045
2015-12-17,46.75073
2015-12-18,47.04136
2015-12-21,47.13915
2015-12-22,47.123425
2015-12-23,47.127464
2015-12-24,47.177334
2015-12-25,47.21283
2015-12-28,47.268047
2015-12-29,47.437645
2015-12-30,47.652386
2015-12-31,47.919575
2016-01-01,48.41174
2016-01-04,49.527508
2016-01-05,50.635105
2016-01-06,51.647762
2016-01-07,52.356976
2016-01-08,52.684338
2016-01-11,52.55427
2016-01-12,52.611584
2016-01-13,52.856186
2016-01-14,53.105785
2016-01-15,52.93001
2016-01-18,52.702503
2016-01-19,52.45767
2016-01-20,52.737476
2016-01-21,53.154316
2016-01-22,53.67326
2016-01-25,53.864925
2016-01-26,53.69498
2016-01-27,53.64533
2016-01-28,53.609615
2016-01-29,53.86294
2016-02-01,54.34476
2016-02-02,54.65878
2016-02-03,54.982765
2016-02-04,55.318745
2016-02-05,55.529037
2016-02-08,55.633614
2016-02-09,55.608326
2016-02-10,55.45279
2016-02-11,55.191795
2016-02-12,54.929417
2016-02-15,54.488255
2016-02-16,54.48788
2016-02-17,54.181046
2016-02-18,54.20473
2016-02-19,54.056507
2016-02-22,53.814022
2016-02-23,53.17822
2016-02-24,52.36734
2016-02-25,52.19076
2016-02-26,52.308613
2016-02-29,52.699986
2016-03-01,53.288624
2016-03-02,54.007412
2016-03-03,55.186256
2016-03-04,56.319225
2016-03-07,57.07722
2016-03-08,58.127354
2016-03-09,58.645996
2016-03-10,58.736412
2016-03-11,58.679356
2016-03-14,58.568897
2016-03-15,58.335278
2016-03-16,58.38558
2016-03-17,58.679344
2016-03-18,58.9694
2016-03-21,59.129284
2016-03-22,59.215733
2016-03-23,59.075546
2016-03-24,58.910202
2016-03-25,58.63722
2016-03-28,59.290108
2016-03-29,60.3588
2016-03-30,60.762882
2016-03-31,60.954666
2016-04-01,61.165623
2016-04-04,61.750286
2016-04-05,62.6357
2016-04-06,63.429466
2016-04-07,64.31823
2016-04-08,64.7969
2016-04-11,65.06657
2016-04-12,64.60523
2016-04-13,64.36601
2016-04-14,63.98672
2016-04-15,63.90015
2016-04-18,63.880077
2016-04-19,64.00651
2016-04-20,64.03634
2016-04-21,63.814278
2016-04-22,63.210773
2016-04-25,62.48093
2016-04-26,61.856373
2016-04-27,61.92245
2016-04-28,62.39609
2016-04-29,62.866734
2016-05-02,63.225033
2016-05-03,63.316936
2016-05-04,63.45746
2016-05-05,63.92041
2016-05-06,64.700584
2016-05-09,65.11134
2016-05-10,65.100174
2016-05-11,65.09012
2016-05-12,64.83796
2016-05-13,64.37977
2016-05-16,64.07397
2016-05-17,63.911194
2016-05-18,63.748474
2016-05-19,63.64891
2016-05-20,63.72159
2016-05-23,63.71135
2016-05-24,63.82543
2016-05-25,63.7588
2016-05-26,63.607132
2016-05-27,63.366337
2016-05-30,63.01522
2016-05-31,63.307297
2016-06-01,63.4088
2016-06-02,63.577824
2016-06-03,63.87025
2016-06-06,64.29273
2016-06-07,64.35945
2016-06-08,64.34163
2016-06-09,64.29981
2016-06-10,64.20837
2016-06-13,63.87438
2016-06-14,63.87011
2016-06-15,63.761013
2016-06-16,64.609634
2016-06-17,66.38478
2016-06-20,68.010994
2016-06-21,68.838905
2016-06-22,69.253075
2016-06-23,69.2256
2016-06-24,68.97704
2016-06-27,68.41297
2016-06-28,67.93124
2016-06-29,67.6375
2016-06-30,68.22512
2016-07-01,68.752846
2016-07-04,69.18409
2016-07-05,69.41413
2016-07-06,69.53777
2016-07-07,69.499756
2016-07-08,69.485855
2016-07-11,69.47723
2016-07-12,69.79546
2016-07-13,70.23748
2016-07-14,70.94489
2016-07-15,72.00392
2016-07-18,72.78167
2016-07-19,73.72445
2016-07-20,74.2763
2016-07-21,74.35705
2016-07-22,74.44581
2016-07-25,74.3341
2016-07-26,74.0762
2016-07-27,73.95445
2016-07-28,74.16997
2016-07-29,74.225624
2016-08-01,74.2741
2016-08-02,74.21717
2016-08-03,73.85144
2016-08-04,73.34548
2016-08-05,72.583496
2016-08-08,72.03394
2016-08-09,71.64236
2016-08-10,71.36343
2016-08-11,71.6432
2016-08-12,71.93247
2016-08-15,71.92557
2016-08-16,71.93581
2016-08-17,71.92994
2016-08-18,71.88232
2016-08-19,71.52085
2016-08-22,70.74698
2016-08-23,70.36213
2016-08-24,70.104065
2016-08-25,70.13157
2016-08-26,70.64628
2016-08-29,71.269936
2016-08-30,71.714294
2016-08-31,71.939285
2016-09-01,71.80649
2016-09-02,71.4028
2016-09-05,70.02035
2016-09-06,67.94325
2016-09-07,66.70112
2016-09-08,66.08288
2016-09-09,65.492455
2016-09-12,65.53306
2016-09-13,65.76612
2016-09-14,65.883
2016-09-15,65.93941
2016-09-16,65.79571
2016-09-19,65.49014
2016-09-20,65.17614
2016-09-21,64.904076
2016-09-22,64.2543
2016-09-23,63.909565
2016-09-26,63.833946
2016-09-27,64.133545
2016-09-28,64.43017
2016-09-29,64.790344
2016-09-30,64.75202
2016-10-03,64.37337
2016-10-04,64.78533
2016-10-05,65.09383
2016-10-06,65.19107
2016-10-07,65.20895
2016-10-10,65.073586
2016-10-11,64.94796
2016-10-12,64.914154
2016-10-13,64.924614
2016-10-14,64.71531
2016-10-17,64.38346
2016-10-18,63.69912
2016-10-19,62.412968
2016-10-20,61.542233
2016-10-21,61.256046
2016-10-24,61.151432
2016-10-25,61.19087
2016-10-26,61.326733
2016-10-27,61.482204
2016-10-28,61.67361
2016-10-31,61.883297
2016-11-01,62.012844
2016-11-02,62.97525
2016-11-03,64.12586
2016-11-04,64.65717
2016-11-07,64.89135
2016-11-08,65.106155
2016-11-09,65.745415
2016-11-10,66.25691
2016-11-11,67.6747
2016-11-14,69.88848
2016-11-15,71.75385
2016-11-16,72.46717
2016-11-17,72.682655
2016-11-18,72.512886
2016-11-21,72.57485
2016-11-22,72.6299
2016-11-23,72.79664
2016-11-24,73.22083
2016-11-25,73.82516
2016-11-28,74.300804
2016-11-29,74.65803
2016-11-30,74.50971
2016-12-01,74.014305
2016-12-02,73.96963
2016-12-05,74.45041
2016-12-06,75.20183
2016-12-07,76.99474
2016-12-08,79.00567
2016-12-09,79.86732
2016-12-12,79.97059
2016-12-13,79.85291
2016-12-14,79.636086
2016-12-15,80.48713
2016-12-16,80.905914
2016-12-19,81.35883
2016-12-20,81.90478
2016-12-21,82.13182
2016-12-22,83.15906
2016-12-23,84.086815
2016-12-26,84.25025
2016-12-27,84.13073
2016-12-28,84.287315
2016-12-29,84.32501
2016-12-30,84.555595
2017-01-02,84.98365
2017-01-03,85.02467
2017-01-04,86.0104
2017-01-05,86.995766
2017-01-06,87.256645
2017-01-09,87.13099
2017-01-10,87.078575
2017-01-11,87.0054
2017-01-12,87.62751
2017-01-13,88.113976
2017-01-16,88.33796
2017-01-17,88.00291
2017-01-18,88.33065
2017-01-19,88.46153
2017-01-20,88.83304
2017-01-23,89.14105
2017-01-24,89.355705
2017-01-25,89.407036
2017-01-26,89.016685
2017-01-27,88.958115
2017-01-30,88.851616
2017-01-31,88.86303
2017-02-01,88.81128
2017-02-02,89.23874
2017-02-03,89.4868
2017-02-06,89.80777
2017-02-07,89.86528
2017-02-08,89.882095
2017-02-09,89.84159
2017-02-10,90.56954
2017-02-13,90.63895
2017-02-14,90.45976
2017-02-15,89.68755
2017-02-16,88.52825
2017-02-17,87.45304
2017-02-20,86.98902
2017-02-21,86.0828
2017-02-22,85.57232
2017-02-23,85.57504
2017-02-24,85.866844
2017-02-27,85.93876
2017-02-28,85.80505
2017-03-01,85.330025
2017-03-02,85.21186
2017-03-03,85.42035
2017-03-06,85.41721
2017-03-07,85.22307
2017-03-08,85.01217
2017-03-09,84.8118
2017-03-10,84.56892
2017-03-13,84.521484
2017-03-14,83.89922
2017-03-15,83.9002
2017-03-16,83.89085
2017-03-17,83.89973
2017-03-20,84.04691
2017-03-21,84.49312
2017-03-22,84.910706
2017-03-23,85.3718
2017-03-24,85.70541
2017-03-27,85.92664
2017-03-28,86.15447
2017-03-29,86.22805
2017-03-30,86.16239
2017-03-31,85.6862
2017-04-03,85.25704
2017-04-04,85.20161
2017-04-05,85.65554
2017-04-06,32.566223
2017-04-07,48.02018
2017-04-10,63.965668
2017-04-11,75.161064
2017-04-12,81.79763
2017-04-13,85.33156
2017-04-14,85.25486
2017-04-17,84.63485
2017-04-18,83.39695
2017-04-19,82.183754
2017-04-20,81.9653
2017-04-21,83.037056
2017-04-24,84.77924
2017-04-25,85.89473
2017-04-26,86.182396
2017-04-27,86.088646
2017-04-28,85.340645
2017-05-01,84.68537
2017-05-02,84.292725
2017-05-03,83.53791
2017-05-04,82.39797
2017-05-05,81.83384
2017-05-08,82.061935
2017-05-09,82.95176
2017-05-10,83.5109
2017-05-11,83.78373
2017-05-12,83.766266
2017-05-15,83.30595
2017-05-16,83.29802
2017-05-17,83.04338
2017-05-18,82.649895
2017-05-19,81.732216
2017-05-22,81.21047
2017-05-23,80.724815
2017-05-24,80.55024
2017-05-25,80.6354
2017-05-26,80.59701
2017-05-29,80.72324
2017-05-30,80.35778
2017-05-31,79.76408
2017-06-01,78.51675
2017-06-02,76.82753
2017-06-05,75.549736
2017-06-06,75.9068
2017-06-07,77.23523
2017-06-08,78.24372
2017-06-09,78.77169
2017-06-12,78.96029
2017-06-13,77.71554
2017-06-14,76.465385
2017-06-15,75.38994
2017-06-16,74.6444
2017-06-19,74.52186
2017-06-20,74.770836
2017-06-21,74.27598
2017-06-22,74.39278
2017-06-23,75.08485
2017-06-26,75.67214
2017-06-27,76.06655
2017-06-28,76.40574
2017-06-29,76.524956
2017-06-30,76.81736
2017-07-03,76.731346
2017-07-04,76.019325
2017-07-05,76.21673
2017-07-06,76.35779
2017-07-07,76.287994
2017-07-10,76.87738
2017-07-11,78.207344
2017-07-12,78.00638
2017-07-13,76.554146
2017-07-14,75.44698
2017-07-17,75.62367
2017-07-18,75.84543
2017-07-19,76.666664
2017-07-20,76.76516
2017-07-21,76.17267
2017-07-24,75.41085
2017-07-25,74.91201
2017-07-26,74.94334
2017-07-27,75.0844
2017-07-28,75.51638
2017-07-31,76.24531
2017-08-01,77.06121
2017-08-02,78.33767
2017-08-03,79.526085
2017-08-04,79.83431
2017-08-07,79.577934
2017-08-08,78.938515
2017-08-09,77.68929
2017-08-10,75.80706
2017-08-11,73.61683
2017-08-14,71.17695
2017-08-15,69.40863
2017-08-16,67.51365
2017-08-17,66.412186
2017-08-18,64.96586
2017-08-21,63.87071
2017-08-22,62.53249
2017-08-23,61.24398
2017-08-24,60.847797
2017-08-25,60.184845
2017-08-28,60.1306
2017-08-29,60.65874
2017-08-30,60.91425
2017-08-31,61.81798
2017-09-01,62.67466
2017-09-04,63.200825
2017-09-05,63.456036
2017-09-06,64.39387
2017-09-07,64.59217
2017-09-08,63.97978
2017-09-11,63.54497
2017-09-12,62.814423
2017-09-13,62.3102
2017-09-14,62.22437
2017-09-15,62.087208
2017-09-18,62.116535
2017-09-19,62.17992
2017-09-20,62.293777
2017-09-21,62.673664
2017-09-22,62.92928
2017-09-25,62.987743
2017-09-26,63.0798
2017-09-27,62.912174
2017-09-28,62.493
2017-09-29,61.6815
2017-10-02,61.01014
2017-10-03,60.31825
2017-10-04,59.009026
2017-10-05,57.13877
2017-10-06,55.53971
2017-10-09,55.079597
2017-10-10,54.724895
2017-10-11,54.173817
2017-10-12,53.683735
2017-10-13,52.599598
2017-10-16,50.89922
2017-10-17,50.269115
2017-10-18,50.17874
2017-10-19,50.3877
2017-10-20,51.339787
2017-10-23,52.45886
2017-10-24,52.74326
2017-10-25,52.752094
2017-10-26,52.713596
2017-10-27,52.609753
2017-10-30,52.333885
2017-10-31,52.018726
2017-11-01,51.34979
2017-11-02,51.127438
2017-11-03,50.97661
2017-11-06,51.17715
2017-11-07,51.44287
2017-11-08,51.68305
2017-11-09,51.784622
2017-11-10,52.3801
2017-11-13,52.756298
2017-11-14,52.54963
2017-11-15,52.195587
2017-11-16,52.01632
2017-11-17,52.451077
2017-11-20,52.892467
2017-11-21,53.054058
2017-11-22,53.254402
2017-11-23,53.46408
2017-11-24,53.18829
2017-11-27,52.942947
2017-11-28,52.92387
2017-11-29,52.956905
2017-11-30,52.741993
2017-12-01,52.692448
2017-12-04,52.664032
2017-12-05,52.82616
2017-12-06,52.947056
2017-12-07,52.988483
2017-12-08,52.24898
2017-12-11,51.90881
2017-12-12,51.117947
2017-12-13,50.44364
2017-12-14,50.116226
2017-12-15,49.519695
2017-12-18,49.21201
2017-12-19,49.001167
2017-12-20,48.33315
2017-12-21,47.840767
2017-12-22,48.027153
2017-12-25,48.933304
2017-12-26,49.75841
2017-12-27,50.68676
2017-12-28,51.419853
2017-12-29,51.943073
2018-01-01,51.672707
2018-01-02,51.272022
2018-01-03,51.407032
2018-01-04,51.827152
2018-01-05,52.635887
2018-01-08,54.146435
2018-01-09,55.40572
2018-01-10,56.01017
2018-01-11,57.06561
2018-01-12,58.093998
2018-01-15,58.359234
2018-01-16,58.237553
2018-01-17,58.145226
2018-01-18,58.172768
2018-01-19,58.425415
2018-01-22,59.26888
2018-01-23,60.899807
2018-01-24,62.096706
2018-01-25,63.014835
2018-01-26,63.076603
2018-01-29,63.25575
2018-01-30,62.40024
2018-01-31,61.617615
2018-02-01,60.906147
2018-02-02,60.31023
2018-02-05,59.525524
2018-02-06,59.07855
2018-02-07,58.59759
2018-02-08,58.342617
2018-02-09,57.729572
2018-02-12,57.100677
2018-02-13,56.484043
2018-02-14,56.21787
2018-02-15,55.620247
2018-02-16,54.68759
2018-02-19,53.545208
2018-02-20,52.544403
2018-02-21,51.237698
2018-02-22,49.670986
2018-02-23,48.959522
2018-02-26,48.574684
2018-02-27,48.41921
2018-02-28,48.742393
2018-03-01,49.30463
2018-03-02,50.399418
