Date,Predicted Price
2015-05-21,345.89044
2015-05-22,345.20337
2015-05-25,344.67963
2015-05-26,344.7434
2015-05-27,345.28738
2015-05-28,345.84644
2015-05-29,346.48083
2015-06-01,347.1429
2015-06-02,347.74304
2015-06-03,348.12653
2015-06-04,348.75635
2015-06-05,350.40494
2015-06-08,353.5777
2015-06-09,357.4029
2015-06-10,361.87543
2015-06-11,364.86792
2015-06-12,367.0479
2015-06-15,371.43558
2015-06-16,376.13577
2015-06-17,381.52805
2015-06-18,387.214
2015-06-19,394.62933
2015-06-22,397.82114
2015-06-23,395.72723
2015-06-24,393.2115
2015-06-25,391.51105
2015-06-26,390.70532
2015-06-29,389.27997
2015-06-30,388.94974
2015-07-01,389.2146
2015-07-02,390.68893
2015-07-03,390.83453
2015-07-06,391.23047
2015-07-07,393.12225
2015-07-08,393.72925
2015-07-09,393.57404
2015-07-10,392.37698
2015-07-13,390.43866
2015-07-14,389.33783
2015-07-15,388.2879
2015-07-16,387.12915
2015-07-17,386.62915
2015-07-20,386.755
2015-07-21,387.31805
2015-07-22,388.01794
2015-07-23,387.19568
2015-07-24,385.074
2015-07-27,383.47638
2015-07-28,381.94348
2015-07-29,379.9085
2015-07-30,379.80338
2015-07-31,380.4684
2015-08-03,380.88245
2015-08-04,381.4059
2015-08-05,382.6554
2015-08-06,384.52066
2015-08-07,386.6892
2015-08-10,389.41278
2015-08-11,391.34406
2015-08-12,391.89978
2015-08-13,391.53784
2015-08-14,390.87952
2015-08-17,390.3105
2015-08-18,389.50476
2015-08-19,387.50836
2015-08-20,386.1612
2015-08-21,384.45422
2015-08-24,382.08887
2015-08-25,377.1115
2015-08-26,374.3896
2015-08-27,372.40485
2015-08-28,370.47888
2015-08-31,369.30756
2015-09-01,372.59402
2015-09-02,371.43063
2015-09-03,372.7622
2015-09-04,372.84686
2015-09-07,370.35797
2015-09-08,366.4678
2015-09-09,365.41153
2015-09-10,364.80518
2015-09-11,363.39062
2015-09-14,362.7168
2015-09-15,363.1125
2015-09-16,363.69
2015-09-17,363.007
2015-09-18,361.90802
2015-09-21,361.64374
2015-09-22,362.7748
2015-09-23,364.0064
2015-09-24,363.20703
2015-09-25,362.41168
2015-09-28,360.0535
2015-09-29,361.03558
2015-09-30,360.5324
2015-10-01,359.29285
2015-10-02,358.11166
2015-10-05,356.50943
2015-10-06,354.12524
2015-10-07,354.2522
2015-10-08,354.1326
2015-10-09,354.88147
2015-10-12,356.14508
2015-10-13,357.64862
2015-10-14,358.3004
2015-10-15,358.47632
2015-10-16,358.35443
2015-10-19,359.5271
2015-10-20,358.86255
2015-10-21,358.66565
2015-10-22,359.57355
2015-10-23,360.26797
2015-10-26,361.08948
2015-10-27,360.18616
2015-10-28,357.58655
2015-10-29,355.3385
2015-10-30,352.6531
2015-11-02,349.2302
2015-11-03,347.40775
2015-11-04,348.39255
2015-11-05,349.8192
2015-11-06,351.11707
2015-11-09,352.77832
2015-11-10,354.02808
2015-11-11,352.8185
2015-11-12,353.4242
2015-11-13,355.6347
2015-11-16,358.85443
2015-11-17,360.4546
2015-11-18,365.0318
2015-11-19,368.1117
2015-11-20,365.6877
2015-11-23,364.0624
2015-11-24,362.66528
2015-11-25,360.85236
2015-11-26,359.49652
2015-11-27,357.0846
2015-11-30,355.40268
2015-12-01,353.27222
2015-12-02,349.42877
2015-12-03,347.13696
2015-12-04,347.57498
2015-12-07,347.58093
2015-12-08,348.17194
2015-12-09,351.67142
2015-12-10,353.40558
2015-12-11,352.32358
2015-12-14,349.96143
2015-12-15,348.61993
2015-12-16,346.2308
2015-12-17,343.50006
2015-12-18,340.76978
2015-12-21,339.5622
2015-12-22,337.84894
2015-12-23,336.98456
2015-12-24,334.97366
2015-12-25,333.02478
2015-12-28,332.01074
2015-12-29,330.85376
