Date,Predicted Price
2014-12-30,171.48102
2014-12-31,178.87723
2015-01-01,185.02759
2015-01-02,190.25484
2015-01-05,194.52219
2015-01-06,197.70267
2015-01-07,198.94775
2015-01-08,198.13617
2015-01-09,197.8088
2015-01-12,197.06091
2015-01-13,196.25264
2015-01-14,195.18304
2015-01-15,195.34706
2015-01-16,198.37112
2015-01-19,203.37762
2015-01-20,206.6053
2015-01-21,208.65082
2015-01-22,209.18762
2015-01-23,207.39795
2015-01-26,203.34705
2015-01-27,201.74448
2015-01-28,201.39093
2015-01-29,200.02145
2015-01-30,199.93213
2015-02-02,200.00938
2015-02-03,200.25525
2015-02-04,199.7879
2015-02-05,199.32343
2015-02-06,198.86731
2015-02-09,198.01373
2015-02-10,197.70142
2015-02-11,197.1257
2015-02-12,197.22015
2015-02-13,198.34663
2015-02-16,198.69386
2015-02-17,198.69244
2015-02-18,198.9476
2015-02-19,198.37985
2015-02-20,198.17203
2015-02-23,197.23941
2015-02-24,195.22606
2015-02-25,193.40201
2015-02-26,192.2417
2015-02-27,191.11401
2015-03-02,189.44788
2015-03-03,188.85074
2015-03-04,188.81966
2015-03-05,188.70224
2015-03-06,188.68134
2015-03-09,187.9505
2015-03-10,188.00581
2015-03-11,187.4208
2015-03-12,186.36856
2015-03-13,185.41301
2015-03-16,185.6412
2015-03-17,184.99234
2015-03-18,184.67688
2015-03-19,182.0644
2015-03-20,180.96635
2015-03-23,181.6489
2015-03-24,182.25711
2015-03-25,179.14346
2015-03-26,176.03952
2015-03-27,173.53717
2015-03-30,173.86252
2015-03-31,175.30838
2015-04-01,179.33426
2015-04-02,182.22699
2015-04-03,185.57544
2015-04-06,186.07562
2015-04-07,187.06204
2015-04-08,186.01692
2015-04-09,186.22266
2015-04-10,185.23444
2015-04-13,185.16214
2015-04-14,185.44872
2015-04-15,186.17017
2015-04-16,186.11478
2015-04-17,185.53119
2015-04-20,185.52759
2015-04-21,185.13431
2015-04-22,184.1706
2015-04-23,183.90553
2015-04-24,183.66003
2015-04-27,182.09976
2015-04-28,179.3443
2015-04-29,175.73863
2015-04-30,173.01064
2015-05-01,170.74695
2015-05-04,169.21898
2015-05-05,168.58157
2015-05-06,168.62335
2015-05-07,169.51457
2015-05-08,169.11554
2015-05-11,168.92982
2015-05-12,166.57031
2015-05-13,166.10593
2015-05-14,164.9675
2015-05-15,164.36548
2015-05-18,163.43585
2015-05-19,163.41907
2015-05-20,164.00406
2015-05-21,163.95494
2015-05-22,164.41162
2015-05-25,164.22318
2015-05-26,163.98552
2015-05-27,163.55933
2015-05-28,162.71663
2015-05-29,162.10701
2015-06-01,163.93942
2015-06-02,165.456
2015-06-03,165.88177
2015-06-04,166.30864
2015-06-05,167.1115
2015-06-08,166.1107
2015-06-09,165.24484
2015-06-10,166.163
2015-06-11,167.64183
2015-06-12,170.80667
2015-06-15,175.90701
2015-06-16,181.56161
2015-06-17,183.44412
2015-06-18,184.3408
2015-06-19,184.55206
2015-06-22,184.11606
2015-06-23,180.91074
2015-06-24,179.45447
2015-06-25,177.42139
2015-06-26,175.47342
2015-06-29,172.58286
2015-06-30,169.93716
2015-07-01,169.2926
2015-07-02,168.93065
2015-07-03,168.50711
2015-07-06,169.10175
2015-07-07,170.97504
2015-07-08,171.68987
2015-07-09,171.92856
2015-07-10,171.862
2015-07-13,171.10263
2015-07-14,170.0324
2015-07-15,170.00525
2015-07-16,170.88763
2015-07-17,171.36588
2015-07-20,171.99686
2015-07-21,172.62732
2015-07-22,173.15294
2015-07-23,173.2557
2015-07-24,173.21735
2015-07-27,172.81827
2015-07-28,171.34497
2015-07-29,170.56029
2015-07-30,169.70653
2015-07-31,169.06128
2015-08-03,168.68611
2015-08-04,168.5368
2015-08-05,168.74556
2015-08-06,168.49825
2015-08-07,168.67621
2015-08-10,167.44287
2015-08-11,167.07483
2015-08-12,166.83667
2015-08-13,166.90482
2015-08-14,166.64647
2015-08-17,166.90007
2015-08-18,169.72914
2015-08-19,172.34146
2015-08-20,174.34044
2015-08-21,172.87091
2015-08-24,171.02408
2015-08-25,166.23
2015-08-26,162.00131
2015-08-27,159.03806
2015-08-28,159.8223
2015-08-31,162.46988
2015-09-01,168.01472
2015-09-02,173.39746
2015-09-03,176.44388
2015-09-04,175.9635
2015-09-07,174.7009
2015-09-08,171.08759
