Date,Predicted Price
2014-12-30,7563.702
2014-12-31,7575.657
2015-01-01,7585.5264
2015-01-02,7582.825
2015-01-05,7591.201
2015-01-06,7580.8813
2015-01-07,7690.426
2015-01-08,7867.209
2015-01-09,8107.0522
2015-01-12,8414.351
2015-01-13,8656.615
2015-01-14,8796.623
2015-01-15,8893.119
2015-01-16,9048.949
2015-01-19,9055.78
2015-01-20,8982.671
2015-01-21,8927.037
2015-01-22,8899.436
2015-01-23,8746.355
2015-01-26,8724.494
2015-01-27,8719.764
2015-01-28,8798.102
2015-01-29,8915.016
2015-01-30,8889.898
2015-02-02,8861.0625
2015-02-03,8914.001
2015-02-04,8876.788
2015-02-05,8806.836
2015-02-06,8831.611
2015-02-09,8847.424
2015-02-10,8856.336
2015-02-11,8876.813
2015-02-12,8919.162
2015-02-13,8905.959
2015-02-16,8886.838
2015-02-17,8866.113
2015-02-18,8873.969
2015-02-19,8824.691
2015-02-20,8816.353
2015-02-23,8804.955
2015-02-24,8683.986
2015-02-25,8500.189
2015-02-26,8432.285
2015-02-27,8524.233
2015-03-02,8452.85
2015-03-03,8480.353
2015-03-04,8462.552
2015-03-05,8466.033
2015-03-06,8428.098
2015-03-09,8405.073
2015-03-10,8359.734
2015-03-11,8357.435
2015-03-12,8352.194
2015-03-13,8352.194
2015-03-16,8352.194
2015-03-17,8352.194
2015-03-18,8352.194
2015-03-19,8352.197
2015-03-20,8352.34
2015-03-23,8360.023
2015-03-24,8366.646
2015-03-25,8363.836
2015-03-26,8362.175
2015-03-27,8367.842
2015-03-30,8363.716
2015-03-31,8355.068
2015-04-01,8355.236
2015-04-02,8355.531
2015-04-03,8352.205
2015-04-06,8352.194
2015-04-07,8352.194
2015-04-08,8352.194
2015-04-09,8352.194
2015-04-10,8411.039
2015-04-13,8515.377
2015-04-14,8599.197
2015-04-15,8637.285
2015-04-16,8654.111
2015-04-17,8544.672
2015-04-20,8320.446
2015-04-21,8215.745
2015-04-22,8190.4453
2015-04-23,8065.9575
2015-04-24,8155.383
2015-04-27,8240.547
2015-04-28,8290.636
2015-04-29,8338.173
2015-04-30,8440.922
2015-05-01,8446.207
2015-05-04,8446.207
2015-05-05,8338.282
2015-05-06,8156.2314
2015-05-07,8194.034
2015-05-08,8369.344
2015-05-11,8327.934
2015-05-12,8365.757
2015-05-13,8459.484
2015-05-14,8488.493
2015-05-15,8446.207
2015-05-18,8450.523
2015-05-19,8454.254
2015-05-20,8450.537
2015-05-21,8446.799
2015-05-22,8446.89
2015-05-25,8444.1045
2015-05-26,8437.762
2015-05-27,8437.762
2015-05-28,8437.762
2015-05-29,8437.762
2015-06-01,8437.762
2015-06-02,8437.762
2015-06-03,8437.762
2015-06-04,8343.004
2015-06-05,8265.512
2015-06-08,8382.904
2015-06-09,8404.321
2015-06-10,8357.185
2015-06-11,8491.199
2015-06-12,8491.551
2015-06-15,8481.067
2015-06-16,8473.682
2015-06-17,8535.125
2015-06-18,8529.007
2015-06-19,8559.568
2015-06-22,8572.824
2015-06-23,8615.109
2015-06-24,8615.109
2015-06-25,8615.109
2015-06-26,8615.109
2015-06-29,8615.109
2015-06-30,8571.9375
