Date,Predicted Price
2017-12-22,24.666992
2017-12-25,24.689407
2017-12-26,24.680584
2017-12-27,24.874783
2017-12-28,25.387266
2017-12-29,25.979563
2018-01-01,26.55404
2018-01-02,27.081413
2018-01-03,27.504519
2018-01-04,27.699606
2018-01-05,27.55347
2018-01-08,27.389597
2018-01-09,27.385897
2018-01-10,27.392641
2018-01-11,27.374573
2018-01-12,27.474623
2018-01-15,27.37255
2018-01-16,27.186747
2018-01-17,27.116997
2018-01-18,27.061754
2018-01-19,27.032648
2018-01-22,27.104053
2018-01-23,27.129711
2018-01-24,27.052858
2018-01-25,27.017288
2018-01-26,27.010044
2018-01-29,27.054468
2018-01-30,26.982128
2018-01-31,27.037958
2018-02-01,27.064749
2018-02-02,26.978563
2018-02-05,26.914686
2018-02-06,26.957542
2018-02-07,26.999823
2018-02-08,26.936407
2018-02-09,26.857782
2018-02-12,26.828293
2018-02-13,27.023699
2018-02-14,27.37852
2018-02-15,27.681465
2018-02-16,28.02267
2018-02-19,28.13775
2018-02-20,27.93622
2018-02-21,27.699425
2018-02-22,27.272043
2018-02-23,27.030474
2018-02-26,26.82208
2018-02-27,26.603998
2018-02-28,26.331394
2018-03-01,26.302542
2018-03-02,26.378382
2018-03-05,26.441875
2018-03-06,26.615728
2018-03-07,26.797752
2018-03-08,27.114473
2018-03-09,27.103363
2018-03-12,27.243032
2018-03-13,27.19756
2018-03-14,27.18166
2018-03-15,26.982965
2018-03-16,26.840267
2018-03-19,26.806946
2018-03-20,26.858686
2018-03-21,26.946964
2018-03-22,27.117752
2018-03-23,27.293562
2018-03-26,27.394192
2018-03-27,27.37419
2018-03-28,27.32503
2018-03-29,27.193579
2018-03-30,27.152664
2018-04-02,27.015244
2018-04-03,27.050873
2018-04-04,27.147497
2018-04-05,27.24848
2018-04-06,27.273811
2018-04-09,27.435862
2018-04-10,27.46906
2018-04-11,27.439613
2018-04-12,27.352285
2018-04-13,27.196077
2018-04-16,26.999605
2018-04-17,26.974718
2018-04-18,26.885012
2018-04-19,26.835173
2018-04-20,26.867172
2018-04-23,26.969358
2018-04-24,26.81
2018-04-25,26.8435
2018-04-26,26.776377
2018-04-27,26.732315
2018-04-30,26.595387
2018-05-01,26.572327
2018-05-02,26.48948
2018-05-03,26.520468
2018-05-04,26.458242
2018-05-07,26.42423
2018-05-08,26.377779
2018-05-09,26.343859
2018-05-10,26.186693
2018-05-11,26.19379
2018-05-14,26.02089
2018-05-15,25.685703
2018-05-16,25.40029
2018-05-17,25.275108
2018-05-18,24.84949
2018-05-21,24.623549
2018-05-22,24.521652
2018-05-23,24.344969
2018-05-24,24.106716
2018-05-25,24.055094
2018-05-28,24.06979
2018-05-29,24.15996
2018-05-30,24.212423
2018-05-31,24.318293
2018-06-01,24.252258
2018-06-04,24.10141
2018-06-05,23.732876
2018-06-06,23.371695
2018-06-07,23.112568
2018-06-08,23.04786
2018-06-11,23.01815
2018-06-12,23.362127
2018-06-13,23.710783
2018-06-14,23.84327
2018-06-15,23.990973
2018-06-18,24.198874
2018-06-19,24.10201
2018-06-20,24.201395
2018-06-21,24.340805
2018-06-22,24.335445
2018-06-25,24.251429
2018-06-26,24.086048
2018-06-27,24.007763
2018-06-28,24.165783
2018-06-29,24.394663
2018-07-02,24.56555
2018-07-03,24.67852
2018-07-04,24.738104
2018-07-05,24.470058
2018-07-06,24.040684
2018-07-09,23.81177
2018-07-10,23.594265
2018-07-11,23.312626
2018-07-12,23.280043
2018-07-13,23.225079
2018-07-16,23.147278
2018-07-17,23.28248
2018-07-18,23.316519
2018-07-19,23.4637
2018-07-20,23.67422
2018-07-23,23.819338
2018-07-24,23.958166
2018-07-25,24.190657
2018-07-26,24.330761
2018-07-27,24.45577
2018-07-30,24.662172
2018-07-31,25.130648
2018-08-01,25.446604
2018-08-02,25.721563
2018-08-03,25.874199
2018-08-06,25.93023
2018-08-07,25.632261
2018-08-08,25.453154
2018-08-09,25.274126
2018-08-10,25.131884
2018-08-13,24.925661
2018-08-14,24.570812
2018-08-15,24.202938
2018-08-16,23.79109
2018-08-17,23.290922
2018-08-20,22.903532
2018-08-21,22.762545
2018-08-22,22.583025
2018-08-23,22.52678
2018-08-24,22.545937
2018-08-27,22.636923
2018-08-28,22.769505
2018-08-29,22.85581
2018-08-30,22.817617
2018-08-31,22.768873
2018-09-03,22.6147
2018-09-04,22.471273
2018-09-05,22.319504
2018-09-06,22.310587
2018-09-07,22.337488
2018-09-10,22.260204
2018-09-11,22.095196
2018-09-12,21.91718
2018-09-13,21.75095
2018-09-14,21.668863
2018-09-17,21.728746
2018-09-18,21.720242
2018-09-19,21.788507
2018-09-20,21.927126
2018-09-21,21.951199
2018-09-24,21.870874
2018-09-25,21.964972
2018-09-26,21.995775
2018-09-27,22.00247
2018-09-28,22.041649
2018-10-01,22.065657
2018-10-02,22.07004
2018-10-03,22.02311
2018-10-04,21.963581
2018-10-05,21.82626
2018-10-08,21.52215
2018-10-09,21.106674
2018-10-10,20.736052
2018-10-11,20.427855
2018-10-12,20.23865
2018-10-15,20.222393
2018-10-16,20.217844
2018-10-17,20.322828
2018-10-18,20.701008
2018-10-19,20.924013
2018-10-22,21.194809
2018-10-23,21.699865
2018-10-24,21.986174
2018-10-25,22.236895
2018-10-26,22.659056
2018-10-29,23.004522
2018-10-30,23.380003
2018-10-31,23.840052
2018-11-01,24.034485
2018-11-02,24.110657
2018-11-05,24.311722
2018-11-06,24.2516
2018-11-07,24.384733
2018-11-08,24.743322
2018-11-09,25.061344
2018-11-12,25.236555
2018-11-13,25.502638
2018-11-14,25.646002
2018-11-15,25.560688
2018-11-16,25.534224
2018-11-19,25.531544
2018-11-20,25.467104
2018-11-21,25.505915
2018-11-22,25.483952
2018-11-23,25.488302
2018-11-26,25.453238
2018-11-27,25.430504
2018-11-28,25.470766
2018-11-29,25.512478
2018-11-30,25.588001
2018-12-03,25.600159
2018-12-04,25.405893
2018-12-05,25.145666
2018-12-06,24.851168
2018-12-07,24.509466
2018-12-10,24.184912
2018-12-11,24.105764
2018-12-12,23.905416
2018-12-13,23.717371
2018-12-14,23.451853
2018-12-17,23.188465
2018-12-18,22.894293
2018-12-19,22.608595
2018-12-20,22.376125
2018-12-21,22.262604
2018-12-24,22.128212
2018-12-25,21.972883
2018-12-26,21.86615
2018-12-27,21.975344
2018-12-28,33.760944
2018-12-31,31.761198
2019-01-01,29.956491
2019-01-02,28.534325
2019-01-03,26.565645
2019-01-04,23.728588
2019-01-07,23.968792
2019-01-08,23.998552
2019-01-09,23.906248
2019-01-10,23.886766
2019-01-11,23.820017
2019-01-14,23.610407
2019-01-15,23.354445
2019-01-16,23.22792
2019-01-17,23.20421
2019-01-18,23.156033
2019-01-21,23.190744
2019-01-22,23.242487
2019-01-23,23.21464
2019-01-24,23.011759
2019-01-25,22.964392
2019-01-28,22.85885
2019-01-29,22.679241
2019-01-30,22.61526
2019-01-31,22.667469
2019-02-01,22.719698
2019-02-04,22.874327
2019-02-05,23.078909
2019-02-06,23.186638
2019-02-07,23.348696
2019-02-08,23.344862
2019-02-11,23.349232
2019-02-12,23.239176
2019-02-13,23.173689
2019-02-14,23.01452
2019-02-15,22.813925
2019-02-18,22.722544
2019-02-19,22.77837
2019-02-20,22.707767
2019-02-21,22.688026
2019-02-22,22.665697
2019-02-25,22.63175
2019-02-26,22.4071
2019-02-27,22.092995
2019-02-28,21.894732
2019-03-01,21.75818
2019-03-04,21.566008
2019-03-05,21.680649
2019-03-06,21.843771
2019-03-07,22.037321
2019-03-08,22.179659
2019-03-11,22.137617
2019-03-12,22.015768
2019-03-13,21.839415
2019-03-14,21.597483
2019-03-15,21.530148
2019-03-18,21.549797
2019-03-19,21.539648
2019-03-20,21.57574
2019-03-21,21.679441
2019-03-22,21.665905
2019-03-25,21.675032
2019-03-26,21.726664
