Date,Predicted Price
2016-04-19,91.254875
2016-04-20,91.35288
2016-04-21,91.42077
2016-04-22,91.99468
2016-04-25,92.43187
2016-04-26,92.92359
2016-04-27,93.584854
2016-04-28,96.182594
2016-04-29,98.678505
2016-05-02,100.23731
2016-05-03,100.25869
2016-05-04,102.86254
2016-05-05,104.470604
2016-05-06,107.388306
2016-05-09,107.92683
2016-05-10,109.68102
2016-05-11,110.02378
2016-05-12,110.73284
2016-05-13,111.21468
2016-05-16,111.651054
2016-05-17,112.28316
2016-05-18,113.456856
2016-05-19,114.31455
2016-05-20,113.821495
2016-05-23,113.71369
2016-05-24,113.45771
2016-05-25,112.29597
2016-05-26,111.92837
2016-05-27,111.791115
2016-05-30,111.74944
2016-05-31,110.604034
2016-06-01,110.12392
2016-06-02,110.0679
2016-06-03,110.68757
2016-06-06,111.23654
2016-06-07,111.059494
2016-06-08,111.533806
2016-06-09,112.36892
2016-06-10,112.96832
2016-06-13,111.83447
2016-06-14,110.92361
2016-06-15,111.41903
2016-06-16,113.58689
2016-06-17,113.37437
2016-06-20,112.52184
2016-06-21,112.88012
2016-06-22,113.40714
2016-06-23,112.47021
2016-06-24,111.95983
2016-06-27,109.79288
2016-06-28,107.76174
2016-06-29,107.72538
2016-06-30,108.96479
2016-07-01,108.27175
2016-07-04,107.97392
2016-07-05,109.0917
2016-07-06,109.79403
2016-07-07,109.700165
2016-07-08,109.77754
2016-07-11,110.03269
2016-07-12,110.42808
2016-07-13,111.997795
2016-07-14,113.03058
2016-07-15,113.43226
2016-07-18,113.80718
2016-07-19,114.15414
2016-07-20,114.50718
2016-07-21,114.34266
2016-07-22,114.20713
2016-07-25,113.41004
2016-07-26,112.237335
2016-07-27,111.03177
2016-07-28,110.67193
2016-07-29,109.77799
2016-08-01,108.53709
2016-08-02,108.03231
2016-08-03,107.91713
2016-08-04,106.80855
2016-08-05,106.35374
2016-08-08,106.51037
2016-08-09,106.96844
2016-08-10,107.58831
2016-08-11,108.306755
2016-08-12,108.2893
2016-08-15,108.92002
2016-08-16,110.06872
2016-08-17,110.75922
2016-08-18,110.72584
2016-08-19,111.180916
2016-08-22,111.48837
2016-08-23,111.145836
2016-08-24,110.67894
2016-08-25,111.15613
2016-08-26,111.55703
2016-08-29,111.53173
2016-08-30,111.32131
2016-08-31,111.49947
2016-09-01,110.99339
2016-09-02,110.59932
2016-09-05,109.501305
2016-09-06,109.78068
2016-09-07,109.88483
2016-09-08,110.602196
2016-09-09,110.96662
2016-09-12,111.85323
2016-09-13,112.17063
2016-09-14,112.50194
2016-09-15,112.63093
2016-09-16,111.55895
2016-09-19,110.555756
2016-09-20,109.939415
2016-09-21,109.60031
2016-09-22,108.75165
2016-09-23,109.2253
2016-09-26,109.38997
2016-09-27,109.43665
2016-09-28,109.382164
2016-09-29,109.43024
2016-09-30,110.23438
2016-10-03,110.61421
2016-10-04,110.95993
2016-10-05,111.098274
2016-10-06,111.56227
2016-10-07,111.52135
2016-10-10,111.849754
2016-10-11,111.97729
2016-10-12,112.03524
2016-10-13,112.04468
2016-10-14,112.24068
2016-10-17,113.09553
2016-10-18,113.48975
2016-10-19,113.2582
2016-10-20,113.56305
2016-10-21,115.15184
2016-10-24,115.798454
2016-10-25,115.49244
2016-10-26,115.56512
2016-10-27,114.97703
2016-10-28,113.80402
2016-10-31,112.962166
2016-11-01,112.76322
2016-11-02,113.25512
2016-11-03,113.39936
2016-11-04,113.499504
2016-11-07,113.54477
2016-11-08,113.94052
2016-11-09,113.629036
2016-11-10,112.761734
2016-11-11,112.57486
2016-11-14,112.46426
2016-11-15,112.07174
2016-11-16,111.72543
2016-11-17,112.001785
2016-11-18,112.09102
2016-11-21,111.80245
2016-11-22,112.19242
2016-11-23,113.36983
2016-11-24,114.36914
2016-11-25,115.00457
2016-11-28,115.437225
2016-11-29,115.211876
2016-11-30,114.42515
2016-12-01,113.705894
2016-12-02,115.32084
2016-12-05,116.196815
2016-12-06,119.07697
2016-12-07,121.3825
2016-12-08,122.003044
2016-12-09,121.7488
2016-12-12,124.27833
2016-12-13,125.30207
2016-12-14,127.78495
2016-12-15,129.77406
2016-12-16,131.72311
2016-12-19,132.5912
2016-12-20,133.36552
2016-12-21,132.75388
2016-12-22,132.77054
2016-12-23,131.83867
2016-12-26,131.42165
2016-12-27,131.52724
2016-12-28,131.94511
2016-12-29,132.24847
2016-12-30,132.50818
2017-01-02,132.89412
2017-01-03,133.39342
2017-01-04,135.49431
2017-01-05,135.701
2017-01-06,135.873
2017-01-09,136.47559
2017-01-10,136.37321
2017-01-11,135.76727
2017-01-12,135.65681
2017-01-13,135.96428
2017-01-16,135.69652
2017-01-17,135.37245
2017-01-18,134.57237
2017-01-19,131.28218
2017-01-20,128.1198
2017-01-23,127.1393
2017-01-24,127.129715
2017-01-25,126.449615
2017-01-26,126.22357
2017-01-27,126.7557
2017-01-30,126.08094
2017-01-31,126.57699
2017-02-01,128.00537
2017-02-02,128.03139
2017-02-03,128.35634
2017-02-06,128.486
2017-02-07,128.72389
2017-02-08,128.01866
2017-02-09,127.7123
2017-02-10,126.95176
2017-02-13,126.766495
2017-02-14,127.2181
2017-02-15,127.02186
2017-02-16,126.29262
2017-02-17,126.9936
2017-02-20,126.79289
2017-02-21,126.315285
2017-02-22,126.873085
2017-02-23,127.45922
2017-02-24,127.542305
2017-02-27,127.16337
2017-02-28,127.216934
2017-03-01,127.1038
2017-03-02,127.27279
2017-03-03,127.75416
2017-03-06,127.80755
2017-03-07,127.94929
2017-03-08,127.94794
2017-03-09,128.14769
2017-03-10,126.6883
2017-03-13,124.83801
2017-03-14,122.834946
2017-03-15,122.03376
2017-03-16,121.354515
2017-03-17,121.24548
2017-03-20,119.1688
2017-03-21,118.61989
2017-03-22,118.6939
2017-03-23,119.08838
2017-03-24,118.631195
2017-03-27,118.93922
2017-03-28,119.24517
2017-03-29,118.96548
2017-03-30,118.88619
2017-03-31,119.45893
2017-04-03,119.874985
2017-04-04,120.50178
2017-04-05,120.99265
2017-04-06,121.5123
2017-04-07,121.88921
2017-04-10,122.71125
2017-04-11,123.92387
2017-04-12,124.91457
2017-04-13,125.876205
2017-04-14,125.10903
2017-04-17,123.53562
2017-04-18,122.400215
2017-04-19,122.29885
2017-04-20,123.67007
2017-04-21,124.676216
2017-04-24,125.52996
2017-04-25,127.65328
2017-04-26,128.60597
2017-04-27,128.83057
2017-04-28,128.63527
2017-05-01,127.404945
2017-05-02,126.42307
2017-05-03,125.47055
2017-05-04,125.28564
2017-05-05,125.05959
2017-05-08,125.36885
2017-05-09,127.88363
2017-05-10,128.93678
2017-05-11,128.88985
2017-05-12,130.50877
2017-05-15,132.86472
2017-05-16,136.56747
2017-05-17,136.92563
2017-05-18,137.33852
2017-05-19,137.17876
2017-05-22,137.49527
2017-05-23,138.96971
2017-05-24,143.40173
2017-05-25,147.73688
2017-05-26,148.71855
2017-05-29,148.60773
2017-05-30,149.93105
2017-05-31,150.5603
2017-06-01,147.0317
2017-06-02,142.23145
2017-06-05,138.42288
2017-06-06,136.46698
2017-06-07,133.6981
2017-06-08,132.769
2017-06-09,131.65694
2017-06-12,130.83115
2017-06-13,127.19246
2017-06-14,125.862595
2017-06-15,124.10121
2017-06-16,122.27804
2017-06-19,118.64571
2017-06-20,118.21859
2017-06-21,115.36672
2017-06-22,114.16921
2017-06-23,114.034645
2017-06-26,114.61262
2017-06-27,113.89028
2017-06-28,114.16134
2017-06-29,114.47714
2017-06-30,116.472786
2017-07-03,115.84373
2017-07-04,112.79306
2017-07-05,112.99534
2017-07-06,115.058846
2017-07-07,114.7091
2017-07-10,114.7845
2017-07-11,116.4419
2017-07-12,114.607185
2017-07-13,115.31681
2017-07-14,115.69032
2017-07-17,116.10908
2017-07-18,116.20757
2017-07-19,119.21851
2017-07-20,119.4734
2017-07-21,120.54602
2017-07-24,121.49586
2017-07-25,122.50885
2017-07-26,123.05646
2017-07-27,123.888245
2017-07-28,124.54356
2017-07-31,125.05837
2017-08-01,126.55839
2017-08-02,128.47801
2017-08-03,129.06169
2017-08-04,129.67336
2017-08-07,129.72763
2017-08-08,129.22041
2017-08-09,128.20462
2017-08-10,127.287605
2017-08-11,126.36343
2017-08-14,125.13061
2017-08-15,124.48536
2017-08-16,121.8641
2017-08-17,121.31771
2017-08-18,119.22671
2017-08-21,119.71496
2017-08-22,119.20544
2017-08-23,119.46891
2017-08-24,119.31095
2017-08-25,119.82221
2017-08-28,119.9188
2017-08-29,119.89264
2017-08-30,119.11686
2017-08-31,118.75002
2017-09-01,117.44102
2017-09-04,116.68815
2017-09-05,116.110405
2017-09-06,118.46137
2017-09-07,118.565926
2017-09-08,118.681946
2017-09-11,119.65778
2017-09-12,120.010605
2017-09-13,119.92388
2017-09-14,122.81383
2017-09-15,124.53915
2017-09-18,124.10612
2017-09-19,123.98054
2017-09-20,124.75709
2017-09-21,124.391205
2017-09-22,123.63796
2017-09-25,123.11026
2017-09-26,123.27935
2017-09-27,123.55122
2017-09-28,123.17714
2017-09-29,123.08048
2017-10-02,122.552025
2017-10-03,122.03488
2017-10-04,120.42318
2017-10-05,118.650604
2017-10-06,117.92126
2017-10-09,118.78611
2017-10-10,118.84433
2017-10-11,117.94265
2017-10-12,118.13427
2017-10-13,118.71526
2017-10-16,118.76798
2017-10-17,120.466835
2017-10-18,121.61657
2017-10-19,122.31266
2017-10-20,123.38523
2017-10-23,125.13597
2017-10-24,124.406456
2017-10-25,124.18373
2017-10-26,124.61295
2017-10-27,124.50297
2017-10-30,123.248344
2017-10-31,122.29327
2017-11-01,121.13834
2017-11-02,122.3433
2017-11-03,125.579155
2017-11-06,128.11397
2017-11-07,130.4934
2017-11-08,132.59727
2017-11-09,132.56068
2017-11-10,133.26411
2017-11-13,133.2784
2017-11-14,133.43126
2017-11-15,82.04239
2017-11-16,99.069374
2017-11-17,109.157845
2017-11-20,116.74026
2017-11-21,120.45419
2017-11-22,129.1361
2017-11-23,130.0687
2017-11-24,130.41261
2017-11-27,130.55115
2017-11-28,130.22859
2017-11-29,128.8443
2017-11-30,128.95323
2017-12-01,129.26653
2017-12-04,129.11522
2017-12-05,130.09341
2017-12-06,130.02907
2017-12-07,130.16551
2017-12-08,128.91936
2017-12-11,129.44643
2017-12-12,130.94719
2017-12-13,132.3022
2017-12-14,131.61281
2017-12-15,131.45526
2017-12-18,131.94131
2017-12-19,131.74828
2017-12-20,130.8857
2017-12-21,131.73354
2017-12-22,132.65196
2017-12-25,134.25075
2017-12-26,134.93669
2017-12-27,134.70018
2017-12-28,136.14134
2017-12-29,136.74672
2018-01-01,136.69768
2018-01-02,136.27303
2018-01-03,138.09245
2018-01-04,139.62672
2018-01-05,141.10983
2018-01-08,141.67445
2018-01-09,143.02733
2018-01-10,142.97255
2018-01-11,143.54909
2018-01-12,143.07942
2018-01-15,142.02992
2018-01-16,141.55655
2018-01-17,143.13277
