Date,Predicted Price
2015-04-13,787.1849
2015-04-14,784.1211
2015-04-15,790.59906
2015-04-16,797.31586
2015-04-17,797.31586
2015-04-20,797.31586
2015-04-21,797.31586
2015-04-22,798.8652
2015-04-23,793.7028
2015-04-24,781.2178
2015-04-27,765.7967
2015-04-28,742.2274
2015-04-29,719.06024
2015-04-30,710.5334
2015-05-01,714.57806
2015-05-04,725.86847
2015-05-05,746.90717
2015-05-06,757.1579
2015-05-07,761.2845
2015-05-08,757.022
2015-05-11,750.0191
2015-05-12,745.0258
2015-05-13,752.777
2015-05-14,764.44366
2015-05-15,776.0168
2015-05-18,788.5483
2015-05-19,804.0403
2015-05-20,813.4705
2015-05-21,813.4705
2015-05-22,813.4705
2015-05-25,806.45514
2015-05-26,792.22614
2015-05-27,784.8925
2015-05-28,781.9078
2015-05-29,781.9041
2015-06-01,800.9393
2015-06-02,829.78
2015-06-03,848.6258
2015-06-04,857.8193
2015-06-05,855.9015
2015-06-08,841.1546
2015-06-09,833.88104
2015-06-10,826.9743
2015-06-11,819.94354
2015-06-12,822.82025
2015-06-15,828.07745
2015-06-16,817.1697
2015-06-17,810.52625
2015-06-18,815.45734
2015-06-19,811.782
2015-06-22,804.7499
2015-06-23,801.26373
2015-06-24,803.0627
2015-06-25,798.7222
2015-06-26,790.30707
2015-06-29,777.8681
2015-06-30,774.526
2015-07-01,777.8251
2015-07-02,778.13116
2015-07-03,783.87555
2015-07-06,795.3997
2015-07-07,800.174
2015-07-08,798.0391
2015-07-09,792.5812
2015-07-10,787.5308
2015-07-13,791.30145
2015-07-14,789.2625
2015-07-15,783.8448
2015-07-16,780.029
2015-07-17,776.28033
2015-07-20,772.46063
2015-07-21,768.2566
2015-07-22,765.4084
2015-07-23,765.7131
2015-07-24,762.56586
2015-07-27,762.19055
2015-07-28,759.0375
2015-07-29,757.4378
2015-07-30,757.77423
2015-07-31,758.8289
2015-08-03,756.81915
2015-08-04,759.62286
2015-08-05,754.3289
2015-08-06,748.9589
2015-08-07,745.3025
2015-08-10,741.4579
2015-08-11,734.4704
2015-08-12,730.59827
2015-08-13,727.0041
2015-08-14,723.90765
2015-08-17,719.72614
2015-08-18,718.82294
2015-08-19,717.6497
2015-08-20,718.9286
2015-08-21,715.83545
2015-08-24,712.49
2015-08-25,718.52924
2015-08-26,729.8435
2015-08-27,745.87225
2015-08-28,774.37573
2015-08-31,810.8444
2015-09-01,848.96564
2015-09-02,876.01654
2015-09-03,890.9493
2015-09-04,892.49384
2015-09-07,887.4348
2015-09-08,864.43475
2015-09-09,851.18353
2015-09-10,839.3261
2015-09-11,834.1192
2015-09-14,828.1474
2015-09-15,823.8525
2015-09-16,815.95404
2015-09-17,818.1625
2015-09-18,816.983
2015-09-21,818.35693
2015-09-22,827.9112
2015-09-23,827.9112
2015-09-24,827.9112
2015-09-25,827.9112
2015-09-28,827.9112
2015-09-29,827.9112
2015-09-30,835.0352
2015-10-01,850.20917
2015-10-02,864.883
2015-10-05,878.7465
2015-10-06,889.033
2015-10-07,893.29767
2015-10-08,887.1515
2015-10-09,877.2584
2015-10-12,867.4974
2015-10-13,871.01385
2015-10-14,875.3253
2015-10-15,877.2758
2015-10-16,879.68805
2015-10-19,891.857
2015-10-20,895.2624
2015-10-21,886.2633
2015-10-22,877.4939
2015-10-23,874.9454
2015-10-26,870.6883
2015-10-27,870.5908
2015-10-28,879.09296
2015-10-29,893.1828
2015-10-30,897.7518
2015-11-02,908.51715
2015-11-03,916.46594
2015-11-04,925.4101
2015-11-05,926.51044
2015-11-06,924.78503
2015-11-09,912.8946
2015-11-10,903.3536
2015-11-11,893.83575
2015-11-12,898.91956
2015-11-13,896.4506
2015-11-16,894.0337
2015-11-17,904.12006
2015-11-18,911.4634
2015-11-19,908.302
2015-11-20,915.1192
2015-11-23,920.823
2015-11-24,923.02704
2015-11-25,923.02704
2015-11-26,923.02704
2015-11-27,923.02704
2015-11-30,923.02704
2015-12-01,927.8615
2015-12-02,933.0829
2015-12-03,937.4742
2015-12-04,944.0328
2015-12-07,946.17285
2015-12-08,941.09564
2015-12-09,936.7254
2015-12-10,930.43805
2015-12-11,923.93005
2015-12-14,923.93005
2015-12-15,923.93005
2015-12-16,923.93005
2015-12-17,920.8101
2015-12-18,917.44165
2015-12-21,914.55505
