Date,Predicted Price
2014-12-30,528.969
2014-12-31,543.3973
2015-01-01,550.8591
2015-01-02,555.1308
2015-01-05,557.0692
2015-01-06,555.76105
2015-01-07,556.4451
2015-01-08,557.0927
2015-01-09,559.80707
2015-01-12,559.7615
2015-01-13,559.57324
2015-01-14,559.8792
2015-01-15,559.0515
2015-01-16,556.6096
2015-01-19,553.2198
2015-01-20,551.46155
2015-01-21,547.7441
2015-01-22,546.20953
2015-01-23,548.297
2015-01-26,551.435
2015-01-27,551.90955
2015-01-28,561.64667
2015-01-29,579.973
2015-01-30,585.964
2015-02-02,597.79407
2015-02-03,597.9357
2015-02-04,599.0446
2015-02-05,594.6877
2015-02-06,592.7973
2015-02-09,588.09314
2015-02-10,586.57794
2015-02-11,585.16144
2015-02-12,586.4418
2015-02-13,585.5574
2015-02-16,579.4372
2015-02-17,578.5361
2015-02-18,572.1425
2015-02-19,569.99286
2015-02-20,561.2305
2015-02-23,557.24615
2015-02-24,558.95575
2015-02-25,557.08545
2015-02-26,557.46246
2015-02-27,556.90106
2015-03-02,547.25446
2015-03-03,540.508
2015-03-04,532.1796
2015-03-05,527.4821
2015-03-06,522.0158
2015-03-09,517.7496
2015-03-10,510.14883
2015-03-11,506.02393
2015-03-12,500.3859
2015-03-13,499.19867
2015-03-16,502.19467
2015-03-17,511.772
2015-03-18,510.29904
2015-03-19,500.61652
2015-03-20,498.2855
2015-03-23,504.10437
2015-03-24,505.84885
2015-03-25,494.16452
2015-03-26,480.99075
2015-03-27,464.4982
2015-03-30,445.31778
2015-03-31,441.78152
2015-04-01,448.46927
2015-04-02,453.54337
2015-04-03,458.00424
2015-04-06,461.6083
2015-04-07,466.02853
2015-04-08,468.5776
2015-04-09,471.87558
2015-04-10,477.82852
2015-04-13,479.54202
2015-04-14,480.30707
2015-04-15,485.97604
2015-04-16,486.92874
2015-04-17,486.12384
2015-04-20,485.91275
2015-04-21,485.01947
2015-04-22,482.60135
2015-04-23,480.31207
2015-04-24,481.57578
2015-04-27,480.63968
2015-04-28,476.88943
2015-04-29,474.05557
2015-04-30,472.6091
2015-05-01,471.80106
2015-05-04,471.22855
2015-05-05,467.8212
2015-05-06,465.20563
2015-05-07,463.96893
2015-05-08,461.26474
2015-05-11,454.574
2015-05-12,446.75772
2015-05-13,442.77335
2015-05-14,441.13858
2015-05-15,439.8962
2015-05-18,445.6086
2015-05-19,452.1372
2015-05-20,453.32718
2015-05-21,455.40475
2015-05-22,458.37567
2015-05-25,459.5375
2015-05-26,461.62686
2015-05-27,460.72543
2015-05-28,464.44104
2015-05-29,464.60654
2015-06-01,469.2855
2015-06-02,471.91693
2015-06-03,474.5786
2015-06-04,473.66672
2015-06-05,474.73804
2015-06-08,470.58893
2015-06-09,477.68445
2015-06-10,483.64615
2015-06-11,497.94003
2015-06-12,503.11395
2015-06-15,504.06418
2015-06-16,508.3403
2015-06-17,511.6976
2015-06-18,515.03864
2015-06-19,519.1391
2015-06-22,515.5019
2015-06-23,512.4467
2015-06-24,509.39798
2015-06-25,511.69257
2015-06-26,509.86694
2015-06-29,510.32834
2015-06-30,503.53293
2015-07-01,500.84317
2015-07-02,501.38092
2015-07-03,507.76303
2015-07-06,516.2954
2015-07-07,525.1977
2015-07-08,530.50275
2015-07-09,537.01917
2015-07-10,540.0936
2015-07-13,542.13464
2015-07-14,539.63586
2015-07-15,540.82245
2015-07-16,541.80914
2015-07-17,540.85016
2015-07-20,540.04083
2015-07-21,540.1652
2015-07-22,540.0037
2015-07-23,539.7662
2015-07-24,537.8323
2015-07-27,536.31354
2015-07-28,526.1083
2015-07-29,519.6931
2015-07-30,523.1562
2015-07-31,520.83636
2015-08-03,520.7347
2015-08-04,521.9517
2015-08-05,518.31134
2015-08-06,511.31522
2015-08-07,508.72574
2015-08-10,508.05453
2015-08-11,512.92194
2015-08-12,507.22275
2015-08-13,502.12988
2015-08-14,502.45648
2015-08-17,502.882
2015-08-18,499.8078
2015-08-19,499.9163
2015-08-20,489.7261
2015-08-21,481.36697
2015-08-24,474.1723
2015-08-25,459.91092
2015-08-26,457.64096
2015-08-27,457.02716
2015-08-28,454.33005
2015-08-31,449.11804
2015-09-01,450.908
2015-09-02,447.9656
2015-09-03,441.63736
2015-09-04,448.49652
2015-09-07,454.48965
2015-09-08,454.7587
2015-09-09,464.3453
2015-09-10,472.2653
2015-09-11,472.8566
