Date,Predicted Price
2014-12-30,171.91092
2014-12-31,169.5004
2015-01-01,167.5831
2015-01-02,166.96857
2015-01-05,168.0766
2015-01-06,167.47017
2015-01-07,165.17891
2015-01-08,163.26997
2015-01-09,164.56096
2015-01-12,169.16147
2015-01-13,170.84436
2015-01-14,169.81218
2015-01-15,168.56621
2015-01-16,168.3932
2015-01-19,167.61246
2015-01-20,167.86377
2015-01-21,168.065
2015-01-22,168.83624
2015-01-23,169.55884
2015-01-26,168.72568
2015-01-27,165.71301
2015-01-28,164.67783
2015-01-29,164.45189
2015-01-30,163.44034
2015-02-02,161.83029
2015-02-03,161.86461
2015-02-04,165.05014
2015-02-05,167.57143
2015-02-06,168.46628
2015-02-09,169.02528
2015-02-10,169.99004
2015-02-11,170.24823
2015-02-12,169.98114
2015-02-13,170.37012
2015-02-16,171.61345
2015-02-17,173.63762
2015-02-18,175.55002
2015-02-19,176.35785
2015-02-20,175.76576
2015-02-23,174.82005
2015-02-24,173.78406
2015-02-25,172.32751
2015-02-26,170.63113
2015-02-27,169.60562
2015-03-02,168.96861
2015-03-03,168.03271
2015-03-04,167.70294
2015-03-05,167.65285
2015-03-06,168.11993
2015-03-09,168.65993
2015-03-10,168.7661
2015-03-11,167.95961
2015-03-12,167.09952
2015-03-13,166.84015
2015-03-16,167.1221
2015-03-17,166.22702
2015-03-18,163.63461
2015-03-19,159.68082
2015-03-20,156.82376
2015-03-23,154.88626
2015-03-24,153.83057
2015-03-25,151.13113
2015-03-26,148.74252
2015-03-27,148.40134
2015-03-30,148.09367
2015-03-31,145.44818
2015-04-01,145.95773
2015-04-02,147.61375
2015-04-03,148.70195
2015-04-06,146.23016
2015-04-07,145.30783
2015-04-08,146.72733
2015-04-09,151.40385
2015-04-10,154.5107
2015-04-13,156.82755
2015-04-14,158.56079
2015-04-15,160.35571
2015-04-16,161.8807
2015-04-17,164.70825
2015-04-20,167.76143
2015-04-21,170.75096
2015-04-22,171.39633
2015-04-23,170.42787
2015-04-24,169.25034
2015-04-27,169.85303
2015-04-28,169.92282
2015-04-29,168.88142
2015-04-30,167.53004
2015-05-01,167.68565
2015-05-04,168.03223
2015-05-05,169.08109
2015-05-06,170.92126
2015-05-07,175.63593
2015-05-08,180.15102
2015-05-11,181.07707
2015-05-12,177.44283
2015-05-13,176.06433
2015-05-14,176.21542
2015-05-15,176.52357
2015-05-18,175.7003
2015-05-19,174.00412
2015-05-20,172.67769
2015-05-21,171.77255
2015-05-22,171.16536
2015-05-25,171.05624
2015-05-26,172.42628
2015-05-27,172.99588
2015-05-28,173.3461
2015-05-29,173.93608
2015-06-01,175.37003
2015-06-02,176.564
2015-06-03,177.39407
2015-06-04,177.84293
2015-06-05,178.01205
2015-06-08,177.91614
2015-06-09,180.02422
2015-06-10,181.48785
2015-06-11,183.30682
2015-06-12,185.26578
2015-06-15,187.19276
2015-06-16,187.66054
2015-06-17,187.30243
2015-06-18,186.84007
2015-06-19,186.41002
2015-06-22,186.09467
2015-06-23,184.79033
2015-06-24,183.66675
2015-06-25,182.93292
2015-06-26,181.85324
2015-06-29,180.60873
2015-06-30,180.78828
2015-07-01,182.26785
2015-07-02,183.34067
2015-07-03,183.50034
2015-07-06,183.83011
2015-07-07,182.44604
2015-07-08,178.07472
2015-07-09,173.32222
2015-07-10,170.84059
2015-07-13,170.09146
2015-07-14,168.86096
2015-07-15,166.35071
2015-07-16,165.28456
2015-07-17,164.29794
2015-07-20,163.3262
2015-07-21,162.61922
2015-07-22,162.68805
2015-07-23,162.25519
2015-07-24,162.31844
2015-07-27,162.13606
2015-07-28,161.2815
2015-07-29,160.3979
2015-07-30,161.09389
2015-07-31,163.94124
2015-08-03,166.49817
2015-08-04,166.80896
2015-08-05,166.55719
2015-08-06,166.76732
2015-08-07,166.8353
2015-08-10,166.42053
2015-08-11,165.11304
2015-08-12,164.8825
2015-08-13,164.41891
2015-08-14,164.26053
2015-08-17,164.08902
2015-08-18,163.07776
2015-08-19,161.3096
2015-08-20,160.75887
2015-08-21,158.27235
2015-08-24,155.79916
2015-08-25,151.82552
2015-08-26,146.41455
2015-08-27,142.64975
2015-08-28,143.99684
2015-08-31,148.25664
2015-09-01,152.94444
2015-09-02,155.73666
2015-09-03,155.22525
2015-09-04,154.99716
2015-09-07,155.0563
2015-09-08,153.65015
2015-09-09,153.55922
2015-09-10,154.52228
2015-09-11,153.25226
2015-09-14,152.28804
2015-09-15,152.65887
2015-09-16,152.39778
2015-09-17,151.56058
2015-09-18,151.38817
2015-09-21,151.21198
2015-09-22,150.61487
2015-09-23,149.73293
2015-09-24,148.82954
2015-09-25,148.30847
2015-09-28,148.0525
2015-09-29,147.66586
2015-09-30,146.60437
2015-10-01,145.63074
2015-10-02,146.22491
2015-10-05,147.00955
2015-10-06,147.38817
2015-10-07,148.62952
2015-10-08,151.81198
2015-10-09,152.9289
2015-10-12,155.47183
2015-10-13,160.19215
2015-10-14,162.83652
2015-10-15,162.93985
2015-10-16,162.45906
2015-10-19,160.63016
2015-10-20,157.8443
2015-10-21,155.99883
2015-10-22,154.9627
2015-10-23,154.58585
2015-10-26,154.53716
2015-10-27,154.32195
2015-10-28,153.57327
2015-10-29,153.36575
2015-10-30,154.14236
2015-11-02,155.48993
2015-11-03,156.50888
2015-11-04,156.71927
2015-11-05,158.03511
2015-11-06,159.96854
