Date,Predicted Price
2014-12-30,166.18353
2014-12-31,166.09128
2015-01-01,166.18204
2015-01-02,167.15265
2015-01-05,169.0401
2015-01-06,168.81992
2015-01-07,167.05533
2015-01-08,165.26974
2015-01-09,164.73409
2015-01-12,164.81544
2015-01-13,164.48169
2015-01-14,162.3783
2015-01-15,160.5212
2015-01-16,161.10428
2015-01-19,163.27078
2015-01-20,168.19443
2015-01-21,172.42793
2015-01-22,174.71066
2015-01-23,174.35805
2015-01-26,174.73804
2015-01-27,176.56433
2015-01-28,177.6261
2015-01-29,176.54865
2015-01-30,176.70331
2015-02-02,175.58392
2015-02-03,178.37509
2015-02-04,182.24207
2015-02-05,185.27487
2015-02-06,186.35852
2015-02-09,188.05257
2015-02-10,188.26617
2015-02-11,187.1095
2015-02-12,184.84392
2015-02-13,182.55553
2015-02-16,184.52472
2015-02-17,185.42717
2015-02-18,185.41359
2015-02-19,184.48715
2015-02-20,185.44606
2015-02-23,186.43161
2015-02-24,186.37465
2015-02-25,184.7284
2015-02-26,182.79202
2015-02-27,181.499
2015-03-02,179.65787
2015-03-03,177.56366
2015-03-04,177.193
2015-03-05,177.06152
2015-03-06,179.28944
2015-03-09,181.16293
2015-03-10,180.25691
2015-03-11,179.66492
2015-03-12,179.78772
2015-03-13,179.37158
2015-03-16,179.60925
2015-03-17,177.9052
2015-03-18,175.92877
2015-03-19,172.41678
2015-03-20,171.66595
2015-03-23,171.76572
2015-03-24,171.82068
2015-03-25,169.62366
2015-03-26,167.69382
2015-03-27,166.02576
2015-03-30,163.09975
2015-03-31,157.28255
2015-04-01,158.79759
2015-04-02,160.76875
2015-04-03,163.33728
2015-04-06,162.22215
2015-04-07,165.84999
2015-04-08,167.16963
2015-04-09,171.82751
2015-04-10,171.64441
2015-04-13,171.75279
2015-04-14,171.57556
2015-04-15,171.67044
2015-04-16,172.0415
2015-04-17,173.53757
2015-04-20,175.12936
2015-04-21,175.31528
2015-04-22,173.95949
2015-04-23,175.30804
2015-04-24,176.79591
2015-04-27,178.43877
2015-04-28,178.43307
2015-04-29,177.23233
2015-04-30,175.83577
2015-05-01,176.51654
2015-05-04,176.70605
2015-05-05,176.06996
2015-05-06,175.83078
2015-05-07,177.80779
2015-05-08,178.28882
2015-05-11,177.47003
2015-05-12,172.41873
2015-05-13,172.40411
2015-05-14,172.97401
2015-05-15,173.93614
2015-05-18,172.81165
2015-05-19,171.82452
2015-05-20,171.29047
2015-05-21,170.86075
2015-05-22,170.55397
2015-05-25,171.02457
2015-05-26,172.2207
2015-05-27,172.37762
2015-05-28,173.34369
2015-05-29,173.54562
2015-06-01,173.36977
2015-06-02,174.85362
2015-06-03,177.65007
2015-06-04,178.32777
2015-06-05,179.22443
2015-06-08,179.95364
2015-06-09,182.1052
2015-06-10,184.24606
2015-06-11,186.7143
2015-06-12,188.67372
2015-06-15,188.77542
2015-06-16,188.9801
2015-06-17,187.98096
2015-06-18,187.90701
2015-06-19,187.97632
2015-06-22,187.41713
2015-06-23,185.89325
2015-06-24,184.63351
2015-06-25,185.40355
2015-06-26,184.22287
2015-06-29,182.1617
2015-06-30,181.36874
2015-07-01,181.91342
2015-07-02,183.76703
2015-07-03,185.67198
2015-07-06,187.08224
2015-07-07,186.64459
2015-07-08,184.65625
2015-07-09,182.37125
2015-07-10,180.87729
2015-07-13,180.75012
2015-07-14,179.68901
2015-07-15,178.363
2015-07-16,178.15747
2015-07-17,179.4461
2015-07-20,179.87965
2015-07-21,180.01997
2015-07-22,180.16232
2015-07-23,178.97816
2015-07-24,177.8179
2015-07-27,176.69843
2015-07-28,174.44685
2015-07-29,172.98222
2015-07-30,172.91753
2015-07-31,174.20555
2015-08-03,174.47903
2015-08-04,175.259
2015-08-05,175.23387
2015-08-06,175.63869
2015-08-07,178.64537
2015-08-10,179.5588
2015-08-11,178.80449
2015-08-12,179.61055
2015-08-13,179.18831
2015-08-14,176.89496
2015-08-17,175.77792
2015-08-18,174.03448
2015-08-19,173.22212
2015-08-20,171.82672
