Date,Predicted Price
2015-05-21,247.20049
2015-05-22,242.12045
2015-05-25,241.7379
2015-05-26,242.92221
2015-05-27,238.59128
2015-05-28,240.00307
2015-05-29,241.12105
2015-06-01,242.16563
2015-06-02,243.18988
2015-06-03,242.47574
2015-06-04,249.88692
2015-06-05,256.49368
2015-06-08,257.70053
2015-06-09,255.2601
2015-06-10,249.36069
2015-06-11,245.4333
2015-06-12,243.15369
2015-06-15,241.1498
2015-06-16,238.28885
2015-06-17,245.15205
2015-06-18,249.97699
2015-06-19,245.44942
2015-06-22,241.74564
2015-06-23,239.84671
2015-06-24,240.33719
2015-06-25,243.2699
2015-06-26,244.07353
2015-06-29,242.26393
2015-06-30,238.62184
2015-07-01,237.35799
2015-07-02,243.72893
2015-07-03,243.98763
2015-07-06,246.9229
2015-07-07,244.56139
2015-07-08,239.0902
2015-07-09,237.62408
2015-07-10,238.59975
2015-07-13,239.1677
2015-07-14,243.09778
2015-07-15,242.81409
2015-07-16,240.43059
2015-07-17,239.96877
2015-07-20,240.2014
2015-07-21,240.18599
2015-07-22,240.18114
2015-07-23,239.41324
2015-07-24,238.55193
2015-07-27,237.0598
2015-07-28,238.15753
2015-07-29,238.5012
2015-07-30,238.80717
2015-07-31,238.54047
2015-08-03,236.78917
2015-08-04,236.792
2015-08-05,237.36475
2015-08-06,237.37825
2015-08-07,237.33124
2015-08-10,237.69386
2015-08-11,239.8278
2015-08-12,246.53941
2015-08-13,254.0754
2015-08-14,259.731
2015-08-17,263.7237
2015-08-18,264.88156
2015-08-19,268.78387
2015-08-20,275.1508
2015-08-21,278.85132
2015-08-24,269.8738
2015-08-25,259.1101
2015-08-26,261.09708
2015-08-27,265.65063
2015-08-28,261.88748
2015-08-31,260.74063
2015-09-01,260.0519
2015-09-02,261.00662
2015-09-03,265.1309
2015-09-04,267.1244
2015-09-07,268.39026
2015-09-08,264.45682
2015-09-09,262.35263
2015-09-10,261.46622
2015-09-11,260.62152
2015-09-14,257.8705
2015-09-15,256.47617
2015-09-16,252.9058
2015-09-17,250.58034
2015-09-18,247.60962
2015-09-21,246.30568
2015-09-22,249.70049
2015-09-23,253.31621
2015-09-24,253.7501
2015-09-25,253.49037
2015-09-28,253.35368
2015-09-29,254.90935
2015-09-30,252.961
2015-10-01,251.46075
2015-10-02,254.75299
2015-10-05,254.11255
2015-10-06,258.05173
2015-10-07,262.72195
2015-10-08,267.14017
2015-10-09,274.4473
2015-10-12,284.58786
2015-10-13,292.68845
2015-10-14,295.4401
2015-10-15,289.3487
2015-10-16,282.11215
2015-10-19,278.19162
2015-10-20,275.0789
2015-10-21,270.55554
2015-10-22,268.05762
2015-10-23,263.87915
2015-10-26,261.46136
2015-10-27,262.05875
2015-10-28,268.408
2015-10-29,277.54184
2015-10-30,282.26956
2015-11-02,281.68335
2015-11-03,281.11893
2015-11-04,287.82803
2015-11-05,290.0585
2015-11-06,288.337
2015-11-09,282.89682
2015-11-10,280.35547
2015-11-11,284.2832
2015-11-12,288.79965
2015-11-13,289.69043
2015-11-16,285.3347
2015-11-17,282.51114
2015-11-18,290.8375
2015-11-19,302.46555
2015-11-20,304.76993
2015-11-23,307.5624
2015-11-24,302.41562
2015-11-25,301.67395
2015-11-26,306.7516
2015-11-27,311.27734
