Date,Predicted Price
2014-12-30,24.64712
2014-12-31,24.5743
2015-01-01,24.562212
2015-01-02,24.465998
2015-01-05,24.290724
2015-01-06,24.238817
2015-01-07,24.184664
2015-01-08,24.075016
2015-01-09,24.161154
2015-01-12,24.326563
2015-01-13,24.519217
2015-01-14,24.697374
2015-01-15,24.9204
2015-01-16,24.95341
2015-01-19,24.883263
2015-01-20,24.720713
2015-01-21,24.51982
2015-01-22,24.24922
2015-01-23,24.000196
2015-01-26,23.942678
2015-01-27,23.993925
2015-01-28,24.030712
2015-01-29,24.0483
2015-01-30,24.060032
2015-02-02,24.106012
2015-02-03,24.107376
2015-02-04,24.037188
2015-02-05,23.825787
2015-02-06,23.63423
2015-02-09,23.320745
2015-02-10,22.932089
2015-02-11,22.875938
2015-02-12,22.836306
2015-02-13,22.688526
2015-02-16,22.560549
2015-02-17,22.409094
2015-02-18,22.23681
2015-02-19,22.232409
2015-02-20,22.352829
2015-02-23,22.392565
2015-02-24,22.287926
2015-02-25,21.957657
2015-02-26,21.52698
2015-02-27,21.213514
2015-03-02,21.140562
2015-03-03,21.075584
2015-03-04,21.027582
2015-03-05,21.030666
2015-03-06,21.268229
2015-03-09,21.476122
2015-03-10,21.67784
2015-03-11,21.71361
2015-03-12,21.662031
2015-03-13,21.530012
2015-03-16,21.49199
2015-03-17,21.578218
2015-03-18,21.552225
2015-03-19,21.234901
2015-03-20,20.974745
2015-03-23,20.905283
2015-03-24,20.89012
2015-03-25,20.824549
2015-03-26,20.78721
2015-03-27,20.504547
2015-03-30,20.228071
2015-03-31,19.757153
2015-04-01,19.64445
2015-04-02,19.537912
2015-04-03,19.580034
2015-04-06,19.69689
2015-04-07,20.128792
2015-04-08,20.393808
2015-04-09,20.486555
2015-04-10,20.576502
2015-04-13,20.698029
2015-04-14,20.642672
2015-04-15,20.524967
2015-04-16,20.364843
2015-04-17,20.308367
2015-04-20,20.30253
2015-04-21,20.209991
2015-04-22,20.032003
2015-04-23,20.007036
2015-04-24,19.955467
2015-04-27,19.916056
2015-04-28,19.839497
2015-04-29,19.805964
2015-04-30,19.769823
2015-05-01,19.790594
2015-05-04,19.81407
2015-05-05,19.781378
2015-05-06,19.683332
2015-05-07,19.632929
2015-05-08,19.604506
2015-05-11,19.521067
2015-05-12,19.192331
2015-05-13,18.958828
2015-05-14,18.853107
2015-05-15,18.951815
2015-05-18,19.12094
2015-05-19,19.30776
2015-05-20,19.331837
2015-05-21,19.323877
2015-05-22,19.283182
2015-05-25,19.20763
2015-05-26,19.18183
2015-05-27,19.192568
2015-05-28,19.114016
2015-05-29,19.30239
2015-06-01,19.403368
2015-06-02,19.567158
2015-06-03,19.675333
2015-06-04,19.763376
2015-06-05,19.954603
2015-06-08,20.103636
2015-06-09,20.142248
2015-06-10,20.046791
2015-06-11,19.943132
2015-06-12,20.0275
2015-06-15,20.130037
2015-06-16,20.493185
2015-06-17,20.898607
2015-06-18,21.343344
2015-06-19,21.680195
2015-06-22,22.056181
2015-06-23,22.178875
2015-06-24,22.27173
2015-06-25,22.470766
2015-06-26,22.971537
2015-06-29,23.154364
2015-06-30,23.165556
2015-07-01,23.096748
2015-07-02,23.331575
2015-07-03,23.341185
2015-07-06,23.4404
2015-07-07,23.540112
2015-07-08,23.46551
2015-07-09,23.124434
2015-07-10,22.892408
2015-07-13,22.796144
2015-07-14,22.850325
2015-07-15,23.257511
2015-07-16,24.017527
2015-07-17,24.893322
2015-07-20,25.554363
2015-07-21,25.974455
2015-07-22,26.18099
2015-07-23,26.416233
2015-07-24,26.801304
2015-07-27,27.47756
2015-07-28,27.634651
2015-07-29,27.931082
2015-07-30,28.081736
2015-07-31,28.29355
2015-08-03,28.506208
2015-08-04,28.50352
2015-08-05,28.045332
2015-08-06,27.69653
2015-08-07,27.28103
2015-08-10,27.33948
2015-08-11,27.856295
2015-08-12,28.772606
2015-08-13,29.31357
2015-08-14,30.069824
2015-08-17,30.608889
2015-08-18,30.809694
2015-08-19,30.832745
2015-08-20,30.693966
2015-08-21,30.322721
2015-08-24,29.675034
2015-08-25,28.740828
2015-08-26,28.33964
2015-08-27,27.95143
2015-08-28,27.889112
2015-08-31,28.033281
2015-09-01,28.206488
2015-09-02,28.656584
2015-09-03,29.554989
2015-09-04,30.538755
2015-09-07,30.827333
2015-09-08,30.430508
2015-09-09,30.146242
2015-09-10,29.557314
2015-09-11,29.016224
2015-09-14,28.773478
2015-09-15,28.638529
2015-09-16,28.19803
2015-09-17,28.19568
2015-09-18,28.339193
2015-09-21,28.117443
2015-09-22,28.14991
2015-09-23,28.290892
2015-09-24,28.241907
2015-09-25,28.162687
2015-09-28,28.159113
2015-09-29,27.868507
2015-09-30,27.42758
2015-10-01,27.172659
2015-10-02,27.116243
2015-10-05,27.227196
2015-10-06,27.334677
2015-10-07,27.555628
2015-10-08,27.84724
2015-10-09,28.287527
2015-10-12,28.65542
2015-10-13,28.90206
2015-10-14,28.847515
2015-10-15,28.648739
2015-10-16,28.371452
2015-10-19,28.471434
2015-10-20,28.830675
2015-10-21,29.12548
2015-10-22,29.301123
2015-10-23,29.655882
2015-10-26,29.913095
2015-10-27,29.787804
2015-10-28,29.582373
2015-10-29,29.393148
2015-10-30,29.410717
2015-11-02,29.553032
2015-11-03,29.670362
2015-11-04,29.83146
2015-11-05,29.9745
2015-11-06,29.865942
2015-11-09,29.35598
2015-11-10,28.828398
2015-11-11,28.115942
2015-11-12,27.648613
2015-11-13,27.465008
2015-11-16,27.3485
2015-11-17,27.16826
2015-11-18,27.157677
2015-11-19,27.055891
2015-11-20,26.891
2015-11-23,26.784796
2015-11-24,26.741278
2015-11-25,26.64882
2015-11-26,26.394861
2015-11-27,26.263216
2015-11-30,25.991491
2015-12-01,25.507074
2015-12-02,24.748314
2015-12-03,24.223593
2015-12-04,24.204287
2015-12-07,24.5202
2015-12-08,24.960272
2015-12-09,25.390623
2015-12-10,25.670195
2015-12-11,25.90531
2015-12-14,25.968292
2015-12-15,25.633848
2015-12-16,24.959557
2015-12-17,24.128725
2015-12-18,23.519411
2015-12-21,23.08016
2015-12-22,22.916147
2015-12-23,22.716805
2015-12-24,22.298334
2015-12-25,21.904251
2015-12-28,21.639656
2015-12-29,21.269918
2015-12-30,20.932571
2015-12-31,20.674
2016-01-01,20.582045
2016-01-04,20.783224
2016-01-05,20.915487
2016-01-06,20.966303
2016-01-07,20.92027
2016-01-08,20.737724
2016-01-11,20.47452
2016-01-12,20.200785
2016-01-13,19.863976
2016-01-14,19.470442
2016-01-15,18.919079
2016-01-18,18.220388
2016-01-19,17.762815
2016-01-20,17.747522
2016-01-21,17.911787
2016-01-22,18.10013
2016-01-25,18.310665
2016-01-26,18.634596
2016-01-27,18.873747
2016-01-28,18.939787
2016-01-29,18.905853
2016-02-01,18.75337
2016-02-02,18.72078
2016-02-03,18.735044
2016-02-04,18.789484
2016-02-05,18.978922
2016-02-08,19.174147
2016-02-09,19.557968
2016-02-10,20.193438
2016-02-11,20.764452
2016-02-12,20.872866
2016-02-15,20.811747
2016-02-16,20.976543
2016-02-17,21.1434
2016-02-18,21.192507
2016-02-19,21.117449
2016-02-22,20.788774
2016-02-23,20.147276
2016-02-24,19.65048
2016-02-25,19.516863
2016-02-26,19.565046
2016-02-29,19.952065
2016-03-01,20.289696
2016-03-02,20.54275
2016-03-03,20.748262
2016-03-04,20.849817
2016-03-07,20.78996
2016-03-08,21.018248
2016-03-09,21.278053
2016-03-10,21.462982
2016-03-11,21.349056
2016-03-14,21.395203
2016-03-15,21.417673
2016-03-16,21.353533
2016-03-17,21.274364
2016-03-18,21.270248
2016-03-21,21.272448
2016-03-22,21.255245
2016-03-23,21.197775
2016-03-24,21.139002
2016-03-25,21.249174
2016-03-28,21.441168
2016-03-29,21.612839
2016-03-30,21.748539
2016-03-31,21.958418
2016-04-01,21.992643
2016-04-04,22.137285
2016-04-05,22.387423
2016-04-06,22.585272
2016-04-07,22.98617
2016-04-08,23.28604
2016-04-11,23.302164
2016-04-12,23.047478
2016-04-13,22.861261
2016-04-14,22.623741
2016-04-15,22.64634
2016-04-18,22.903364
2016-04-19,23.512632
2016-04-20,24.359735
2016-04-21,25.323305
2016-04-22,25.70637
2016-04-25,26.144693
2016-04-26,26.596548
2016-04-27,27.277708
2016-04-28,27.880713
2016-04-29,28.238619
2016-05-02,28.468681
2016-05-03,28.69157
2016-05-04,28.763647
2016-05-05,28.953447
2016-05-06,29.2007
2016-05-09,29.405924
2016-05-10,29.896011
2016-05-11,30.438723
2016-05-12,30.71998
2016-05-13,30.713026
2016-05-16,30.833876
2016-05-17,30.885786
2016-05-18,30.758951
2016-05-19,30.585588
2016-05-20,30.69324
2016-05-23,30.827559
2016-05-24,31.30031
2016-05-25,31.80517
2016-05-26,32.10387
2016-05-27,32.043873
2016-05-30,32.07546
2016-05-31,31.790699
2016-06-01,31.203142
2016-06-02,31.019215
2016-06-03,31.098108
2016-06-06,31.421564
2016-06-07,31.778992
2016-06-08,31.949009
2016-06-09,31.955107
2016-06-10,31.810404
2016-06-13,31.302187
2016-06-14,30.772738
2016-06-15,30.651112
2016-06-16,30.8058
2016-06-17,30.902136
2016-06-20,30.925232
2016-06-21,30.809483
2016-06-22,30.774824
2016-06-23,30.71638
2016-06-24,30.746325
2016-06-27,30.489817
2016-06-28,30.154192
2016-06-29,29.893715
2016-06-30,30.168581
2016-07-01,30.495626
2016-07-04,30.80049
2016-07-05,31.43163
2016-07-06,31.972452
2016-07-07,32.287296
2016-07-08,32.48099
2016-07-11,32.59737
2016-07-12,33.050972
2016-07-13,33.52167
2016-07-14,33.763245
2016-07-15,34.112965
2016-07-18,34.48573
2016-07-19,35.17645
2016-07-20,35.69172
2016-07-21,36.38477
2016-07-22,36.934696
2016-07-25,37.131687
2016-07-26,37.12508
2016-07-27,37.101604
2016-07-28,36.922302
2016-07-29,36.65296
2016-08-01,36.98665
2016-08-02,37.324974
2016-08-03,37.963818
2016-08-04,38.384228
2016-08-05,38.85999
2016-08-08,38.965763
2016-08-09,38.929462
2016-08-10,38.87342
2016-08-11,38.84335
2016-08-12,38.69394
2016-08-15,38.531563
2016-08-16,38.473347
2016-08-17,38.299232
2016-08-18,38.160854
2016-08-19,37.94337
2016-08-22,37.584698
2016-08-23,37.259777
2016-08-24,36.986988
2016-08-25,36.955303
2016-08-26,37.548
2016-08-29,38.72727
2016-08-30,39.72408
2016-08-31,40.441357
2016-09-01,40.998993
2016-09-02,41.213028
2016-09-05,41.31291
2016-09-06,41.073032
2016-09-07,40.776882
2016-09-08,41.00028
2016-09-09,41.530125
2016-09-12,41.939228
2016-09-13,42.252453
2016-09-14,42.43621
2016-09-15,42.466732
2016-09-16,42.325253
2016-09-19,42.80325
2016-09-20,43.409893
2016-09-21,43.50545
2016-09-22,42.812557
2016-09-23,42.54633
2016-09-26,42.061886
2016-09-27,42.118374
2016-09-28,42.468937
2016-09-29,42.701588
2016-09-30,42.774826
2016-10-03,42.88496
2016-10-04,43.211807
2016-10-05,43.415737
2016-10-06,43.65616
2016-10-07,44.443256
2016-10-10,45.72176
2016-10-11,47.39461
2016-10-12,48.749836
2016-10-13,49.652752
2016-10-14,49.453403
2016-10-17,48.977932
2016-10-18,48.60949
2016-10-19,48.498775
2016-10-20,49.046833
2016-10-21,50.308407
2016-10-24,51.23399
2016-10-25,51.49748
2016-10-26,17.912882
2016-10-27,26.559107
2016-10-28,36.17294
2016-10-31,43.51896
2016-11-01,48.31783
2016-11-02,52.175552
2016-11-03,54.008266
2016-11-04,55.603626
2016-11-07,56.24905
2016-11-08,56.527172
2016-11-09,57.2304
2016-11-10,57.741367
2016-11-11,57.9267
2016-11-14,57.874046
2016-11-15,57.576797
2016-11-16,56.99863
2016-11-17,57.22384
2016-11-18,57.838238
2016-11-21,58.248432
2016-11-22,58.5676
2016-11-23,59.61755
2016-11-24,60.800392
