,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,98.3441,98.5211,94.5056,94.5056,1200194,101.3017
3651,2014-12-31,90.4585,95.945,89.78200000000001,95.1152,3788163,99.40663
3652,2015-01-01,94.7848,95.4534,93.9982,95.0916,484014,99.400314
3653,2015-01-02,94.7848,99.0914,94.7848,97.2429,1669505,97.75323
3654,2015-01-05,98.7178,100.169,97.3412,97.8132,1410067,95.393715
3655,2015-01-06,97.5339,99.2094,96.358,97.7424,1293866,98.29684
3656,2015-01-07,97.3412,99.2291,96.4563,97.3334,955459,97.18277
3657,2015-01-08,97.7345,98.3245,96.358,96.7356,514843,96.774704
3658,2015-01-09,96.9479,98.0885,95.0798,95.4652,932219,99.93146
3659,2015-01-12,95.3747,100.2359,95.3747,98.0374,4415176,98.72409
3660,2015-01-13,98.3245,100.0747,98.3245,99.3313,1867995,96.241455
3661,2015-01-14,99.5044,102.8199,99.5044,101.4551,2608127,99.835365
3662,2015-01-15,102.0411,104.1453,101.6872,102.8002,2017160,99.05643
3663,2015-01-16,104.0666,104.6172,100.4915,100.9792,1311889,99.23913
3664,2015-01-19,101.4709,102.8277,100.6843,101.3804,1637727,103.86121
3665,2015-01-20,102.2575,102.2575,100.6843,100.9517,351687,106.04174
3666,2015-01-21,101.0776,102.2575,99.9016,100.3185,611598,100.82429
3667,2015-01-22,100.6764,101.0618,97.5379,98.1947,638870,103.87722
3668,2015-01-23,98.3205,99.8977,97.9351,98.9774,678711,100.15936
3669,2015-01-26,99.8977,103.7874,99.5044,102.4856,2364578,99.25158
3670,2015-01-27,102.2771,107.6063,102.2771,104.6487,4359684,103.445465
3671,2015-01-28,104.2161,106.3871,103.634,103.9998,1712665,102.58976
3672,2015-01-29,104.0076,104.7667,102.6508,102.9536,410499,103.04054
3673,2015-01-30,103.2407,104.6212,102.0215,102.3754,782106,104.931694
3674,2015-02-02,102.6547,103.8267,101.8642,102.0805,448917,103.223755
3675,2015-02-03,102.6508,102.6508,100.291,100.9281,555158,102.49883
3676,2015-02-04,100.6843,101.8602,98.1318,98.6666,719262,104.83586
3677,2015-02-05,100.6843,101.8602,98.1318,98.6666,719262,102.67521
3678,2015-02-06,99.2684,99.4965,96.7749,97.1289,654047,99.0255
3679,2015-02-09,98.0334,101.4709,97.9115,98.8043,1471488,101.98412
3680,2015-02-10,99.5044,100.291,96.358,97.8997,575315,98.76584
3681,2015-02-11,98.6391,99.2015,97.7424,98.352,381567,97.70706
3682,2015-02-12,97.9312,98.3048,94.3915,96.885,515554,101.32828
3683,2015-02-13,96.1653,97.8918,96.1613,96.5861,162919,100.84737
3684,2015-02-16,96.7474,101.4119,96.7474,101.4119,1801595,96.83289
3685,2015-02-17,102.8553,106.4815,102.6508,103.5278,2246005,100.624756
3686,2015-02-18,105.7971,107.567,104.0312,105.3291,2959339,100.30706
3687,2015-02-19,104.8926,104.8926,100.6449,101.2034,982731,100.6848
3688,2015-02-20,100.7197,101.3922,97.9744,98.6077,695785,104.53961
3689,2015-02-23,98.5644,100.0943,97.5379,98.2183,534052,105.95848
3690,2015-02-24,98.5211,99.0717,96.1613,96.59,729460,99.17152
3691,2015-02-25,95.3747,98.7178,95.3747,96.5389,1543106,102.66535
3692,2015-02-26,96.7474,98.7178,96.5546,97.2665,895936,97.89976
3693,2015-02-27,97.9272,97.9272,95.9647,96.2282,655470,96.76847
3694,2015-03-02,96.7513,97.1446,91.4182,91.4418,1043678,99.81888
3695,2015-03-03,91.4418,93.9982,90.0652,91.5519,1489985,96.84999
3696,2015-03-04,92.3463,93.2116,90.7535,91.4142,776889,92.663765
3697,2015-03-05,91.6384,93.4083,91.6384,91.8901,1198296,95.89228
3698,2015-03-06,92.425,93.7898,91.3434,92.3306,1240034,92.45995
3699,2015-03-09,91.8351,92.4171,90.6552,90.8675,531206,91.33643
3700,2015-03-10,91.5991,91.5991,86.325,86.3328,1252603,94.356834
3701,2015-03-11,84.559,85.7389,83.1864,84.3978,1618755,91.909225
3702,2015-03-12,84.9563,87.1076,84.5551,85.0192,1241220,87.06292
3703,2015-03-13,85.6996,89.2668,85.6996,89.2668,2726225,89.93773
3704,2015-03-16,90.8125,93.5931,90.2619,91.1901,2071703,87.38042
3705,2015-03-17,92.0278,92.8104,89.6798,91.7643,1439948,86.96553
3706,2015-03-18,91.8744,92.2284,87.1784,87.8824,1202565,92.78519
3707,2015-03-19,87.7054,90.0692,86.1755,86.9503,799892,94.23552
3708,2015-03-20,87.6622,90.6552,87.3121,90.0967,1091344,88.44023
3709,2015-03-23,87.6622,90.6552,87.3121,90.0967,1091344,91.7006
3710,2015-03-24,91.4418,91.6384,88.492,89.2275,715942,89.732704
3711,2015-03-25,89.6719,89.6719,86.5255,86.8598,535475,88.76682
3712,2015-03-26,87.6661,88.492,82.5178,84.6259,1074744,90.5802
3713,2015-03-27,85.50299999999999,86.6239,82.39200000000001,83.1707,1208494,89.09439
3714,2015-03-30,83.3792,83.3792,79.0135,79.0135,537372,84.932396
3715,2015-03-31,76.2998,82.9623,76.2998,82.9623,1652667,86.6746
3716,2015-04-01,82.9859,87.1076,80.4491,86.8166,1980165,83.054016
3717,2015-04-02,87.9021,91.1547,87.4301,90.781,1246674,82.60518
3718,2015-04-03,91.9924,94.7848,91.4418,94.1791,1116481,90.55799
3719,2015-04-06,94.7848,96.3187,92.4289,93.9392,1236240,93.97046
3720,2015-04-07,93.9982,93.9982,91.4496,91.6266,469548,92.35455
3721,2015-04-08,92.0278,92.8183,91.2451,91.7249,295246,93.475945
3722,2015-04-09,91.4811,92.1104,90.2619,90.9462,225525,92.51345
3723,2015-04-10,91.4418,94.6668,91.2451,93.3375,1125256,91.886185
3724,2015-04-13,93.6049,98.002,91.5204,96.0945,2689230,95.50186
3725,2015-04-14,96.358,97.5339,93.6049,94.301,840918,95.289
3726,2015-04-15,95.5675,96.653,93.9982,94.4898,563695,94.2496
3727,2015-04-16,96.0669,96.3541,94.4112,94.6943,762897,95.97263
3728,2015-04-17,94.9854,95.8467,92.7042,93.8487,1354101,94.756325
3729,2015-04-20,94.5881,96.358,93.9982,94.6039,1807523,94.197815
3730,2015-04-21,94.7848,99.3313,92.9363,98.9262,4506240,97.175156
3731,2015-04-22,101.0776,103.87,100.291,101.4748,3215219,98.107056
3732,2015-04-23,101.7068,105.7971,100.6803,103.2132,3170873,97.92194
3733,2015-04-24,103.4373,104.2829,101.4709,101.9271,815544,100.84582
3734,2015-04-27,102.4541,106.5837,101.4709,106.0685,2949853,100.97454
3735,2015-04-28,106.1865,106.5837,102.8474,103.1974,1024706,101.89667
3736,2015-04-29,103.4373,104.9673,101.8642,102.1709,1332047,106.291916
3737,2015-04-30,101.8642,103.516,101.4709,102.7609,1129050,105.42604
3738,2015-05-01,101.8642,103.516,101.4709,102.7609,1129050,102.32389
3739,2015-05-04,103.3587,104.6172,101.8642,102.6822,2055578,106.12139
3740,2015-05-05,102.6311,102.6468,100.291,100.9714,751751,102.857735
3741,2015-05-06,101.4237,102.4344,99.8937,100.0747,814121,101.813835
3742,2015-05-07,100.6843,100.6843,98.3717,98.6548,493737,103.964005
3743,2015-05-08,98.3245,100.7826,98.3245,100.287,1927993,102.456116
3744,2015-05-11,99.6066,99.6027,95.2764,95.7798,798706,99.22387
3745,2015-05-12,95.4731,98.3835,95.1781,98.1514,908505,101.62729
3746,2015-05-13,98.6981,99.2684,95.8467,96.2479,636736,98.39818
3747,2015-05-14,96.7513,99.6932,96.7513,98.702,1704602,97.19229
3748,2015-05-15,99.0914,101.8642,97.9312,101.113,2108461,101.474594
3749,2015-05-18,100.6843,101.0776,98.3245,98.6234,480931,102.224365
3750,2015-05-19,99.465,99.701,98.2419,99.0639,504171,99.12996
3751,2015-05-20,99.3077,100.9596,98.5211,100.2398,1120750,101.00678
3752,2015-05-21,99.9016,102.2575,99.8977,101.4355,729934,99.668655
3753,2015-05-22,101.8602,103.4373,101.2742,102.8907,1502317,99.478455
3754,2015-05-25,104.6133,105.0499,102.6508,103.0362,1176479,104.27034
3755,2015-05-26,103.0441,103.0441,100.0943,100.3382,1632036,105.32286
3756,2015-05-27,99.705,101.4709,100.291,100.4758,295958,101.63703
3757,2015-05-28,101.0776,101.7658,99.5083,101.1287,417139,104.01595
3758,2015-05-29,101.2742,102.1591,100.3932,100.7865,629621,101.40097
3759,2015-06-01,101.0776,102.8474,100.6843,102.3322,996960,100.51042
3760,2015-06-02,103.4373,107.3703,103.4373,106.3792,5889747,104.26956
3761,2015-06-03,106.3871,106.5837,104.4206,105.0695,1369753,105.68802
3762,2015-06-04,105.4038,106.745,105.0105,105.7578,744163,104.215866
3763,2015-06-05,105.9938,110.4774,105.0105,110.0054,2660773,106.54485
3764,2015-06-08,105.7971,115.5037,105.4038,115.5037,3067003,106.54961
3765,2015-06-09,116.0229,119.9165,116.0229,116.3493,2251223,107.87945
3766,2015-06-10,116.4162,117.2028,114.0564,114.9846,1093241,116.21782
3767,2015-06-11,115.2442,116.1212,114.4536,115.1262,527412,122.12943
3768,2015-06-12,115.4329,117.7849,114.0564,115.2717,1047472,114.570305
3769,2015-06-15,114.666,116.3769,114.1193,114.3081,416902,118.299095
3770,2015-06-16,114.253,117.5528,113.0731,116.9039,1624210,115.11003
3771,2015-06-17,117.3601,121.5094,116.8095,119.0198,2150199,114.46193
3772,2015-06-18,119.5586,124.5732,118.776,123.936,2788120,120.0296
3773,2015-06-19,123.881,125.2654,122.1977,123.7079,816255,120.80601
3774,2015-06-22,123.1022,128.1365,120.0149,126.756,1597412,121.4634
3775,2015-06-23,127.3105,130.7519,127.3105,128.2308,1264934,125.05988
3776,2015-06-24,128.6123,130.4569,126.7206,127.4285,930085,125.206436
3777,2015-06-25,127.7825,128.2151,125.8553,126.4885,618713,125.45878
3778,2015-06-26,126.6419,127.4482,123.8849,124.3647,657605,129.36249
3779,2015-06-29,125.403,126.4453,124.6754,124.9743,365916,130.0573
3780,2015-06-30,126.229,127.2319,125.521,126.1267,509863,124.429474
3781,2015-07-01,126.6419,126.9959,124.4788,124.7856,403622,129.17612
3782,2015-07-02,125.3834,129.7686,125.3834,127.6724,1711717,125.35829
3783,2015-07-03,129.3478,134.0556,127.4403,133.5128,1756537,124.66211
3784,2015-07-06,133.6898,137.257,131.8335,134.9169,2143321,132.13583
3785,2015-07-07,135.2905,135.9041,132.5414,132.9268,638159,131.20636
3786,2015-07-08,133.5246,133.5246,130.1816,130.7716,579584,132.46912
3787,2015-07-09,129.985,133.678,129.1984,131.5228,797520,134.937
3788,2015-07-10,132.9347,135.2945,127.8218,128.9663,1300506,132.13203
3789,2015-07-13,130.4569,131.3576,127.0352,129.985,559189,130.60933
3790,2015-07-14,130.5749,133.2887,129.5956,132.6633,872933,133.2919
3791,2015-07-15,133.328,137.8313,133.328,137.2216,2070281,134.06693
3792,2015-07-16,137.6464,139.1881,135.4911,136.0299,1358133,132.21724
3793,2015-07-17,137.6464,139.1881,135.4911,136.0299,1358133,136.39774
3794,2015-07-20,137.6464,139.1881,135.4911,136.0299,1358133,135.02263
3795,2015-07-21,137.6464,139.1881,135.4911,136.0299,1358133,134.68045
3796,2015-07-22,136.4704,138.8342,136.4744,137.3632,506780,139.11417
3797,2015-07-23,138.8302,138.8302,135.4911,135.8136,313032,139.14647
3798,2015-07-24,135.6838,137.6346,133.8393,134.32299999999998,287420,135.54385
3799,2015-07-27,135.2158,135.6878,128.0578,130.8463,404570,139.4337
3800,2015-07-28,131.7548,132.856,130.5749,131.6447,270109,133.93387
3801,2015-07-29,132.6908,135.3535,132.5375,133.1471,864395,132.54424
3802,2015-07-30,132.8364,134.1146,131.1649,133.21,255643,135.73683
3803,2015-07-31,132.974,133.9179,132.1874,133.1864,149402,133.50046
3804,2015-08-03,132.9386,136.0811,132.9386,135.3259,393899,132.1027
3805,2015-08-04,136.0771,138.1262,134.7045,135.8884,584801,136.66302
3806,2015-08-05,135.6878,142.6806,135.6878,142.6806,1960008,134.55957
3807,2015-08-06,143.947,149.8111,143.947,149.8111,1668319,134.9741
3808,2015-08-07,150.8219,152.5799,146.7788,147.6716,1372836,145.982
3809,2015-08-10,148.8633,152.2063,147.88,148.6509,1119564,146.55956
3810,2015-08-11,149.4532,156.0803,149.2566,156.0803,3028823,146.654
3811,2015-08-12,158.1018,162.0387,156.9259,158.3496,2853809,152.42284
3812,2015-08-13,159.2857,160.4655,157.7125,158.5266,895462,153.58119
3813,2015-08-14,159.2857,160.4655,157.7125,158.5266,895462,153.34164
3814,2015-08-17,159.2463,166.4515,158.8924,166.4515,2253594,160.02893
3815,2015-08-18,169.122,174.7737,169.1181,171.6509,3639473,166.08374
3816,2015-08-19,172.6578,176.7874,167.1949,168.2017,1978505,164.21468
3817,2015-08-20,167.5488,167.5488,159.793,160.3436,1630613,169.14351
3818,2015-08-21,157.5158,159.675,152.3282,152.3282,921073,164.5462
3819,2015-08-24,144.714,144.773,144.714,144.714,440854,162.13068
3820,2015-08-25,139.0505,151.9467,137.5953,149.6145,3720814,155.84094
3821,2015-08-26,151.8169,154.9397,146.3501,149.17,1958111,157.02448
3822,2015-08-27,150.2791,154.1728,148.6666,152.7333,1870367,147.67479
3823,2015-08-28,155.3527,156.1393,152.7569,153.4884,1261614,154.2898
3824,2015-08-31,154.9594,159.0497,153.4294,155.4274,1696065,150.75876
3825,2015-09-01,155.3527,156.1196,147.6873,148.3834,1164385,151.03331
3826,2015-09-02,148.2261,149.0599,143.6127,147.4631,435874,153.98482
3827,2015-09-03,148.5683,152.5996,148.4621,149.2526,625590,154.88039
3828,2015-09-04,151.0146,151.0146,141.7918,145.0601,582667,147.56725
3829,2015-09-07,144.1437,147.8721,139.6208,140.3838,713808,153.617
3830,2015-09-08,140.8007,143.5301,136.1204,142.539,897359,144.84961
3831,2015-09-09,145.1269,149.6656,143.5537,149.6656,1547375,143.14342
3832,2015-09-10,151.4276,156.5286,150.6331,151.8091,2281340,149.1191
3833,2015-09-11,152.0293,155.3566,148.6666,149.8386,927002,147.38794
3834,2015-09-14,150.5938,152.7569,147.0934,147.821,715705,148.80312
3835,2015-09-15,147.6834,149.4453,146.3068,147.4356,473105,151.7004
3836,2015-09-16,147.9154,150.3381,145.5596,146.9243,980123,148.56287
3837,2015-09-17,148.2733,151.1837,147.4867,148.1003,1249046,147.17085
3838,2015-09-18,148.2772,149.2762,144.7336,145.0365,532392,150.85434
3839,2015-09-21,142.3738,145.9922,142.3738,145.3944,309949,148.79564
3840,2015-09-22,146.4838,150.9477,146.4838,149.5397,793252,144.77776
3841,2015-09-23,151.0185,155.7066,150.6724,154.6015,1395602,150.80885
