,Date,Open,High,Low,Close,Volume,Predicted Price
3752,2015-05-21,156.1072,156.7876,154.2248,155.6763,389750,157.02478
3753,2015-05-22,155.95600000000005,158.7531,155.95600000000005,156.7271,1734875,156.53
3754,2015-05-25,158.3373,158.7531,152.025,153.6201,1186750,156.78827
3755,2015-05-26,153.4991,155.3512,153.3857,153.9829,742375,155.45038
3756,2015-05-27,154.2173,156.4625,154.5953,155.2152,790000,155.0552
3757,2015-05-28,155.7217,159.5846,155.2756,157.6418,2936500,155.4206
3758,2015-05-29,157.7703,160.1894,157.1353,157.3697,1405125,156.94617
3759,2015-06-01,157.6947,159.8492,156.9766,157.9593,927125,157.0571
3760,2015-06-02,159.1311,163.5913,158.9421,159.6905,3147125,157.69028
3761,2015-06-03,159.887,161.6636,158.5641,159.3352,1301250,158.8246
3762,2015-06-04,160.1894,161.7014,159.1462,159.6451,700625,159.48993
3763,2015-06-05,160.643,160.7186,157.7703,159.0555,363000,159.76529
3764,2015-06-08,153.4613,166.6076,152.8565,164.574,2916250,159.6423
3765,2015-06-09,166.3128,170.395,164.8008,168.112,2804375,162.30112
3766,2015-06-10,169.3366,173.8724,169.3366,173.0484,3243875,164.95218
3767,2015-06-11,173.7968,176.0647,171.2265,171.8993,1681625,168.66095
3768,2015-06-12,172.3605,173.4188,167.9759,170.6293,861500,169.961
3769,2015-06-15,171.2341,172.5873,168.9586,169.4878,647875,170.8257
3770,2015-06-16,168.3917,170.8712,167.8247,169.6012,330875,170.4855
3771,2015-06-17,169.3442,170.4403,165.6702,166.1616,720000,170.78668
3772,2015-06-18,166.9931,174.4696,164.952,173.4718,2622875,168.75119
3773,2015-06-19,174.704,176.5183,171.2265,171.7104,874500,171.26924
3774,2015-06-22,170.8486,173.8649,168.9662,171.1358,1195625,171.49084
3775,2015-06-23,171.5289,173.4944,170.8486,172.4058,674750,171.77332
3776,2015-06-24,174.1521,179.1642,174.1521,177.7354,4128750,171.65372
3777,2015-06-25,177.6523,178.257,173.9102,174.6057,553750,175.31558
3778,2015-06-26,174.6284,175.717,171.6045,172.8972,635375,175.00327
3779,2015-06-29,173.8649,175.3844,172.3605,173.5398,447875,174.18837
3780,2015-06-30,173.4944,177.5011,172.0581,172.7007,1948125,173.99362
3781,2015-07-01,173.7212,175.1802,171.6121,172.5797,635250,174.19069
3782,2015-07-02,172.6629,177.5767,171.9749,175.2558,2817750,173.55612
3783,2015-07-03,176.0647,183.768,176.0647,182.9365,3135625,174.42209
3784,2015-07-06,184.3804,191.4865,183.133,189.3093,5209500,178.40005
3785,2015-07-07,190.8741,191.2597,184.1158,185.0759,1983125,183.0069
3786,2015-07-08,185.0759,188.2282,182.566,186.3761,1749500,184.03458
3787,2015-07-09,185.983,187.4798,181.8479,183.3674,845750,185.22382
3788,2015-07-10,183.7,185.469,181.4321,182.1654,349625,184.81464
3789,2015-07-13,182.944,186.7163,182.0369,185.8847,410375,184.52765
3790,2015-07-14,185.6957,188.2358,182.1881,183.1633,809625,185.07071
3791,2015-07-15,184.456,189.7477,183.7,186.8373,1204625,184.58974
3792,2015-07-16,185.2195,188.2358,184.456,185.2724,367875,185.73468
3793,2015-07-17,185.2195,188.2358,184.456,185.2724,367875,185.35718
3794,2015-07-20,185.2195,188.2358,184.456,185.2724,367875,186.03247
3795,2015-07-21,185.2195,188.2358,184.456,185.2724,367875,185.4718
3796,2015-07-22,184.4408,185.1363,181.4321,183.5034,733500,185.99466
3797,2015-07-23,185.0229,185.5521,177.6523,178.4914,1352375,184.90825
3798,2015-07-24,178.4082,180.6761,176.9946,177.8261,762875,181.97534
3799,2015-07-27,175.46,178.4082,173.1165,173.94799999999995,759000,180.3863
3800,2015-07-28,176.1025,178.3326,174.6284,176.3293,699625,177.55307
3801,2015-07-29,177.8412,185.1439,177.6523,185.1061,3216000,177.60645
3802,2015-07-30,186.7239,190.2769,186.0435,188.9162,3825500,180.75577
3803,2015-07-31,191.6376,198.3582,190.8817,196.1659,3601375,184.53806
3804,2015-08-03,199.9608,201.4274,192.7867,194.1701,2614750,188.98956
3805,2015-08-04,194.6615,194.6615,186.739,189.1505,2096750,191.23532
3806,2015-08-05,190.1106,194.6464,190.1106,191.9249,2084000,191.13232
3807,2015-08-06,192.6204,194.2079,189.3697,192.0081,2592125,191.71742
3808,2015-08-07,193.83,197.6854,190.5037,191.7737,2758125,192.74048
3809,2015-08-10,192.3936,192.9606,189.8384,190.5113,702375,192.64821
3810,2015-08-11,191.1085,194.2835,184.5467,185.8016,2088375,191.2951
3811,2015-08-12,185.9679,186.7239,177.8412,179.202,2221250,189.01709
3812,2015-08-13,174.8174,174.8174,170.2438,172.0203,2899125,184.37291
3813,2015-08-14,174.8174,174.8174,170.2438,172.0203,2899125,178.65533
3814,2015-08-17,172.2849,174.9988,167.1065,167.9154,2289125,176.23396
3815,2015-08-18,168.4899,169.7146,164.0449,165.1712,1115500,172.46846
3816,2015-08-19,165.89700000000005,167.6357,161.7845,163.1075,944625,169.20421
3817,2015-08-20,163.1301,163.1301,158.7531,159.7661,1864375,166.12146
3818,2015-08-21,159.1311,159.4939,154.9732,157.6569,1040500,163.55772
3819,2015-08-24,154.6784,154.2248,149.7798,149.7798,830125,160.94406
3820,2015-08-25,153.4613,157.2638,148.9255,157.2638,1009625,155.64355
3821,2015-08-26,157.2411,162.5329,153.5369,155.0791,1131875,157.18565
3822,2015-08-27,156.7876,158.7153,155.3512,157.1882,598750,156.2114
3823,2015-08-28,160.265,162.4195,158.8362,160.0307,928500,157.19
3824,2015-08-31,161.7769,163.2889,160.265,160.7791,661250,157.62921
3825,2015-09-01,161.5502,163.2738,156.4852,157.2714,564875,160.00436
3826,2015-09-02,157.2714,158.1861,155.011,156.3945,335125,158.66055
3827,2015-09-03,156.8632,158.5641,156.4927,156.8632,198375,157.94766
