,Date,Open,High,Low,Close,Volume,Predicted Price
3730,2015-05-22,29.3291,29.3674,28.5251,29.0917,39000,29.13394
3731,2015-05-25,29.3291,29.4746,29.0994,29.0994,7000,29.150145
3732,2015-05-26,28.4868,28.5787,28.4868,28.4868,3500,29.237743
3733,2015-05-27,29.0611,29.9111,29.0611,29.9111,99500,29.055674
3734,2015-05-28,30.2481,30.4395,29.4823,29.6891,20000,29.419214
3735,2015-05-29,29.3368,29.8652,29.0994,29.1224,9000,29.762571
3736,2015-06-01,29.8499,30.5773,29.8575,30.5773,67000,29.626524
3737,2015-06-02,31.3814,32.1012,30.2557,32.1012,83500,30.031595
3738,2015-06-03,32.913000000000004,33.3035,32.5454,32.9359,23000,31.146448
3739,2015-06-04,32.8823,32.9283,32.5454,32.5454,20000,32.198246
3740,2015-06-05,32.1702,33.4643,31.8179,32.4382,24500,32.563633
3741,2015-06-08,30.9373,34.054,30.9373,34.054,72000,32.653484
3742,2015-06-09,35.417,35.754,34.6896,35.754,118000,33.35797
3743,2015-06-10,36.0679,37.14,35.9914,36.0833,107500,34.640694
3744,2015-06-11,36.7418,36.7571,35.4936,36.2288,108500,35.564587
3745,2015-06-12,35.9914,36.7571,35.7999,35.8688,21500,36.016617
3746,2015-06-15,36.1445,36.604,35.7999,35.9607,17000,36.12848
3747,2015-06-16,35.6468,35.9914,35.6085,35.9914,14500,36.175323
3748,2015-06-17,35.3022,37.7909,35.3022,37.7909,77500,36.194817
3749,2015-06-18,38.2504,38.2887,37.14,37.5306,14500,36.969204
3750,2015-06-19,37.14,37.14,36.3743,36.6729,6000,37.46473
3751,2015-06-22,36.7571,37.0558,36.7571,37.0481,16500,37.245514
3752,2015-06-23,36.4661,37.7144,36.3743,37.2932,96000,37.166786
3753,2015-06-24,37.14,37.5995,37.0864,37.0864,59000,37.36834
3754,2015-06-25,37.14,37.14,36.3819,36.9716,49000,37.36328
3755,2015-06-26,37.14,37.14,36.9486,36.9486,317000,37.24887
3756,2015-06-29,37.0635,37.3698,37.14,37.14,5500,37.20375
3757,2015-06-30,36.7571,38.9932,36.7571,38.9702,131000,37.26581
3758,2015-07-01,40.4711,40.9153,40.2031,40.9153,50500,38.08923
3759,2015-07-02,42.5004,42.9599,40.5937,42.9599,124500,39.56858
3760,2015-07-03,44.4072,45.1041,44.4149,44.6906,211000,41.36065
3761,2015-07-06,45.8622,46.919,45.5712,46.9036,197500,43.136177
3762,2015-07-07,48.2437,48.2437,46.9036,47.6924,167500,45.117958
3763,2015-07-08,46.9419,46.9419,46.3293,46.6892,97000,46.599625
3764,2015-07-09,45.9464,47.2482,45.4104,46.9726,85000,46.84444
3765,2015-07-10,47.4703,48.6266,47.478,47.8609,61000,46.931164
3766,2015-07-13,48.1672,50.2271,48.2437,49.8289,101000,47.44928
3767,2015-07-14,50.3496,51.9041,49.9667,51.3987,201000,48.650864
3768,2015-07-15,52.7618,53.9641,52.0726,53.9641,179500,50.06755
3769,2015-07-16,55.779,56.0546,54.4465,55.8173,69500,52.02029
3770,2015-07-17,55.779,56.0546,54.4465,55.8173,69500,54.000618
3771,2015-07-20,55.779,56.0546,54.4465,55.8173,69500,55.044582
3772,2015-07-21,55.779,56.0546,54.4465,55.8173,69500,55.448643
3773,2015-07-22,55.9398,57.0501,54.4848,56.2384,120500,55.656578
3774,2015-07-23,57.0501,57.0501,53.6042,55.0055,232500,55.944267
3775,2015-07-24,54.3699,54.5997,52.8384,53.5889,69000,55.519135
3776,2015-07-27,53.6042,53.9871,52.846,53.0988,95500,54.529938
3777,2015-07-28,53.6042,54.7528,53.6042,54.592,49500,53.7204
3778,2015-07-29,54.3699,57.3182,54.3699,57.3182,189500,54.03782
3779,2015-07-30,58.9569,60.1822,58.2141,60.1822,316000,55.593964
3780,2015-07-31,59.738,59.7304,57.433,57.77,82500,57.87165
3781,2015-08-03,57.6475,58.9569,57.6245,58.5051,26000,57.982494
3782,2015-08-04,59.15600000000001,59.15600000000001,57.433,57.7393,38500,58.09912
3783,2015-08-05,57.8542,59.3475,57.8159,58.1988,174500,57.94748
3784,2015-08-06,57.5096,57.8159,55.9015,55.9627,162500,58.04963
3785,2015-08-07,55.9015,56.6596,55.9015,55.9857,7000,57.004158
3786,2015-08-10,56.2844,56.3227,55.5186,55.9015,36500,56.350014
3787,2015-08-11,56.5524,58.1988,56.2844,57.4943,140500,56.0457
3788,2015-08-12,58.5434,58.5434,56.4758,56.7898,21500,56.67864
3789,2015-08-13,57.8159,58.1988,56.6673,57.8466,127500,56.75479
3790,2015-08-14,57.8159,58.1988,56.6673,57.8466,127500,57.196163
3791,2015-08-17,57.433,57.8159,57.433,57.7393,11000,57.50655
3792,2015-08-18,56.6673,57.433,55.9015,56.0393,56000,57.635014
3793,2015-08-19,55.9015,55.9015,55.1357,55.2812,57000,56.82864
3794,2015-08-20,55.1434,55.5186,55.1357,55.5186,15000,55.97784
3795,2015-08-21,54.7528,55.442,52.7618,55.0208,22500,55.63875
3796,2015-08-24,53.6042,56.2767,52.2717,53.3208,18000,55.335224
3797,2015-08-25,52.7618,55.0591,52.8384,54.2321,7000,54.32218
3798,2015-08-26,55.1357,55.5186,52.8384,52.9609,48000,54.089333
3799,2015-08-27,54.3623,54.3623,53.2213,53.5965,110000,53.614117
3800,2015-08-28,54.3623,56.2691,54.3623,56.2691,123500,53.497242
3801,2015-08-31,56.6673,58.8497,56.6673,58.6583,53000,54.719387
3802,2015-09-01,58.2065,58.9646,56.0164,56.2001,27000,56.746162
3803,2015-09-02,55.9015,56.9736,55.9015,56.9736,37000,56.622383
3804,2015-09-03,56.6673,59.8222,56.6673,59.8222,222500,56.62938
3805,2015-09-04,60.879,62.8088,60.4961,61.0015,417500,58.120228
3806,2015-09-07,61.2619,61.2619,57.9538,58.2677,205500,59.69241
3807,2015-09-08,58.1988,60.4961,57.8159,60.2205,70500,59.028336
3808,2015-09-09,59.9218,62.4106,59.7304,60.1975,131500,59.347347
3809,2015-09-10,60.4961,60.4961,58.1988,59.0335,32500,59.838837
3810,2015-09-11,59.7304,60.3047,56.292,56.7438,66000,59.47679
3811,2015-09-14,56.6673,56.6673,55.1357,55.1357,31500,57.995247
3812,2015-09-15,54.7528,55.1434,54.7528,55.1357,27500,56.492416
3813,2015-09-16,55.1357,56.629,55.1357,55.5186,17500,55.654892
3814,2015-09-17,55.9015,58.2907,55.1357,55.5645,101500,55.50327
3815,2015-09-18,54.7528,54.7528,52.7924,53.3055,28000,55.48118
3816,2015-09-21,53.9488,55.71,53.6042,55.1281,22000,54.438145
3817,2015-09-22,56.2844,56.2844,52.8384,52.892,43500,54.541744
3818,2015-09-23,52.0726,55.5339,50.2501,55.2123,89000,53.89101
3819,2015-09-24,52.0726,55.5339,50.2501,55.2123,89000,54.326042
3820,2015-09-25,52.0726,55.5339,50.2501,55.2123,89000,54.785748
3821,2015-09-28,56.6673,56.6673,52.4555,53.1217,57000,55.06234
3822,2015-09-29,52.0726,52.4555,50.4722,51.2073,84500,54.086582
3823,2015-09-30,51.6897,53.4434,50.5487,52.7006,29000,52.67601
3824,2015-10-01,52.0803,54.2474,52.0803,53.6731,46500,52.462814
3825,2015-10-02,54.3699,54.7528,53.6042,53.7114,24500,53.092094
3826,2015-10-05,53.2289,53.2289,52.8384,52.8384,6500,53.42685
3827,2015-10-06,52.8384,55.4803,52.8384,55.1357,129000,53.116882
3828,2015-10-07,55.1357,55.2123,53.2213,53.8569,23000,53.99269
3829,2015-10-08,53.0298,52.8384,52.0726,52.3253,8500,54.104507
3830,2015-10-09,52.1492,53.0681,52.0726,52.2641,14000,53.238388
3831,2015-10-12,52.0879,52.8384,49.6528,50.0663,184000,52.605637
3832,2015-10-13,50.5639,51.2782,49.36,51.0776,21500,51.49788
3833,2015-10-14,50.9652,50.9652,49.7613,50.291,18000,51.08468
3834,2015-10-15,50.1626,50.291,50.1626,50.291,3000,50.739357
3835,2015-10-16,50.5639,51.9604,49.7693,50.7806,7500,50.50748
3836,2015-10-19,51.3665,52.0888,50.9652,51.1257,26000,50.567005
3837,2015-10-20,50.5639,51.7598,49.7613,51.7277,23500,50.902405
3838,2015-10-21,52.1611,52.1611,50.5639,51.5431,34000,51.30406
3839,2015-10-22,51.7598,52.0086,50.0021,50.7886,18000,51.47553
3840,2015-10-23,51.7598,52.0086,50.0021,50.7886,18000,51.185844
3841,2015-10-26,51.3665,53.3249,51.3665,53.3249,67000,50.959484
3842,2015-10-27,55.2832,55.9895,54.0311,55.9895,313500,52.02887
3843,2015-10-28,56.9847,58.3893,56.1259,56.447,436000,54.02756
3844,2015-10-29,56.9045,58.5016,55.4598,58.0682,230500,55.34556
3845,2015-10-30,57.8274,60.9656,57.7873,60.8212,410000,56.645576
3846,2015-11-02,60.4359,61.7201,59.7938,61.1101,237000,58.715515
3847,2015-11-03,61.0058,61.399,58.5899,58.935,157000,60.055336
3848,2015-11-04,59.3123,59.3925,57.7873,58.5257,119000,59.544273
3849,2015-11-05,58.9912,59.0314,57.386,57.5546,93500,58.88891
3850,2015-11-06,57.386,59.3925,57.386,58.3893,134500,58.21862
3851,2015-11-09,58.9912,60.3877,58.5899,59.4888,128500,58.164864
3852,2015-11-10,59.1919,59.7055,58.1084,58.4294,49000,58.71235
3853,2015-11-11,58.1886,58.7906,58.1886,58.5739,10500,58.615623
3854,2015-11-12,59.3925,61.4793,58.5899,61.094,124000,58.45456
3855,2015-11-13,60.9977,62.6029,58.0442,58.0442,349500,59.61522
3856,2015-11-16,56.9847,58.5819,55.7888,56.5353,103500,59.043945
3857,2015-11-17,57.2977,58.0281,56.5834,56.776,211000,57.634415
3858,2015-11-18,56.5834,58.0281,53.9429,54.1917,455500,56.998455
3859,2015-11-19,53.7823,55.2832,53.7743,53.999,61500,55.75659
3860,2015-11-20,54.0231,55.7808,53.7743,54.288,207000,54.640984
3861,2015-11-23,54.1756,54.1756,51.7678,52.2895,114500,54.350307
3862,2015-11-24,52.4099,53.2285,51.4468,52.1852,54500,53.437622
3863,2015-11-25,52.1691,53.6539,50.1626,51.0695,69500,52.63526
3864,2015-11-26,51.7678,52.5704,50.3231,50.8047,78000,51.87383
3865,2015-11-27,50.5639,51.2862,49.4403,50.4355,17500,51.309364
3866,2015-11-30,49.8095,49.8014,47.9153,48.3407,29500,50.8281
3867,2015-12-01,48.3567,48.9507,45.9249,45.9249,37500,49.694862
3868,2015-12-02,47.3134,48.1962,44.9457,47.5782,99500,47.82826
3869,2015-12-03,48.1561,48.5173,45.7483,46.5991,57500,47.459595
3870,2015-12-04,47.6745,47.6745,45.339,45.6199,91000,47.193287
3871,2015-12-07,45.7403,46.1496,44.1431,44.416,69500,46.438725
3872,2015-12-08,44.1431,46.1496,43.7418,44.6969,180500,45.41387
3873,2015-12-09,45.347,45.7483,44.5444,44.745,27000,45.06031
3874,2015-12-10,44.6327,44.9377,43.3405,43.6615,105500,44.941406
3875,2015-12-11,43.3405,44.1431,43.1398,43.1398,18000,44.418907
3876,2015-12-14,42.7305,42.5379,41.3982,41.3982,18000,43.786903
3877,2015-12-15,41.1333,41.7353,40.5314,40.9247,19000,42.73992
3878,2015-12-16,40.9327,41.2939,39.9696,40.1381,52500,41.84036
3879,2015-12-17,40.5474,41.2537,40.1301,40.6598,46500,41.0485
3880,2015-12-18,40.9728,40.9728,40.1301,40.5555,19500,40.84522
3881,2015-12-21,40.4511,40.4511,39.7288,40.1301,28500,40.771664
3882,2015-12-22,40.1301,40.1301,39.7288,39.8331,19500,40.562103
3883,2015-12-23,40.09,41.655,39.7288,40.3628,124000,40.259594
3884,2015-12-24,40.09,41.655,39.7288,40.3628,124000,40.356056
3885,2015-12-25,40.09,41.655,39.7288,40.3628,124000,40.472946
3886,2015-12-28,40.9327,41.334,40.9327,41.334,2000,40.506256
3887,2015-12-29,41.7433,42.5379,39.8893,40.1622,127500,40.933357
3888,2015-12-30,40.1221,40.1221,39.5362,39.6887,7500,40.77642
3889,2015-12-31,40.5234,40.9327,40.5234,40.6036,35500,40.304466
3890,2016-01-01,39.809,41.334,39.809,40.5314,37500,40.431206
3891,2016-01-04,41.0531,41.0531,39.5281,40.106,126500,40.64717
3892,2016-01-05,40.1221,41.6952,40.1301,40.411,113500,40.47693
3893,2016-01-06,40.1381,40.5314,39.9294,40.3307,17000,40.47159
3894,2016-01-07,39.6887,42.3453,39.3275,42.257,424000,40.530212
3895,2016-01-08,42.5299,42.8589,40.1461,40.1782,145500,41.35108
3896,2016-01-11,39.7769,40.0097,38.6051,39.1268,31000,41.069847
3897,2016-01-12,38.5249,40.5314,37.4012,40.0017,129500,40.179863
3898,2016-01-13,40.1301,40.3307,38.1236,38.3162,49000,40.017742
3899,2016-01-14,37.7223,39.1268,36.406,36.406,56000,39.464622
3900,2016-01-15,35.3145,35.9967,34.5921,34.9774,80500,38.04666
3901,2016-01-18,33.3481,34.5119,33.2357,33.9501,72000,36.561966
3902,2016-01-19,33.8698,35.2342,33.1073,35.0175,62000,35.357292
3903,2016-01-20,34.5119,34.5119,34.5119,34.5119,1000,35.086697
3904,2016-01-21,34.5119,36.0368,34.1828,34.4878,24000,34.941696
3905,2016-01-22,35.1941,35.9566,35.2342,35.8362,21000,34.79189
3906,2016-01-25,36.1171,36.1171,34.5119,34.9533,32500,35.27498
3907,2016-01-26,34.1908,34.5119,33.7093,34.2229,86500,35.38867
3908,2016-01-27,35.1138,35.78800000000001,34.5119,34.6483,58000,34.938293
3909,2016-01-28,34.5119,35.3947,34.5119,35.2663,55000,34.810364
3910,2016-01-29,35.3145,36.1171,35.3145,35.4349,79000,35.143677
3911,2016-02-01,35.5151,36.7993,35.3145,36.398,69500,35.40766
3912,2016-02-02,36.7592,37.5537,36.7592,36.9277,61500,35.937138
3913,2016-02-03,36.9117,38.7737,36.9197,38.7737,165500,36.560875
3914,2016-02-04,38.9262,40.114,38.5249,38.7817,173000,37.695827
3915,2016-02-05,38.9262,40.114,38.5249,38.7817,173000,38.453773
3916,2016-02-08,39.2793,40.3307,39.1589,39.9375,39500,38.76105
3917,2016-02-09,39.3275,40.1301,38.9422,39.8492,18500,39.371372
3918,2016-02-10,39.0145,39.3275,38.3242,38.5249,21500,39.82082
3919,2016-02-11,37.7223,38.1236,37.7223,37.8748,14000,39.367706
3920,2016-02-12,37.321,37.4815,36.5986,37.4574,19000,38.68567
3921,2016-02-15,38.5088,38.9262,36.2054,37.321,45500,38.173805
3922,2016-02-16,36.8073,37.7062,36.5184,36.5184,16500,37.82602
3923,2016-02-17,36.7592,36.7592,36.3097,36.7592,3000,37.289627
3924,2016-02-18,37.2407,38.5971,37.2327,38.4286,116000,37.050163
3925,2016-02-19,37.321,37.7223,36.9197,37.1685,12500,37.703476
3926,2016-02-22,36.9197,36.9197,36.1171,36.1492,34500,37.720787
