,Date,Open,High,Low,Close,Volume,Predicted Price
3675,2015-04-13,1127.9933,1128.6773,1098.0662,1098.0662,317,1114.8724
3676,2015-04-14,1127.9933,1128.6773,1098.0662,1098.0662,317,1107.7446
3677,2015-04-15,1127.9933,1128.6773,1098.0662,1098.0662,317,1115.6067
3678,2015-04-16,1127.9933,1128.6773,1098.0662,1098.0662,317,1109.1206
3679,2015-04-17,1121.8369,1121.8369,1121.8369,1121.8369,26,1102.8679
3680,2015-04-20,1074.022,1073.9536,1065.745,1066.0186,264,1107.701
3681,2015-04-21,1074.022,1073.9536,1065.745,1066.0186,264,1099.4497
3682,2015-04-22,1074.022,1073.9536,1065.745,1066.0186,264,1091.3099
3683,2015-04-23,1074.022,1073.9536,1065.745,1066.0186,264,1094.1859
3684,2015-04-24,1049.3279,1049.3279,1049.3279,1049.3279,26,1072.8701
3685,2015-04-27,1049.3279,1049.3279,1049.3279,1049.3279,26,1066.1982
3686,2015-04-28,1026.0703,1026.0703,1026.0703,1026.0703,106,1062.9092
3687,2015-04-29,1060.9567,1060.9567,1046.5917,1048.8696,132,1055.5117
3688,2015-04-30,1060.2727,1060.2727,1060.2727,1060.2727,132,1049.4814
3689,2015-05-01,1060.2727,1060.2727,1060.2727,1060.2727,132,1052.9829
3690,2015-05-04,1036.331,1036.331,1026.0703,1026.0703,422,1048.5955
3691,2015-05-05,1026.0703,1046.5917,1026.0703,1046.5917,554,1050.0708
3692,2015-05-06,1026.7544,1032.9108,1026.7544,1032.9108,370,1053.8259
3693,2015-05-07,1026.7544,1026.7544,1026.0772,1026.4192,53,1051.155
3694,2015-05-08,1026.0772,1026.0772,1026.0635,1026.0772,2614,1035.6357
3695,2015-05-11,1005.5489,1026.0703,991.868,991.868,2191,1039.1908
3696,2015-05-12,959.1021,1026.0703,942.2746,1026.0703,1478,1025.9241
3697,2015-05-13,1026.0703,1026.7544,1026.0703,1026.7544,53,1023.76447
3698,2015-05-14,1026.0703,1026.0703,975.4508,1005.5489,1769,1026.0844
3699,2015-05-15,978.187,978.187,978.187,978.187,660,1011.6156
3700,2015-05-18,979.5551,979.5551,979.5551,979.5551,660,1013.252
3701,2015-05-19,979.5551,979.5551,979.5551,979.5551,660,1007.61206
3702,2015-05-20,979.5551,979.5551,979.5551,979.5551,660,996.0758
3703,2015-05-21,979.5551,979.5551,979.5551,979.5551,660,984.14844
3704,2015-05-22,979.5551,979.5551,957.6656,960.4907,1637,983.32184
3705,2015-05-25,979.5551,979.5551,957.6656,960.4907,1637,978.9724
3706,2015-05-26,957.6656,974.7668,957.6656,974.7668,79,975.21576
3707,2015-05-27,957.6656,974.7668,957.6656,974.7668,79,976.2308
3708,2015-05-28,926.8835,1019.2298,926.8835,985.0275,1452,971.3613
3709,2015-05-29,957.6656,974.7668,957.6656,974.7668,238,974.4959
3710,2015-06-01,957.6656,971.3466,957.6656,971.3466,264,979.8963
3711,2015-06-02,1019.2298,1019.9139,976.1349,996.1979,3194,979.0321
3712,2015-06-03,996.1979,1046.0034,964.5061,1046.0034,2138,987.02026
3713,2015-06-04,1093.7910000000004,1098.2988,1093.7910000000004,1098.2988,1162,999.4265
3714,2015-06-05,1095.8431,1145.0945,1095.8431,1096.0552,818,1022.4547
3715,2015-06-08,1114.9964,1114.9964,1096.6982,1096.6982,686,1048.0818
3716,2015-06-09,1114.9964,1114.9964,1096.6982,1096.6982,686,1075.4169
3717,2015-06-10,1105.4197,1105.4197,1087.6345,1091.0548,449,1098.8608
3718,2015-06-11,1105.4197,1105.4197,1087.6345,1091.0548,449,1099.334
3719,2015-06-12,1094.475,1094.475,1037.0151,1094.475,1980,1098.3691
3720,2015-06-15,1095.5011,1095.5011,1094.475,1095.5011,8105,1098.515
3721,2015-06-16,1127.9933,1127.9933,1127.9933,1127.9933,26,1097.1504
3722,2015-06-17,1097.8952,1098.5793,1094.475,1097.8952,158,1105.0117
3723,2015-06-18,1097.8952,1098.5793,1094.475,1097.8952,158,1105.9424
3724,2015-06-19,1131.4135,1132.0976,1111.5762,1114.9964,1742,1104.5049
3725,2015-06-22,1112.9443,1113.6283,1059.5886,1112.9443,1663,1118.0084
