,Date,Open,High,Low,Close,Volume,Predicted Price
3752,2015-05-21,14.2754,14.3682,14.059,14.3464,96528,13.270364
3753,2015-05-22,14.5501,14.5501,14.2772,14.2772,21855,13.314478
3754,2015-05-25,14.3682,14.4591,14.3682,14.4591,12749,13.362228
3755,2015-05-26,14.3682,14.5501,14.25,14.2772,358794,13.4318
3756,2015-05-27,14.1427,14.5501,14.2954,14.3682,193057,13.470027
3757,2015-05-28,14.2063,14.4136,14.1863,14.2318,171201,13.488805
3758,2015-05-29,14.2772,14.5501,14.2772,14.49,162095,13.471436
3759,2015-06-01,14.541,14.5501,14.5228,14.5501,262266,13.491964
3760,2015-06-02,14.3682,14.5137,14.3682,14.4591,27319,13.52996
3761,2015-06-03,14.3682,14.3682,14.2409,14.3682,40068,13.5672655
3762,2015-06-04,14.3682,14.4318,14.27,14.27,36426,13.564072
3763,2015-06-05,14.5482,14.5501,14.5319,14.5319,25498,13.543066
3764,2015-06-08,14.53,14.5501,14.0044,14.5391,1132842,13.539833
3765,2015-06-09,14.5319,14.5501,14.39,14.521,347866,13.56191
3766,2015-06-10,14.5482,14.5501,14.4427,14.4809,136597,13.587407
3767,2015-06-11,14.3682,14.5501,14.3682,14.3773,504497,13.603273
3768,2015-06-12,14.5482,14.7319,14.4318,14.5882,369722,13.599758
3769,2015-06-15,14.5501,14.5955,14.4064,14.4246,588276,13.601024
3770,2015-06-16,14.4009,14.5501,14.2809,14.5482,502676,13.596682
3771,2015-06-17,14.2318,14.5864,13.8226,14.3191,12756306,13.600802
3772,2015-06-18,14.6228,15.0338,14.4864,15.0338,2050771,13.579947
3773,2015-06-19,15.7686,15.785,15.7686,15.785,346045,13.664002
3774,2015-06-22,16.1869,16.2761,15.0247,15.1921,426182,13.906166
3775,2015-06-23,15.4594,15.6213,14.9138,14.9811,151167,14.095416
3776,2015-06-24,15.414,15.4594,15.2776,15.4012,353330,14.136311
3777,2015-06-25,15.6395,15.6413,15.4594,15.4885,400684,14.211291
3778,2015-06-26,15.4685,15.5504,15.2412,15.4576,336938,14.274554
3779,2015-06-29,15.3685,15.6413,15.3685,15.6068,91064,14.282489
3780,2015-06-30,16.3506,16.3506,15.5504,15.7886,105635,14.350053
3781,2015-07-01,16.1415,16.578,15.8323,16.578,457143,14.457644
3782,2015-07-02,17.0963,17.4055,16.5543,16.7289,597383,14.656436
3783,2015-07-03,16.9144,16.969,16.6416,16.6598,52817,14.9088335
3784,2015-07-06,16.7326,16.7326,16.195999999999998,16.4743,145703,15.112402
3785,2015-07-07,16.0323,16.5507,15.9359,16.016,318726,15.2131195
3786,2015-07-08,16.0051,16.096,15.6413,15.7104,114741,15.17863
3787,2015-07-09,15.6686,15.8941,15.5522,15.7486,214912,14.999027
3788,2015-07-10,15.6431,16.5343,15.6431,16.4561,278657,14.822924
3789,2015-07-13,16.7326,17.2782,16.4597,17.2782,1176553,14.811807
3790,2015-07-14,17.9602,17.9602,16.7326,17.4419,158452,15.02723
3791,2015-07-15,17.2054,17.2782,17.1509,17.2018,60103,15.344133
3792,2015-07-16,17.0072,17.1873,16.9144,16.9454,344224,15.586106
3793,2015-07-17,17.0072,17.1873,16.9144,16.9454,344224,15.691222
3794,2015-07-20,17.0072,17.1873,16.9144,16.9454,344224,15.686974
3795,2015-07-21,17.0072,17.1873,16.9144,16.9454,344224,15.6249485
3796,2015-07-22,16.7417,17.7911,16.7417,17.7238,728515,15.569271
3797,2015-07-23,17.9148,18.3694,17.551,17.9602,606489,15.669006
3798,2015-07-24,18.1857,18.5513,17.6438,18.3713,932500,15.881498
3799,2015-07-27,18.3694,19.0969,18.0966,18.1894,1599092,16.138758
3800,2015-07-28,18.1876,19.0988,18.1876,18.6768,1675586,16.344908
3801,2015-07-29,18.7332,18.9151,18.3876,18.8023,442573,16.554464
3802,2015-07-30,19.0515,19.0606,18.4149,18.7132,163916,16.725698
3803,2015-07-31,18.8241,19.086,18.615,18.6914,189414,16.84188
3804,2015-08-03,18.5895,19.6244,18.3694,19.6244,4493119,16.886408
