,Date,SBP Press Release
0,2006-01-01 00:00:00+00:00,"September 12, 2006

SBP GOVERNOR, DR. SHAMSHAD AKHTAR DESCRIBES
BASEL II AS A REVOLUTION IN RISK MANAGEMENT.

Addressing the 56"" Annual General Meeting of the Institute of Bankers Pakistan today,
Dr. Shamshad Akhtar, Governor, State Bank of Pakistan, gave a comprehensive briefing on the theory
and practical dimensions and elements of Basel II. She termed Basel II as a “revolution” in regulation
and risk management, while pointing out that it is not just the banks which will change in the Basel II
scenario, this accord will also affect rating agencies, external auditors, banks’ customers and
regulators alike.

Dr. Akhtar said that the main element underlying the Basel II framework is the recognition
and management of risk. ‘One cannot dispute the inevitability of effective recognition and proper risk
capital weightage of different types of risks in bank operations in the current financial architecture’,
the Governor noted. In her speech, Dr. Akhtar discussed in detail some of the key challenges
pertaining to the implementation of the Basel II Accord, namely, a) Reliability of Risk Management
systems, 2) Asymmetry in Supervision, 3) Imperfect Markets, 4) Pro-cyclicality, 5) Access to Finance
for the disadvantaged sectors, 6) Need for development of risk management expertise, 7) Operational
costs and 8) Cross-border challenges.

Dr. Akhtar laid great emphasis on the access to finance for all sections of society. Keeping in
view the fact that the new accord would require banks to hold higher capital allocation for assuming
higher credit risk, she highlighted the potential concern that small businesses and poor segments of
the society might receive negligible or very costly credit under the new regime. Even under the old
framework, the problem of access to finance for low income segments is quite significant for
developing countries. She emphasized that this issue is closely linked to the poverty alleviation efforts
of the government, and cannot be addressed in isolation. However, she said, policies should be made
to bring more segments in the ambit of financial services without seriously compromising the banks’
risk profile. As a regulator the SBP may need to look into the possibility of designing a modified risk
assessment system for the development finance activities of banks.

The SBP Governor said that in her view, the foremost challenge facing banks in Pakistan, as
well as across the region, is to develop well-functioning, efficient and integrated risk-management
systems. Banks in Pakistan in particular, have become more cautious in their credit appraisal and
monitoring system, however the risk management expertise of the entire banking sector needs to be
improved further in order to meet the challenge imposed by Basel II.

She elaborated that the entire framework is based on reliability of good quality data to assess
risks accurately. Banks have to rely on External Credit Rating Institutions (ECRIs) which in turn have
considerable reliance on external auditors of the borrowing entity. State Bank has taken various
measures to ensure that the quality of ECRIs and External Auditors.

Dr. Akhtar said that some important steps towards achieving an effective implementation of
Basel II include a) concerted capacity building measures for the training of human resources in
targeted fields, b) developing internal risk models and advanced risk management systems at SBP, c)
enhanced coordination with SECP over issues arising out of Basel II implementation, and d)
maintaining regular contact with banks in order to evaluate their compliance and provide guidance
wherever necessary.

The Central Bank has chalked out a roadmap for the implementation of Basel II accord in a
phased manner. ‘SBP has to ensure that the implementation is achieved in a smooth manner’, the
Governor added. ‘The transitional period is expected to provide the banks the requisite time to fine
tune their systems and hone their technical and human resource capabilities’.
"
1,2006-06-16 00:00:00+00:00,"16"""" June, 2006

HISTORIC INCREASE IN WORKERS’ REMITTANCES
DURING MAY, 2006

 

Workers’ remittances registered the highest ever increase in Pakistan’s history
when a record amount of $506.57 million was remitted by the overseas Pakistanis in
May, 2006 as against $358.30 million received during the same month of the last
fiscal year depicting an impressive increase of $148.27 million or 41.38 per cent.
Pakistani workers have remitted $313.14 million, $348.41 million, $341.10 million,
$372.50 million, $308.81 million, $371.24 million, $391.32 million, $358.13 million,
$423.56 million and $401.47 million in July, August, September, October, November
& December, 2005 and January, February, March & April, 2006 respectively.

During eleven months of the current fiscal year (July 2005 — May, 2006),
Pakistan received an amount of $4,136.25 million as workers’ remittances as against
$3,809.81 million received in the corresponding period of the last fiscal year
registering an increase of $326.44 million or 8.57 per cent. The amount of $4,136.25
million includes $11.10 million received through encashment and profit earned on
Foreign Exchange Bearer Certificates (FEBCs) and Foreign Currency Bearer
Certificates (FCBCs).

The inflow of remittances during eleven months of the current fiscal year from
USA, Saudia Arabia, UAE, GCC countries (including Bahrain, Kuwait, Qatar and
Oman), UK and EU countries amounted to $1,119.34 million, $670.93 million,
$635.54 million, $537.39 million, $400.00 million and $109.92 million respectively
as compared to $1,184.93 million, $567.54 million, $652.11 million, $471.85 million,
$338.21 million and $92.26 million during the corresponding period of the last fiscal
year. Remittances received from Canada, Australia, Norway, Switzerland, Japan and
other countries during July 2005 — May, 2006 amounted to $652.03 million as
compared to $487.76 million in the corresponding period of the last fiscal year.

The monthly average remittances for the period July, 2005 — May, 2006 comes
out to $376.02 million as compared to $346.35 million during the same period of the
last fiscal year.

The inflow of remittances into Pakistan from almost all countries of the world
increased last month as compared to May, 2005. According to the break up, Pakistan
received workers remittances during May, 2006 from USA ($124.56 million), Saudi
Arabia ($86.29 million), UAE ($79.70 million), GCC countries including Bahrain,
Kuwait, Qatar and Oman ($60.09 million), UK ($53.60 million) and EU countries
($12.86 million) as compared to the corresponding receipts from the respective
countries during the same month of the last fiscal year ie. $108.71 million, $61.32
million, $71.24 million, $45.90 million, $28.22 million and $9.01 million.
Remittances received from Canada, Australia, Norway, Switzerland, Japan and other
countries during May, 2006 amounted to $89.18 million as compared to $30.49

million during the same month of the last fiscal year.
dig aie oie ake akc ok ok
"
2,2006-03-17 00:00:00+00:00,"16'"" March, 2006

PAKISTAN RECEIVES OVER $2.804 BILLION
AS WORKERS’ REMITTANCES DURING THE FIRST EIGHT MONTHS
OF THE CURRENT FISCAL YEAR

Pakistan received an amount of $2,804.65 million as workers’ remittances
during the first eight months of the current fiscal year (July 2005 — February, 2006) as
against $2,606.81 million received in the corresponding period of the last fiscal year
registering an increase of $197.84 million or 7.59 per cent. The amount of $2,804.65
million includes $10.57 million received through encashment and profit earned on
Foreign Exchange Bearer Certificates (FEBCs) and Foreign Currency Bearer
Certificates (FCBCs).

Pakistani workers remitted $358.13 million during last month as against
$339.29 million in February, 2005 depicting an increase of $18.84 million or 5.55
per cent.

The inflow of remittances during the first eight months of the current fiscal
year from USA, Saudia Arabia, UAE, GCC countries (including Bahrain, Kuwait,
Qatar and Oman), UK and EU countries amounted to $785.41 million, $443.09
million, $419.29 million, $371.36 million, $266.72 million and $77.83 million
respectively as compared to $808.66 million, $389.69 million, $430.03 million,
$330.29 million, $232.12 million and $60.59 million during the corresponding period
of the last fiscal year. Remittances received from Canada, Australia, Norway,
Switzerland, Japan and other countries during July 2005 — February, 2006 amounted
to $430.38million as compared to $351.55 million in the corresponding period of the
last fiscal year.

The monthly average remittances for the period July, 2005 — February, 2006
comes out to $350.58 million as compared to $325.85 million during the same period
of the last fiscal year.

The inflow of remittances into Pakistan from most countries of the world
increased last month as compared to February, 2005. According to the break up,
Pakistan received workers remittances during February, 2006 from USA ($89.98
million), UAE ($59.44 million), Saudi Arabia ($58.80 million), GCC countries
including Bahrain, Kuwait, Qatar and Oman ($45.73 million), UK ($30.27 million)
and EU countries ($7.12 million) as compared to the corresponding receipts from the
respective countries during the same month of the last fiscal year i.e. $118.71 million,
$60.16 million, $46.10 million, $37.04 million, $24.20 million and $6.53 million.
Remittances received from Canada, Australia, Norway, Switzerland, Japan and other
countries during February, 2006 amounted to $66.66 million as compared to $46.13

million during the same month of the last fiscal year.
oe ok ok ak ee
"
3,2006-05-26 00:00:00+00:00,"26"" May, 2006

State Bank to issue Rs.5000/- and New Rs.10/- Banknotes
from 27"" May, 2006: Governor

The Governor, State Bank of Pakistan, Dr. Shamshad Akhtar has announced the
launching of Rs.5000/- and new Rs.10/- banknotes from tomorrow. She said that all the
field offices of SBP Banking Services Corporation throughout the country would issue
these notes with effect from 27"" May, 2006.

Addressing a press conference at the State Bank of Pakistan, Karachi this
afternoon, the Governor said that it is for the first time in the history of the country that
the banknote of Rs.5000/- denomination is being introduced. She said the main benefit of
introducing Rs.5000/- banknote was to provide convenience and facilitate higher value
transactions. Issuance of larger denominated note also economises the expenditure on
printing of notes as higher denomination notes would reduce the consumption of lower
denomination notes.

Dr. Akhtar said the Government of Pakistan and the State Bank had decided to
issue new designed banknotes with high-tech security features to minimize the possibility
of counterfeiting of these notes.

She said that Rs.5000/- banknote contains several security features of
international standards and now our notes are comparable with Euro and have more
security features than US dollars. ‘The note also contains a special security feature to
facilitate the visually impaired persons to easily recognize it’, Dr. Akhtar added.

The Governor said that the new designed Rs.10/- banknote also contained a host
of security features as compared to the existing Rs.10/- note.

She said the new notes also depict the architectural heritage of the country.
Famous monumental structures of Pakistan — the Khyber Pass, Peshawar, Mohen-jo-
Daro, Larkana and Faisal Mosque, Islamabad — have been printed as the vignette at the
reverse of Rs.10, Rs.20 and Rs.5000 banknotes respectively, the Governor added.

With a view to facilitate the handling of new notes, their size has been kept
smaller than the existing notes. The width of the new banknotes is 65mm as against
73mm of the existing banknotes while the length of new banknotes has also been kept
smaller than the existing ones, Dr. Akhtar added.

Dr. Akhtar said that the designs of all the existing banknotes would be changed.
She said that the new designed Rs.20/- banknote was being issued from 13"" August,
"
4,2006-06-09 00:00:00+00:00,"9% June, 2006

SBP GOVERNOR STRESSES THENEED FOR DEVELO PM ENT OF
MICROFINANCE SECTOR TO ALLEVIJATE POVERTY.

 

The G ovemor, State Bank of Pakistan, D r. Sham shad A khtar has stressed
the need for the prom otion and developm ent of m icrofinance sector to alleviate
poverty from the country.

In her keynote address at a sem nar on Beyond Charity: Comm ercial
Opportunities in M cro and Small Lending’ which was pwntl organized by
USAD and Shore Bank Ihtemational at Islam abad, the Govemor said that at
present six M icro Finance Banks w ith a com bined new ork of 92 branches and
145 service centres w ere operating throughout the country. She indicated that
this sem nar is tm ely as it ison the heels ofannouncem entof the Budget 2006-07.
The Budgethas som e key announcem ents form icrofinance developm ent.

The Govemm enthas setup aRs.10 billion “K hushalPakistan Fund” and
to facilitate the developm entof sustainabk m ccrofinance sector, in Ine w ith SBP
recom m endations, the Finance Bill for 2006-07 included certain am endm ents nn
theM icrofinance Ihstitu tons 0 rdinance 2001, D r.A khtar added.

Outlining the benefits of the am endm ents, the Govemor pomnted out that
these changes have clearly defined the variousm icrofinance service providers by
distinguishing betw een M icrofinance Institutions (M FIs) and M icrofinance Banks
(M FBs). The flexibility in detemm ining the income threshold to qualify asa
microfinance client w ould facilitate in becom ing responsive to changing soci-
econom ic conditions. The m icrofinance banks w oud now be abk to taibr their
products to m eet the needs of their custom ers as they m ove along the prosperity
continuum and can also offer high value Jong tenor products like housing bans,
she observed .

The Govemor said that the additionalavenues for m icrofinance banks to
invest their surplus funds nn govemm entas w ellas m arketable secu rities w oud
provide them necessary support to improve their sustanability. The
am endm ents have brought the m axim um_ tenor of extemalauditors in line w ith
the Corporate Govemance Guidelines issued by the Security and Exchange
Com m ission of Pakistan w hile ensuring the secrecy and fidelity of records and
infom ation. The am endm ents have m ade it possible to increase the business
Viability and the diversity of the institutions by the emergence of Regional
M icrofinance Banks that m ight obtain licence for five ad‘pacent districts w ith
minum capital requirem ent. The enhanced regulatory powers of SBP are
"
5,2006-07-03 00:00:00+00:00,"1"" July, 2006

SBP GOVERNOR MEETS APTMA

The Governor, State Bank of Pakistan, Dr. Shamshad Akhtar met the representatives
of All Pakistan Textile Mills Association and other Associations of Textile Sector to
exchange views on problems facing the Textile Industry at SBP, Karachi today. The textile
exporters requested for subsidization and flexibility in the two key schemes being offered by
SBP i.e. i) Export Finance Scheme ii) Long-Term Financing Scheme for Export Oriented
Projects (LTF-EOP).

Representatives of the textile sector apprised the Governor, SBP of their current
financial problems, particularly due to high interest rates and utility prices etc, and said that
their products have become uncompetitive in the world market. They have requested the
Governor for financial relief by reducing the refinance rate under SBP’s Export Finance
Scheme and Swap of their existing loans which were obtained from commercial banks on
KIBOR based lending rates through financing under SBP’s LTF-EOP Scheme. Additionally
they also demanded allocation of sufficient limits to the banks for meeting the growing
demand of the export oriented projects under LTF-EOP Scheme.

Sympathizing with the textile exporters, Governor SBP underscored the need for
textile industry to position themselves more effectively to deal with the growing and
aggressive regional and global competition. Rather than rely on temporary financial support
which is fiscally not sustainable on a long term basis and carries the risk of monetary
complications, Pakistan’s textile industry should upfront assess their project viability based
on alternate scenario’s. She elaborated that subsidization of either interest rate and expansion
of refinancing not only creates distortions and complications for monetary expansion, but
based on past experience are prone to misuse and exploitation. While the SBP tight monetary
policy has helped eased somewhat inflationary pressures, any further pressures on budget and
on reserve money via an expansion of refinancing scheme will generate additional
inflationary pressures which can then only be controlled by raising further interest rates.

While assuring the industry that the SBP is sympathetic to current problems of
industry, she concluded that more consultation is required with the Government to ultimately
decide on export refinance scheme and more analysis is needed to assess the financial
implications of the swap scheme being requested. In any case, she indicated that textile
community should understand that any subsidies associated will be limited and time bound
given the fiscal constraints. In response to a question, she strongly rejected any demand for
easing of prudential regulations in case of defaults. She indicated that both borrowers and
financial institutions have to remain within the defined prudential parameters defined by
SBP.

The meeting was attended among others by the Deputy Governor, State Bank of
Pakistan, Mr. Mansur-ur-Rehman Khan, senior Executive and officials of the Bank and 11

representative bodies of textile sector, besides APTMA.
i ois 2k ale 2k ok ok
"
6,2006-01-27 00:00:00+00:00,"26"" January, 2006

STATE BANK ISSUES ITS MONETARY POLICY STATEMENT

The State Bank of Pakistan issued its Monetary Policy Statement which
was approved by the Central Board of Directors of SBP at its meeting held
in Islamabad today, with Dr. Shamshad Akhtar, Governor State Bank of
Pakistan, in the chair. The distinguishing feature of the Monetary Policy
Statement is a public announcement of the monetary policy stance to be
followed by the SBP during the second half of FY06.

The text of the Monetary Policy Statement is enclosed.
Encl:

Monetary Policy Statement
Macroeconomic Outlook
"
7,2006-06-09 00:00:00+00:00,"9"" June, 2006

SBP IMPOSES 50% CASH MARGIN REQUIREMENT ON ADVANCES
AGAINST SECURITY OF BOTH RAW AND REFINED SUGAR STOCKS

With a view to discourage hoarding of sugar and to ensure its price stability, the
State Bank of Pakistan has with immediate effect imposed a 50% cash margin
requirement on all fresh advances/disbursements by banks against the sugar stocks. The
SBP has also prohibited the banks from financing the cash margin requirement
themselves.

The State Bank has also directed the banks to fully adjust all previous advances
against the security of sugar stocks latest by 31° July, 2006. It asked the banks to ensure
that renewals/fresh disbursements of such advances are made only after a clean up period
of at least one month with a 50% cash margin requirement.

The State Bank will monitor the situation closely and for this purpose the banks
have been asked to report all such advances to it (SBP) on fortnightly basis as per
prescribed format.

BPD Circular No. 4 dated the 9 June, 2006 issued in this regard to the

presidents/chief executives of all banks is enclosed.
oR oR a oe
"
8,2006-01-18 00:00:00+00:00,"18"" January, 2006

PAKISTAN RECEIVES OVER $2.055 BILLION
AS WORKERS’ REMITTANCES DURING FIRST HALF
OF CURRENT FISCAL YEAR

Pakistan received an amount of $2055.20 million as workers’ remittances
during the first half of the current fiscal year (July — December, 2005) as against
$1,946.14 million received in the corresponding period of the last fiscal year
registering an increase of $109.06 million or 5.60 per cent. The amount of $2055.20
million includes $9.99 million received through encashment and profit earned on
Foreign Exchange Bearer Certificates (FEBCs) and Foreign Currency Bearer
Certificates (FCBCs).

The inflow of remittances during the first half of the current fiscal year from
USA, Saudia Arabia, UAE, GCC countries (including Bahrain, Kuwait, Qatar and
Oman), UK and EU countries amounted to $586.04 million, $335.24 million, $301.79
million, $276.79 million, $201.68 million and $57.47 million respectively as
compared to $587.89 million, $300.36 million, $315.47 million, $248.02 million,
$179.18 million and $47.47 million during the corresponding period of the last fiscal
year. Remittances received from Canada, Australia, Norway, Switzerland, Japan and
other countries during July — December, 2005 amounted to $286.20 million as
compared to $264.53 million in the corresponding period of the last fiscal year.

The monthly average remittances for the period July - December, 2005 comes
out to $342.53 million as compared to $324.36 million during the same period of the
last fiscal year.

The inflow of remittances into Pakistan from most of the countries of the
world increased last month as compared to December, 2004. During last month, the
Pakistani workers remitted $371.24 million as against $336.38 million in December,
2004 depicting an increase of $34.86 million or 10.36 per cent. According to the
break up, Pakistan received workers remittances during December, 2005 from USA
($104.50 million), UAE ($58.53 million), Saudi Arabia ($54.35 million), GCC
countries including Bahrain, Kuwait, Qatar and Oman ($48.54 million), UK ($28.90
million) and EU countries ($9.71 million) as compared to the corresponding receipts
from the respective countries during the same month of the last fiscal year i.e. $99.06
million, $57.66 million, $49.86 million, $42.38 million, $32.01 million and $7.79
million. Remittances received from Canada, Australia, Norway, Switzerland, Japan
and other countries during December, 2005 amounted to $64.57 million as compared

to $47.14 million during the same month of the last fiscal year.
3 a 2 oR
"
9,2006-06-28 00:00:00+00:00,"27% June, 2006

 

STATE BAN K ISSUES GUIDELINES FOR COM M ERCJAL BANKS
TO UNDERTAKEM ICRO FINANCE BUSINESS

 

 

The State Bank of Pakistan today issued guidelines for commercial banks to
undertake m icrofinance business. This w ill serve the dual purpose of deepening and
broaden:ng of financialaccess nn the country alongw ith providing an additionalavenue
for banks to undertake socially responsible and commercially viabk business
proposition.

These guidelines envisaged four m odes through which com m ercial banks can
enter nto m icrofinance services w hich include, i) establishm entofm icrofinance counters
an the existing branches, ii) designating standalone m icrofinance branches, either through
conversion of existing branches or opening of new Mm <xcrofinance branches,
iii) establishing independentm icrofinance subsidiary w ith independentand professional
board and management under M <xcrofinance Institutions Ordnance 2001 and
iv) develbpnng Inkages w ith M icrofinance Banks (MFBs) licenced by SBP and non-
govemm ent organizations - m icrofinance institutions (N GO s™ FIs) that are not licenced
by SBP to extend w hoksak funds for onw ard ending.

The m icrofinance operations of the com mercial banks to be conducted under
m odes (3), (ii) & (av), as envisaged wn the guidelnes shallbe subfct to a separate set of
Prudential Regulations issued under the powers vested in Banking Companies
O rdinance 1962.H ow ever, the m icrofinance operations through independent subsidiary
with independent and professional board under mode (iii) woud be govemed by
M icrofinance Institutions 0 rdinance 2001 and PrudentialReguations for M icro Finance
Banks.

Itm ay be pointed out that realizing the grow ing acceptability of m icrofinance as
an effective toolfor poverty alleviation and a viabk busness proposition, the State Bank
of Pakistan had already form ulated a regulatory fram ework for establishing M icro
Finance Banks.A Ithough there are also a num ber of other N GO FIs n the unregulated
sector, that provide m icro credit facilities to the poor but the com bined outreach of M FBs
and NGOs FIs isaround halfam illion loan clents, that is Jess than 10% of the potential
m arketof65 to 70m illion poor househous.

To tap this huge un-served m arket, the State Bank has issued the above guidelines
for com m ercialbanks having huge branch netw ork across the country and stab sources
of funds to undertake the m icrofinance business.

For detailed Guidelines and Prudential Regulations, please visit our w ebsite:
www sop orgpk.
"
