Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
2019-08-29,76.55057,72.44,69.36190476190461,51.693701969799136,78.96578495708111,69.69099999999992,60.41621504291873,1.1687176320237285,0.2421115733678353,0,-1.0,75.0,78.5,72.36,72.44,1433000
2019-08-30,75.26257,68.93,69.65476190476176,45.344611018701755,78.66832266604872,70.02299999999994,61.37767733395113,0.7783909458929799,0.3493674478728642,1,-1.0,70.99,71.97,68.82,68.93,854500
2019-09-02,72.56107,68.85,69.9671428571427,45.20832231578766,78.30359752938189,70.33799999999992,62.37240247061795,0.4573271211934724,0.3709593825369858,-1,0.0,70.01,71.19,68.11,68.85,1232000
2019-09-03,71.52847,65.59,70.11190476190461,39.94019079027167,78.01206525171395,70.47199999999991,62.931934748285855,-0.05948729555051099,0.2848700469194865,0,-1.0,69.25,69.25,65.41,65.59,517500
2019-09-04,69.460396,68.86,70.39523809523794,46.6551798539027,77.55318569860991,70.76049999999991,63.96781430138991,-0.2028662568678783,0.1873227861620135,0,1.0,65.01,68.86,64.21,68.86,583500
2019-09-05,69.34353,67.97,70.62761904761891,45.17476246895893,77.43094529980273,70.85649999999991,64.28205470019711,-0.3838854857419704,0.0730811317812167,0,-1.0,70.49,71.4,67.06,67.97,527000
2019-09-06,68.74289,68.29,70.73428571428556,45.84019806836913,77.44255163865499,70.82199999999992,64.20144836134484,-0.4958078390109222,-0.040696662377211,-1,0.0,66.6,68.8,66.25,68.29,203500
2019-09-09,68.87987,68.29,70.70142857142841,45.84019806836913,77.45312487694137,70.78749999999991,64.12187512305843,-0.5778460606431821,-0.1481265420304053,1,0.0,66.6,68.8,66.25,68.29,203500
2019-09-10,68.607056,68.29,70.66857142857127,45.84019806836913,77.46268583467999,70.7529999999999,64.04331416531981,-0.6355358803192388,-0.245608409688172,0,0.0,66.6,68.8,66.25,68.29,203500
2019-09-11,69.05017,67.54,70.59999999999985,44.26739338310843,77.49533166202734,70.6809999999999,63.86666833797246,-0.7333209426828802,-0.3431509162871136,1,-1.0,69.4,69.4,66.5,67.54,566500
2019-09-12,68.62385,70.9,70.6914285714284,52.18282999758085,77.54672407119395,70.7769999999999,64.00727592880585,-0.5335420491765319,-0.3812291428649973,-1,1.0,66.76,70.91,66.76,70.9,934500
2019-09-13,69.92389,73.72,70.91714285714271,57.62275323705658,77.78866583657778,71.09599999999992,64.40333416342206,-0.1459826078347816,-0.3341798358589541,1,1.0,70.12,74.3,70.0,73.72,996000
2019-09-16,71.76521,77.4,71.39619047619033,63.464089767513784,78.66181405406206,71.4339999999999,64.20618594593776,0.4528857021376495,-0.1767667282596334,-1,1.0,74.5,77.4,74.0,77.4,1101500
2019-09-17,74.33612,80.88,71.88380952380938,67.96154785635298,80.25406286243671,71.9819999999999,63.7099371375631,1.1945302674762956,0.0974926708875524,0,1.0,78.5,81.27,76.6,80.88,7510
2019-09-18,77.14695,78.1,72.27333333333317,61.453590604363754,80.95644909097533,72.2644999999999,63.57255090902446,1.5402115620581327,0.3860364491216684,-1,-1.0,81.11,82.9,77.15,78.1,1745500
2019-09-19,78.0445,81.8,72.71857142857127,66.10569803982352,82.06469728339641,72.5509999999999,63.037302716603406,2.0886489118067715,0.7265589416586891,0,1.0,77.98,82.0,76.95,81.8,1763500
2019-09-20,80.14978,80.36,72.92285714285697,62.92282392242179,82.55128159280494,72.6844999999999,62.81771840719485,2.3796622324154555,1.0571795998100424,-1,-1.0,82.49,82.75,79.51,80.36,1161500
2019-09-23,80.76898,76.6,72.8709523809522,55.41950744148101,82.82841982326394,72.82399999999987,62.81958017673583,2.280602443918937,1.3018641686318213,-1,-1.0,80.36,81.25,76.35,76.6,1060000
2019-09-24,79.598495,76.26,72.98761904761888,54.78334306510667,82.91142990025864,72.86149999999991,62.81157009974115,2.14987921995251,1.471467178895959,0,0.0,75.26,77.25,74.9,76.26,716000
2019-09-25,78.28761,75.13,72.96952380952364,52.62135677342358,82.80218094312363,72.80999999999987,62.81781905687613,1.9328182414038648,1.5637373913975403,0,-1.0,76.94,78.0,75.0,75.13,978500
2019-09-26,77.63744,75.67,72.94619047619031,53.564450793770895,83.03866896650288,72.97149999999988,62.90433103349687,1.7838067255449062,1.6077512582270137,0,1.0,74.7,76.75,74.7,75.67,691000
2019-09-27,77.131805,78.52,73.23571428571411,58.284100511464615,83.6155775121311,73.45099999999988,63.286422487868656,1.8740819569882348,1.6610173979792575,-1,1.0,76.0,79.0,75.16,78.52,1335500
2019-09-30,77.75576,78.04,73.66952380952364,57.22908929568508,84.03235847560262,73.91049999999987,63.788641524397114,1.885162757042252,1.7058464697918567,1,0.0,79.51,80.88,77.25,78.04,1012000
2019-10-01,78.13935,78.92,74.14904761904745,58.704903157583075,84.16073643210835,74.57699999999987,64.99326356789143,1.9425603894829493,1.7531892537300753,1,1.0,77.6,79.9,77.6,78.92,715000
2019-10-02,78.67318,82.74,74.96571428571411,64.4407898940181,85.10520337394544,75.2709999999999,65.43679662605433,2.270121948922437,1.856575792768548,1,1.0,78.71,82.86,78.71,82.74,1833500
2019-10-03,80.70068,86.54,75.8076190476189,69.04668610144668,86.59181730655494,76.1994999999999,65.80718269344483,2.8040220658744914,2.046065047389736,-1,1.0,82.99,86.87,82.5,86.54,2011500
2019-10-04,83.66986999999997,87.96,76.75952380952364,70.58021165422983,88.1045843173103,77.18299999999991,66.26141568268949,3.3036415641603014,2.297580350743849,0,1.0,87.7,89.5,85.5,87.96,2065500
2019-10-07,85.656265,89.67,77.7776190476189,72.35633043836968,89.65717005572996,78.25199999999991,66.84682994426984,3.793843261516287,2.5968329328983364,-1,1.0,87.89,91.89,87.01,89.67,2099500
2019-10-08,87.639084,86.03,78.6223809523808,63.5599150767896,90.05605070062975,79.13899999999991,68.22194929937004,3.844299369000141,2.8463262201186965,0,-1.0,89.5,90.0,85.19,86.03,3681000
2019-10-09,87.44855,85.28,79.4314285714284,61.89037491205622,89.85808706227337,80.02599999999991,70.1939129377264,3.780191768094326,3.033099329713824,1,0.0,85.5,86.8,84.5,85.28,1562000
2019-10-10,87.16788000000003,89.26,80.46571428571411,66.86446893948408,90.6236495804409,80.94399999999989,71.26435041955888,4.004378784272461,3.2273552206255505,-1,1.0,85.2,89.54,85.2,89.26,2255500
2019-10-11,88.57540999999998,87.0,81.2323809523808,61.92210126923972,91.03295750654257,81.60799999999989,72.18304249345722,3.954105035873312,3.3727051836751025,0,-1.0,90.48,91.85,86.25,87.0,2860500
2019-10-14,88.39459000000002,83.84,81.71428571428555,55.72031827599322,91.19660671444186,81.92999999999988,72.66339328555792,3.6175759733284,3.4216793416057616,1,-1.0,87.0,87.0,83.12,83.84,1239000
2019-10-15,86.44176,87.66,82.20285714285698,60.82783106648322,91.84795589300543,82.26899999999988,72.69004410699429,3.617417010100013,3.4608268753046123,-1,1.0,84.22,88.03,80.06,87.66,5267000
