Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
12/24/19,42.757393,42.7178,43.91702381,43.11152392,46.01836122,44.00536,41.99235878,0.234297191,0.542064669,-1,-1,42.9826,43.5027,42.1031,42.7178,4378000
12/25/19,42.526653,42.7178,43.94404762,43.11152392,45.98515365,44.022385,42.05961635,0.149352628,0.463522261,-1,0,42.9826,43.5027,42.1031,42.7178,4378000
12/26/19,42.362404,44.1647,44.0291619,58.50240969,45.88803927,44.123105,42.35817073,0.196520817,0.410121972,0,1,43.3041,44.6754,43.0204,44.1647,2053000
12/27/19,42.690144,44.0418,44.11923333,57.08956603,45.87703632,44.16708,42.45712368,0.22143241,0.37238406,-1,0,43.9756,44.4484,43.0488,44.0418,847500
12/30/19,42.813255,43.7581,44.14760476,53.85624689,45.73539669,44.09237,42.44934331,0.215795253,0.341066298,1,-1,43.9756,44.0701,43.0299,43.7581,806500
12/31/19,42.91638,43.219,44.05078095,48.26257487,45.52214885,43.976995,42.43184115,0.165914345,0.306035908,-1,-1,43.7581,43.7581,42.7556,43.219,912000
01/01/20,42.891514,44.2025,43.98773333,57.03073637,45.28918101,43.910795,42.53240899,0.203398939,0.285508514,-1,1,43.1244,44.4484,43.0204,44.2025,1128000
01/02/20,43.2505,45.7157,43.99674286,66.45145564,45.34206803,43.91978,42.49749197,0.351160386,0.298638888,1,1,44.2025,45.867,44.2025,45.7157,4230000
01/03/20,43.72347,45.6684,44.00304762,65.96461517,45.53271249,43.962335,42.39195751,0.459152854,0.330741682,-1,0,45.4036,46.3398,44.9118,45.6684,758000
01/06/20,44.0491,44.6187,43.99359048,56.13561385,45.53016288,43.96139,42.39261712,0.454793074,0.35555196,-1,-1,44.4484,44.9213,44.1647,44.6187,1740500
01/07/20,44.05688,45.2334,44.0219619,59.90341874,45.66589931,44.00726,42.34862069,0.495230363,0.383487641,-1,1,44.6849,45.3941,44.5997,45.2334,820500
01/08/20,44.412273,45.2901,44.06834762,60.24265189,45.80507639,44.05738,42.30968361,0.525791425,0.411948398,1,0,44.9213,45.8575,44.4484,45.2901,1097500
