Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
08/29/19,64.905014,63.0601,66.05664286,29.52871421,69.53224844,65.913375,62.29450156,-1.624910556,-1.656983469,-1,-1,63.8036,64.2325,62.9076,63.0601,711500
08/30/19,64.075554,62.0689,65.73030476,26.84877072,69.38255263,65.594075,61.80559737,-1.769083023,-1.67940338,-1,-1,62.9267,62.9267,61.2396,62.0689,39000
09/02/19,63.271015,64.0323,65.51970476,38.7139638,68.90215084,65.356265,61.81037916,-1.705253668,-1.684573437,0,1,63.7559,65.0999,62.4311,64.0323,103500
09/03/19,62.82479,63.2984,65.25827143,36.34114501,68.33304122,65.076515,61.81998878,-1.694356552,-1.68653006,-1,-1,63.8608,64.3373,62.9076,63.2984,326500
09/04/19,62.76758,61.0013,64.88245714,30.11870255,68.38281919,64.783895,61.18497081,-1.849754465,-1.719174941,0,-1,62.4311,62.4311,60.6677,61.0013,5577000
09/05/19,62.016064,61.3063,64.61829524,31.78872786,68.29524541,64.512245,60.72924459,-1.926094658,-1.760558885,-1,0,61.3349,61.5732,60.0482,61.3063,486500
09/06/19,61.49992,61.497,64.3686619,32.86896957,68.33781323,64.34068,60.34354677,-1.948743019,-1.798195711,1,0,61.3063,61.9354,61.1538,61.497,53500
09/09/19,61.597713,61.497,64.20526667,32.86896957,68.34135415,64.169115,59.99687585,-1.944279563,-1.827412482,1,0,61.3063,61.9354,61.1538,61.497,53500
09/10/19,61.258926,61.497,64.04187143,32.86896957,68.31062416,63.99755,59.68447584,-1.918625522,-1.84565509,-1,0,61.3063,61.9354,61.1538,61.497,53500
09/11/19,60.801487,62.7742,63.93929524,40.72173373,68.2121436,63.889845,59.5675464,-1.774776623,-1.831479397,1,1,61.9545,62.9172,61.6685,62.7742,381500
09/12/19,61.237537,65.7671,63.9792381,54.23236622,68.30949774,63.931785,59.55407226,-1.403099263,-1.74580337,-1,1,63.5748,65.91,63.5748,65.7671,1138000
09/13/19,62.359417,64.7377,63.9701619,50.01037847,68.38795062,64.019,59.65004938,-1.178026695,-1.632248035,-1,-1,67.4827,67.4827,64.1277,64.7377,350500
09/16/19,62.922768,65.4811,64.08862381,52.86423447,68.49347703,64.079045,59.66461297,-0.928960419,-1.491590512,0,1,66.6726,66.6726,64.3469,65.4811,509000
09/17/19,63.531544,63.937,64.07228095,46.87793755,68.0286014,63.90128,59.7739586,-0.846412648,-1.362554939,0,-1,65.2905,65.2905,63.8512,63.937,337000
09/18/19,63.735123,63.1078,63.86349524,43.99666328,67.54003301,63.6954,59.85076699,-0.838239749,-1.257691901,1,0,64.3278,64.3373,62.5454,63.1078,370000
09/19/19,63.87331,63.8608,63.70327619,47.17207487,66.96607545,63.51764,60.06920455,-0.762215514,-1.158596623,-1,1,61.0109,64.8044,61.0109,63.8608,189
09/20/19,63.50299,63.4605,63.51491905,45.68896694,66.42789763,63.346075,60.26425237,-0.725898915,-1.072057082,-1,0,63.8608,63.8608,63.2889,63.4605,359000
09/23/19,63.405293,63.7655,63.36604762,47.05484808,65.87575812,63.19834,60.52092188,-0.664842901,-0.990614246,1,0,63.8512,63.8512,63.2984,63.7655,177500
09/24/19,63.084095,64.4899,63.25984286,50.25477134,65.94444275,63.225985,60.50752725,-0.551643542,-0.902820105,0,1,62.9553,64.7186,62.9553,64.4899,185000
09/25/19,63.174747,63.8608,63.25621429,47.56610517,65.94259128,63.225035,60.50747872,-0.506852664,-0.823626617,-1,-1,63.8608,64.3373,63.8512,63.8608,304000
09/26/19,63.33211,63.8608,63.25530952,47.56610517,65.9952897,63.26507,60.5348503,-0.465983998,-0.752098093,0,0,63.8512,63.8608,63.3842,63.8608,110
09/27/19,63.26338,63.8512,63.29298095,47.52110988,66.03837554,63.354185,60.66999446,-0.42941984,-0.687562442,-1,0,63.8512,63.8608,63.6225,63.8512,294000
09/30/19,63.30951,63.6797,63.36968571,46.67173195,66.00729639,63.336555,60.66581361,-0.409559946,-0.631961943,-1,0,63.8417,64.8044,63.5748,63.6797,259500
10/01/19,63.353527,63.5462,63.3465381,45.98274481,66.02116217,63.348945,60.67672783,-0.399982423,-0.585566039,1,0,62.9553,63.7941,62.9076,63.5462,157000
10/02/19,63.137726,62.8314,63.3243,42.3756196,65.90185917,63.44045,60.97904083,-0.444941544,-0.55744114,1,-1,63.3747,63.3842,62.6693,62.8314,445000
10/03/19,62.88798,63.3937,63.43822381,45.96647448,65.80412975,63.54482,61.28551025,-0.430239528,-0.532000818,-1,1,63.4033,63.8608,62.9076,63.3937,436500
10/04/19,62.847782,64.1658,63.57439048,50.52541473,65.74506079,63.67826,61.61145921,-0.352225816,-0.496045817,-1,1,63.1936,64.4041,62.9172,64.1658,290000
10/07/19,63.000633,66.5582,63.8154,61.39453331,66.10450658,63.93132,61.75813342,-0.096243269,-0.416085308,-1,1,63.7655,66.7297,63.7655,66.5582,844000
10/08/19,63.790466,66.3104,64.04460952,59.92601372,66.27861604,64.17199,62.06536396,0.085642125,-0.315739821,1,0,63.9561,66.7202,63.9561,66.3104,1161500
10/09/19,64.2574,65.9958,64.2588381,58.02829453,66.47983021,64.33307,62.18630979,0.202072652,-0.212177327,-1,-1,65.7671,66.2341,65.2905,65.9958,262500
