Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
08/29/19,93.099785,101.13,102.6388,46.9340131,106.436088,102.664745,98.89340196,-0.2604413,0.21873632,0,1,100.7286,102.5568,99.8814,101.13,8100
08/30/19,92.90034,103.6716,102.7126905,54.08405331,106.529457,102.74233,98.95520302,-0.098139157,0.155361225,0,1,101.665,105.2322,100.7732,103.6716,25400
09/02/19,93.573616,103.6002,102.783181,53.8644846,106.6100237,102.83909,99.0681563,0.02444331,0.129177642,-1,0,104.2513,104.2513,100.8624,103.6002,2000
09/03/19,94.69485,104.2869,102.9080333,55.7261516,106.7265612,102.9033,99.08003878,0.174984635,0.13833904,1,1,102.1199,104.2958,102.0485,104.2869,2100
09/04/19,94.35526,104.8636,102.9966476,57.2850372,106.8216326,102.93927,99.05690736,0.33694055,0.178059342,-1,1,100.6899,105.1656,100.6899,104.8636,10200
09/05/19,94.77145,105.2571,103.0496429,58.36232782,107.0764825,103.06804,99.05959747,0.491379622,0.240723398,1,0,105.7056,105.7056,105.1198,105.2571,1500
09/06/19,95.415855,105.7148,103.1940762,59.63745143,107.3820338,103.21479,99.04754624,0.643290808,0.32123688,0,0,105.1656,105.7148,105.1656,105.7148,5600
09/09/19,95.55988,105.7148,103.3338381,59.63745143,107.6617662,103.36154,99.06131384,0.754978594,0.407985223,-1,0,105.1656,105.7148,105.1656,105.7148,5600
09/10/19,95.68459,105.7148,103.4736,59.63745143,107.9180162,103.50829,99.09856382,0.833879525,0.493164083,-1,0,105.1656,105.7148,105.1656,105.7148,5600
09/11/19,95.72541,105.2571,103.5915667,57.44041399,108.091958,103.632155,99.17235202,0.849681912,0.564467649,-1,-1,102.0536,106.0809,101.8706,105.2571,50700
09/12/19,95.581055,105.2571,103.7095333,57.44041399,108.2517135,103.75602,99.26032652,0.852379715,0.622050062,1,0,105.7148,105.7148,104.3418,105.2571,75400
09/13/19,95.584404,104.2412,103.7791238,52.46501831,108.2934686,103.795205,99.29694143,0.763739194,0.650387889,1,-1,103.8842,104.7995,103.6554,104.2412,8400
09/16/19,95.21829,104.7995,103.8430286,54.78301604,108.1693181,103.743245,99.3171719,0.730124664,0.666335244,0,1,104.3418,104.7995,104.3418,104.7995,1000
09/17/19,95.29797,104.4334,103.7761095,52.959294,108.0060929,103.672535,99.33897708,0.666263426,0.66632088,-1,0,104.4791,105.2571,104.3418,104.4334,5500
09/18/19,95.22719,102.255,103.6050333,43.64818378,107.8496307,103.52858,99.20752935,0.434861448,0.620028994,-1,-1,103.4266,104.2503,102.0536,102.255,19000
09/19/19,94.37008,104.0856,103.5551048,51.38358315,107.8287362,103.51584,99.20294383,0.394638686,0.574950932,0,1,103.0604,104.5798,102.5113,104.0856,35200
09/20/19,94.50765,108.1219,103.7351762,63.33462189,108.4454911,103.88238,99.31926886,0.680611864,0.596083118,-1,1,104.7995,108.9182,104.7995,108.1219,167900
09/23/19,96.6088,107.5453,104.0568048,61.02671347,108.3448119,104.354755,100.3646981,0.850912082,0.647048911,-1,-1,108.9182,108.9182,107.0968,107.5453,500
09/24/19,97.11829,108.7809,104.5655238,64.04990317,108.9362801,104.71233,100.4883799,1.073207557,0.73228064,1,1,105.7148,108.9182,104.7995,108.7809,28300
09/25/19,96.649345,108.9182,104.9126095,64.3805489,109.067651,105.18245,101.297249,1.246093099,0.835043132,1,0,108.4606,108.9182,108.4606,108.9182,19900
09/26/19,96.92408,110.5383,105.4374905,68.10791253,109.7347986,105.652865,101.5709314,1.49658299,0.967351104,0,1,108.9182,110.7488,108.9182,110.5383,126000
09/27/19,98.23354,112.1858,105.9639571,71.38695406,110.9456102,106.078575,101.2115398,1.807205178,1.135321919,-1,1,111.6549,112.5794,109.1471,112.1858,2000
09/30/19,98.8428,110.7488,106.3009667,65.09972672,111.5654044,106.436005,101.3066056,1.915342731,1.291326081,1,-1,110.7488,110.7488,110.7488,110.7488,900
10/01/19,98.59117,111.5451,106.6792952,66.84244597,112.2835083,106.798915,101.3143217,2.041761125,1.44141309,-1,1,109.8427,111.6641,108.9182,111.5451,1800
10/02/19,98.42272,109.1471,106.9107333,57.5265602,112.5131796,107.01309,101.5130004,1.926245494,1.538379571,1,-1,110.7579,111.2064,108.9182,109.1471,5200
10/03/19,97.958824,110.4284,107.1757238,60.6799134,112.9019064,107.271655,101.6414036,1.916002245,1.613904106,-1,1,109.8244,111.5725,108.2958,110.4284,202
10/04/19,98.47869,110.1081,107.4067238,59.49087378,113.2036789,107.49132,101.7789611,1.860591127,1.66324151,0,0,109.8335,110.7488,109.8335,110.1081,28100
10/07/19,98.414055,109.8061,107.6015476,58.3302803,113.432094,107.695885,101.959676,1.771883372,1.684969882,0,0,109.8335,110.7488,108.003,109.8061,81
10/08/19,98.498085,109.8427,107.7981143,58.43610933,113.6355619,107.90228,102.1689981,1.68511025,1.684997956,-1,0,109.8244,110.2912,109.3301,109.8427,46100
10/09/19,97.9275,110.4284,108.0225714,60.17901944,113.8599641,108.160845,102.4617259,1.644644581,1.676927281,-1,1,109.8335,111.6641,109.8335,110.4284,25600
10/10/19,98.44778,113.458,108.4130905,67.71942647,114.5486015,108.57089,102.5931785,1.835875814,1.708716987,0,1,113.4946,113.9523,111.6641,113.458,9600
10/11/19,99.62189,114.776,108.8663714,70.34984363,115.3084793,109.09763,102.8867807,2.069918793,1.780957349,-1,1,113.458,116.2405,113.458,114.776,535600
10/14/19,100.36106,117.1558,109.4813524,74.40532766,116.5227869,109.715445,102.9081031,2.419538577,1.908673594,0,1,115.3252,118.071,115.3252,117.1558,35800
10/15/19,100.931496,117.1558,110.0697476,74.40532766,117.4376842,110.351565,103.2654458,2.665884122,2.0601157,1,0,115.4716,117.1558,115.4167,117.1558,4
10/16/19,100.74494,116.4693,110.6428857,71.14953155,117.5866256,111.06228,104.5379344,2.773745912,2.202841742,-1,-1,116.2496,116.6981,115.7828,116.4693,3700
