Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
08/29/19,13.873467,13.3353,13.04635714,49.46927442,14.57252842,13.0631,11.55367158,0.150679138,0.005661508,-1,-1,13.7228,14.0347,13.2313,13.3353,2054000
08/30/19,13.579441,12.8249,13.05175714,43.91824381,14.57321607,13.073965,11.57471393,0.083781371,0.021285481,0,-1,13.2313,13.4676,12.7399,12.8249,1423500
09/02/19,13.209179,13.1368,13.07695714,47.77486551,14.57784755,13.110825,11.64380245,0.055294729,0.02808733,0,1,13.1368,13.288,12.8911,13.1368,704000
09/03/19,13.136482,12.7682,13.09450952,43.93008039,14.57134211,13.12689,11.68243789,0.002942007,0.023058266,-1,-1,13.0896,13.2597,12.7115,12.7682,587500
09/04/19,12.924609,13.3164,13.13591429,50.33209715,14.57183449,13.1784,11.78496551,0.005622444,0.019571101,1,1,12.6737,13.4204,12.6643,13.3164,9865500
09/05/19,13.027082,12.9005,13.16516667,46.0374028,14.55252831,13.20675,11.86097169,-0.02551878,0.010553125,-1,-1,13.2786,13.6188,12.7588,12.9005,6595000
09/06/19,12.923128,12.8344,13.18901905,45.37473095,14.54503695,13.220455,11.89587305,-0.054899297,-0.00253736,0,0,12.8533,12.9856,12.7115,12.8344,523000
09/09/19,12.872665,12.8344,13.20207143,45.37473095,14.53662412,13.23416,11.93169588,-0.077292588,-0.017488405,1,0,12.8533,12.9856,12.7115,12.8344,523000
09/10/19,12.820432,12.8344,13.21512381,45.37473095,14.52724205,13.247865,11.96848795,-0.093956362,-0.032781997,1,0,12.8533,12.9856,12.7115,12.8344,523000
09/11/19,12.804209,12.3902,13.20702381,40.4837137,14.53900804,13.23936,11.93971196,-0.141376055,-0.054500808,0,-1,12.8344,13.1274,12.2862,12.3902,2855500
09/12/19,12.590982,12.7682,13.21692381,45.83436781,14.53070256,13.249755,11.96880744,-0.146763267,-0.0729533,1,1,12.3807,13.0329,12.3807,12.7682,9696500
09/13/19,12.638314,12.6643,13.22187619,44.64623677,14.50036026,13.269605,12.03884974,-0.15759982,-0.089882604,0,-1,12.8344,12.9573,12.532,12.6643,3527500
09/16/19,12.611354,12.8911,13.25158095,47.82561793,14.49982347,13.2611,12.02237653,-0.14620168,-0.101146419,0,1,12.7966,12.9478,12.617,12.8911,2077000
09/17/19,12.6966,13.0423,13.25068095,49.89193289,14.49737757,13.2559,12.01442243,-0.123543859,-0.105625907,0,1,12.7588,13.3258,12.7588,13.0423,3038500
09/18/19,12.801754,12.91,13.23942857,48.09699317,14.44357427,13.214315,11.98505573,-0.114937944,-0.107488315,0,-1,13.2219,13.2219,12.7493,12.91,3140500
09/19/19,12.833742,13.31,13.21887143,53.53937959,14.17518917,13.145475,12.11576083,-0.074976752,-0.100986002,0,1,13.24,13.4,13.06,13.31,1352500
09/20/19,13.004804,12.84,13.13092857,47.26769982,13.86753021,13.05975,12.25196979,-0.080306567,-0.096850115,0,-1,13.43,13.43,12.73,12.84,3250500
09/23/19,12.914678,12.62,13.03880952,44.63216934,13.7418756,12.99847,12.2550644,-0.101117031,-0.097703498,-1,-1,12.85,13.25,12.55,12.62,4313000
09/24/19,12.778537,12.63,12.98092381,44.78287839,13.58692281,12.93769,12.28845719,-0.115471474,-0.101257093,1,0,12.75,12.9,12.45,12.63,2921000
09/25/19,12.687185,12.65,12.92399048,45.10471214,13.36111342,12.87507,12.38902658,-0.123806477,-0.10576697,0,0,12.64,12.77,12.6,12.65,801000
09/26/19,12.64167,12.64,12.86387619,44.96359702,13.2876226,12.840305,12.3929874,-0.129723571,-0.11055829,1,0,12.62,12.75,12.51,12.64,1144500
09/27/19,12.592143,13.13,12.8541,52.7622809,13.32020971,12.85556,12.39091029,-0.09379282,-0.107205196,-1,1,12.78,13.35,12.65,13.13,2779500
09/30/19,12.778067,13.4,12.88148571,56.42622492,13.37731651,12.86872,12.36012349,-0.043034621,-0.094371081,1,1,13.01,13.57,13.01,13.4,4389500
10/01/19,13.001494,14.39,12.9411619,66.64280508,13.7823998,12.94981,12.1172202,0.076197981,-0.060257269,0,1,13.4,14.4,13.2,14.39,14732000
10/02/19,13.541261,15.06,13.05029524,71.51113305,14.27250895,13.03699,11.80147105,0.222192777,-0.00376726,-1,1,14.3,15.12,14.1,15.06,10056500
10/03/19,14.127791,15.52,13.15522857,74.28591634,14.80724262,13.167965,11.52868738,0.37073921,0.071134034,0,1,15.09,15.9,14.91,15.52,7966500
10/04/19,14.67806,15.35,13.27187143,71.51375042,15.17893754,13.293745,11.40855246,0.469335541,0.150774336,1,-1,15.6,15.74,15.15,15.35,6005000
10/07/19,14.928042,15.61,13.40404286,73.16324841,15.555664,13.432525,11.309386,0.561975566,0.233014582,1,1,15.1,16.2,15.07,15.61,8166000
10/08/19,15.1902685,14.98,13.50621429,63.5593444,15.74640154,13.539805,11.33320846,0.577896092,0.301990884,-1,-1,15.75,16,14.9,14.98,6847500
10/09/19,15.049992,14.59,13.58981429,58.44477297,15.83541635,13.649795,11.46417365,0.552672617,0.35212723,1,-1,14.81,15.05,14.35,14.59,4983000
10/10/19,14.804503,14.84,13.70647143,60.63171094,15.95835501,13.753385,11.54841499,0.546555392,0.391012863,1,1,14.65,14.95,14.42,14.84,3086500
10/11/19,14.73773,14.94,13.80989048,61.50441384,16.07046173,13.86717,11.66387827,0.54351135,0.42151256,0,0,14.75,15.4,14.75,14.94,6433500
