Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
08/29/19,16.30819,16.91,15.83761905,55.78003442,16.96131169,15.819,14.67668831,-0.214994072,-0.456156615,1,1,15.56,17.01,15.56,16.91,2096500
08/30/19,16.494225,16.09,15.83190476,48.23825374,16.93532604,15.808,14.68067396,-0.196361466,-0.404197586,-1,-1,16.91,17.45,16,16.09,2032000
09/02/19,16.408745,16.21,15.82714286,49.3181929,16.96122409,15.8215,14.68177591,-0.169952884,-0.357348645,1,0,16.59,16.65,16.1,16.21,539500
09/03/19,16.416557,15.93,15.82666667,46.86140779,16.93087155,15.806,14.68112845,-0.169661796,-0.319811275,0,-1,16.21,16.5,15.8,15.93,229500
09/04/19,16.319715,15.97,15.81380952,47.26555634,16.82765321,15.771,14.71434679,-0.164309385,-0.288710897,0,0,16,16.2,15.4,15.97,961000
09/05/19,16.289566,15.73,15.76904762,45.05156073,16.81439705,15.7605,14.70660295,-0.177388728,-0.266446464,-1,-1,15.7,16.25,15.66,15.73,592500
09/06/19,16.085226,15.83,15.76380952,46.18272869,16.81664502,15.79,14.76335498,-0.177637345,-0.24868464,-1,0,15.75,15.85,15.7,15.83,28000
09/09/19,16.039528,15.83,15.79190476,46.18272869,16.81465778,15.8195,14.82434222,-0.175807773,-0.234109266,-1,0,15.75,15.85,15.7,15.83,28000
09/10/19,15.988886,15.83,15.82,46.18272869,16.80801825,15.849,14.88998175,-0.17237084,-0.221761581,-1,0,15.75,15.85,15.7,15.83,28000
09/11/19,15.97805,15.74,15.84380952,45.13821843,16.79346506,15.874,14.95453494,-0.174893233,-0.212387912,0,-1,15.95,16.2,15.7,15.74,252500
09/12/19,15.934188,16.15,15.88714286,50.61759773,16.79812336,15.9195,15.04087664,-0.14216983,-0.198344295,0,1,15.97,16.25,15.8,16.15,837500
09/13/19,16.045439,15.94,15.92047619,47.9746222,16.7153891,15.9715,15.2276109,-0.131663803,-0.185008197,0,-1,16.29,16.3,15.85,15.94,171500
09/16/19,16.06803,16,15.97285714,48.79724656,16.71231469,15.994,15.27568531,-0.117145819,-0.171435721,-1,0,16.1,16.2,15.85,16,439000
09/17/19,16.09425,15.98,15.99333333,48.52183197,16.64577653,16.0345,15.42322347,-0.106031776,-0.158354932,1,0,16.2,16.49,15.84,15.98,1011500
09/18/19,16.113094,15.63,16.0152381,43.85683229,16.63047453,16.0415,15.45252547,-0.124036081,-0.151491162,-1,-1,15.75,16,15.6,15.63,216000
09/19/19,16.040575,16,16.03952381,49.39569105,16.56890941,16.017,15.46509059,-0.107212832,-0.142635496,-1,1,15.51,16.18,15.51,16,334500
09/20/19,16.040483,15.43,15.98904762,42.44802849,16.53880324,15.9665,15.39419676,-0.138280511,-0.141764499,1,-1,16,16.42,15.22,15.43,5668000
09/23/19,15.90464,15.21,15.93047619,40.1034545,16.5925634,15.932,15.2714366,-0.178595296,-0.149130658,1,-1,15.55,15.74,15.1,15.21,950500
09/24/19,15.715382,14.94,15.8847619,37.37501948,16.64271543,15.868,15.09328457,-0.229684141,-0.165241355,-1,-1,15.15,15.2,14.84,14.94,643500
09/25/19,15.486617,14.69,15.81190476,35.00054471,16.72734534,15.802,14.87665466,-0.287036551,-0.189600394,1,-1,14.85,15.14,14.53,14.69,3067000
09/26/19,15.273837,14.39,15.7347619,32.34496835,16.64861298,15.676,14.70338702,-0.352631328,-0.222206581,1,-1,14.95,14.95,14.35,14.39,3523000
09/27/19,14.96869,14.86,15.63714286,40.02268839,16.62926056,15.6145,14.59973944,-0.362511779,-0.250267621,0,1,14.39,14.95,14.38,14.86,2471500
09/30/19,14.918646,14.83,15.57714286,39.71289524,16.57645053,15.5455,14.51454947,-0.368514847,-0.273917066,1,0,14.9,15.09,14.76,14.83,1294500
10/01/19,14.900151,15.2,15.52904762,45.33313526,16.53459056,15.509,14.48340944,-0.339502836,-0.28703422,-1,1,14.97,15.38,14.8,15.2,1654000
10/02/19,15.012512,15.27,15.49761905,46.35211152,16.48189682,15.474,14.46610318,-0.307319605,-0.291091297,-1,0,15.18,15.45,15.1,15.27,694500
10/03/19,15.14926,16.05,15.50142857,56.15845309,16.52347956,15.49,14.45652044,-0.216380382,-0.276149114,1,1,15.35,16.24,15.3,16.05,3523500
10/04/19,15.516967,16.35,15.53095238,59.24416591,16.60695188,15.516,14.42504812,-0.118734206,-0.244666132,1,1,15.81,16.52,15.81,16.35,1808000
10/07/19,15.859661,16.83,15.57857143,63.65226776,16.79310065,15.566,14.33889935,-0.002587098,-0.196250325,-1,1,16.38,17.1,16.2,16.83,2685500
10/08/19,16.271309,16.54,15.61238095,59.46739558,16.89630925,15.6015,14.30669075,0.065306929,-0.143938875,0,-1,17,17,16.27,16.54,1464000
10/09/19,16.476797,16.72,15.6547619,61.1736887,17.03372052,15.6505,14.26727948,0.13211499,-0.088728102,1,1,16.35,16.88,16.2,16.72,987000
10/10/19,16.688202,17.72,15.74904762,68.98513142,17.37074176,15.729,14.08725824,0.262723984,-0.018437684,0,1,16.85,17.72,16.85,17.72,3783500
10/11/19,17.082035,18.71,15.87095238,74.46282621,17.96200591,15.8675,13.77299409,0.441033322,0.073456517,0,1,18.05,18.72,17.65,18.71,5777000
10/14/19,17.669659,18.76,16.0052381,74.70580494,18.45102223,16.0055,13.55997777,0.579696953,0.174704604,-1,0,18.71,19.47,18.6,18.76,5791000
10/15/19,18.083187,18.51,16.1247619,71.06493264,18.80986183,16.132,13.45413817,0.661787297,0.272121143,-1,-1,18.8,18.97,18.3,18.51,615500
10/16/19,18.35715,18.8,16.25904762,72.72547863,19.19630436,16.2905,13.38469564,0.741695261,0.366035966,0,1,18.33,19.2,18.3,18.8,829000
10/17/19,18.670677,18.58,16.39952381,69.46843704,19.48684723,16.4195,13.35215277,0.778298991,0.448488571,0,-1,18.94,19.1,18.51,18.58,1136500
10/18/19,18.784225,18.01,16.4952381,61.75187705,19.65529433,16.5485,13.44170567,0.752637537,0.509318364,0,-1,18.61,18.79,17.92,18.01,957000
10/21/19,18.58718,17.01,16.57047619,51.04018096,19.68875425,16.6385,13.58824575,0.644183263,0.536291344,0,-1,17.75,17.75,17.01,17.01,1101500
10/22/19,18.127102,16.18,16.61666667,44.18873244,19.65917183,16.7005,13.74182817,0.48566002,0.526165079,-1,-1,17.01,17.01,16.01,16.18,3352500
10/23/19,17.562023,16.13,16.67333333,43.80723412,19.59910132,16.7725,13.94589868,0.351937707,0.491319605,0,0,16,16.35,15.95,16.13,2807000
10/24/19,17.058723,16.27,16.74857143,45.2329825,19.48748665,16.8665,14.24551335,0.254326918,0.443921068,1,1,16.15,16.49,16.1,16.27,1339000
10/25/19,16.708605,16.18,16.83380952,44.45215614,19.41064346,16.9325,14.45435654,0.167773429,0.38869154,-1,0,16.34,16.89,15.9,16.18,3896500
10/28/19,16.445692,16.18,16.89666667,44.45215614,19.31346493,17,14.68653507,0.098048919,0.330563016,1,0,16.1,16.4,15.95,16.18,1278000
10/29/19,16.329765,17.18,17.00857143,54.56011222,19.26034125,17.099,14.93765875,0.122076167,0.288865646,1,1,16.3,17.18,16,17.18,4984500
10/30/19,16.619244,16.83,17.08619048,51.05813124,19.17512012,17.177,15.17887988,0.111589524,0.253410422,0,-1,17.49,17.5,16.7,16.83,1439000
10/31/19,16.766012,17.57,17.19571429,57.29874778,19.18852164,17.253,15.31747836,0.161133157,0.234954969,-1,1,16.98,17.65,16.98,17.57,2952000
11/01/19,17.06099,17.24,17.25238095,53.99241469,19.18833976,17.2975,15.40666024,0.171788332,0.222321641,0,-1,17.68,17.68,17.05,17.24,899500
11/04/19,17.225382,17.47,17.30571429,55.90233668,19.20923908,17.3295,15.44976092,0.19652628,0.217162569,1,1,17.05,17.79,17.05,17.47,1835000
11/05/19,17.428076,18.21,17.37142857,61.44764469,19.29340528,17.413,15.53259472,0.272699587,0.228269973,-1,1,17.51,18.44,17.1,18.21,3966000
11/06/19,17.700909,19.21,17.49857143,67.41150385,19.54341999,17.5375,15.53158001,0.40904392,0.264424762,1,1,18.75,19.21,18.6,19.21,6353000
11/07/19,18.266361,19.1,17.61190476,66.19839083,19.72458664,17.6065,15.48841336,0.502430006,0.312025811,1,0,19.4,19.95,18.95,19.1,3738000
11/08/19,18.586786,19.14,17.67952381,66.43493201,19.79853542,17.628,15.45746458,0.573060927,0.364232834,1,0,19.1,19.49,18.93,19.14,2183000
11/11/19,18.878677,19.91,17.73666667,70.68738375,20.02712743,17.6855,15.34387257,0.683292436,0.428044755,-1,1,19.45,20,19.4,19.91,2821000
11/12/19,19.343176,20.12,17.80142857,71.73898914,20.31682261,17.766,15.21517739,0.778621483,0.4981601,-1,1,20.11,20.75,19.8,20.12,4120500
11/13/19,19.726078,21.12,17.92571429,76.13043999,20.79557238,17.882,14.96842762,0.924208382,0.583369757,0,1,20.11,21.12,19.9,21.12,5924500
11/14/19,20.182205,20.89,18.0252381,73.30887907,21.18304783,17.9975,14.81195217,1.009392325,0.66857427,1,-1,21.5,21.85,20.75,20.89,6906500
11/15/19,20.500671,20.9,18.13571429,73.35511735,21.56969077,18.142,14.71430923,1.065426556,0.747944727,1,0,20.91,21.05,20.51,20.9,1523500
11/18/19,20.761992,21.16,18.28571429,74.58775656,21.97471986,18.3495,14.72428014,1.117927146,0.821941211,-1,1,21.25,21.44,20.7,21.16,3109500
11/19/19,20.983805,20.46,18.45,65.76639581,22.15634442,18.5635,14.97065558,1.090479721,0.875648913,1,-1,21.2,21.3,20.3,20.46,1531500
11/20/19,20.971497,20.42,18.65190476,65.29120356,22.27505934,18.778,15.28094066,1.053357326,0.911190596,1,0,20.6,20.95,20.26,20.42,1798500
11/21/19,20.80522,19.62,18.81809524,56.49859687,22.26227238,18.9455,15.62872762,0.948451092,0.918642695,0,-1,20.31,20.55,19.55,19.62,894500
11/22/19,20.489166,19.54,18.97380952,55.69093026,22.18419552,19.1135,16.04280448,0.849069272,0.90472801,0,0,19.51,20.2,19.2,19.54,2807500
11/25/19,20.215092,20.02,19.15666667,59.43766816,22.08488464,19.3055,16.52611536,0.799820618,0.883746532,1,1,19.59,20.14,19.25,20.02,1810500
11/26/19,20.081089,19.63,19.32095238,55.34288833,22.03231642,19.428,16.82368358,0.721009615,0.851199149,0,-1,20.25,20.7,19.05,19.63,7446000
11/27/19,19.941084,20.21,19.4652381,59.78053897,21.92951024,19.597,17.26448976,0.697314275,0.820422174,1,1,19.8,20.36,19.5,20.21,5391500
11/28/19,19.959976,21.22,19.67428571,66.09828558,22.01835216,19.7795,17.54064784,0.751372748,0.806612289,-1,1,20.39,21.22,20.39,21.22,8255500
11/29/19,20.380878,22.28,19.89857143,71.20970228,22.20385609,20.0315,17.85914391,0.869722006,0.819234232,1,1,21.65,22.28,21.5,22.28,1265
12/02/19,21.03946,23.38,20.19095238,75.36124808,22.62919113,20.327,18.02480887,1.040283709,0.863444127,0,1,23.15,23.39,22.7,23.38,7402000
12/03/19,21.788223,23.01,20.4547619,71.62020295,22.93618636,20.567,18.19781364,1.132543918,0.917264086,-1,-1,23.76,23.8,22.8,23.01,3947500
12/04/19,22.33738,23.88,20.7247619,74.78927694,23.48785167,20.8005,18.11314833,1.261322784,0.986075825,1,1,22.99,24.04,22.79,23.88,4920000
12/05/19,22.994955,24.54,20.97857143,76.89694348,24.09646346,21.0725,18.04853654,1.40049343,1.068959346,0,1,24.05,24.71,23.6,24.54,6062000
12/06/19,23.673962,23.68,21.19666667,68.82293855,24.38999171,21.2995,18.20900829,1.424966234,1.140160724,1,-1,24.5,24.7,23.53,23.68,3950500
12/09/19,23.851074,22.94,21.37761905,62.72044902,24.5512316,21.451,18.3507684,1.368869813,1.185902542,-1,-1,23.68,24.1,22.75,22.94,1435000
12/10/19,23.610334,22.72,21.51142857,60.98903381,24.66508755,21.581,18.49691245,1.291770111,1.207076056,0,-1,23.27,23.29,22.5,22.72,1297500
12/11/19,23.523325,22.56,21.62761905,59.69830194,24.75784202,21.653,18.54815798,1.203879803,1.206436805,-1,0,22.97,23.09,22.51,22.56,1107000
12/12/19,23.309937,21.99,21.66904762,55.21516304,24.79575388,21.708,18.62024612,1.075830361,1.180315516,0,-1,22.6,22.77,21.8,21.99,960000
12/13/19,22.790485,22.33,21.73761905,57.27616856,24.85530542,21.7795,18.70369458,0.990369057,1.142326224,0,1,21.75,22.7,21.67,22.33,1543500
12/16/19,22.56285,22.94,21.8347619,60.76483348,24.97035283,21.8685,18.76664717,0.960786906,1.106018361,1,1,22.49,23.15,22.25,22.94,2521500
12/17/19,22.661339,22.02,21.87571429,53.64946874,24.98046951,21.9465,18.91253049,0.853270555,1.055468799,-1,-1,22.94,23.31,21.8,22.02,4571000
12/18/19,22.470236,20.98,21.90047619,46.95579894,24.96157533,21.9745,18.98742467,0.676347254,0.97964449,0,-1,22.02,22.02,20.92,20.98,5177500
12/19/19,22.007275,19.96,21.87857143,41.48844118,24.92822794,21.9915,19.05477206,0.448656949,0.873446982,-1,-1,21,21.49,19.94,19.96,5317000
12/20/19,21.488195,19.9,21.89190476,41.18466095,24.88977412,22.0095,19.12922588,0.260367885,0.750831163,0,0,20.01,20.4,19.7,19.9,1761500
12/23/19,21.045565,18.98,21.8652381,36.74224384,25.01186,21.9575,18.90314,0.036490494,0.607963029,0,-1,19.65,19.95,18.9,18.98,1428000
12/24/19,20.270027,19.41,21.83619048,39.99987069,25.03569585,21.9465,18.85730415,-0.105025872,0.465365249,1,1,18.8,19.5,18.36,19.41,3819000
12/25/19,19.83795,19.41,21.82571429,39.99987069,25.10343775,21.9065,18.70956225,-0.214703641,0.329351471,-1,0,18.8,19.5,18.36,19.41,3819000
12/26/19,19.608278,19.79,21.80571429,43.00793064,25.15186901,21.835,18.51813099,-0.267873362,0.209906504,0,1,19.7,19.9,19.45,19.79,1300500
12/27/19,19.647404,19.07,21.70333333,39.01660334,25.19416177,21.6745,18.15483823,-0.363913761,0.095142451,0,-1,19.99,20,18.99,19.07,2287500
12/30/19,19.446648,19.43,21.56761905,41.91900511,25.03478077,21.477,17.91921923,-0.406293973,-0.005144834,0,1,19.38,19.82,19.1,19.43,2325500
12/31/19,19.512573,19.52,21.38380952,42.65381525,24.88467183,21.3025,17.72032817,-0.427688225,-0.089653512,1,0,19.4,19.65,18.95,19.52,3832500
01/01/20,19.557108,20.51,21.2647619,50.12817092,24.52741951,21.134,17.74058049,-0.360601805,-0.14384317,1,1,19.61,20.52,19.4,20.51,2981500
01/02/20,19.88133,21.11,21.13285714,54.03809223,23.97540474,20.9625,17.94959526,-0.256068549,-0.166288246,-1,1,20.78,21.39,20.76,21.11,3429500
01/03/20,20.244919,20.76,20.95285714,51.5015923,23.55941287,20.8165,18.07358713,-0.199171342,-0.172864865,0,-1,21.39,21.54,20.63,20.76,2851500
01/06/20,20.512096,19.76,20.76619048,45.00203682,23.25438949,20.6575,18.06061051,-0.232096079,-0.184711108,1,-1,20.25,20.25,19.73,19.76,3215000
01/07/20,20.3942,20.38,20.64428571,49.27620049,22.95994188,20.5405,18.12105812,-0.205788154,-0.188926517,-1,1,19.8,20.5,19.8,20.38,1857500
01/08/20,20.5351,19.63,20.49714286,44.74604172,22.65629441,20.394,18.13170559,-0.242660428,-0.1996733,0,-1,19.9,20.25,19.55,19.63,1260000
01/09/20,20.343544,20.58,20.40285714,50.90315092,22.46722829,20.3235,18.17977171,-0.193000125,-0.198338665,0,1,20.25,20.63,20.1,20.58,3027500
01/10/20,20.340645,20.79,20.34571429,52.17190348,22.19846593,20.2465,18.29453407,-0.135140912,-0.185699114,0,1,20.74,21.05,20.38,20.79,1881000
01/13/20,20.428524,20.48,20.25761905,50.11316025,21.64322728,20.1235,18.60377272,-0.112998896,-0.171159071,0,-1,21,21,20.4,20.48,1566000
01/14/20,20.533697,20.21,20.12761905,48.32453269,21.2815848,20.033,18.7844152,-0.115901889,-0.160107634,1,-1,20.75,20.75,20.11,20.21,1261500
01/15/20,20.437065,20,20.03142857,46.92177464,21.15456226,19.984,18.81343774,-0.13360763,-0.154807633,0,-1,20.05,20.23,19.86,20,526000
01/16/20,20.446936,20.06,19.98761905,47.39165403,21.15996371,19.989,18.81803629,-0.141170731,-0.152080253,1,0,20.01,20.3,19.9,20.06,956000
01/17/20,20.36033,20.01,19.99,47.01811273,21.16477305,19.9945,18.82422695,-0.149476058,-0.151559414,1,0,20.23,20.35,19.96,20.01,1247000
01/20/20,20.233995,21.11,20.04761905,55.3552107,21.27027157,20.101,18.93172843,-0.066530362,-0.134553604,-1,1,20.3,21.11,20.3,21.11,4810000
01/21/20,20.47655,21.84,20.18380952,59.86844918,21.5706376,20.2225,18.8743624,0.057447381,-0.096153407,0,1,21.5,22.09,21.3,21.84,9820500
01/22/20,20.911783,21.08,20.26333333,53.77361173,21.64935997,20.306,18.96264003,0.093299489,-0.058262828,0,-1,21.51,21.99,20.72,21.08,4341000
01/23/20,21.039526,20.75,20.32714286,51.33006331,21.68875691,20.354,19.01924309,0.094000719,-0.027810118,-1,-1,21.11,21.34,20.67,20.75,1352500
01/24/20,21.038536,20.49,20.36047619,49.42443775,21.62307345,20.425,19.22692655,0.072738141,-0.007700466,0,-1,20.52,20.79,20.39,20.49,889500
01/27/20,21.056072,20.52,20.42952381,49.65667945,21.58733528,20.4795,19.37166472,0.057643664,0.00536836,1,0,20.4,20.69,20.35,20.52,1045500
01/28/20,20.963755,20.85,20.49714286,52.2539337,21.5721267,20.546,19.5198733,0.071485386,0.018591765,0,1,20.65,21.05,20.5,20.85,3915500
01/29/20,20.843971,20.15,20.52714286,46.74489777,21.56854985,20.528,19.48745015,0.025674935,0.020008399,1,-1,20.01,20.35,19.71,20.15,8765000
01/30/20,20.627636,20.38,20.52095238,48.66014878,21.49850099,20.4915,19.48449901,0.007838543,0.017574428,0,1,20.21,20.7,20.05,20.38,3574000
01/31/20,20.5496,20.02,20.46904762,45.87891821,21.47362659,20.4545,19.43537341,-0.034943115,0.007070919,1,-1,20.3,20.48,19.97,20.02,1625000
02/03/20,20.436228,19.25,20.39714286,40.54144515,21.53792561,20.429,19.32007439,-0.129487797,-0.020240824,1,-1,19.95,19.95,19.07,19.25,1690000
02/04/20,20.117931,19.42,20.38095238,42.14185032,21.57416219,20.381,19.18783781,-0.188524369,-0.053897533,0,1,19.3,19.75,19.25,19.42,763000
02/05/20,19.849632,19.42,20.3352381,42.14185032,21.59324241,20.3705,19.14775759,-0.232629667,-0.08964396,-1,0,19.3,19.75,19.25,19.42,763000
02/06/20,19.74488,19.06,20.30809524,39.52877517,21.63863504,20.2945,18.95036496,-0.293251998,-0.130365567,0,-1,19.3,19.54,18.9,19.06,636000
02/07/20,19.497026,18.12,20.19095238,33.65982766,21.78334275,20.161,18.53865725,-0.412391978,-0.186770849,-1,-1,18.8,18.99,17.92,18.12,1593000
02/10/20,19.04303,17.2,20.02,29.10511627,22.06038654,19.997,17.93361346,-0.574425957,-0.264301871,0,-1,18,18,17.07,17.2,1073500
02/11/20,18.52038,17.44,19.8752381,31.70149631,22.19931417,19.8585,17.51768583,-0.675684192,-0.346578335,-1,1,17.3,17.85,17.03,17.44,643000
02/12/20,18.160788,18.38,19.78809524,40.84014101,22.20368116,19.7775,17.35131884,-0.672331707,-0.41172901,-1,1,17.9,18.48,17.9,18.38,1309000
02/13/20,18.137125,18.41,19.71238095,41.11096251,22.18842736,19.695,17.20157264,-0.659650055,-0.461313219,0,0,18.65,18.88,18.32,18.41,729000
02/14/20,18.140076,18.14,19.62095238,39.36438957,22.17947808,19.6015,17.02352192,-0.663735369,-0.501797649,1,-1,18.5,18.55,18.1,18.14,191000
02/17/20,18.134066,18.23,19.53619048,40.27523971,22.00389255,19.4575,16.91110745,-0.65219269,-0.531876657,-1,0,18.15,18.4,18,18.23,271000
