Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
2019-08-29,1008.4597,989.58,989.8509523809512,45.30324966929419,1067.1316470681597,985.762,904.3923529318404,-14.249685649428447,-21.458675228572297,0,0.0,1007.64,1007.64,965.06,989.58,5940
2019-08-30,998.8518,975.16,985.2571428571416,42.43583625982007,1052.7607126352486,981.0345,909.3082873647513,-14.699861614795735,-20.106912505816982,0,-1.0,993.44,993.45,974.54,975.16,2500
2019-09-02,995.0814,972.63,980.6342857142844,41.93433656068465,1041.6097693752229,977.1735000000003,912.7372306247772,-15.086867153305207,-19.10290343531463,1,0.0,974.52,979.26,951.93,972.63,3900
2019-09-03,985.81445,955.82,976.1566666666656,38.66480446053661,1034.1220008316418,973.5515000000003,912.9809991683587,-16.559115171757867,-18.59414578260328,-1,-1.0,956.56,973.58,955.6,955.82,19680
2019-09-04,974.2938,946.46,972.2614285714276,36.9378523716365,1033.5462715062308,971.9145000000003,910.2827284937694,-18.27054464294713,-18.529425554672045,-1,-1.0,941.41,972.63,936.68,946.46,68540
2019-09-05,966.4645,956.52,971.1814285714273,40.03776259083386,1033.5416436661674,971.9970000000003,910.4523563338333,-18.60068973128125,-18.543678389993893,0,1.0,946.47,969.69,939.52,956.52,11920
2019-09-06,961.1294,945.06,970.7142857142846,37.760617184183715,1033.5801235863194,971.9430000000003,910.3058764136816,-19.56156477506124,-18.747255667007362,-1,-1.0,941.41,946.14,941.41,945.06,2340
2019-09-09,956.4027,945.06,970.6628571428564,37.760617184183715,1033.6182760041354,971.8890000000004,910.1597239958658,-20.09146328770862,-19.016097191147608,1,0.0,941.41,946.14,941.41,945.06,2340
2019-09-10,950.348,945.06,970.6114285714276,37.760617184183715,1033.6561023841698,971.8350000000006,910.0138976158316,-20.277663395478392,-19.268410432013766,-1,0.0,941.41,946.14,941.41,945.06,2340
2019-09-11,947.3313,954.83,971.0252380952372,41.314597723416774,1033.4812712453565,972.2695000000008,911.0577287546448,-19.413088968284,-19.297346139267813,-1,1.0,948.03,968.84,942.38,954.83,10560
2019-09-12,951.6151,952.6,971.3328571428565,40.742730920422225,1033.315570698002,972.5925000000008,911.8694293019996,-18.692375796342162,-19.17635207068268,-1,0.0,969.78,969.78,943.3,952.6,9420
2019-09-13,950.3467,929.72,970.5509523809517,35.338053022696144,1030.7882092383418,973.5645000000007,916.3407907616597,-19.73988113688529,-19.289057883923203,0,-1.0,1000.07,1000.07,923.43,929.72,10640
2019-09-16,944.4677,933.53,971.6580952380948,36.84054341776631,1031.7891150072721,972.6450000000008,913.5008849927292,-20.031688669938944,-19.43758404112635,0,1.0,929.72,936.68,922.53,933.53,2040
2019-09-17,941.1371,921.56,970.2123809523804,34.15535027815063,1031.4466279975554,969.0870000000008,906.727372002446,-20.98690324802999,-19.74744788250708,1,-1.0,936.11,936.68,917.76,921.56,2580
2019-09-18,937.3263,933.12,967.3742857142853,38.79499579555896,1025.858177767236,965.0820000000008,904.3058222327652,-20.573958507240604,-19.912750007453784,0,1.0,921.56,937.63,921.56,933.12,13020
2019-09-19,935.9233,942.12,963.9885714285707,42.209221386685705,1015.2532425840416,960.8390000000006,906.4247574159597,-19.298016519360203,-19.78980330983507,1,1.0,933.13,944.25,933.13,942.12,1180
2019-09-20,934.2449,936.84,959.6961904761896,40.77225659789849,1008.9738518150017,957.4665000000008,905.9591481849997,-18.499623035757395,-19.53176725501953,-1,-1.0,943.3,946.14,917.76,936.84,12420
2019-09-23,936.1272,931.95,956.2514285714276,39.433314824088065,996.6040653757622,953.0195000000008,909.4349346242392,-18.053364630817786,-19.236086730179185,-1,-1.0,913.08,935.54,913.08,931.95,600
2019-09-24,932.97144,935.94,952.2061904761896,41.13204579913278,986.7070190721774,949.5850000000006,912.4629809278238,-17.179705030015384,-18.824810390146425,-1,0.0,936.68,936.68,927.22,935.94,1660
2019-09-25,935.94165,924.83,948.4061904761895,37.941051624240615,980.525615859106,946.4195000000008,912.3133841408952,-17.185701581751232,-18.496988628467385,-1,-1.0,931.95,931.95,922.49,924.83,700
2019-09-26,934.5226,927.22,945.5052380952376,39.036728487119646,972.032978399026,943.3015000000007,914.5700216009757,-16.803896013091276,-18.15837010539216,0,0.0,927.22,927.23,917.76,927.22,33780
2019-09-27,931.6107,944.71,943.3685714285706,46.483113838068896,966.5505521514843,941.7790000000008,917.0074478485167,-14.918049530373766,-17.51030599038848,1,1.0,913.97,946.14,913.97,944.71,2220
2019-09-30,934.9366,940.23,941.7052380952373,44.96797152232882,960.4876801340927,940.1590000000006,919.8303198659083,-13.627907134736118,-16.73382621925801,0,-1.0,945.69,953.48,934.02,940.23,21280
2019-10-01,937.7509,948.06,940.5352380952372,48.149111976829964,959.1639068474434,939.7710000000006,920.378093152558,-11.837192640891885,-15.754499503584785,-1,1.0,938.88,953.38,938.88,948.06,1140
2019-10-02,939.2571,943.33,939.9404761904756,46.40406387993989,958.8387456026863,939.6145000000008,920.3902543973154,-10.676636354935454,-14.738926873854918,1,-1.0,943.75,947.64,939.96,943.33,1960
2019-10-03,941.04553,947.65,939.9971428571423,48.24885160686077,957.1859803217136,939.1710000000007,921.1560196782884,-9.301082155340737,-13.651357930152082,0,1.0,947.85,952.89,943.75,947.65,46000
2019-10-04,946.2174,948.64,939.621904761904,48.68476179572258,957.6641388001937,939.3500000000008,921.0358611998081,-8.038399153887893,-12.528766174899244,0,0.0,963.19,981.69,944.27,948.64,2040
2019-10-07,946.42615,973.09,940.9566666666659,58.07679921204928,964.1760079135801,940.7515000000006,917.3269920864212,-5.007084561252327,-11.02442985216986,-1,1.0,963.2,977.8,963.18,973.09,19620
2019-10-08,956.1762,998.06,943.4804761904757,65.10172563300382,977.6616484379933,943.4015000000006,909.141351562008,-0.5831533611959685,-8.936174553975082,-1,1.0,972.94,1002.12,972.94,998.06,6980
2019-10-09,970.3522,975.41,944.9257142857136,55.944225025372106,981.1498286838616,944.4305000000006,907.7111713161397,1.0826976173233334,-6.932400119715399,-1,-1.0,997.15,1015.73,972.94,975.41,10120
2019-10-10,972.09106,977.21,945.9914285714276,56.46828288188154,984.9522656450947,945.6610000000006,906.3697343549063,2.5191028270769493,-5.0420995303569285,0,0.0,1010.88,1010.88,953.49,977.21,18
2019-10-11,973.4435,989.64,947.7552380952372,60.00623527917328,991.5977368822856,948.6570000000003,905.7162631177154,4.607350751219201,-3.1122094740417032,-1,1.0,982.67,1000.18,980.72,989.64,9580
2019-10-14,982.4601,969.25,949.6376190476184,52.47252475974149,993.6887720938596,950.4430000000008,907.1972279061414,4.564384301459199,-1.5768907189415222,-1,-1.0,1014.77,1014.77,963.21,969.25,3920
2019-10-15,983.3904,963.25,951.0528571428564,50.464730472945654,993.9856060227664,952.5275000000003,911.0693939772348,4.000072874422699,-0.4614980002686779,0,-1.0,966.13,971.96,963.21,963.25,6140
2019-10-16,973.5625,964.01,953.0742857142848,50.72194048865306,994.8184352305163,954.0720000000003,913.3255647694845,3.572990441565821,0.3453996880982219,0,0.0,963.21,965.15,963.21,964.01,45
2019-10-17,971.0973,953.71,954.0547619047608,47.14878307477621,995.0295243572447,954.6515000000003,914.273475642756,2.376011436432236,0.7515220377650249,-1,-1.0,964.01,964.17,953.49,953.71,29860
2019-10-18,968.4873,914.64,952.7461904761896,36.61270509054804,996.9257202994804,953.5415000000003,910.1572797005203,-1.7055648375206829,0.2601046627078833,-1,-1.0,944.72,944.72,914.57,914.64,3880
2019-10-21,949.27545,903.09,951.1390476190468,34.18097069937575,999.9492447276939,952.0985000000003,904.2477552723068,-5.80531189161468,-0.9529786481566292,0,-1.0,914.56,914.56,899.97,903.09,980
