Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
10/29/20,11.819886,12.48,12.45190476,47.15029598,13.90858008,12.4475,10.98641992,0.147575379,0.090740315,1,-1,13,13.06,12.26,12.48,38642500
11/02/20,11.667076,12.25,12.43809524,44.7669599,13.90823544,12.464,11.01976456,0.086255964,0.089843445,1,-1,12.26,12.44,11.88,12.25,20175000
11/03/20,11.447302,12.8,12.48,51.12867888,13.86562722,12.546,11.22637278,0.081105358,0.088095828,1,1,12.42,12.89,12.42,12.8,19542000
11/04/20,11.376874,12.58,12.54761905,48.71180266,13.84337424,12.594,11.34462576,0.058595847,0.082195832,1,-1,12.99,13.08,12.51,12.58,16393500
11/05/20,11.288146,12.92,12.60952381,52.4525469,13.8698136,12.636,11.4021864,0.067414939,0.079239653,0,1,12.7,13.04,12.63,12.92,19396500
11/06/20,11.304784,12.77,12.64238095,50.69579847,13.87075207,12.677,11.48324793,0.06159041,0.075709804,1,-1,13,13,12.72,12.77,6388500
11/09/20,11.3652725,12.72,12.67904762,50.09353283,13.87148366,12.7085,11.54551634,0.052336544,0.071035152,-1,0,12.81,12.9,12.52,12.72,11452000
11/10/20,11.408771,12.63,12.7047619,48.96590169,13.82782351,12.7535,11.67917649,0.037310449,0.064290212,0,-1,12.95,12.98,12.59,12.63,6378500
11/11/20,11.375579,12.51,12.74190476,47.43274317,13.76906909,12.792,11.81493091,0.015540028,0.054540175,-1,-1,12.63,12.73,12.25,12.51,4213000
11/12/20,11.330547,12.15,12.76142857,43.07533807,13.73048794,12.808,11.88551206,-0.030411613,0.037549817,1,-1,12.45,12.45,12.09,12.15,8553500
11/13/20,11.180349,12.22,12.78,44.14971169,13.72149546,12.813,11.90450454,-0.060482995,0.017943255,0,1,12.05,12.45,12.03,12.22,4331500
11/16/20,11.07092,12.21,12.78428571,44.02188834,13.71607555,12.816,11.91592445,-0.08415165,-0.002475726,-1,0,12.22,12.4,12.16,12.21,2895000
11/17/20,10.988109,12.36,12.79428571,46.52295717,13.70878854,12.7885,11.86821146,-0.089770662,-0.019934713,0,1,12.25,12.75,12.25,12.36,7229500
11/18/20,10.966893,12.31,12.76571429,45.7885653,13.66031585,12.742,11.82368415,-0.097138599,-0.03537549,-1,0,12.35,12.45,12.2,12.31,1879500
11/19/20,10.961175,12.3,12.72095238,45.63341301,13.40607162,12.659,11.91192838,-0.102601928,-0.048820778,0,0,12.3,12.48,12.21,12.3,2558500
11/20/20,10.9821005,12.06,12.63047619,41.9587337,13.37221463,12.608,11.84378537,-0.12485836,-0.064028294,1,-1,12.45,12.45,12.02,12.06,3123500
11/23/20,10.936994,11.74,12.56666667,37.60999612,13.34748457,12.5375,11.72751543,-0.166399913,-0.084502618,1,-1,12.02,12.02,11.6,11.74,7036000
11/24/20,10.814969,11.79,12.50190476,38.67942463,13.2862842,12.4685,11.6507158,-0.193061815,-0.106214458,-1,1,11.95,11.95,11.61,11.79,4837500
11/25/20,10.698808,11.89,12.44095238,40.86272135,13.15507178,12.3975,11.63992822,-0.203773427,-0.125726252,1,1,11.8,11.99,11.8,11.89,4324500
11/26/20,10.634093,12.39,12.39714286,50.37641869,13.00020121,12.354,11.70779879,-0.169957472,-0.134572496,-1,1,11.99,12.51,11.95,12.39,15758000
11/27/20,10.707228,12.25,12.34904762,48.04572366,12.98750775,12.3425,11.69749225,-0.152694743,-0.138196945,0,-1,12.36,12.58,12.2,12.25,6581500
11/30/20,10.785015,12.31,12.34095238,49.13192752,12.98931597,12.3455,11.70168403,-0.132643378,-0.137086232,1,1,12.21,12.35,12.01,12.31,4621500
12/01/20,10.883229,12.79,12.36666667,56.89588945,12.98741731,12.345,11.70258269,-0.077131415,-0.125095268,1,1,12.32,12.9,12.3,12.79,22900500
12/02/20,11.065136,12.94,12.37333333,59.00178935,13.04941387,12.363,11.67658613,-0.020794333,-0.104235081,-1,1,12.8,13.14,12.75,12.94,18689000
12/03/20,11.254145,12.8,12.38380952,56.24002875,13.02570322,12.357,11.68829678,0.012413287,-0.080905408,0,-1,13.1,13.19,12.76,12.8,20636500
12/04/20,11.34409,12.61,12.36904762,52.6389058,13.00137719,12.349,11.69662281,0.023132496,-0.060097827,1,-1,12.7,12.9,12.58,12.61,7373000
12/07/20,11.374974,12.59,12.36047619,52.25957391,12.98243359,12.3425,11.70256641,0.029671677,-0.042143926,0,0,12.76,12.8,12.55,12.59,5925500
12/08/20,11.371472,12.58,12.35380952,52.05757403,12.97579871,12.34,11.70420129,0.033659107,-0.02698332,1,0,12.59,12.73,12.5,12.58,5633500
