Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
08/29/19,21.469463,21.28,18.95619048,59.76661395,22.24987884,18.9845,15.71912116,0.415572974,-0.130682391,-1,-1,21.52,22.24,21.15,21.28,756000
08/30/19,21.436354,20.89,19.0752381,56.66822015,22.46485074,19.115,15.76514926,0.432547363,-0.01803644,0,-1,21,21.6,20.56,20.89,700500
09/02/19,21.157495,21.5,19.22857143,60.14819327,22.74086326,19.3065,15.87213674,0.48957804,0.083486456,1,1,21.75,21.85,21.25,21.5,324000
09/03/19,21.245703,20.96,19.3852381,55.87058337,22.8983174,19.464,16.0296826,0.485604034,0.163909971,-1,-1,21.26,21.8,20.5,20.96,800500
09/04/19,21.10211,21.99,19.58428571,61.49552414,23.17109593,19.6855,16.19990407,0.559121789,0.242952335,1,1,21.3,22,20.51,21.99,1945000
09/05/19,21.300056,21.81,19.78666667,60.05487573,23.3400843,19.9075,16.4749157,0.595990438,0.313559955,-1,0,22,22.78,21.65,21.81,1596500
09/06/19,21.48324,22.14,20.01380952,61.82078198,23.54628812,20.124,16.70171188,0.644409003,0.379729765,0,1,21.52,22.35,21.25,22.14,754500
09/09/19,21.71034,22.14,20.22,61.82078198,23.69706059,20.3405,16.98393941,0.675000085,0.438783829,0,0,21.52,22.35,21.25,22.14,754500
09/10/19,21.842035,22.14,20.42619048,61.82078198,23.78902166,20.557,17.32497834,0.691275148,0.489282093,1,0,21.52,22.35,21.25,22.14,754500
09/11/19,21.964945,21.22,20.58857143,53.57397755,23.71219345,20.7275,17.74280655,0.622758172,0.515977309,-1,-1,22.1,22.39,21.04,21.22,730500
09/12/19,21.662506,22.2,20.79761905,59.73560346,23.6759126,20.947,18.2180874,0.640156461,0.540813139,0,1,21.4,22.28,20.9,22.2,3398000
09/13/19,21.762651,21.78,20.98666667,56.28769884,23.40567683,21.1605,18.91532317,0.612988094,0.55524813,-1,-1,22.49,22.6,21.7,21.78,1321500
09/16/19,21.753431,21.45,21.17428571,53.66664601,23.1377776,21.3185,19.4992224,0.558391931,0.55587689,1,-1,21.98,21.98,21.21,21.45,453500
09/17/19,21.577845,21.26,21.31571429,52.16063046,22.77496032,21.452,20.12903968,0.494097024,0.543520917,-1,0,21.02,21.75,20.7,21.26,2215000
09/18/19,21.369905,20.81,21.42142857,48.67654841,22.55400578,21.516,20.47799422,0.40219535,0.515255804,0,-1,21.05,21.6,20.75,20.81,442500
09/19/19,21.141869,20.89,21.48619048,49.32459308,22.51384489,21.534,20.55415511,0.331990957,0.478602834,0,0,20.6,21.3,20.6,20.89,635500
09/20/19,20.93534,19.89,21.45571429,42.15869054,22.66468694,21.451,20.23731306,0.193432063,0.42156868,1,-1,20.9,21,19.85,19.89,1280500
09/23/19,20.486982,18.91,21.33,36.55398417,22.98141672,21.359,19.73658328,0.004493533,0.338153651,-1,-1,19.9,20.18,18.89,18.91,1272500
09/24/19,19.80556,18.74,21.23428571,35.66814714,23.15959179,21.2,19.24040821,-0.157147692,0.239093382,0,0,18.75,19.24,18.12,18.74,624500
09/25/19,19.271006,18.54,21.07333333,34.60564024,23.26472295,21.027,18.78927705,-0.297953236,0.131684058,0,0,18.98,19.25,18.5,18.54,430500
09/26/19,18.892218,18.82,20.92190476,37.41640459,23.33469044,20.904,18.47330956,-0.38253931,0.028839385,0,1,18.5,18.94,18.21,18.82,885000
09/27/19,18.710766,19.53,20.83857143,43.99043007,23.33945681,20.836,18.33254319,-0.387812851,-0.054491062,-1,1,19,19.8,18.62,19.53,1369500
09/30/19,18.899574,19.13,20.7547619,41.35480759,23.30690823,20.7175,18.12809177,-0.419433855,-0.127479621,0,-1,19.89,20.2,19,19.13,520500
10/01/19,18.975185,20.13,20.68952381,49.50064147,23.27511831,20.676,18.07688169,-0.359656193,-0.173914935,-1,1,18.81,20.13,18.81,20.13,1619500
10/02/19,19.338377,21.13,20.69761905,56.07165891,23.17148853,20.633,18.09451147,-0.228951117,-0.184922172,-1,1,20.14,21.13,20,21.13,2243000
10/03/19,20.009453,22,20.69809524,60.8451514,23.19988832,20.6425,18.08511168,-0.054536016,-0.15884494,0,1,21.37,22.18,21.25,22,4650500
10/04/19,20.78886,23.05,20.75714286,65.69084738,23.3792198,20.688,17.9967802,0.166496169,-0.093776718,0,1,21.9,23.1,21.21,23.05,4004000
10/07/19,21.653805,24.2,20.8552381,70.06103972,23.83162428,20.791,17.75037572,0.429510033,0.010880632,-1,1,23.05,24.2,22.65,24.2,1039000
10/08/19,22.705595,23.84,20.93619048,67.17636783,24.14889108,20.876,17.60310892,0.601962376,0.129096981,0,-1,24.5,24.9,23.49,23.84,2867500
10/09/19,23.277103,23.32,20.99238095,63.13283773,24.42173771,20.981,17.54026229,0.688733158,0.241024216,-1,-1,23.46,24.29,23.01,23.32,1011000
10/10/19,23.360325,23.96,21.12285714,65.85685002,24.71391372,21.069,17.42408628,0.799921286,0.35280363,0,1,23.06,24.2,23.05,23.96,958500
10/11/19,23.580168,25.15,21.26333333,70.25733817,25.28739321,21.2375,17.18760679,0.972847354,0.476812375,1,1,24.3,25.15,24.2,25.15,1875500
10/14/19,24.166441,24.6,21.39761905,66.02201589,25.70251204,21.395,17.08748796,1.053369517,0.592123803,0,-1,25.5,25.6,24.5,24.6,665500
10/15/19,24.354132,24.84,21.55904762,66.9580542,26.13431315,21.574,17.01368685,1.12359777,0.698418596,-1,0,24.6,25.27,24.55,24.84,366000
10/16/19,24.489641,24.55,21.71571429,64.64079744,26.48446864,21.761,17.03753136,1.142681469,0.787271171,1,-1,25,25.3,24.5,24.55,405000
