Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
08/29/19,268.53708,263.7425,268.6650095,46.28798583,290.4158448,267.77678,245.1377152,-2.052226852,-2.193253606,1,0,268.6439,268.6439,255.1819,263.7425,2000
08/30/19,267.9387,259.2648,267.3714476,43.03799007,285.5584223,266.05358,246.5487377,-2.433604694,-2.241323823,0,-1,268.0854,268.0854,254.2189,259.2648,6600
09/02/19,265.25046,263.2321,265.9192238,46.6145241,281.4819064,264.80704,248.1321736,-2.388191839,-2.270697427,-1,1,269.5298,269.5298,258.5618,263.2321,2700
09/03/19,265.83127,264.4166,264.7884476,47.67096329,276.9456759,263.685205,250.4247341,-2.230906077,-2.262739157,1,0,269.0869,269.6261,259.9966,264.4166,140700
09/04/19,267.16916,275.9816,264.2707476,56.68389425,277.6558943,263.858535,250.0611757,-1.159688957,-2.042129117,-1,1,255.673,277.6282,255.673,275.9816,12800
09/05/19,273.2409,275.4712,264.411519,56.22364613,279.1669111,264.687635,250.2083589,-0.347916126,-1.703286519,-1,0,265.0521,279.2556,265.0521,275.4712,11400
09/06/19,275.8957,274.4505,265.1525333,55.25738435,280.2889157,265.458475,250.6280343,0.210629723,-1.32050327,1,0,269.7898,277.2334,269.7898,274.4505,600
09/09/19,277.08298,274.4505,265.8866667,55.25738435,281.2453381,266.229315,251.2132919,0.645836531,-0.92723531,1,0,269.7898,277.2334,269.7898,274.4505,600
09/10/19,277.72296,274.4505,266.6208,55.25738435,282.0423082,267.000155,251.9580018,0.979450565,-0.545898135,-1,0,269.7898,277.2334,269.7898,274.4505,600
09/11/19,278.59634,271.9661,267.2366286,52.51374971,282.3720303,267.646775,252.9215197,1.031481497,-0.230422209,-1,-1,274.3349,274.3831,269.6357,271.9661,1100
09/12/19,277.21677,271.9853,267.8533714,52.53336473,282.580126,268.294355,254.008584,1.062023322,0.028066897,1,0,275.1631,275.1631,271.1668,271.9853,700
09/13/19,276.55325,269.6261,268.3577714,49.8107142,281.2134823,269.204345,257.1952077,0.885650981,0.199583714,-1,-1,265.7839,269.8187,264.8114,269.6261,10100
09/16/19,275.07257,269.8187,269.2336,50.03836518,280.937052,269.69545,258.453848,0.752738737,0.310214719,1,0,271.5616,271.5616,269.8187,269.8187,500
09/17/19,274.46713,267.1032,269.5720095,46.81422053,280.9221656,269.642005,258.3618444,0.423405911,0.332852957,-1,-1,269.6261,269.6261,265.7743,267.1032,6400
09/18/19,272.6233,265.7743,269.4578286,45.27672594,279.9962594,269.09264,258.1890206,0.054547361,0.277191838,-1,-1,269.5106,269.5106,265.7743,265.7743,1300
09/19/19,271.18503,267.2187,269.0034048,47.30256589,278.7003267,268.55772,258.4151133,-0.11984321,0.197784828,0,1,268.6632,268.6632,259.0337,267.2187,153000
09/20/19,271.10187,274.9223,268.8607952,56.54284831,279.1367066,268.710825,258.2849434,0.359423929,0.230112648,0,1,269.6261,278.1964,267.7002,274.9223,8100
09/23/19,274.8792,269.6261,268.7544095,50.04576489,279.2409649,268.831195,258.4214251,0.308333238,0.245756766,0,-1,269.6261,269.6261,269.6261,269.6261,300
09/24/19,273.9761,271.8987,268.9772667,52.56452785,279.1060803,269.417635,259.7291897,0.446081178,0.285821649,1,1,269.6261,278.0423,261.9225,271.8987,63
09/25/19,274.71793,278.4756,269.8489667,59.00642386,280.1691004,270.19377,260.2184396,1.073572799,0.443371879,0,1,264.9173,283.1074,264.8114,278.4756,14400
09/26/19,278.53293,278.909,270.608781,59.39772686,281.1537743,270.952095,260.7504157,1.587536059,0.672204715,-1,0,270.8779,286.9496,264.8114,278.909,59100
