,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2001-01-02,2.7,2.79,2.7,2.79,98500,,,,,,,,,,,NaN,NaN,NaN,NaN,2.8200000000000003,2.85,2.91,2.7300000000000004,2.6700000000000004,2.6400000000000006
1,2001-01-03,2.79,2.84,2.78,2.84,58000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.86,2.88,2.92,2.8,2.76,2.7399999999999998
2,2001-01-04,2.84,2.84,2.74,2.77,32000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.826666666666666,2.883333333333333,2.926666666666666,2.7266666666666666,2.6833333333333336,2.626666666666667
3,2001-01-05,2.77,2.75,2.73,2.73,7000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7433333333333336,2.756666666666667,2.7633333333333336,2.7233333333333336,2.716666666666667,2.7033333333333336
4,2001-01-08,2.73,2.74,2.73,2.74,2000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7433333333333336,2.746666666666667,2.753333333333334,2.7333333333333334,2.7266666666666666,2.723333333333333
5,2001-01-09,2.74,2.74,2.66,2.69,5000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7333333333333334,2.776666666666667,2.8133333333333335,2.6533333333333333,2.6166666666666667,2.5733333333333333
6,2001-01-10,2.69,2.79,2.74,2.74,5500,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7733333333333325,2.806666666666666,2.8233333333333324,2.7233333333333327,2.7066666666666666,2.673333333333333
7,2001-01-11,2.74,2.74,2.73,2.74,13000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7433333333333336,2.746666666666667,2.753333333333334,2.7333333333333334,2.7266666666666666,2.723333333333333
8,2001-01-12,2.74,2.79,2.65,2.65,37000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7433333333333336,2.836666666666667,2.8833333333333337,2.6033333333333335,2.5566666666666666,2.4633333333333334
9,2001-01-15,2.65,2.66,2.64,2.66,1500,,,,,,,,,,,NaN,NaN,NaN,NaN,2.6666666666666674,2.673333333333334,2.6866666666666674,2.6466666666666674,2.6333333333333337,2.6266666666666674
10,2001-01-16,2.66,2.74,2.73,2.73,2000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7366666666666677,2.743333333333334,2.746666666666668,2.7266666666666675,2.7233333333333336,2.7166666666666672
11,2001-01-17,2.73,2.71,2.66,2.71,12000,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7266666666666666,2.743333333333333,2.7766666666666664,2.6766666666666667,2.6433333333333335,2.626666666666667
