,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2001-01-02,1.1824,1.2188,1.2188,1.2188,22753,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2188,1.2188,1.2188,1.2188,1.2188,1.2188
1,2001-01-03,1.2188,1.2279,1.1642,1.2279,113764,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2491333333333337,1.2703666666666669,1.3128333333333337,1.1854333333333336,1.1429666666666667,1.1217333333333335
2,2001-01-04,1.2188,1.2279,1.1642,1.2279,113764,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2491333333333337,1.2703666666666669,1.3128333333333337,1.1854333333333336,1.1429666666666667,1.1217333333333335
3,2001-01-05,1.2279,1.2006,1.2006,1.2006,17065,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
4,2001-01-08,1.2279,1.2006,1.2006,1.2006,17065,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
5,2001-01-09,1.2006,1.2188,1.1733,1.2188,113764,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2339666666666667,1.2491333333333334,1.2794666666666668,1.1884666666666666,1.1581333333333332,1.1429666666666665
6,2001-01-10,1.2188,1.2279,1.2006,1.2279,216151,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2369999999999999,1.2461,1.2643,1.2096999999999998,1.1914999999999998,1.1823999999999997
7,2001-01-11,1.2279,1.2115,1.2024,1.2115,28441,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2145333333333332,1.2175666666666667,1.2236333333333334,1.2054333333333331,1.1993666666666665,1.196333333333333
8,2001-01-12,1.2279,1.2115,1.2024,1.2115,28441,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2145333333333332,1.2175666666666667,1.2236333333333334,1.2054333333333331,1.1993666666666665,1.196333333333333
9,2001-01-15,1.2115,1.2115,1.2115,1.2115,28441,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2115,1.2115,1.2115,1.2115,1.2115,1.2115
10,2001-01-16,1.2115,1.2006,1.1733,1.2006,39817,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2096999999999996,1.2187999999999997,1.2369999999999994,1.1823999999999997,1.1642,1.1550999999999998
11,2001-01-17,1.2115,1.2006,1.1733,1.2006,39817,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2096999999999996,1.2187999999999997,1.2369999999999994,1.1823999999999997,1.1642,1.1550999999999998
12,2001-01-18,1.2115,1.2006,1.1733,1.2006,39817,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2096999999999996,1.2187999999999997,1.2369999999999994,1.1823999999999997,1.1642,1.1550999999999998
13,2001-01-19,1.2115,1.2006,1.1733,1.2006,39817,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2096999999999996,1.2187999999999997,1.2369999999999994,1.1823999999999997,1.1642,1.1550999999999998
14,2001-01-22,1.2006,1.2097,1.2097,1.2097,11376,,,,,45.45454545454541,,,,,,NaN,NaN,NaN,NaN,1.2097,1.2097,1.2097,1.2097,1.2097,1.2097
15,2001-01-23,1.2097,1.1824,1.1733,1.1733,22753,,,,,32.663316582914575,,,,,,NaN,NaN,NaN,NaN,1.1793666666666665,1.1854333333333331,1.1884666666666663,1.1702666666666666,1.1672333333333333,1.1611666666666667
16,2001-01-24,1.1733,1.2097,1.2006,1.2006,56882,,,,,45.13385826771648,,,,,,NaN,NaN,NaN,NaN,1.2066666666666668,1.2127333333333334,1.2157666666666669,1.1975666666666667,1.1945333333333332,1.1884666666666666
17,2001-01-25,1.1733,1.2097,1.2006,1.2006,56882,,,,,45.13385826771648,,,,,,NaN,NaN,NaN,NaN,1.2066666666666668,1.2127333333333334,1.2157666666666669,1.1975666666666667,1.1945333333333332,1.1884666666666666
18,2001-01-26,1.2006,1.2315,1.2097,1.2315,147893,,,,,55.86372787275491,,,,,,NaN,NaN,NaN,NaN,1.2387666666666666,1.2460333333333333,1.2605666666666666,1.2169666666666665,1.2024333333333332,1.1951666666666665
19,2001-01-29,1.2006,1.2315,1.2097,1.2315,147893,,,,,55.86372787275491,1.2389622964499294,1.2103300000000004,1.1816977035500713,,,NaN,NaN,NaN,NaN,1.2387666666666666,1.2460333333333333,1.2605666666666666,1.2169666666666665,1.2024333333333332,1.1951666666666665
20,2001-01-30,1.2315,1.2006,1.2006,1.2006,11376,1.209866666666667,,,,45.53581619439175,1.2380745354176246,1.2094200000000002,1.1807654645823757,,,NaN,NaN,NaN,NaN,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
21,2001-01-31,1.2315,1.2006,1.2006,1.2006,11376,1.2090000000000003,,,,45.53581619439175,1.2356391603098131,1.2080550000000003,1.1804708396901875,,,NaN,NaN,NaN,62570.09523809524,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
22,2001-02-01,1.2315,1.2006,1.2006,1.2006,11376,1.2077000000000002,,,,45.53581619439176,1.2328774702863086,1.2066900000000005,1.1805025297136924,,,NaN,NaN,NaN,62028.333333333336,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
23,2001-02-02,1.2315,1.2006,1.2006,1.2006,11376,1.2064000000000004,,,,45.53581619439176,1.2328774702863086,1.2066900000000005,1.1805025297136924,,,NaN,NaN,NaN,57152.71428571428,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
24,2001-02-05,1.2315,1.2006,1.2006,1.2006,11376,1.2064000000000004,,,,45.53581619439176,1.2328774702863086,1.2066900000000005,1.1805025297136924,,,NaN,NaN,NaN,52277.09523809524,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
25,2001-02-06,1.2006,1.206,1.2006,1.206,45505,1.2066571428571433,,,,47.970759134082925,1.2316412094281994,1.2060500000000003,1.1804587905718011,,,NaN,NaN,NaN,52006.19047619047,1.2078,1.2096,1.2132,1.2024,1.1987999999999999,1.1969999999999998
26,2001-02-07,1.206,1.2097,1.2097,1.2097,22753,1.2062238095238098,,,,49.63234269868463,1.2287784771082568,1.2051400000000003,1.1815015228917438,,,NaN,NaN,NaN,53360.47619047619,1.2097,1.2097,1.2097,1.2097,1.2097,1.2097
27,2001-02-08,1.206,1.2097,1.2097,1.2097,22753,1.2053571428571435,,,,49.63234269868464,1.2286044900177542,1.2050500000000004,1.1814955099822466,,,NaN,NaN,NaN,49026.619047619046,1.2097,1.2097,1.2097,1.2097,1.2097,1.2097
28,2001-02-09,1.2097,1.2279,1.2006,1.2006,68258,1.2048380952380957,,,,45.488656633416774,1.2279414225084935,1.2045050000000004,1.1810685774915073,,,NaN,NaN,NaN,39817.19047619047,1.2187999999999997,1.2369999999999999,1.2460999999999998,1.1914999999999996,1.1823999999999997,1.1641999999999995
29,2001-02-12,1.2006,1.2552,1.2552,1.2552,28441,1.2069190476190481,,,,64.59057195808404,1.2388517723391967,1.2066900000000003,1.1745282276608038,,,NaN,NaN,NaN,41713.23809523809,1.2552,1.2552,1.2552,1.2552,1.2552,1.2552
30,2001-02-13,1.2006,1.2552,1.2552,1.2552,28441,1.2090000000000003,,,,64.59057195808404,1.247731804969213,1.2094200000000002,1.1711081950307873,,,NaN,NaN,NaN,41713.23809523809,1.2552,1.2552,1.2552,1.2552,1.2552,1.2552
31,2001-02-14,1.2006,1.2552,1.2552,1.2552,28441,1.2116000000000002,,,,64.59057195808404,1.25506370410489,1.2121499999999998,1.1692362958951097,,,NaN,NaN,NaN,41713.23809523809,1.2552,1.2552,1.2552,1.2552,1.2552,1.2552
32,2001-02-15,1.2006,1.2552,1.2552,1.2552,28441,1.2142,,,,64.59057195808403,1.2613101023044737,1.2148799999999997,1.1684498976955258,,,NaN,NaN,NaN,41171.52380952381,1.2552,1.2552,1.2552,1.2552,1.2552,1.2552
33,2001-02-16,1.2097,1.2097,1.2097,1.2097,28441,1.2146333333333335,,,,46.375342445008904,1.2613731265909307,1.2153349999999998,1.169296873409069,0.006894703706197491,0.002009025633376534,Bullish,NaN,NaN,40629.80952380953,1.2097,1.2097,1.2097,1.2097,1.2097,1.2097
34,2001-02-19,1.2097,1.2097,1.2097,1.2097,28441,1.2150666666666667,,,,46.375342445008904,1.2613731265909307,1.2153349999999998,1.169296873409069,0.005040742585996627,0.0026153690239005527,Bullish,NaN,NaN,40088.09523809524,1.2097,1.2097,1.2097,1.2097,1.2097,1.2097
35,2001-02-20,1.2097,1.2642,1.237,1.2642,34129,1.2176619047619046,,,,61.469893464335854,1.2663670992857612,1.2198799999999996,1.173392900714238,0.007878342932437388,0.0036679638056079196,Bullish,NaN,NaN,39546.380952380954,1.2732666666666668,1.2823333333333333,1.3004666666666667,1.2460666666666669,1.2279333333333335,1.218866666666667
36,2001-02-21,1.2642,1.2006,1.2006,1.2006,62570,1.2189619047619047,,,,45.407000135665385,1.2663670992857612,1.2198799999999996,1.173392900714238,0.004938248127712264,0.0039220206700287885,Bullish,NaN,NaN,40629.857142857145,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
37,2001-02-22,1.2642,1.2006,1.2006,1.2006,62570,1.2189619047619047,,,,45.40700013566538,1.2663670992857612,1.2198799999999996,1.173392900714238,0.002578478715147492,0.003653312279052529,Bearish,NaN,NaN,42525.90476190476,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
38,2001-02-23,1.2006,1.2715,1.2715,1.2715,5688,1.2223380952380951,,,,59.193384371030454,1.273367575200283,1.2218799999999996,1.1703924247997162,0.006356112608834286,0.00419387234500888,Bullish,NaN,NaN,42796.76190476191,1.2715,1.2715,1.2715,1.2715,1.2715,1.2715
39,2001-02-26,1.2006,1.2715,1.2715,1.2715,5688,1.224242857142857,,,,59.193384371030454,1.2796374246177615,1.2238799999999996,1.1681225753822377,0.009243362951650624,0.005203770466337229,Bullish,NaN,NaN,40358.95238095238,1.2715,1.2715,1.2715,1.2715,1.2715,1.2715
40,2001-02-27,1.2715,1.2006,1.2006,1.2006,11376,1.2227714285714284,,,,45.784294243003714,1.2796374246177615,1.2238799999999996,1.1681225753822377,0.005744275750704464,0.005311871523210676,Bullish,NaN,NaN,33587.28571428572,1.2006,1.2006,1.2006,1.2006,1.2006,1.2006
