,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2001-01-02,7.4616,7.871,7.5526,7.5526,3971660,,,,,,,,,,,NaN,NaN,NaN,NaN,7.764866666666666,7.977133333333334,8.083266666666667,7.446466666666666,7.340333333333333,7.128066666666665
1,2001-01-03,7.5526,7.9165,7.5071,7.871,2643561,,,,,,,,,,,NaN,NaN,NaN,NaN,8.022633333333335,8.174266666666668,8.432033333333333,7.613233333333334,7.3554666666666675,7.203833333333335
2,2001-01-04,7.871,8.235,7.8255,7.9165,5529992,,,,,,,,,,,NaN,NaN,NaN,NaN,8.159166666666664,8.401833333333332,8.568666666666664,7.7496666666666645,7.582833333333332,7.340166666666665
3,2001-01-05,7.9165,8.0075,7.7345,7.7345,1416017,,,,,,,,,,,NaN,NaN,NaN,NaN,7.916500000000002,8.098500000000001,8.189500000000002,7.643500000000001,7.5525,7.370500000000001
4,2001-01-08,7.7345,7.9165,7.4616,7.5071,1927585,,,,,,,,,,,NaN,NaN,NaN,NaN,7.7952,8.083300000000001,8.2501,7.3403,7.1735,6.8854
5,2001-01-09,7.5071,7.5526,7.3251,7.4616,1003355,,,,,,,,,,,NaN,NaN,NaN,NaN,7.567766666666665,7.673933333333332,7.795266666666665,7.340266666666665,7.218933333333332,7.112766666666665
6,2001-01-10,7.4616,7.5071,7.1886,7.3706,1660536,,,,,,,,,,,NaN,NaN,NaN,NaN,7.522266666666668,7.673933333333334,7.840766666666668,7.2037666666666675,7.036933333333334,6.885266666666667
7,2001-01-11,7.3706,7.3706,7.0066,7.0066,950605,,,,,,,,,,,NaN,NaN,NaN,NaN,7.2492666666666645,7.491933333333332,7.613266666666664,6.885266666666665,6.763933333333332,6.521266666666665
8,2001-01-12,7.0066,7.0976,6.5516,6.7336,1312164,,,,,,,,,,,NaN,NaN,NaN,NaN,7.036933333333333,7.3402666666666665,7.582933333333333,6.4909333333333326,6.248266666666666,5.944933333333332
9,2001-01-15,6.7336,6.8246,6.5516,6.5971,1026433,,,,,,,,,,,NaN,NaN,NaN,NaN,6.763933333333335,6.930766666666668,7.0369333333333355,6.490933333333334,6.384766666666667,6.217933333333334
10,2001-01-16,6.5971,6.7336,6.2786,6.6881,1211060,,,,,,,,,,,NaN,NaN,NaN,NaN,6.854933333333334,7.021766666666667,7.309933333333334,6.399933333333334,6.111766666666667,5.944933333333334
11,2001-01-17,6.6881,6.5971,6.2786,6.5971,1096767,,,,,,,,,,,NaN,NaN,NaN,NaN,6.703266666666667,6.809433333333334,7.021766666666667,6.384766666666667,6.172433333333333,6.0662666666666665
12,2001-01-18,6.5971,6.6426,6.4151,6.4151,595639,,,,,,,,,,,NaN,NaN,NaN,NaN,6.566766666666667,6.7184333333333335,6.794266666666667,6.339266666666667,6.263433333333333,6.111766666666667
13,2001-01-19,6.4151,6.5516,6.3696,6.5061,747296,,,,,,,,,,,NaN,NaN,NaN,NaN,6.581933333333335,6.657766666666667,6.763933333333335,6.399933333333336,6.293766666666668,6.217933333333336
14,2001-01-22,6.5061,6.7336,6.5516,6.6881,365955,,,,,31.370943412489787,,,,,,NaN,NaN,NaN,NaN,6.763933333333335,6.839766666666668,6.945933333333335,6.5819333333333345,6.475766666666667,6.399933333333334
15,2001-01-23,6.6881,6.7336,6.5971,6.6426,226387,,,,,30.72215422276623,,,,,,NaN,NaN,NaN,NaN,6.718433333333334,6.794266666666667,6.854933333333334,6.5819333333333345,6.521266666666667,6.445433333333335
16,2001-01-24,6.6426,6.6881,6.5061,6.5516,142316,,,,,29.41202067578615,,,,,,NaN,NaN,NaN,NaN,6.6577666666666655,6.763933333333333,6.839766666666666,6.475766666666665,6.399933333333332,6.293766666666665
17,2001-01-25,6.5516,6.5516,6.4151,6.4151,131876,,,,,27.51648157952955,,,,,,NaN,NaN,NaN,NaN,6.506099999999999,6.597099999999999,6.642599999999999,6.369599999999999,6.3241,6.233099999999999
18,2001-01-26,6.4151,6.4606,6.2786,6.3241,642345,,,,,26.299594284403454,,,,,,NaN,NaN,NaN,NaN,6.430266666666667,6.536433333333334,6.612266666666668,6.248266666666667,6.172433333333333,6.0662666666666665
