,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2001-01-02,1.2652,1.5935,1.2111,1.3385,245812,,,,,,,,,,,NaN,NaN,NaN,NaN,1.550966666666667,1.7634333333333334,1.933366666666667,1.1685666666666672,0.9986333333333337,0.7861666666666673
1,2001-01-03,1.3385,1.3959,1.3385,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.4150333333333334,1.4341666666666666,1.4724333333333333,1.3576333333333335,1.3193666666666668,1.3002333333333336
2,2001-01-04,1.3385,1.3959,1.3385,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.4150333333333334,1.4341666666666666,1.4724333333333333,1.3576333333333335,1.3193666666666668,1.3002333333333336
3,2001-01-05,1.3385,1.3959,1.3385,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.4150333333333334,1.4341666666666666,1.4724333333333333,1.3576333333333335,1.3193666666666668,1.3002333333333336
4,2001-01-08,1.3385,1.3959,1.3385,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.4150333333333334,1.4341666666666666,1.4724333333333333,1.3576333333333335,1.3193666666666668,1.3002333333333336
5,2001-01-09,1.3385,1.3959,1.3385,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.4150333333333334,1.4341666666666666,1.4724333333333333,1.3576333333333335,1.3193666666666668,1.3002333333333336
6,2001-01-10,1.3385,1.3959,1.3385,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.4150333333333334,1.4341666666666666,1.4724333333333333,1.3576333333333335,1.3193666666666668,1.3002333333333336
7,2001-01-11,1.3959,1.3959,1.3959,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3959,1.3959,1.3959,1.3959,1.3959,1.3959
8,2001-01-12,1.3959,1.3959,1.3959,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3959,1.3959,1.3959,1.3959,1.3959,1.3959
9,2001-01-15,1.3959,1.3959,1.3959,1.3959,8625,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3959,1.3959,1.3959,1.3959,1.3959,1.3959
10,2001-01-16,1.3959,1.2748,1.2111,1.2748,12937,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2960333333333334,1.3172666666666666,1.3597333333333332,1.2323333333333335,1.1898666666666669,1.1686333333333336
11,2001-01-17,1.3959,1.2748,1.2111,1.2748,12937,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2960333333333334,1.3172666666666666,1.3597333333333332,1.2323333333333335,1.1898666666666669,1.1686333333333336
12,2001-01-18,1.2748,1.2111,1.2111,1.2111,4312,,,,,,,,,,,NaN,NaN,NaN,NaN,1.2111,1.2111,1.2111,1.2111,1.2111,1.2111
13,2001-01-19,1.2111,1.3067,1.3067,1.3067,4312,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3067,1.3067,1.3067,1.3067,1.3067,1.3067
14,2001-01-22,1.2111,1.3067,1.3067,1.3067,4312,,,,,45.2930728241563,,,,,,NaN,NaN,NaN,NaN,1.3067,1.3067,1.3067,1.3067,1.3067,1.3067
