,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2002-04-03,1.2119,1.2919,1.2058,1.2919,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3206000000000002,1.3493000000000002,1.4067000000000003,1.2345000000000002,1.1771,1.1484
1,2002-04-04,1.2119,1.2919,1.2058,1.2919,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3206000000000002,1.3493000000000002,1.4067000000000003,1.2345000000000002,1.1771,1.1484
2,2002-04-05,1.2119,1.2919,1.2058,1.2919,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3206000000000002,1.3493000000000002,1.4067000000000003,1.2345000000000002,1.1771,1.1484
3,2002-04-08,1.2119,1.2919,1.2058,1.2919,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3206000000000002,1.3493000000000002,1.4067000000000003,1.2345000000000002,1.1771,1.1484
4,2002-04-09,1.2119,1.2919,1.2058,1.2919,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3206000000000002,1.3493000000000002,1.4067000000000003,1.2345000000000002,1.1771,1.1484
5,2002-04-10,1.2119,1.2919,1.2058,1.2919,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3206000000000002,1.3493000000000002,1.4067000000000003,1.2345000000000002,1.1771,1.1484
6,2002-04-11,1.2119,1.2919,1.2058,1.2919,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3206000000000002,1.3493000000000002,1.4067000000000003,1.2345000000000002,1.1771,1.1484
7,2002-04-12,1.2919,1.3227,1.3227,1.3227,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3227,1.3227,1.3227,1.3227,1.3227,1.3227
8,2002-04-15,1.2919,1.3227,1.3227,1.3227,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3227,1.3227,1.3227,1.3227,1.3227,1.3227
9,2002-04-16,1.2919,1.3227,1.3227,1.3227,14415.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3227,1.3227,1.3227,1.3227,1.3227,1.3227
10,2002-04-17,1.3227,1.378,1.378,1.378,4805.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.378,1.378,1.378,1.378,1.378,1.378
11,2002-04-18,1.3227,1.378,1.378,1.378,4805.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.378,1.378,1.378,1.378,1.378,1.378
12,2002-04-19,1.378,1.378,1.378,1.378,9610.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.378,1.378,1.378,1.378,1.378,1.378
13,2002-04-22,1.378,1.3842,1.3842,1.3842,9610.0,,,,,,,,,,,NaN,NaN,NaN,NaN,1.3842,1.3842,1.3842,1.3842,1.3842,1.3842
14,2002-04-23,1.3842,1.3842,1.3842,1.3842,2402.0,,,,,100.0,,,,,,NaN,NaN,NaN,NaN,1.3842,1.3842,1.3842,1.3842,1.3842,1.3842
15,2002-04-24,1.3842,1.3842,1.3842,1.3842,2402.0,,,,,100.0,,,,,,NaN,NaN,NaN,NaN,1.3842,1.3842,1.3842,1.3842,1.3842,1.3842
16,2002-04-25,1.3842,1.3842,1.3842,1.3842,19220.0,,,,,100.0,,,,,,NaN,NaN,NaN,NaN,1.3842,1.3842,1.3842,1.3842,1.3842,1.3842
17,2002-04-26,1.3842,1.3842,1.3842,1.3842,2402.0,,,,,100.0,,,,,,NaN,NaN,NaN,NaN,1.3842,1.3842,1.3842,1.3842,1.3842,1.3842
18,2002-04-29,1.3842,1.4211,1.4026,1.4211,43244.0,,,,,100.0,,,,,,NaN,NaN,NaN,NaN,1.4272666666666662,1.4334333333333331,1.4457666666666662,1.4087666666666663,1.3964333333333332,1.3902666666666663
19,2002-04-30,1.4211,1.4457,1.4457,1.4457,48049.0,,,,,100.0,1.444696654369683,1.3466599999999997,1.2486233456303164,,,NaN,NaN,NaN,NaN,1.4456999999999995,1.4456999999999998,1.4456999999999995,1.4456999999999995,1.4456999999999998,1.4456999999999995
20,2002-05-01,1.4211,1.4457,1.4457,1.4457,48049.0,1.3513761904761903,,,,100.0,1.4579680196684048,1.3543499999999997,1.2507319803315946,,,NaN,NaN,NaN,NaN,1.4456999999999995,1.4456999999999998,1.4456999999999995,1.4456999999999995,1.4456999999999998,1.4456999999999995
21,2002-05-02,1.4457,1.4272,1.4272,1.4272,48049.0,1.3578190476190475,,,,85.10442922627155,1.4652065803511818,1.3611149999999994,1.257023419648817,,,NaN,NaN,NaN,16130.857142857143,1.4272,1.4272,1.4272,1.4272,1.4272,1.4272
22,2002-05-03,1.4272,1.4211,1.4088,1.4211,28829.0,1.3639714285714284,,,,80.8291175890635,1.4697005477341694,1.3675749999999995,1.2654494522658297,,,NaN,NaN,NaN,17732.47619047619,1.4252,1.4293,1.4375,1.4129,1.4047,1.4006
23,2002-05-06,1.4211,1.4272,1.3965,1.4272,36037.0,1.3704142857142854,,,,81.81303904550298,1.4733968200580194,1.3743399999999995,1.2752831799419795,,,NaN,NaN,NaN,18418.85714285714,1.437433333333333,1.4476666666666664,1.4681333333333328,1.406733333333333,1.3862666666666665,1.376033333333333
24,2002-05-07,1.4272,1.4641,1.4211,1.4211,91293.0,1.3765666666666665,,,,77.52793634220606,1.4741989079165647,1.3807999999999994,1.287401092083434,,,NaN,NaN,NaN,19448.47619047619,1.4497666666666666,1.4784333333333333,1.4927666666666666,1.4067666666666667,1.3924333333333334,1.3637666666666668
25,2002-05-08,1.4211,1.4211,1.4211,1.4211,9610.0,1.3827190476190472,,,,77.52793634220606,1.472703581385661,1.3872599999999993,1.3018164186143375,,,NaN,NaN,NaN,23109.333333333332,1.4211,1.4211,1.4211,1.4211,1.4211,1.4211
26,2002-05-09,1.4211,1.4211,1.4211,1.4211,62463.0,1.388871428571428,,,,77.52793634220606,1.4681780579924597,1.3937199999999992,1.3192619420075387,,,NaN,NaN,NaN,22880.52380952381,1.4211,1.4211,1.4211,1.4211,1.4211,1.4211
27,2002-05-10,1.4211,1.4211,1.4211,1.4211,62463.0,1.3950238095238088,,,,77.52793634220606,1.466377298440455,1.398639999999999,1.330902701559543,,,NaN,NaN,NaN,25168.52380952381,1.4211,1.4211,1.4211,1.4211,1.4211,1.4211
28,2002-05-13,1.4211,1.3903,1.3903,1.3903,2402.0,1.3982428571428565,,,,57.18614669645612,1.4603567671371362,1.402019999999999,1.3436832328628616,,,NaN,NaN,NaN,27456.52380952381,1.3903,1.3903,1.3903,1.3903,1.3903,1.3903
